LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA20110,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,14,14,14,4,82,8,46,36,101,75,81,65,68,29,515,251,716,561,1345,919,1079,967,590,239,6671,0,0,0,0,0,0,0,0,0,0,505,1330,1031,2073,1399,1655,1441,664,228,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,18,6,10,3,3,0,52,0,0,0,0,0,0,0,5,0,7,0,0,0,15,3,0,0,0,0,19,0,0,0,0,0,5,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,4,13,54,65,101,111,92,22,463,0,0,0,0,0,7,0,0,0,5,0,0,0,4,0,3,4,0,0,22
LGA20260,0,0,5,9,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,9,3,3,42,11,26,39,81,46,64,67,39,17,387,283,579,540,1205,706,820,779,465,222,5606,0,0,0,8,4,0,0,0,0,10,549,1106,980,2081,1236,1430,1341,706,296,9720,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,28,3,4,0,0,0,37,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,8,0,10,7,19,17,41,62,60,17,228,0,0,0,3,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,4
LGA20570,0,0,17,61,8,4,3,4,0,107,0,0,0,8,3,10,8,8,0,36,0,0,3,23,9,3,5,3,0,55,5,35,47,213,92,77,82,51,26,632,138,258,355,728,311,313,322,290,169,2883,3281,7101,7066,15280,7264,7039,6431,3717,1848,59025,0,0,4,13,4,3,0,0,0,18,6271,13457,12316,23702,11587,11173,9421,5113,2175,95207,0,8,12,57,15,0,3,0,0,93,0,0,0,3,0,3,0,0,0,15,0,3,0,34,5,0,0,0,0,43,0,6,3,7,0,0,0,0,0,21,0,7,8,52,22,26,24,4,0,140,0,4,0,10,3,10,0,6,0,32,0,39,65,349,82,68,56,11,0,677,0,0,0,4,12,15,41,41,14,129,0,0,11,16,8,3,5,7,0,48,11,131,93,348,306,450,599,384,149,2454,0,5,6,22,11,13,9,3,0,70,0,4,10,22,6,8,11,3,0,61
LGA20660,6,12,36,178,106,54,48,10,6,459,0,0,6,6,9,9,10,10,8,45,0,0,9,15,11,4,3,0,0,35,13,78,121,681,293,272,224,170,89,1937,72,182,164,521,237,189,246,182,123,1921,3426,7556,6584,17597,8698,7849,6811,4194,2121,64835,0,0,3,13,4,3,4,0,0,30,6710,13798,11626,22763,12069,10070,7974,4536,1874,91428,0,3,7,41,8,4,5,0,0,64,0,0,3,32,6,35,22,9,3,110,0,0,5,48,15,6,0,0,0,79,0,0,5,20,10,4,8,0,0,54,8,24,15,110,45,23,16,8,0,248,0,7,6,43,14,18,11,7,0,101,15,149,307,1711,560,578,329,94,45,3780,0,0,4,13,41,79,95,89,35,362,0,7,9,48,17,41,75,44,7,245,24,146,170,712,571,607,520,467,187,3396,0,0,8,31,24,12,18,8,4,95,0,4,10,57,33,15,19,7,3,142
LGA20740,0,0,0,16,11,4,4,0,0,30,0,0,0,5,0,11,6,8,0,28,0,0,6,0,0,0,0,0,0,11,0,12,11,49,31,59,47,34,13,250,58,146,103,312,181,277,299,165,63,1602,921,2084,1592,4104,2480,3549,3664,1852,706,20955,0,0,0,0,0,0,0,0,0,3,1718,3902,2908,6183,3836,4926,4934,2315,795,31517,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,10,5,0,0,0,0,15,3,0,4,11,0,0,0,0,0,19,0,5,0,22,5,15,9,0,0,59,0,0,0,5,10,11,3,16,0,38,0,4,0,35,15,20,11,3,3,84,0,0,0,0,0,4,9,9,5,29,0,0,0,0,0,7,8,3,0,23,4,24,38,151,187,490,672,439,144,2140,0,0,0,10,4,4,4,0,0,18,0,0,0,21,3,7,6,4,0,43
LGA20830,0,3,4,31,4,0,0,0,0,53,0,0,0,4,5,7,7,0,0,30,0,3,4,13,6,4,0,0,0,28,4,17,15,106,42,64,66,46,18,381,79,209,133,423,209,233,219,169,88,1760,1746,3610,3052,7135,3620,3989,3618,2008,817,29590,0,0,0,4,0,0,0,0,0,5,3324,6826,5505,11213,5590,5941,5197,2645,942,47188,0,0,0,4,0,0,0,0,0,3,0,0,0,8,3,0,3,0,0,23,0,0,0,10,0,0,3,0,0,8,0,0,0,3,0,3,0,0,0,12,3,0,6,29,6,6,13,3,0,69,0,0,0,4,7,4,3,0,0,18,0,9,5,67,17,26,11,3,0,136,0,0,0,0,3,8,15,13,0,40,0,0,0,6,0,0,8,4,0,16,0,43,55,200,243,463,507,349,101,1965,0,0,5,8,10,12,3,0,0,34,0,0,0,3,3,0,7,0,0,12
LGA20910,0,11,19,62,50,14,17,0,4,169,0,7,4,15,21,12,13,4,0,73,0,0,0,22,19,7,6,3,0,49,16,102,72,621,413,371,304,231,121,2250,58,201,121,347,260,191,218,191,142,1740,2246,6461,5810,10475,8621,7337,5952,3838,2201,52930,0,0,6,11,4,4,5,0,0,29,4170,10922,10024,12286,10544,9256,7048,4189,2145,70582,0,0,0,10,0,5,0,0,0,25,0,0,0,29,22,24,12,9,0,89,3,10,10,91,33,8,9,0,0,165,0,0,0,20,10,0,3,5,0,44,0,32,20,114,83,59,32,11,6,362,0,11,0,44,33,13,13,10,0,114,9,285,272,829,464,329,148,68,27,2436,0,0,0,23,22,35,37,43,6,177,0,0,0,22,19,53,73,42,19,224,41,547,505,1073,1246,1055,804,607,216,6104,0,3,0,18,31,16,5,0,0,66,3,21,25,90,54,33,30,10,10,277
LGA21010,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,7,3,17,12,10,20,8,6,75,25,54,49,129,79,98,79,85,52,655,326,692,636,1405,925,1237,1189,728,345,7472,0,0,0,3,0,0,0,0,0,3,594,1265,1172,2210,1409,1935,1843,1023,424,11878,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,0,0,3,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,0,0,6,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,0,0,8,22,33,69,106,94,21,361,0,0,0,4,4,3,0,0,0,10,0,0,0,7,0,0,4,0,0,13
LGA21110,0,29,134,359,274,205,107,28,16,1158,0,0,5,8,7,10,9,10,3,46,0,0,3,27,9,8,6,5,0,64,7,102,121,761,335,261,246,207,113,2150,69,204,282,638,341,260,273,256,205,2535,3246,9907,11929,21554,12800,10831,8499,5479,3143,87386,0,0,5,13,6,5,0,0,0,23,6158,16325,18797,22756,14221,12626,9222,5513,2880,108493,0,4,12,84,12,3,9,0,0,126,0,0,0,27,10,19,7,0,0,67,0,12,8,105,31,9,6,0,0,164,0,3,20,23,33,14,10,4,0,106,3,39,39,158,86,55,29,14,0,428,0,3,3,60,16,15,9,4,4,112,71,1162,1603,4692,2412,1909,1020,352,170,13393,0,0,0,25,20,38,26,39,20,176,0,9,17,61,33,42,62,42,23,288,40,385,427,894,752,836,717,540,196,4789,0,0,6,47,37,38,14,10,4,160,0,33,24,124,67,43,17,12,4,331
LGA21180,36,276,858,5155,3381,2505,1284,345,178,14016,0,0,0,4,0,6,4,0,0,21,0,0,8,22,4,0,0,0,0,33,33,182,437,1735,1014,1061,936,589,274,6263,314,653,587,1710,615,552,489,353,260,5537,5274,10989,11835,27786,12708,11706,9475,5071,2271,97124,0,43,111,343,77,25,11,0,0,618,9941,18197,16072,22676,9134,7048,4049,1530,622,89271,0,13,42,262,48,25,18,4,0,415,0,0,19,316,206,306,200,118,25,1202,5,3,4,37,18,9,6,6,0,74,0,8,8,49,51,72,43,17,9,251,3,3,18,48,15,13,5,0,0,101,0,0,11,99,132,157,169,101,13,672,0,44,160,826,381,400,237,95,46,2202,0,6,6,107,164,461,545,584,168,2035,16,39,83,142,84,180,205,127,50,924,4,49,57,272,210,376,300,219,74,1554,0,22,38,188,128,115,83,36,6,614,0,0,5,41,23,21,17,9,3,125
