LGA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA20110,0,0,318,315,0,32,180,216,118,165,238,523,329,143,154,626,431,139,177,749,556,111,239,909,595,60,231,886,294,27,102,419,84,0,42,124,2413,675,1681,4768,0,0,267,272,6,63,150,212,177,182,156,515,386,148,142,676,469,141,195,813,583,105,271,964,536,39,266,844,232,15,238,485,34,0,125,158,2428,690,1818,4934,0,4,586,591,6,88,331,427,300,351,393,1038,721,289,294,1298,904,280,376,1561,1142,216,515,1870,1129,95,502,1727,521,43,342,902,116,0,165,284,4833,1366,3497,9701
LGA20260,0,4,267,269,6,34,189,235,132,158,287,576,251,92,146,497,316,80,194,586,398,76,254,727,468,39,194,699,235,10,113,358,61,3,44,117,1867,506,1687,4058,0,8,234,239,5,62,160,228,178,174,210,566,270,79,181,529,338,90,214,638,422,70,240,734,437,29,219,687,200,10,202,405,36,0,123,153,1887,522,1782,4187,3,10,500,506,8,96,356,460,308,332,495,1138,528,172,322,1029,654,170,406,1228,819,144,495,1461,902,71,413,1382,436,16,309,761,98,9,166,266,3753,1025,3464,8246
LGA20570,0,26,3092,3116,53,576,2577,3204,1735,2038,3245,7018,3489,1012,1634,6136,3481,798,1793,6070,3489,563,1695,5750,3285,263,1336,4893,1832,104,717,2653,432,8,299,739,17789,5395,16395,39581,0,67,2921,2986,116,749,2356,3221,2263,2068,2914,7242,3849,982,2160,6992,3554,757,2505,6817,3469,489,2547,6510,3136,200,2486,5827,1419,59,1789,3275,226,5,990,1226,18039,5376,20678,44092,0,87,6013,6098,171,1326,4931,6432,4002,4110,6156,14262,7335,1999,3800,13128,7028,1559,4295,12888,6960,1057,4248,12262,6428,461,3828,10714,3257,161,2510,5924,656,12,1293,1961,35830,10771,37075,83673
LGA20660,0,9,3423,3434,21,183,3085,3290,1845,2078,3500,7421,5374,1247,1716,8335,5131,822,1852,7808,4282,537,1772,6583,3880,286,1269,5431,2384,72,751,3209,614,9,371,995,23527,5242,17742,46512,5,19,3057,3073,42,283,2818,3145,2555,2262,2950,7773,5775,1197,1952,8923,5086,802,2433,8318,4391,458,2602,7453,3673,230,2432,6335,1814,49,1950,3816,322,0,1132,1449,23663,5309,21321,50292,5,27,6481,6510,64,463,5906,6431,4396,4344,6454,15195,11147,2445,3666,17261,10217,1613,4285,16121,8674,996,4373,14039,7549,514,3699,11767,4200,123,2707,7027,936,17,1496,2452,47199,10544,39062,96807
LGA20740,0,8,859,864,9,106,562,673,373,461,667,1509,948,369,501,1817,1124,338,617,2078,1570,296,840,2712,2004,189,789,2986,1082,63,400,1544,195,5,163,369,7311,1834,5409,14552,0,15,809,826,19,163,417,597,528,539,618,1680,1091,365,546,2003,1178,320,747,2249,1777,308,1008,3097,1870,156,1146,3170,815,41,756,1611,105,9,370,487,7378,1914,6422,15715,0,16,1668,1691,25,266,978,1267,903,995,1286,3188,2040,736,1048,3823,2300,659,1367,4331,3345,612,1849,5810,3873,343,1932,6156,1891,102,1160,3157,303,14,539,858,14686,3753,11835,30261
LGA20830,0,7,1489,1492,33,218,1048,1300,1025,944,1122,3091,1746,506,662,2913,1800,436,786,3021,2109,301,844,3256,2154,213,704,3069,1257,52,380,1693,247,8,170,423,10369,2681,7208,20251,0,18,1476,1497,60,294,941,1289,1336,1015,1095,3449,1832,501,829,3163,1986,416,962,3363,2236,305,1127,3670,2014,151,1074,3235,906,43,811,1753,107,9,417,532,10482,2736,8725,21942,0,23,2959,2989,89,513,1987,2586,2365,1957,2214,6537,3579,1003,1491,6073,3788,847,1747,6383,4348,609,1971,6924,4166,363,1777,6308,2161,93,1194,3448,357,13,586,953,20853,5421,15930,42202
LGA20910,0,5,3425,3433,8,78,2509,2595,722,1014,1814,3548,3426,843,856,5128,5282,787,1140,7204,4638,528,1122,6294,3492,315,867,4670,2081,113,560,2750,571,23,364,959,20212,3702,12661,36572,0,11,3194,3205,13,118,2143,2276,1115,1142,1547,3802,4000,844,1184,6032,5651,731,1808,8193,4449,478,1954,6880,3226,251,1975,5447,1605,69,1704,3380,271,6,1196,1472,20331,3654,16707,40687,0,18,6616,6636,20,194,4651,4870,1834,2154,3364,7350,7425,1687,2045,11157,10930,1520,2950,15405,9088,1008,3082,13170,6722,561,2840,10118,3682,182,2263,6129,838,26,1565,2434,40539,7356,29369,77263
LGA21010,0,3,345,351,3,43,226,275,156,165,278,600,296,104,170,565,366,105,238,708,576,102,336,1011,674,73,283,1024,378,31,171,584,104,5,59,168,2553,624,2104,5287,0,14,298,306,16,67,162,248,200,160,253,615,329,126,191,647,445,121,275,844,615,102,403,1124,629,62,384,1073,318,12,296,627,38,0,174,218,2588,665,2447,5705,0,15,644,657,18,109,393,525,361,324,533,1217,617,231,367,1213,814,226,512,1556,1190,204,738,2135,1302,132,665,2101,700,39,469,1208,148,8,236,387,5142,1291,4553,10990
LGA21110,0,9,5620,5632,28,348,5337,5709,1833,2559,5299,9690,5962,1110,1872,8942,7821,805,1749,10378,7092,576,1611,9281,5311,299,1220,6821,2980,112,803,3898,882,16,520,1421,31912,5839,24029,61777,0,11,5457,5470,44,479,4983,5510,2546,2586,4766,9901,6768,1091,2523,10386,8467,725,3012,12199,6791,456,2931,10175,4928,236,2730,7894,2305,53,2502,4861,376,17,1665,2055,32224,5656,30571,68455,0,24,11079,11099,72,824,10322,11224,4385,5150,10062,19594,12741,2198,4390,19330,16287,1530,4761,22574,13881,1036,4538,19455,10235,535,3945,14717,5280,172,3308,8761,1255,38,2188,3478,64137,11495,54598,130231
LGA21180,0,13,5278,5289,132,215,6186,6534,3663,1756,9239,14658,6713,1274,4202,12194,6544,854,3637,11039,7054,577,3096,10725,6018,262,2018,8293,3139,60,1023,4218,680,10,438,1130,33940,5021,35119,74083,9,28,5129,5167,354,326,5231,5905,5288,1939,6267,13499,7258,1212,3832,12302,6909,853,4273,12028,6641,447,4031,11122,5337,168,3411,8918,2006,38,2489,4537,292,3,1263,1554,34093,5008,35930,75029,14,35,10410,10461,480,540,11415,12435,8952,3692,15505,28156,13972,2483,8032,24495,13453,1704,7906,23067,13690,1022,7135,21845,11350,428,5436,17212,5144,99,3514,8752,976,18,1703,2686,68032,10030,71044,149112
