LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA20110,0,0,0,0,0,0,5,0,5,117,130,14,257,5,3,7,271,157,5,423
LGA20260,0,0,0,0,0,0,4,0,8,130,123,21,269,13,12,20,286,188,9,481
LGA20570,4,12,6,0,6,23,39,41,99,1516,1558,221,3297,126,116,245,3543,2118,69,5732
LGA20660,3,12,0,4,5,14,22,21,63,1695,1185,166,3045,64,84,145,3190,1886,45,5120
LGA20740,0,6,0,0,0,7,11,19,37,347,446,78,874,30,15,48,918,679,27,1620
LGA20830,3,11,0,0,0,11,13,16,43,633,668,110,1412,43,42,90,1505,816,32,2350
LGA20910,7,6,0,0,0,13,17,13,39,1272,808,118,2207,59,39,98,2308,1156,27,3486
LGA21010,4,4,0,0,0,4,7,0,7,147,151,28,332,6,12,18,347,262,8,618
LGA21110,0,13,0,0,0,13,16,18,46,1914,1227,139,3286,87,93,181,3471,2031,42,5540
LGA21180,14,32,4,3,4,40,65,119,228,2435,1902,402,4739,305,325,628,5365,4886,206,10455
LGA21270,0,0,0,0,0,0,4,3,5,45,48,0,93,9,3,11,101,92,7,200
LGA21370,4,6,0,0,0,11,14,13,40,414,426,86,929,17,27,47,969,662,29,1669
LGA21450,12,28,0,0,0,28,18,33,80,1683,1225,245,3150,80,86,176,3324,1615,61,4995
LGA21610,26,58,0,0,0,59,76,94,226,4644,3112,562,8310,271,282,554,8869,5388,190,14450
LGA21670,0,5,0,0,0,6,7,7,17,119,143,26,289,22,7,30,322,353,13,689
LGA21750,0,0,0,0,0,3,4,10,15,210,249,38,501,3,9,16,516,309,12,837
LGA21830,0,4,0,0,0,4,5,9,14,139,170,20,329,3,10,16,346,241,13,596
LGA21890,11,20,0,4,4,21,29,28,85,1565,1211,177,2950,94,88,182,3133,2551,73,5761
LGA22110,0,7,0,0,0,7,27,35,61,433,491,94,1020,35,44,76,1095,776,49,1920
LGA22170,15,35,0,0,0,40,54,45,133,2342,1913,296,4548,130,121,250,4802,2703,84,7587
LGA22250,0,0,0,0,0,0,6,9,19,77,80,18,176,10,9,20,189,176,8,377
LGA22310,10,23,0,0,0,29,25,20,67,1925,1170,150,3245,75,68,135,3384,1707,41,5132
LGA22410,0,3,0,0,0,3,0,10,20,202,206,32,434,11,22,34,475,332,21,824
LGA22490,0,7,0,0,0,7,0,11,19,225,206,31,461,6,17,19,481,249,15,746
LGA22620,9,14,0,0,0,23,40,34,92,1610,1527,228,3366,86,101,185,3553,2180,64,5796
LGA22670,14,23,0,5,5,24,44,67,135,1756,1338,229,3321,174,189,359,3683,3779,142,7605
LGA22750,17,47,0,0,3,49,68,63,179,3403,3139,489,7035,187,219,403,7435,4176,131,11749
LGA22830,4,13,0,4,4,14,31,42,82,806,735,122,1665,46,64,110,1773,1217,67,3060
LGA22910,0,4,0,0,0,4,4,3,9,125,177,22,322,14,9,16,344,254,9,608
LGA22980,0,0,0,0,0,0,3,3,7,37,44,10,86,3,6,6,92,85,6,181
LGA23110,5,14,0,0,0,15,20,22,57,1313,769,144,2231,92,64,160,2388,1530,39,3966
LGA23190,4,4,0,0,0,4,5,6,18,225,229,37,492,9,16,27,521,329,16,861
LGA23270,18,28,0,0,0,28,66,90,187,2727,1962,424,5114,213,208,421,5531,5060,170,10757
LGA23350,0,3,0,0,0,3,8,9,16,181,142,29,343,4,8,18,363,194,14,569
LGA23430,15,25,0,0,0,25,26,28,77,2287,1603,236,4119,92,91,187,4308,2373,44,6720
LGA23670,10,34,0,0,0,34,17,19,74,2300,1602,255,4156,99,117,216,4372,2389,38,6796
LGA23810,4,18,0,0,0,18,40,39,98,953,971,148,2068,118,104,216,2289,1688,73,4048
LGA23940,0,0,0,0,0,0,7,0,4,45,40,11,93,7,0,9,103,143,9,249
LGA24130,4,8,0,0,0,8,8,19,31,578,456,72,1108,16,29,52,1157,552,31,1739
LGA24210,6,16,0,0,4,16,12,20,47,1362,1080,156,2596,70,96,161,2755,1921,45,4719
LGA24250,0,0,0,0,0,0,0,0,5,86,103,15,206,3,3,6,207,97,3,307
LGA24330,0,3,0,0,0,7,12,22,41,1017,630,104,1747,77,68,145,1892,1396,43,3329
LGA24410,6,14,0,0,0,14,25,22,60,1728,1233,178,3131,57,67,128,3260,1612,48,4916
LGA24600,3,10,0,0,0,10,14,22,48,966,581,105,1646,63,79,147,1790,1239,36,3071
LGA24650,14,41,4,0,4,40,45,36,128,2275,1613,363,4259,216,213,431,4688,3102,71,7858
LGA24780,8,19,0,0,0,24,27,23,80,804,590,111,1503,47,54,108,1613,1041,48,2703
LGA24850,4,13,0,0,0,20,15,21,53,657,507,98,1263,35,50,85,1351,862,28,2244
LGA24900,0,10,0,0,0,10,16,7,30,300,345,46,699,22,23,43,744,496,23,1255
LGA24970,6,18,0,0,0,19,31,29,76,2025,1494,227,3746,89,129,212,3953,2946,75,6972
LGA25060,7,15,0,0,0,16,17,31,59,1531,958,149,2634,86,69,151,2788,1788,58,4636
LGA25150,0,5,0,0,0,7,5,7,23,519,360,55,930,31,31,55,988,585,18,1590
LGA25250,9,15,0,0,0,15,44,33,90,1820,1198,205,3212,96,108,204,3412,2706,60,6185
LGA25340,12,24,0,0,0,24,56,42,118,1973,1925,346,4242,81,109,189,4427,2412,86,6932
LGA25430,4,4,0,0,0,4,11,0,17,217,280,32,529,8,8,13,547,309,12,864
LGA25490,6,8,0,0,0,8,3,6,19,151,162,32,346,11,10,16,362,210,8,579
LGA25620,4,8,0,0,0,8,4,9,13,120,134,28,288,8,15,20,309,222,14,536
LGA25710,6,6,0,0,0,8,11,4,22,839,528,66,1431,21,30,47,1481,577,20,2078
LGA25810,0,0,0,0,0,0,6,5,8,92,114,14,227,9,4,15,240,197,7,440
LGA25900,0,5,0,0,0,3,7,12,25,1139,647,109,1890,56,53,109,2000,974,30,3005
LGA25990,0,0,0,0,0,0,0,4,10,61,63,12,138,0,7,7,147,145,4,299
LGA26080,0,0,0,0,0,0,0,0,0,26,23,0,44,0,4,4,52,31,0,84
LGA26170,3,3,0,0,0,11,6,4,22,305,310,49,661,16,25,47,708,379,11,1094
LGA26260,0,0,0,0,0,0,3,6,10,174,170,19,371,10,12,22,388,222,11,618
LGA26350,4,13,0,0,0,16,9,11,39,978,629,91,1698,52,46,99,1794,1119,19,2941
LGA26430,0,0,0,0,0,0,10,7,18,113,105,25,244,10,7,12,252,199,8,458
LGA26490,0,3,0,0,0,3,4,10,15,379,327,45,748,13,9,22,773,284,18,1070
LGA26610,0,4,0,0,0,4,7,7,18,210,190,33,429,15,12,32,457,326,10,796
LGA26670,0,0,0,0,0,0,0,0,0,47,41,13,98,6,4,8,106,50,4,165
LGA26700,0,5,0,0,0,5,12,3,13,373,350,48,770,25,21,42,819,466,9,1295
LGA26730,0,4,0,0,0,4,11,7,18,473,510,79,1059,20,27,52,1110,513,24,1650
LGA26810,7,11,0,0,0,11,20,13,40,427,460,76,956,36,48,81,1037,686,25,1756
LGA26890,0,0,0,0,0,0,4,5,5,22,22,4,55,3,3,3,61,51,5,112
LGA26980,5,15,0,0,0,17,37,14,66,1997,1401,172,3565,80,117,193,3763,2588,38,6392
LGA27070,15,38,0,3,0,41,57,81,182,2932,2240,353,5524,201,208,401,5927,4273,137,10340
LGA27170,12,22,0,0,0,22,10,13,40,659,557,92,1310,39,36,79,1380,817,23,2219
