LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA20110,80,60,37,51,35,14,10,19,6,313,73,69,53,96,59,36,15,38,0,445,258,56,569,178,126,85,116,186,17,1593,12,4,10,22,16,9,5,18,0,101,24,4,11,20,18,5,9,13,0,104,4,4,0,4,0,0,3,8,0,26,28,6,18,8,5,18,9,21,13,130,839,1060,776,546,387,223,184,366,56,4431
LGA20260,78,47,14,42,36,10,6,21,0,256,63,50,21,104,42,7,15,18,4,325,229,55,290,264,95,53,76,166,23,1255,11,0,7,11,13,9,0,19,3,72,19,4,6,23,9,5,5,9,0,77,0,3,0,0,0,0,0,6,0,18,16,12,9,15,18,13,10,34,15,140,622,645,376,545,275,116,121,343,65,3109
LGA20570,357,447,195,337,306,123,62,92,20,1936,492,568,397,1086,686,245,101,176,40,3802,1251,514,4153,1947,1410,820,794,1109,154,12147,59,41,57,106,151,134,47,111,0,716,68,65,63,159,127,93,43,69,6,681,32,61,19,31,25,11,7,20,6,204,73,100,72,105,81,76,47,84,90,725,4593,11436,5525,5204,4190,1964,1312,2008,460,36692
LGA20660,493,732,312,405,521,186,55,101,27,2827,700,741,519,851,727,308,100,176,52,4174,1053,509,3517,1138,956,456,403,605,129,8773,45,37,56,75,126,58,26,44,4,470,122,103,80,146,229,113,26,73,12,898,54,128,30,41,45,31,9,19,9,360,97,154,71,79,109,69,38,50,105,781,8148,19924,5710,4561,5722,2187,1029,1558,676,49510
LGA20740,148,155,85,135,106,51,3,34,10,739,184,183,122,315,198,101,21,75,13,1209,598,153,1533,550,338,335,271,454,86,4317,30,9,29,40,49,31,10,38,0,240,39,13,25,51,40,31,16,27,3,258,10,17,9,8,7,4,4,6,3,64,56,31,42,52,36,42,24,54,35,384,1714,2800,1980,1530,1092,715,374,811,195,11214
LGA20830,188,236,97,177,174,61,25,57,23,1045,310,318,186,575,304,129,53,118,25,2025,953,280,2660,952,719,402,653,843,110,7574,40,16,31,64,77,54,27,55,7,363,64,30,39,122,80,38,32,53,6,456,26,33,12,22,20,4,4,10,3,139,63,57,40,79,52,34,38,66,56,485,2565,4369,3251,2522,1866,870,871,1421,266,17999
LGA20910,668,729,175,245,402,187,32,56,33,2522,650,581,251,397,521,291,41,70,43,2848,869,283,1450,433,438,359,120,227,68,4254,38,26,17,31,61,35,12,19,3,245,154,111,43,107,139,127,14,31,15,744,75,112,23,24,45,24,0,0,12,322,123,145,45,48,89,61,9,27,120,657,10388,15849,2641,2381,4209,2204,354,686,660,39378
LGA21010,86,54,28,38,40,14,6,17,5,283,82,82,37,149,65,17,8,29,10,473,222,46,569,280,163,96,126,184,26,1724,5,5,8,20,13,14,6,27,0,107,18,11,11,15,8,5,6,22,3,92,3,7,10,4,0,0,0,6,0,36,31,11,22,19,14,5,10,27,18,170,668,912,710,616,399,194,181,342,77,4104
LGA21110,775,909,265,326,572,284,57,101,49,3335,848,738,400,632,725,408,81,167,56,4062,842,425,1566,608,567,451,128,296,90,4965,59,47,34,56,87,61,20,39,3,400,185,122,65,115,194,129,20,49,13,890,93,221,26,58,69,44,11,23,24,567,128,243,43,64,121,72,9,32,163,871,15064,33214,3832,4089,7627,3696,686,1387,1123,70726
LGA21180,379,447,446,455,524,219,269,220,44,3020,642,627,925,1376,1045,469,474,525,115,6190,955,457,4316,1879,1351,663,1399,1370,268,12662,64,47,101,142,174,105,102,157,13,905,130,84,171,265,280,130,172,187,29,1448,46,107,48,51,68,40,61,60,12,502,121,169,164,208,176,111,165,200,338,1653,5231,12930,7676,6578,7111,3058,3995,3993,1234,51805
LGA21270,50,11,7,10,17,0,3,4,0,108,35,32,3,29,15,10,0,5,0,133,228,24,154,74,43,36,74,77,9,716,6,0,0,3,7,4,0,6,0,35,12,4,0,4,4,0,6,4,0,32,3,3,0,0,0,0,0,0,0,10,20,9,11,8,6,5,9,13,0,86,449,334,202,173,127,62,96,135,16,1587
LGA21370,151,140,52,100,73,22,10,37,8,596,213,155,105,323,174,71,25,80,10,1163,797,159,1575,675,377,259,418,601,63,4917,34,14,26,33,36,29,18,57,5,248,35,22,27,51,48,30,21,23,4,260,17,15,6,10,6,4,3,5,5,63,74,42,33,61,33,37,28,83,48,433,1840,2312,1926,1486,926,531,550,1005,154,10729
LGA21450,413,406,326,367,423,151,152,138,24,2395,758,710,625,1356,860,363,310,304,62,5339,1561,616,5761,1751,1630,815,1239,1364,277,15003,60,34,87,126,160,111,65,97,9,747,111,55,111,206,185,103,82,106,14,983,45,46,39,40,37,17,36,38,13,318,126,87,107,116,125,96,84,102,146,973,4957,9059,7780,5443,4877,2183,2358,2675,728,40054
LGA21610,1119,1147,1181,1070,1264,456,660,564,125,7592,1953,1749,2103,4023,2599,1103,1286,1127,279,16221,3018,1230,12298,4769,3591,1970,3300,3328,643,34152,163,89,236,225,422,258,236,291,29,1954,284,177,345,624,529,292,308,336,50,2942,118,221,158,128,150,80,115,117,27,1110,281,313,314,366,340,188,312,334,486,2926,13289,27826,19565,16294,15103,6691,8427,8323,2352,117861
LGA21670,29,30,11,40,20,15,0,10,0,158,35,40,30,116,34,18,9,20,3,296,151,35,429,238,110,78,121,172,25,1360,12,0,0,14,11,10,7,24,0,89,8,0,4,14,9,5,11,10,3,67,5,0,0,0,0,0,0,0,0,9,19,8,6,17,7,9,9,31,9,121,357,502,501,537,248,158,160,286,46,2794
LGA21750,123,66,32,92,59,24,14,43,9,459,120,74,66,145,81,34,14,67,8,610,442,101,824,446,189,157,253,424,50,2879,19,3,10,17,21,22,9,37,0,142,38,9,10,33,26,13,8,29,0,160,6,4,5,9,6,3,0,8,0,40,29,16,25,26,25,20,22,43,25,231,1137,1281,1036,940,561,331,348,773,111,6523
LGA21830,125,46,17,40,19,11,5,33,0,292,105,57,28,96,45,22,7,33,7,403,477,63,537,250,134,67,194,265,37,2019,24,4,13,15,15,16,17,24,0,127,23,5,8,11,10,8,3,16,8,104,13,3,3,4,5,0,0,6,0,34,62,21,20,19,11,13,14,34,17,210,1149,851,671,537,330,176,257,481,79,4533
LGA21890,500,826,416,375,472,215,101,161,32,3083,735,932,708,1007,852,401,183,318,56,5190,863,577,3069,1236,919,476,463,731,144,8478,53,47,74,92,112,58,41,61,5,542,124,110,109,163,201,110,63,87,16,986,49,143,49,31,51,21,26,32,14,419,102,147,108,112,153,77,45,100,213,1069,9421,25798,6284,5855,6725,2893,1659,2552,971,62159
LGA22110,144,168,62,160,107,36,22,43,21,755,219,256,101,420,227,85,35,87,29,1446,708,220,1603,762,545,342,397,574,99,5242,42,17,32,51,57,35,19,53,4,301,52,34,33,75,52,35,17,55,4,353,16,18,3,17,11,8,0,13,0,80,63,46,52,54,41,51,25,95,60,482,1882,2793,1990,1916,1304,658,540,1027,253,12366
LGA22170,519,668,357,537,531,199,107,151,33,3099,920,935,665,1542,1044,460,204,315,105,6188,1650,707,6788,2206,1749,1016,1118,1548,279,17066,82,48,99,125,189,147,58,116,7,869,152,98,138,246,230,121,98,118,18,1217,42,85,39,36,49,21,23,30,14,334,97,147,130,162,151,98,72,125,130,1112,6019,11823,8863,6391,5597,2778,1943,2791,757,46965
LGA22250,52,37,11,18,12,7,0,9,0,138,43,46,22,78,28,10,6,13,4,260,269,51,378,154,98,64,107,131,20,1270,8,7,3,12,9,9,4,14,0,62,16,3,0,10,6,6,3,12,0,56,9,0,0,0,3,0,0,0,0,12,17,13,7,14,15,8,11,22,11,117,531,513,448,316,218,120,144,222,41,2547
LGA22310,680,879,365,392,554,269,67,136,44,3385,843,882,560,873,806,426,117,190,62,4747,894,489,2470,910,796,475,243,449,112,6845,55,45,43,68,110,73,24,41,5,464,162,153,93,166,233,135,20,67,13,1043,97,196,44,45,58,41,13,44,17,555,146,264,96,116,122,71,43,53,219,1123,11994,27152,5228,5035,7266,3457,1072,1775,1127,64111
LGA22410,85,77,13,39,40,10,13,15,5,298,86,78,38,178,74,27,18,27,4,535,334,99,821,381,188,121,285,270,57,2569,20,14,6,20,23,20,20,27,0,146,23,18,11,38,22,17,18,18,3,170,9,8,6,6,0,7,0,5,0,38,36,25,13,25,12,13,27,28,19,205,842,1141,951,838,442,233,387,431,104,5366
LGA22490,107,116,61,87,92,25,8,29,10,543,161,133,121,255,157,70,27,49,6,975,427,124,1453,464,375,168,313,380,53,3758,18,10,16,24,45,15,18,18,0,169,38,12,21,29,43,10,21,21,0,194,8,14,21,5,6,3,0,3,0,64,36,10,29,30,16,21,26,32,27,222,1197,1879,1805,1127,975,368,445,587,124,8507
LGA22620,312,463,211,362,298,87,58,70,23,1886,536,712,353,1239,643,256,121,235,58,4142,1493,621,4704,2257,1436,858,1091,1403,212,14075,60,23,85,112,168,118,45,154,14,777,105,58,91,160,174,73,54,94,7,816,34,69,17,29,24,9,12,27,3,229,72,124,95,136,95,88,84,102,111,909,4561,11381,5978,5583,4074,1903,1618,2462,543,38100
LGA22670,253,312,458,322,403,169,260,313,34,2525,453,444,883,1204,695,381,511,683,86,5347,525,265,3047,1474,696,471,1006,1118,185,8784,41,23,86,70,91,68,105,145,20,649,79,57,160,204,140,83,135,204,13,1090,47,88,88,52,48,30,77,86,14,531,84,122,146,164,111,80,159,241,282,1379,3641,10039,6387,5537,5019,2469,3545,4448,1023,42097
LGA22750,900,1329,631,951,860,285,178,269,85,5492,1362,1434,1213,2676,1615,648,399,526,110,9980,2665,1214,10394,4759,2810,1700,1978,2689,489,28699,129,78,162,229,244,207,126,248,14,1433,234,138,164,410,343,196,129,182,27,1819,68,147,53,86,66,29,34,48,24,569,156,230,201,313,197,144,122,223,287,1866,11593,27737,14617,13081,9803,4700,3805,5402,1446,92173
LGA22830,222,204,83,175,147,35,33,58,10,962,389,386,197,707,349,121,82,193,28,2451,908,308,2412,1059,748,431,486,802,124,7275,35,19,35,51,78,71,33,87,8,408,64,34,41,91,85,55,36,80,8,491,17,34,10,19,11,4,16,27,5,142,74,72,60,61,34,54,54,116,83,602,2657,4986,3046,2691,1883,930,810,1651,331,18980
LGA22910,92,70,51,58,55,23,9,24,4,384,98,85,75,127,73,19,7,35,4,526,249,77,559,216,124,81,101,145,12,1569,10,3,11,14,5,15,3,21,0,88,19,9,6,27,15,4,5,19,0,115,6,10,10,4,5,0,0,3,0,34,27,12,24,13,10,5,10,20,21,141,998,1415,855,658,468,219,144,330,73,5159
LGA22980,20,24,6,11,21,6,7,6,0,96,25,30,10,51,19,4,7,14,0,148,155,22,136,85,43,24,72,90,13,639,7,0,4,6,7,5,3,12,0,45,13,4,4,4,6,9,5,4,0,47,0,0,0,0,0,0,0,0,0,3,14,3,0,7,0,0,3,14,0,57,290,314,176,198,124,54,108,143,22,1423
LGA23110,366,419,234,236,306,112,76,74,20,1845,622,580,409,636,607,217,136,153,52,3405,754,367,2541,725,766,369,517,562,145,6742,42,37,35,49,77,40,26,40,8,345,102,58,63,110,172,68,50,55,11,683,37,60,24,17,34,19,14,12,9,234,64,96,66,63,76,46,39,59,118,625,5965,11586,4071,3057,4076,1516,1180,1364,615,33430
LGA23190,124,101,31,73,54,25,5,14,4,424,120,118,43,216,121,35,15,31,12,716,418,117,875,358,260,168,211,230,39,2681,17,5,9,30,42,25,9,17,0,147,23,11,12,34,28,13,0,24,0,148,0,6,3,3,13,3,0,0,4,36,40,20,7,17,15,14,17,20,26,175,1042,1638,1031,899,670,306,279,372,98,6335
LGA23270,594,661,615,686,723,294,451,279,63,4359,1013,926,1240,2236,1418,616,782,610,141,8972,1617,714,6886,2814,2086,1078,1896,1798,371,19277,82,44,114,202,223,159,155,146,14,1137,190,113,184,366,360,180,207,213,31,1842,77,110,86,90,92,39,84,57,22,662,126,232,207,239,214,159,195,196,318,1889,7320,16091,11069,9917,8714,3908,5314,4600,1405,68334
LGA23350,103,106,25,59,48,17,9,21,5,389,121,99,45,151,87,36,10,27,3,568,346,104,742,254,192,104,196,264,35,2237,12,7,3,25,13,11,11,23,0,107,24,16,12,34,10,12,12,18,0,130,0,12,0,7,8,0,0,4,0,34,25,18,5,23,14,25,12,35,27,180,1098,1638,915,691,542,244,274,449,94,5940
LGA23430,744,912,437,551,717,283,104,147,60,3955,1077,1023,765,1170,1213,512,200,289,84,6326,1595,709,5130,1522,1339,715,649,871,211,12750,73,53,82,120,187,88,42,62,5,695,208,163,127,215,337,149,61,116,22,1389,73,134,51,53,60,39,29,34,11,486,145,191,123,135,167,96,55,84,206,1190,10054,20195,7984,5980,7649,3292,1678,2331,948,60112
LGA23670,591,837,462,503,670,245,125,190,48,3669,926,930,806,1434,1146,523,244,339,109,6452,1571,719,5856,1876,1603,871,950,1165,270,14885,72,48,94,108,164,108,60,104,10,779,163,122,117,207,267,148,90,110,16,1244,67,117,57,44,68,37,13,30,19,439,111,150,112,132,199,95,72,86,138,1094,8263,17865,8968,6359,7673,3412,2054,2717,943,58245
LGA23810,161,216,119,168,174,35,27,35,12,949,332,400,230,711,426,127,66,88,47,2422,789,373,3499,1465,1133,522,896,982,180,9843,33,30,53,75,100,64,30,78,3,470,49,17,29,94,81,51,39,43,10,413,16,34,16,18,9,9,6,17,0,133,53,68,65,99,60,56,47,103,66,631,2129,4855,4251,3160,2518,1011,1184,1457,369,20938
LGA23940,70,17,9,15,13,0,5,0,3,138,55,29,10,40,25,3,8,17,7,187,267,23,160,85,69,38,68,114,9,836,9,0,3,6,6,3,0,12,0,49,11,5,4,6,6,0,4,12,0,52,6,3,0,0,0,0,0,4,0,13,31,7,8,9,7,3,10,15,6,92,602,313,205,212,151,71,95,208,28,1892
LGA24130,252,295,126,193,181,71,22,54,23,1223,307,280,199,401,340,112,49,85,30,1804,701,266,2280,604,510,246,370,442,86,5511,34,9,27,32,44,29,18,26,6,233,57,47,40,61,86,39,31,36,11,407,24,27,12,17,21,11,0,15,4,122,60,53,32,51,51,42,19,39,51,395,3260,5613,3013,1949,1911,756,562,866,284,18211
