LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA25060,508,632,306,348,526,153,63,114,39,2679,774,742,464,754,828,318,118,180,55,4244,1042,464,2815,908,886,451,443,606,140,7748,59,41,38,63,117,52,22,51,5,460,136,111,80,153,245,119,51,69,24,979,59,100,28,32,54,17,12,13,3,313,110,168,82,98,110,68,41,60,154,886,8638,18951,4804,4064,6154,2333,1074,1663,814,48496
LGA25150,149,138,92,120,147,43,34,41,5,758,200,203,155,365,268,77,56,76,15,1425,545,193,1865,606,562,233,467,424,108,4994,31,8,25,26,42,38,12,26,0,216,52,21,36,51,51,27,36,27,7,295,3,22,11,15,17,4,3,0,0,87,50,33,39,42,34,29,28,45,49,340,1698,2895,2401,1640,1530,574,700,713,221,12374
LGA25250,532,818,452,449,521,272,129,179,44,3395,924,1106,877,1266,981,444,206,358,90,6242,1033,676,3769,1369,1131,531,529,828,166,10025,52,45,65,111,132,82,23,51,7,554,159,151,108,188,263,109,71,87,19,1165,80,145,65,60,74,38,30,40,11,545,109,172,105,133,143,76,82,100,226,1148,10641,30716,7622,6988,8250,3302,1920,2896,1175,73512
LGA25340,838,873,437,579,606,300,67,133,64,3904,1024,936,670,1373,918,484,115,291,63,5883,2372,726,7208,2194,1596,1004,832,1512,291,17737,110,52,102,142,146,122,28,106,15,832,225,120,147,243,263,155,66,108,17,1342,71,81,38,34,49,28,12,24,6,345,193,169,159,191,174,137,63,155,151,1399,9105,14360,9505,6317,5437,2956,1317,2709,851,52553
LGA25430,77,105,39,66,51,29,7,24,10,403,89,116,80,145,79,32,11,32,7,598,181,82,613,222,160,89,124,174,22,1663,15,7,13,16,9,9,8,24,3,101,22,10,17,23,18,12,8,12,0,110,8,13,3,7,5,0,0,3,0,36,22,21,12,21,12,10,15,19,9,140,945,2205,949,758,570,267,190,364,96,6340
LGA25490,154,68,24,56,42,13,3,25,4,390,142,72,35,155,75,16,6,48,3,556,501,67,654,238,150,103,166,286,41,2196,23,3,14,26,25,17,8,23,0,146,40,3,10,13,14,11,4,16,0,123,6,7,4,0,5,0,4,0,5,35,68,19,15,32,11,14,5,24,21,220,1338,1265,830,667,450,199,215,486,98,5540
LGA25620,89,74,28,45,39,26,6,15,6,335,101,64,54,128,85,25,17,36,4,517,293,66,771,222,159,78,161,216,30,2005,19,5,10,10,16,11,3,16,0,85,18,5,16,19,19,13,10,6,5,111,7,4,6,0,4,0,0,0,0,18,23,17,19,28,16,15,14,12,15,166,849,907,965,607,458,188,230,352,81,4640
LGA25710,381,458,146,276,291,101,28,53,19,1754,473,410,276,453,417,154,57,81,28,2334,980,324,2722,652,638,293,302,388,84,6379,30,16,41,39,82,38,12,24,0,292,97,68,54,94,155,62,12,33,8,581,30,65,23,24,27,11,5,5,4,195,51,72,50,49,78,31,16,40,57,433,4750,8498,3742,2406,2887,1041,517,778,323,24947
LGA25810,63,40,17,61,17,8,5,8,3,224,59,35,29,112,44,14,6,21,0,331,241,54,332,262,103,61,111,181,19,1369,17,4,5,17,8,9,7,21,5,88,18,8,5,12,17,11,5,17,0,91,4,9,0,3,6,0,3,10,0,29,19,17,9,17,8,16,16,20,6,128,581,599,443,558,278,126,164,357,47,3151
LGA25900,571,745,220,256,339,181,42,91,53,2498,820,825,475,660,602,358,83,152,61,4033,821,469,1791,634,602,357,174,318,95,5259,66,53,25,51,70,51,15,30,5,353,141,152,72,96,169,101,23,34,18,802,71,149,43,29,43,29,8,31,17,419,124,201,41,69,90,50,32,45,131,777,10631,21857,3798,3685,5150,2589,698,1316,857,50586
