LGA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA20110,35,90,341,434,508,443,137,24,3,2010,113,79,124,115,131,196,122,25,0,904,32,13,22,29,39,53,28,6,0,233,5,14,12,12,16,11,6,4,0,79,183,199,503,592,694,703,295,52,5,3230,4,5,13,9,8,13,4,0,0,50,4,0,4,3,3,9,0,0,0,28,12,9,17,14,13,16,5,0,0,80,196,208,518,602,704,724,299,52,5,3313,136,31,47,56,89,272,650,395,136,1803,29,27,39,43,60,79,56,38,18,395,359,265,605,702,850,1079,1008,489,156,5513,12,64,194,226,329,262,59,9,0,1156,121,99,210,326,342,383,144,12,0,1637,26,19,49,36,38,54,26,4,0,245,7,10,11,8,13,8,3,0,0,58,165,191,460,597,718,707,228,22,0,3097,0,4,4,5,7,8,0,0,0,25,4,0,0,3,3,7,4,0,0,23,6,0,4,9,10,12,4,0,0,53
LGA20260,60,133,395,328,370,367,118,21,3,1793,83,54,93,67,77,101,84,19,0,575,13,3,20,22,26,26,10,3,0,124,6,8,4,4,11,17,4,6,0,63,147,193,510,425,477,516,225,46,7,2551,3,17,9,11,21,13,0,0,0,75,3,0,3,0,0,0,0,0,0,17,12,25,12,13,26,15,0,0,0,96,158,221,525,444,501,527,228,47,7,2650,114,57,235,249,260,339,597,363,133,2357,11,19,58,38,52,60,40,40,12,327,290,293,818,732,814,923,863,457,154,5334,28,97,216,183,282,196,53,4,0,1059,101,84,189,217,216,249,86,8,0,1145,6,12,30,32,29,38,23,0,3,166,5,7,6,4,5,7,9,5,4,53,128,195,445,432,533,492,166,17,4,2419,5,6,12,6,8,3,0,0,0,39,8,4,4,3,3,8,0,0,0,41,11,14,13,11,11,15,0,0,0,80
LGA20570,479,1505,4668,4498,4232,2898,527,38,5,18850,990,936,1190,762,749,940,574,90,3,6242,141,119,200,127,162,257,81,10,3,1113,32,52,114,59,63,50,22,4,0,395,1640,2613,6170,5449,5210,4147,1206,151,11,26600,64,141,252,164,138,126,13,0,0,903,179,89,91,52,43,57,29,4,0,535,239,231,346,214,176,179,43,6,0,1437,1882,2842,6516,5667,5389,4322,1250,160,11,28040,1465,503,759,656,870,1646,3955,2641,871,13365,156,208,418,315,331,302,297,231,143,2391,3508,3558,7689,6634,6584,6276,5499,3027,1030,43794,177,962,2706,2357,2690,1721,227,16,7,10858,1363,1500,2458,2885,2479,2153,584,43,0,13465,181,202,555,333,215,279,82,11,0,1870,29,36,79,47,48,34,19,11,8,309,1753,2699,5807,5630,5431,4191,920,72,14,26502,45,69,125,92,92,57,8,0,0,485,197,93,126,115,86,82,16,0,0,716,246,160,250,206,183,138,22,0,0,1198
LGA20660,263,1264,5218,6469,5715,3654,873,64,4,23531,861,1199,1155,957,1014,1076,752,155,14,7185,159,170,214,189,165,227,102,24,3,1261,12,56,90,90,66,42,15,0,3,374,1297,2695,6681,7700,6968,5001,1747,242,30,32353,34,100,223,188,191,116,23,0,0,882,280,130,85,60,52,60,42,4,0,713,321,230,306,248,241,178,65,4,0,1593,1619,2924,6987,7948,7208,5176,1814,246,27,33948,1903,558,670,577,778,1608,3882,3094,1152,14225,104,144,330,308,239,223,192,138,101,1783,3621,3625,7983,8836,8224,7010,5883,3487,1279,49949,54,783,3939,3500,3554,2199,375,15,0,14435,1204,1573,2140,3396,3085,2444,786,74,7,14703,175,222,617,500,209,270,134,7,0,2139,9,36,77,64,50,28,16,10,5,287,1442,2619,6769,7467,6900,4941,1314,111,7,31568,20,67,123,102,89,63,0,0,0,474,256,111,96,117,114,85,27,4,0,809,281,180,218,221,199,158,32,6,0,1286
LGA20740,106,321,959,1186,1236,1066,262,17,5,5156,266,184,276,299,382,570,361,72,8,2409,67,33,65,76,72,141,69,6,4,538,22,14,40,29,41,41,21,6,0,222,462,546,1340,1593,1733,1818,712,106,14,8331,19,19,46,46,49,65,8,0,0,254,27,16,17,14,19,42,8,0,3,138,40,40,62,63,71,104,17,0,3,394,499,584,1404,1652,1808,1920,730,106,11,8725,382,116,184,230,363,1003,2558,1517,395,6743,50,42,113,142,168,198,235,164,96,1206,935,744,1699,2025,2339,3122,3523,1787,504,16670,44,165,605,589,738,600,95,8,0,2845,319,275,587,863,944,1077,353,37,0,4452,88,39,138,140,83,174,44,5,5,712,14,13,34,25,42,18,12,6,0,157,465,488,1353,1617,1809,1868,501,57,7,8170,10,12,28,13,24,19,0,0,0,99,23,10,21,18,21,47,7,5,0,159,34,30,41,30,48,67,10,5,0,263
LGA20830,245,765,2317,2147,2147,1739,439,75,6,9892,427,276,364,344,367,535,412,111,12,2846,59,46,86,75,95,133,49,10,3,555,24,35,73,63,47,44,20,7,0,316,745,1127,2843,2629,2663,2450,921,206,24,13603,27,59,81,51,58,68,9,0,0,357,71,28,21,17,21,29,14,5,0,197,101,87,98,67,76,94,24,3,0,558,849,1209,2941,2697,2737,2546,941,211,24,14160,658,166,266,277,365,843,2328,1583,455,6939,77,74,164,212,204,199,191,141,63,1327,1590,1455,3377,3186,3304,3583,3461,1935,537,22429,93,451,1255,1034,1252,869,171,19,0,5150,637,576,1152,1294,1334,1264,370,52,4,6689,60,80,302,147,113,181,64,3,0,953,17,27,48,46,38,24,14,10,0,213,806,1129,2758,2520,2744,2331,614,85,5,13000,26,25,41,20,45,30,0,0,0,193,81,29,60,48,40,38,7,0,0,305,108,53,103,71,86,65,12,0,0,497
LGA20910,119,745,2522,4134,5729,3919,950,107,3,18237,979,1163,525,504,741,1030,933,278,21,6171,167,152,111,96,128,148,92,18,4,921,13,20,57,58,63,36,17,4,3,275,1272,2087,3208,4798,6666,5139,1985,411,32,25602,12,73,116,98,166,136,31,0,0,642,222,89,31,12,27,43,26,8,0,464,232,167,156,111,191,173,60,8,0,1108,1510,2253,3362,4904,6857,5317,2040,423,33,26702,2002,453,289,323,519,1230,2926,2515,1079,11334,81,64,153,207,263,158,162,158,116,1363,3596,2766,3806,5443,7639,6700,5125,3097,1225,39406,29,547,2098,2532,3724,2096,363,31,0,11420,1238,1253,896,2058,2773,2331,958,124,6,11643,233,183,282,336,195,221,90,14,0,1553,13,33,59,53,65,51,12,7,3,290,1519,2019,3330,4976,6755,4696,1429,178,10,24912,4,25,60,58,82,66,8,0,0,306,246,61,47,75,108,84,21,0,0,653,255,88,109,134,194,147,32,5,0,955
LGA21010,62,156,418,405,484,498,186,27,6,2242,103,54,82,64,74,179,126,26,4,714,7,8,19,24,20,43,18,4,0,147,6,9,20,7,20,19,5,4,0,97,179,224,543,506,594,727,350,64,3,3200,5,8,21,3,21,17,9,0,0,86,12,5,5,4,7,8,10,3,0,45,18,16,21,9,29,27,14,3,0,133,197,240,567,511,626,758,362,65,3,3329,159,49,72,68,111,272,704,545,185,2168,37,25,60,60,67,84,90,53,25,509,396,320,693,637,805,1118,1157,662,219,5999,21,98,217,206,329,280,74,8,3,1235,114,102,209,263,284,386,144,21,4,1520,17,13,57,30,37,39,18,5,0,219,8,3,14,3,18,11,4,9,0,72,166,211,495,507,665,721,248,35,8,3054,4,3,8,7,7,3,0,0,0,33,13,8,6,3,5,15,3,0,0,59,21,9,13,13,13,18,3,0,0,89
LGA21110,98,1562,6642,6880,8069,5686,1427,162,8,30537,1444,2531,1762,1109,1121,1457,1346,371,31,11169,285,332,257,186,153,198,123,22,6,1564,26,56,130,104,91,59,23,7,0,506,1852,4484,8796,8278,9437,7400,2916,569,50,43775,22,152,253,195,205,186,39,9,0,1068,378,296,131,56,56,75,54,19,0,1047,396,445,388,252,261,267,90,22,0,2121,2244,4927,9176,8526,9699,7664,3007,591,48,45894,3728,1136,842,641,979,1988,4195,3565,1646,18718,123,159,403,305,335,264,213,188,126,2121,6100,6229,10424,9469,11016,9915,7420,4347,1820,66732,35,1321,5849,4660,5422,3219,602,34,0,21151,1853,2909,2375,3333,3925,3287,1371,224,21,19301,311,352,524,461,275,264,139,19,3,2350,18,59,89,89,76,42,17,12,0,415,2219,4649,8838,8542,9706,6818,2128,288,27,43216,13,74,156,136,148,98,7,0,0,630,419,203,125,139,155,118,34,3,0,1196,432,284,281,270,310,219,38,4,0,1832
LGA21180,294,2018,8153,7581,6503,5031,954,40,0,30591,1068,2110,2933,1716,1568,1501,619,82,6,11610,132,199,362,275,253,294,109,16,0,1645,49,174,436,260,210,158,39,3,0,1325,1545,4509,11891,9833,8540,6980,1730,132,8,45166,102,335,641,529,434,358,47,0,0,2444,397,274,212,112,120,178,50,4,0,1351,502,610,851,639,554,536,93,4,0,3795,2046,5120,12742,10478,9090,7516,1821,145,6,48961,3260,1411,1864,1776,2027,3291,6517,4126,1226,25494,342,528,1337,984,733,591,491,375,157,5537,5640,7056,15946,13239,11849,11396,8831,4643,1391,79991,92,1399,5131,4067,4057,2381,318,9,0,17446,1480,2371,3428,3453,3293,2481,556,47,0,17113,198,287,681,467,342,309,93,12,0,2379,49,141,262,162,148,83,28,0,0,863,1812,4200,9505,8147,7842,5255,987,63,0,37809,55,189,356,277,344,216,26,0,0,1452,387,264,304,272,307,270,30,3,0,1849,448,456,664,547,649,484,59,3,0,3303
