LGA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
LGA20110,1077,882,369,77,415,491,124,213,1009,119,800,6384,301,10335,23,17,3,0,5,8,0,3,14,0,15,105,7,182,115,44,41,11,32,54,9,21,56,15,61,267,10,555,53,9,16,6,29,30,9,4,15,11,22,137,7,286,90,16,39,8,58,60,16,14,28,17,41,122,9,340,0,3,0,0,3,5,0,0,0,0,0,3,0,15,6,13,0,0,5,4,6,0,3,0,10,138,5,188,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,5,61,8,74,8,14,3,0,6,8,0,0,6,0,11,90,0,132,0,5,0,0,0,0,0,0,7,0,0,49,0,57,297,116,118,25,140,165,36,46,136,42,166,1024,55,1878,38,10,11,6,11,20,6,9,24,0,20,131,795,1018,1415,1010,495,113,568,679,159,269,1166,158,989,7539,1146,13235,434,523,146,4
LGA20260,1241,1078,382,106,541,543,106,278,1191,128,877,4908,851,9720,19,15,5,0,15,12,3,9,15,5,26,141,47,254,79,22,24,8,35,34,5,18,23,13,34,97,27,282,26,14,10,5,19,18,4,6,11,3,17,43,10,114,23,4,5,0,11,10,0,3,10,0,9,32,30,110,3,0,0,0,0,0,0,0,0,0,0,20,20,51,4,3,0,0,10,3,0,0,5,0,7,103,26,153,0,0,0,0,0,0,0,0,0,0,0,84,11,95,0,3,0,0,3,4,0,0,4,0,4,146,35,199,3,0,0,0,0,0,0,0,5,0,6,30,10,50,0,6,0,0,0,0,0,0,6,0,5,14,15,37,155,75,47,19,99,72,14,29,71,15,103,712,238,1342,45,20,16,0,24,13,3,14,33,8,27,79,626,814,1438,1165,444,123,663,634,116,319,1296,151,1007,5694,1716,11880,407,536,130,10
LGA20570,10218,11861,3341,674,4856,4382,893,2334,13686,1138,9647,52043,3818,95207,143,123,49,15,70,51,13,33,144,11,152,582,32,1122,615,348,201,66,280,316,45,183,416,62,420,1285,102,3011,290,95,101,32,136,162,23,78,131,38,149,501,31,1198,195,60,57,33,132,122,17,37,82,29,103,335,26,821,22,26,6,0,15,13,6,3,22,0,25,257,9,351,56,90,26,0,82,40,4,9,62,13,88,1091,25,1439,8,20,12,0,20,13,0,3,29,7,52,822,12,967,35,64,10,4,116,40,7,7,43,3,89,2248,52,2626,65,68,26,0,31,17,8,10,93,4,73,403,12,674,28,42,11,3,26,17,0,5,43,0,48,438,16,632,1457,934,498,159,907,799,118,367,1064,170,1203,7962,315,12846,232,147,68,27,109,119,23,62,152,27,115,421,4677,5702,11913,12940,3912,860,5869,5299,1036,2766,14901,1338,10962,60423,8811,113763,3442,6161,1083,17
LGA20660,7775,8815,2871,649,3097,3235,765,1340,9508,767,8419,56831,3112,91428,155,192,59,6,80,63,18,17,188,17,167,1002,52,1703,632,349,221,82,251,321,61,116,453,93,500,2196,103,4196,217,83,86,33,94,117,25,44,144,23,160,944,46,1646,1207,291,347,263,710,640,147,155,496,179,777,2511,188,5663,202,110,48,18,176,107,32,26,138,23,183,1316,63,2012,196,223,85,10,218,90,33,24,180,24,314,2661,87,3737,143,121,64,19,208,104,37,23,107,26,311,4020,107,5021,170,170,44,19,293,142,31,28,124,18,229,2973,81,3895,93,116,44,5,39,35,0,10,130,8,137,983,31,1449,99,103,33,5,104,35,13,9,73,16,107,1042,65,1538,3117,1758,1036,461,2178,1640,391,441,2038,421,2891,19650,814,30864,143,51,51,26,56,57,20,34,94,23,58,338,3283,3948,11037,10618,3957,1132,5327,4938,1179,1816,11641,1206,11367,76817,7205,126236,3175,5844,1208,19
LGA20740,4215,3226,1389,246,1723,1878,334,922,3745,461,2974,17472,1169,31517,92,68,42,9,46,48,8,23,76,16,63,341,27,666,638,281,192,43,290,335,49,153,281,83,294,1001,87,2512,171,38,63,21,78,108,18,39,61,24,93,340,25,757,137,27,48,21,118,89,15,28,47,14,66,292,28,679,10,0,3,0,7,3,0,0,3,0,10,42,5,69,18,24,9,0,23,12,0,3,16,5,31,329,18,443,5,3,0,0,9,3,0,0,3,0,9,129,0,161,24,14,8,0,31,15,0,0,3,0,21,255,5,348,37,20,10,0,17,9,0,11,28,4,23,187,3,291,35,25,16,0,16,22,3,3,23,0,28,122,6,233,1167,509,402,94,634,638,103,262,534,148,633,3032,203,6167,138,89,49,15,63,73,15,49,104,18,85,371,2335,3105,5524,3821,1835,353,2428,2592,457,1233,4383,632,3691,20873,3702,40789,1252,1550,398,9
LGA20830,5176,4958,1648,339,2263,2233,493,1147,5679,522,4455,27219,1792,47188,93,80,33,3,45,49,14,13,78,13,55,434,31,763,570,229,178,62,262,248,51,132,282,64,296,1016,73,2390,220,75,72,30,91,127,24,53,94,33,118,356,21,873,128,33,28,19,80,70,11,25,63,22,79,294,22,647,11,11,3,0,11,3,3,0,8,0,8,85,8,126,24,22,11,5,22,11,0,6,28,5,27,399,22,533,8,6,0,3,7,0,0,0,10,0,14,272,6,317,24,28,6,4,56,17,3,3,8,4,26,412,14,554,37,32,15,0,20,14,0,8,39,4,46,166,8,313,34,34,9,5,33,12,5,8,32,3,29,281,4,410,1141,545,366,127,629,554,114,241,646,148,710,3717,203,6928,133,70,47,8,79,86,20,38,74,21,66,314,2847,3521,6449,5572,2056,473,2968,2874,621,1429,6397,692,5237,31247,4840,57626,1959,2760,619,14
LGA20910,5461,5952,2671,642,1789,2771,513,934,5459,592,5539,46006,2438,70582,176,164,94,12,49,66,14,21,142,10,165,1171,62,1893,725,539,340,95,244,443,60,133,469,75,571,4437,233,7257,216,137,109,39,89,129,20,40,135,23,203,1641,72,2478,628,176,269,130,363,379,86,96,274,94,493,2306,121,4189,122,48,45,14,83,63,22,15,83,14,98,732,35,1144,70,117,49,13,69,41,9,14,73,9,148,1326,37,1793,75,78,50,8,119,58,15,6,65,3,159,2659,60,3207,100,77,35,19,138,69,12,14,64,7,134,1010,41,1483,93,111,41,11,35,38,13,8,135,5,137,1403,40,1910,104,138,73,11,66,46,5,15,125,7,136,1214,27,1807,2315,1586,1107,337,1254,1333,267,355,1561,256,2250,17901,718,27164,112,51,54,26,55,76,12,16,55,25,60,389,2863,3557,7887,7590,3833,1014,3100,4178,792,1309,7074,864,7849,64301,6016,101306,2361,4136,1371,13
LGA21010,1689,1445,525,128,810,792,195,438,1514,200,1145,6134,492,11878,19,23,12,0,12,8,0,10,18,3,9,58,5,134,101,43,31,9,58,57,12,33,45,10,45,184,11,440,48,18,14,10,25,34,0,18,22,0,28,94,12,238,29,13,8,10,14,10,4,0,17,8,19,46,7,115,0,0,0,0,3,4,0,0,0,0,0,16,0,25,4,3,0,0,10,7,3,0,6,0,3,68,13,98,4,0,0,0,0,0,0,0,0,0,3,34,0,48,0,5,3,0,8,0,0,0,0,0,4,142,6,164,9,4,0,5,8,4,3,0,3,0,6,34,0,52,10,3,0,4,0,3,0,0,4,0,3,19,6,41,223,110,64,30,139,127,26,66,114,27,118,696,58,1345,64,28,20,6,26,34,9,18,22,10,14,146,1040,1308,1980,1584,608,161,969,949,231,517,1656,239,1280,6971,1582,14528,572,682,166,3
LGA21110,7568,9679,3488,971,2371,3695,700,1091,9401,750,8992,70928,3291,108493,220,256,118,25,101,132,20,32,232,23,224,1681,68,2734,604,508,311,74,217,344,50,84,444,67,566,3310,133,5636,191,111,90,34,68,140,18,39,139,26,208,1387,53,2167,952,231,317,201,572,509,113,110,327,147,619,2424,149,5016,132,96,63,30,104,91,10,18,127,15,148,1439,43,2052,454,479,253,65,469,268,68,39,315,63,719,6498,178,9009,407,385,294,53,663,359,109,70,360,74,971,14302,225,17381,241,291,84,31,399,214,31,20,170,35,326,4728,96,6147,118,188,46,11,43,44,19,14,211,10,208,1919,53,2658,107,126,50,4,75,58,8,11,115,10,152,1054,48,1629,3423,2676,1621,532,2707,2159,455,442,2438,463,4142,38736,1045,54433,119,58,41,43,43,60,15,12,54,8,60,371,4306,4969,11111,12417,5152,1542,5119,5920,1165,1543,11889,1222,13194,110039,8646,167900,3558,7237,1923,32
LGA21180,4659,9050,1479,296,2750,1912,611,960,7241,532,6429,61178,3617,89271,228,333,61,13,372,104,44,38,204,36,209,3080,155,4384,367,236,147,46,219,198,38,99,249,52,207,859,64,1999,335,119,116,42,187,192,46,70,118,54,188,702,44,1546,4769,1127,1235,723,3623,2364,578,650,2134,668,2802,8343,689,20313,561,304,121,51,626,319,103,74,333,77,630,3620,222,5761,1425,2132,549,185,2966,887,392,188,1058,331,2977,26114,1452,36835,123,109,54,19,193,64,24,20,85,18,228,2458,54,3205,428,324,92,37,869,277,85,40,277,47,516,11540,343,13968,303,165,94,23,296,108,39,33,210,38,293,1413,78,2476,117,127,29,10,213,59,20,14,98,18,161,2384,118,3124,8660,4990,2497,1149,9572,4578,1382,1228,4766,1339,8210,60519,3223,93610,283,100,74,30,212,126,43,55,157,37,141,866,10179,11732,13597,14137,4053,1467,12525,6616,2036,2236,12156,1917,14781,122559,17018,194618,2911,6225,990,16
