LGA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,..,33,30,9,15,16,13,4,4,121,..,13,33,40,58,171,211,198,88,816,0,14,14,12,13,18,26,7,4,114,906,501,530,689,825,978,871,490,165,5949,..,6,300,721,904,1142,1129,521,116,4833,..,92,351,289,280,216,95,43,0,1366,..,8,31,97,140,68,31,28,25,430,1875,..,..,..,..,..,..,..,..,1875,..,482,..,..,..,..,..,..,..,482,..,266,126,49,36,27,8,0,0,520,..,38,15,7,11,31,30,22,15,159,..,31,32,8,6,8,3,3,0,93,..,64,94,25,26,42,28,7,4,285,..,24,96,105,154,337,401,288,125,1527,17,29,31,27,24,39,43,15,8,234,1895,1044,1075,1327,1585,1912,1769,920,291,11812
LGA20260,..,28,32,15,5,24,14,3,0,120,..,29,53,38,70,143,160,160,102,755,3,24,8,7,7,13,14,9,4,105,822,501,577,545,647,748,704,409,156,5108,..,15,308,528,654,819,902,436,98,3753,..,108,332,172,170,144,71,16,9,1025,..,10,79,113,133,78,40,21,17,483,1685,..,..,..,..,..,..,..,..,1685,..,319,..,..,..,..,..,..,..,319,..,316,122,61,57,20,4,0,0,578,..,60,31,14,17,30,27,28,8,208,..,31,51,16,9,5,0,0,0,109,..,66,91,34,16,49,21,14,0,293,..,55,125,92,173,315,325,247,144,1472,11,45,31,22,20,27,32,5,3,192,1698,1017,1166,1048,1253,1488,1410,776,271,10124
LGA20570,..,702,545,110,139,171,111,44,10,1828,..,249,780,599,805,1496,1847,1439,784,7999,129,228,141,69,99,96,75,40,18,885,9904,6439,7382,7059,6914,6609,5896,3312,1237,54750,..,175,4002,7335,7028,6960,6428,3257,656,35830,..,1415,4110,1999,1559,1057,461,161,12,10771,..,171,899,1408,1667,810,369,230,163,5733,20028,..,..,..,..,..,..,..,..,20028,..,4777,..,..,..,..,..,..,..,4777,..,3331,1518,547,409,203,38,0,0,6040,..,454,366,123,155,281,289,155,80,1903,..,416,353,109,63,55,28,5,7,1039,..,1343,1348,317,330,353,243,95,27,4054,..,459,1677,1290,1663,2545,2852,2019,1019,13525,253,392,329,164,178,170,130,60,28,1701,20281,12926,14593,13289,13062,12427,10847,5987,1992,105405
LGA20660,..,408,576,158,121,138,117,48,9,1565,..,126,653,609,725,1250,1647,1419,809,7222,109,146,140,90,87,102,64,47,32,823,10668,6368,7916,9015,8405,7552,6406,3864,1484,61671,..,63,4396,11147,10217,8674,7549,4200,936,47199,..,489,4344,2445,1613,996,514,123,17,10544,..,38,271,966,1594,1135,494,378,250,5120,21571,..,..,..,..,..,..,..,..,21571,..,7293,..,..,..,..,..,..,..,7293,..,3348,2757,816,647,342,54,3,0,7971,..,427,428,138,162,326,361,259,153,2252,..,233,357,117,62,64,30,7,3,880,..,823,1425,398,319,322,239,100,21,3645,..,228,1215,1234,1504,2184,2515,1959,1068,11905,234,266,285,200,178,175,118,73,50,1575,21804,13211,15482,17465,16300,14215,11887,7095,2496,119956
LGA20740,..,57,85,34,58,94,63,22,4,418,..,42,124,114,246,631,875,615,272,2926,35,58,63,35,36,93,78,30,3,429,2782,1475,1742,2034,2285,3188,3245,1643,490,18885,..,25,903,2040,2300,3345,3873,1891,303,14686,..,287,995,736,659,612,343,102,14,3753,..,22,207,374,453,260,154,85,60,1621,5687,..,..,..,..,..,..,..,..,5687,..,1269,..,..,..,..,..,..,..,1269,..,974,466,215,162,83,17,0,0,1915,..,97,62,27,46,90,114,72,54,557,..,66,85,35,29,21,23,4,0,269,..,113,178,76,107,177,141,56,12,859,..,98,291,313,574,1221,1487,946,412,5345,71,99,132,70,89,174,154,64,8,864,5753,3057,3321,3891,4413,5984,6313,3216,865,36814
LGA20830,..,73,111,35,34,72,58,28,6,427,..,67,224,178,272,634,794,628,292,3085,71,103,65,24,34,38,51,20,5,427,5051,2885,3512,3186,3397,3712,3291,1775,540,27345,..,94,2365,3579,3788,4348,4166,2161,357,20853,..,531,1957,1003,847,609,363,93,13,5421,..,47,345,578,682,355,149,112,73,2358,10215,..,..,..,..,..,..,..,..,10215,..,2455,..,..,..,..,..,..,..,2455,..,1827,844,280,217,101,24,0,0,3292,..,199,140,55,77,167,143,102,72,969,..,145,153,47,39,33,11,4,0,444,..,148,277,96,86,153,119,56,13,954,..,123,453,435,637,1154,1323,914,427,5473,143,187,151,65,83,80,103,47,14,873,10359,5760,6686,6143,6471,7006,6410,3496,961,53286
LGA20910,..,105,206,80,71,97,76,42,12,693,..,88,331,441,524,1037,1513,1372,907,6211,73,132,102,70,62,78,73,36,29,659,8336,5614,3904,6095,8260,6954,5527,3417,1498,49608,..,20,1834,7425,10930,9088,6722,3682,838,40539,..,214,2154,1687,1520,1008,561,182,26,7356,..,16,91,579,1304,842,266,182,202,3486,16805,..,..,..,..,..,..,..,..,16805,..,8114,..,..,..,..,..,..,..,8114,..,2379,1814,361,293,195,59,5,0,5105,..,201,161,54,97,135,199,178,139,1164,..,113,148,37,34,28,14,9,0,386,..,257,491,191,158,192,142,81,22,1538,..,191,650,821,1069,1676,2166,1809,1202,9584,147,261,176,119,131,138,118,53,32,1180,16953,11761,7527,11278,15540,13308,10242,6185,2462,95242
LGA21010,..,21,22,5,16,38,26,11,5,147,..,31,61,48,100,243,286,228,138,1130,22,19,16,6,9,21,22,6,0,123,940,573,630,654,852,1146,1100,632,218,6744,..,18,361,617,814,1190,1302,700,148,5142,..,124,324,231,226,204,132,39,8,1291,..,15,92,115,162,115,53,48,17,621,1853,..,..,..,..,..,..,..,..,1853,..,449,..,..,..,..,..,..,..,449,..,392,193,73,65,40,4,0,0,765,..,51,17,8,31,36,45,31,23,247,..,38,39,18,16,16,7,0,0,134,..,44,74,19,36,76,57,24,5,345,..,56,125,126,208,451,495,363,185,1999,48,36,47,22,12,37,41,11,0,267,1890,1220,1265,1238,1566,2172,2144,1227,387,13102
LGA21110,..,1009,1211,214,106,131,100,60,16,2852,..,355,1437,1035,869,1425,1971,1945,1230,10268,112,268,234,128,102,140,102,60,30,1177,12712,11245,10135,10514,12304,10311,7996,4924,2087,82232,..,72,4385,12741,16287,13881,10235,5280,1255,64137,..,849,5150,2198,1530,1036,535,172,38,11495,..,25,158,1068,2077,1208,415,312,273,5541,25798,..,..,..,..,..,..,..,..,25798,..,14010,..,..,..,..,..,..,..,14010,..,3315,3331,617,513,312,54,0,0,8154,..,726,653,171,153,366,409,312,249,3040,..,442,537,95,85,52,32,12,6,1254,..,2134,2821,496,266,290,224,102,41,6379,..,745,2554,1937,1661,2310,2816,2566,1625,16225,219,526,457,214,197,216,183,99,46,2145,26013,22844,20043,19544,22774,19673,14898,8859,3520,158175
LGA21180,..,324,673,214,172,242,140,51,16,1825,..,132,568,523,695,1180,1570,1418,669,6763,148,182,228,126,106,117,122,79,29,1132,15353,11255,13722,12422,12135,11235,9039,4613,1583,91359,..,497,8952,13972,13453,13690,11350,5144,976,68032,..,581,3692,2483,1704,1022,428,99,18,10030,..,119,961,2187,2989,2067,1120,647,365,10454,31595,..,..,..,..,..,..,..,..,31595,..,11545,..,..,..,..,..,..,..,11545,..,6552,7376,2332,1407,531,91,6,0,18285,..,1454,1600,609,725,1218,1104,655,355,7730,..,815,1397,516,376,348,126,25,14,3614,..,1048,2719,903,583,604,343,125,24,6351,..,290,1454,1485,1827,2361,2657,2050,947,13075,305,336,456,303,279,226,188,117,32,2230,31902,23231,28612,24791,23346,22070,17400,8870,2724,182937
