LGA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA20110,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,4,0,4,0,0,4,0,0,14,3,4,0,4,0,3,0,11,0,5,0,31,0,5,4,8,0,3,9,5,4,9,0,54,7,10,8,28,8,13,0,13,0,5,0,86,5,9,0,25,3,11,0,9,0,6,0,73,11,15,6,38,3,15,0,6,0,9,0,109,31,19,6,105,13,32,7,6,0,9,0,220,47,0,3,77,0,8,3,3,3,3,0,161,33,15,3,65,7,14,3,0,0,0,0,142,25,0,0,34,7,0,3,0,0,3,0,74,57,9,0,46,10,9,0,5
LGA20260,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,3,0,21,0,3,0,0,0,3,0,3,0,0,0,24,0,5,0,6,0,13,3,12,5,5,0,45,8,6,0,19,5,22,3,15,0,9,0,91,10,0,0,22,3,9,5,6,0,9,0,72,22,5,0,36,3,10,0,4,0,0,0,86,28,11,0,86,9,26,0,18,5,7,0,175,46,12,0,41,11,9,4,6,0,0,0,124,29,5,0,30,7,7,0,0,0,0,0,83,21,5,3,9,8,4,0,0,0,3,0,52,42,3,3,26,0,6,0,0
LGA20570,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,3,0,7,0,14,0,0,0,0,0,5,0,6,0,15,0,37,0,0,0,0,0,6,0,15,0,19,0,43,5,3,0,6,3,25,0,34,7,69,0,151,3,19,0,20,6,36,3,61,10,73,0,229,13,37,0,47,15,135,5,70,18,120,6,455,26,61,3,198,24,203,21,87,25,96,3,742,36,55,6,253,41,204,9,62,11,72,0,744,65,67,9,318,43,184,13,53,17,49,0,817,297,112,7,755,85,332,33,72,15,81,0,1795,386,91,19,728,105,131,28,34,6,33,5,1570,382,43,10,641,90,124,25,20,4,28,0,1373,345,26,9,322,53,45,14,11,10,8,4,838,821,52,23,739,111,192,12,26
LGA20660,7,0,4,4,0,0,0,0,0,48,4,66,0,0,0,0,0,0,0,9,0,11,0,19,0,0,0,4,0,0,0,6,0,16,0,27,0,0,0,0,0,5,0,3,0,6,0,19,0,0,0,7,0,3,0,12,0,21,0,44,0,6,0,3,0,10,0,15,0,23,0,66,0,12,0,4,0,16,0,37,4,45,0,133,4,21,0,15,3,42,5,49,3,49,0,203,7,33,3,37,3,109,9,52,8,101,0,371,18,58,4,102,6,133,10,88,10,104,3,529,19,47,4,112,24,182,13,56,15,88,5,567,37,61,3,217,20,189,17,61,13,93,8,719,205,124,11,654,69,409,37,105,29,157,3,1792,325,133,21,899,127,178,30,61,16,87,3,1871,437,86,14,922,124,250,25,46,14,70,0,1989,512,60,18,598,114,100,28,40,4,39,4,1514,2181,139,40,1969,306,662,49,76
LGA20740,4,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,18,0,0,0,3,0,4,0,5,4,13,0,25,0,4,0,3,0,5,0,9,4,22,0,54,4,12,0,6,0,21,0,22,6,22,0,88,8,23,7,24,4,46,0,43,8,48,0,209,20,40,13,65,8,54,7,26,14,38,6,285,17,33,8,83,11,53,8,21,9,29,0,260,37,37,3,108,15,65,0,19,6,24,0,312,92,56,9,225,34,73,13,24,3,23,0,557,88,48,13,196,25,30,12,19,3,13,0,442,91,19,3,130,12,29,7,7,0,4,0,319,82,15,5,76,15,13,6,0,0,0,0,206,155,14,7,142,21,38,8,4
LGA20830,3,0,0,0,0,0,0,0,0,14,0,22,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,3,0,3,0,5,3,6,0,0,0,0,0,0,0,12,0,25,0,0,0,0,0,3,0,15,3,12,0,41,0,4,0,8,0,12,3,19,3,24,0,82,8,12,3,22,0,34,0,24,3,37,0,136,6,9,3,46,5,53,3,42,7,51,3,230,20,41,4,94,10,105,6,40,7,42,0,366,20,23,6,131,25,120,13,28,9,31,0,417,45,50,6,192,22,124,10,25,7,34,0,521,167,59,18,468,75,206,17,42,13,46,4,1115,195,41,4,398,90,63,21,15,3,13,0,853,193,30,12,288,49,70,9,13,6,11,0,689,137,20,3,157,22,32,3,9,0,7,3,388,356,37,12,324,57,89,7,14
LGA20910,0,0,0,3,0,13,0,3,7,25,0,57,0,0,0,0,0,0,0,0,4,10,0,15,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,3,0,0,0,10,0,16,0,0,0,0,0,5,0,14,3,11,0,33,0,8,0,0,0,5,0,10,0,9,0,31,3,0,0,0,0,13,0,17,6,30,0,70,0,3,0,10,0,15,0,17,0,21,0,77,6,14,4,17,0,33,6,35,5,34,0,146,12,24,0,34,3,37,7,32,8,45,0,202,11,19,0,41,9,65,6,20,3,51,0,234,18,29,0,64,7,60,11,24,5,35,0,252,97,62,8,228,27,215,13,46,13,88,4,810,142,69,7,341,43,120,16,55,10,58,6,855,227,59,5,473,61,164,12,62,7,58,3,1126,274,52,6,361,51,70,16,29,8,28,0,884,2882,237,44,2660,351,1350,59,169
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,11,0,0,0,0,4,3,0,5,0,7,0,21,5,4,0,0,0,10,0,3,0,6,0,28,8,3,0,15,0,12,0,7,5,20,0,67,10,7,0,22,0,18,0,14,0,15,0,93,7,10,0,26,6,31,4,3,5,5,0,106,6,3,0,26,4,12,5,0,4,9,0,77,47,16,6,77,8,20,5,5,4,5,4,196,36,14,3,63,6,11,0,0,5,0,0,138,41,4,0,47,7,9,0,4,0,0,0,112,30,0,0,29,3,4,4,0,0,0,0,74,59,4,0,32,5,10,3,0
LGA21110,3,4,6,3,0,8,0,7,5,111,0,147,4,0,0,3,0,0,0,8,0,25,0,45,3,6,0,0,0,9,0,10,0,22,0,49,0,5,0,0,0,7,0,11,3,19,0,44,0,3,0,0,0,8,0,11,6,38,0,74,3,3,0,7,0,15,0,23,6,50,0,106,6,20,0,13,0,20,8,48,8,66,3,189,10,21,0,20,0,34,0,54,5,57,0,209,25,45,0,22,0,73,9,83,15,95,0,380,35,61,8,72,11,125,16,81,12,96,0,512,34,51,3,82,12,132,10,77,16,100,0,514,60,53,4,117,18,124,7,55,0,85,0,527,211,132,5,324,44,403,20,108,12,185,6,1441,234,105,16,550,49,166,13,88,6,119,0,1350,343,101,19,531,70,265,14,69,12,102,0,1524,446,57,3,479,67,127,15,40,10,72,0,1315,4524,389,67,3991,485,1811,84,299
LGA21180,3,0,0,3,0,5,0,4,7,198,3,230,0,0,0,0,0,6,0,12,0,27,3,50,0,0,0,0,0,8,0,24,8,71,3,114,0,7,0,0,0,8,0,31,3,71,0,114,0,9,0,0,0,3,0,49,8,164,6,243,0,9,0,4,0,44,4,120,14,151,8,354,5,30,4,3,0,130,3,171,30,287,3,673,15,53,6,30,13,306,4,234,26,337,20,1034,19,87,12,78,4,507,11,283,49,448,9,1524,70,136,16,264,33,551,33,262,56,431,17,1863,98,100,13,313,53,495,35,182,43,320,9,1657,181,110,17,383,49,451,20,120,38,288,6,1667,624,172,34,891,125,767,44,236,52,418,7,3376,700,117,19,903,140,410,38,138,32,246,7,2750,617,92,20,636,130,337,33,88,18,156,6,2132,506,44,15,431,106,145,21,38,17,85,0,1399,1306,78,30,800,162,413,38,87
