LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,3,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,13,12,11,27,21,8,89,11,45,51,96,66,114,79,37,13,505,283,769,622,1305,850,1079,1008,489,156,6562,0,0,0,0,0,0,0,0,0,0,242,643,497,1018,727,836,698,369,140,5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,5,0,4,0,0,31
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,6,0,0,0,17,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,10,0,0,6,9,8,3,0,0,0,17,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,3,12,15,9,101,12,38,36,96,57,71,58,42,14,425,293,646,584,1545,814,923,863,457,154,6273,0,0,0,0,0,0,0,0,0,0,271,528,467,925,588,677,635,371,182,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
LGA20570,0,4,3,13,5,3,6,0,0,34,4,10,15,46,25,26,15,3,0,138,0,0,13,87,18,9,7,0,0,136,0,0,3,6,6,0,0,0,0,17,0,6,15,10,10,0,0,0,0,45,0,0,0,4,0,0,3,0,0,13,0,19,14,52,19,16,23,7,0,152,0,9,9,26,13,11,3,0,0,60,0,0,0,8,3,3,10,4,5,38,0,3,3,10,4,3,3,0,0,37,0,25,55,177,71,74,68,53,23,551,123,353,337,680,329,324,325,209,103,2799,3324,7614,7058,14326,6584,6276,5499,3027,1030,54740,0,0,0,0,0,0,0,0,0,3,3102,6531,6178,12238,6118,5913,5121,2837,1421,49457,0,3,3,28,4,0,3,0,0,46,0,0,0,0,0,3,0,0,0,10,0,5,0,20,5,0,0,0,0,29,0,4,4,3,3,0,0,0,0,14,0,5,9,31,13,10,8,0,0,75
LGA20660,3,16,21,61,23,9,11,5,0,149,0,7,16,98,58,31,17,7,3,250,0,15,38,182,64,58,61,34,14,462,3,3,4,43,15,3,4,0,0,77,3,13,13,29,12,11,4,0,0,81,0,0,0,17,11,9,6,0,0,50,11,38,25,71,39,29,22,11,0,248,5,23,27,94,76,47,22,17,0,309,0,0,0,14,10,10,9,7,0,47,0,0,4,17,10,0,3,4,0,36,9,88,107,562,277,248,231,137,78,1728,84,194,218,588,230,218,208,152,76,1974,3625,7827,7251,16818,8224,7010,5883,3487,1279,61405,0,0,0,5,0,0,4,0,0,11,3263,6762,5568,11486,6181,5320,4361,2505,1224,46675,0,0,0,20,0,5,0,0,0,29,0,0,3,18,7,20,12,6,6,66,0,0,3,29,7,4,0,0,0,47,0,0,5,15,4,0,4,0,0,28,6,10,6,62,19,16,7,6,0,134
LGA20740,0,0,0,0,0,0,0,0,0,4,0,0,0,14,11,21,11,6,0,60,0,0,3,26,0,5,11,4,0,48,0,0,0,0,0,0,0,0,0,3,0,13,0,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,9,0,3,4,6,8,9,14,3,0,49,0,0,0,12,3,4,6,0,0,18,0,0,0,5,0,9,10,5,0,38,0,0,0,4,0,0,3,0,0,9,0,0,7,37,18,55,65,44,10,239,53,131,96,264,191,247,277,163,65,1493,920,2243,1679,3725,2339,3122,3523,1787,504,19834,0,0,0,0,0,0,0,0,0,0,850,1873,1414,3201,1955,2600,2575,1203,486,16162,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,10,3,0,4,5,0,0,0,0,0,13,0,0,0,9,4,6,5,0,0,29
LGA20830,0,0,4,8,0,0,6,0,0,19,0,8,16,34,17,17,6,8,4,105,0,5,4,36,13,9,5,5,0,78,0,0,4,47,0,0,0,0,0,53,0,3,7,3,5,0,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,7,7,14,3,10,22,3,0,60,0,6,3,19,3,0,0,0,0,38,0,0,0,4,9,9,6,12,0,34,0,0,3,14,3,0,3,0,0,23,0,10,15,81,51,53,75,60,16,366,77,204,143,398,224,240,222,165,59,1743,1764,3841,3046,6566,3304,3583,3461,1935,537,28035,0,0,0,0,0,0,0,0,0,0,1640,3290,2763,5837,2920,3106,2656,1379,573,24173,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,6,0,0,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,8,5,0,0,11,5,4,8,0,0,31
LGA20910,5,43,30,30,15,9,7,5,0,143,8,60,64,163,189,116,69,29,10,695,0,0,5,41,24,25,29,11,5,146,0,0,0,8,4,0,3,0,0,15,0,11,17,11,8,0,0,0,0,42,0,11,3,29,16,21,10,0,0,104,18,88,72,67,66,57,30,17,3,420,0,7,6,40,27,16,6,3,0,109,0,4,4,18,18,16,5,12,4,78,0,0,0,20,9,15,5,5,0,55,12,96,91,432,346,287,268,210,84,1822,37,225,140,327,254,170,165,140,89,1556,2208,6770,6359,9245,7639,6700,5125,3097,1225,48378,0,0,0,4,0,0,3,0,0,10,2097,5348,4833,6369,5539,4827,3803,2347,1417,36585,0,0,0,3,0,4,0,0,0,11,0,0,0,15,15,12,0,6,0,48,0,4,4,57,26,3,5,0,0,107,0,0,0,7,5,4,0,0,0,22,0,16,8,70,52,29,15,5,0,194
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,8,14,15,4,63,24,69,63,116,81,103,100,70,22,654,325,725,718,1335,805,1118,1157,662,219,7052,0,0,0,0,0,0,0,0,0,0,299,622,558,1120,748,1020,927,534,262,6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,14
LGA21110,13,80,73,119,69,40,35,21,3,460,0,25,28,149,102,79,64,32,8,488,0,13,60,240,129,103,70,41,18,682,5,20,18,183,54,26,39,14,0,357,4,19,24,64,7,4,0,0,0,133,0,4,3,31,16,20,6,7,0,93,33,106,99,134,72,47,43,23,5,562,0,31,105,213,214,184,95,30,14,888,0,0,3,9,17,11,13,7,7,69,0,0,0,22,8,12,7,0,0,53,18,107,137,562,266,234,185,165,83,1760,82,234,275,653,325,258,228,182,110,2352,3408,10377,12329,19894,11016,9915,7420,4347,1820,80517,0,0,0,9,0,0,0,0,0,19,3014,7963,9199,11290,7463,6508,4913,3143,1906,55398,0,0,7,46,5,0,0,0,0,59,0,0,0,19,5,10,3,0,0,34,0,3,4,54,21,4,6,0,0,92,0,3,9,14,15,7,7,4,0,63,0,23,22,90,46,30,16,7,0,236
LGA21180,0,9,11,40,5,24,18,5,0,104,3,5,15,33,21,15,7,12,0,102,3,25,92,444,121,138,70,28,7,928,0,5,3,34,5,6,11,0,0,70,7,9,24,87,25,8,0,4,0,155,0,3,6,88,85,92,52,26,5,365,4,18,26,48,24,12,7,0,0,141,34,297,779,3517,2509,2628,1188,324,97,11378,0,0,0,0,0,3,0,4,0,18,0,0,10,17,7,7,0,0,0,32,19,182,421,1583,932,1011,929,508,164,5748,323,698,761,2000,705,599,483,371,145,6089,5714,11785,12694,29182,11849,11396,8831,4643,1391,97491,0,22,48,93,17,13,6,0,0,206,4750,8764,7933,10769,4517,3591,2104,841,418,43689,0,5,18,108,28,12,7,0,0,174,0,0,9,154,120,158,115,60,13,629,5,0,4,16,9,3,0,0,0,38,0,3,6,29,31,28,26,9,3,138,0,6,11,31,3,4,4,0,0,58
