LGA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA20110,15,89,121,122,137,195,193,90,22,982,4,86,169,162,221,238,155,62,14,1118,7,60,178,188,218,250,139,30,3,1066,9,19,129,147,126,149,66,24,6,676,0,10,83,130,123,135,56,20,3,554,0,8,58,85,107,80,22,15,0,370,0,3,80,154,164,113,43,12,0,565,0,0,13,21,34,22,9,4,0,109,0,0,9,58,66,56,17,8,0,222,70,52,95,99,130,162,150,131,76,956,666,516,1194,1459,1760,2151,1982,1080,396,11211
LGA20260,17,93,127,107,106,129,126,82,22,809,13,88,207,139,143,158,102,49,12,912,6,55,200,116,175,149,96,40,12,839,0,33,123,114,100,121,48,11,0,560,0,14,91,93,104,100,51,11,5,471,3,10,43,68,79,81,22,0,4,303,0,0,59,86,127,85,25,3,0,383,0,0,7,13,9,19,18,0,4,75,0,0,7,19,14,33,9,5,0,94,51,77,273,269,274,220,201,137,76,1563,557,560,1438,1312,1520,1745,1644,915,371,10072
LGA20570,209,997,1369,1010,940,1024,1063,617,180,7405,124,1025,2017,1394,1288,1203,801,337,156,8345,53,740,2246,1765,1611,1426,683,224,43,8803,13,367,1660,1314,1242,1036,377,102,32,6151,6,137,1371,1205,1120,866,262,94,41,5103,0,60,806,1011,919,592,167,44,16,3607,4,55,958,1592,1566,998,229,36,5,5452,0,8,130,322,334,224,51,21,6,1092,8,21,145,461,625,363,147,58,14,1842,437,469,914,700,749,701,770,695,611,6044,6927,7198,15533,14072,13845,13314,11927,6743,2877,92434
LGA20660,110,698,934,875,880,1000,1177,698,240,6615,58,744,1393,1128,1183,1112,935,485,143,7183,41,697,2125,1611,1451,1346,998,369,86,8722,15,376,2076,1501,1358,1208,630,206,43,7412,7,172,1903,1758,1547,1155,476,176,38,7234,0,76,1290,1528,1273,898,310,92,26,5496,0,40,1967,3378,2760,1700,505,110,31,10498,0,6,317,921,780,445,123,34,5,2633,5,11,284,1456,1553,843,257,70,22,4490,228,345,733,688,653,566,625,512,459,4801,6832,7008,16254,18164,16921,14862,12694,7678,3400,103806
LGA20740,48,204,343,363,422,531,615,305,72,2910,19,176,448,414,487,590,464,178,46,2817,4,139,483,509,517,610,398,115,17,2788,4,57,344,376,353,408,222,69,10,1845,0,30,281,315,348,323,128,59,14,1497,3,14,145,225,238,242,84,16,3,973,0,7,176,369,431,350,107,28,0,1466,0,0,31,80,88,83,32,14,0,329,0,5,52,119,146,159,79,42,9,611,178,106,279,327,376,512,573,427,291,3077,1842,1427,3585,4242,4815,6672,7185,3641,1218,34626
LGA20830,91,417,600,519,553,545,632,311,96,3767,31,490,904,645,699,692,518,173,51,4206,27,303,998,751,842,800,400,136,19,4281,10,170,796,624,610,515,218,61,19,3019,0,77,679,589,472,446,159,53,11,2494,0,43,390,444,450,336,118,20,7,1804,0,41,478,666,702,535,125,29,9,2588,0,4,76,136,156,112,29,12,0,530,3,11,76,194,235,211,94,26,14,858,249,187,455,462,490,506,508,374,184,3415,3208,2884,7130,6567,6921,7577,7078,3940,1359,46666
LGA20910,82,435,363,387,584,700,864,595,231,4243,36,469,623,518,728,908,866,515,169,4828,24,434,850,722,919,1092,1006,489,148,5682,7,248,947,793,932,908,746,334,86,4996,7,117,895,800,1091,1004,566,256,79,4810,3,54,653,784,922,843,434,198,62,3946,9,50,1144,2157,2493,1833,702,295,107,8786,3,14,275,791,1067,695,261,105,29,3240,7,28,337,2522,4227,2286,712,272,93,10475,246,161,345,489,678,513,546,573,638,4206,6965,5212,7912,11814,16260,14041,11081,6937,3422,83632
LGA21010,26,78,126,123,148,185,197,111,38,1028,12,92,200,139,168,247,156,66,17,1101,17,82,185,174,197,230,129,24,11,1060,0,43,133,125,131,176,64,15,5,699,0,17,110,88,138,142,59,26,10,588,4,10,64,79,101,90,42,8,0,393,0,10,80,108,132,127,43,15,3,519,0,0,3,19,11,25,4,6,0,79,0,0,13,21,42,42,19,10,0,151,95,59,132,124,159,187,205,188,129,1289,739,608,1389,1350,1725,2350,2342,1392,566,12460
LGA21110,117,1029,1184,743,843,972,1294,838,347,7357,60,1035,1619,988,1080,1234,1303,778,295,8396,40,1127,2635,1371,1405,1475,1414,746,232,10442,12,671,2603,1325,1349,1289,991,510,165,8910,17,311,2538,1552,1523,1409,949,440,152,8883,6,123,1765,1427,1363,1244,658,294,121,7000,7,109,2758,3516,3422,2768,1166,456,161,14369,8,31,522,1409,1521,1037,388,142,62,5109,3,33,622,3747,5980,3509,1203,384,154,15630,384,452,908,744,900,776,668,685,707,6225,11950,12306,21044,20408,23812,20747,15917,9829,4961,140967
LGA21180,165,1394,2468,1989,1993,1733,1121,525,125,11520,143,1475,3712,2806,2805,2186,778,241,94,14245,52,1180,4218,2914,2820,2146,663,114,25,14144,23,628,2945,2248,1866,1450,413,62,10,9644,4,253,2262,1927,1587,1139,292,56,6,7527,5,110,1403,1397,1102,779,170,24,4,4995,4,69,1584,2199,1597,971,201,25,7,6652,0,11,206,422,328,208,53,12,5,1240,9,27,185,457,411,252,70,28,5,1439,841,1096,2705,2020,1624,1396,1245,913,551,12385,11131,13406,30553,26419,24555,23114,18308,9714,3664,160852
