LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA20110,3591,3634,7224,699,733,1429,176,193,369,953,977,1930,80,87,175,30,33,68,30,25,56,10,12,25,14,27,40,15,20,32,0,0,0,1309,1376,2687,141,136,276,32,35,64,2179,2281,4458,504,508,1015,6279,6418,12698
LGA20260,3095,3051,6153,663,725,1391,29,49,82,768,804,1580,24,36,66,22,30,53,19,17,33,8,12,19,17,12,26,0,0,8,0,0,0,894,967,1860,138,143,281,27,29,58,1725,1866,3593,1162,400,1559,5984,5317,11305
LGA20570,26317,28483,54806,3494,3758,7254,462,572,1037,15386,17016,32399,381,406,787,186,224,408,155,170,325,97,116,211,100,89,188,56,59,115,0,0,0,16816,18651,35471,1322,1323,2641,443,391,831,22072,24129,46197,3020,3132,6150,51414,55740,107153
LGA20660,35828,38306,74130,2570,2626,5195,458,522,984,13297,14370,27670,404,349,757,155,152,309,180,163,343,59,63,122,65,70,137,82,75,157,0,0,0,14712,15765,30478,2282,2364,4644,278,251,529,19836,21008,40843,2112,2095,4206,57777,61410,119185
LGA20740,9217,9593,18810,2492,2724,5219,131,147,275,4925,5230,10152,112,124,234,19,23,41,69,64,133,20,29,50,18,17,34,15,13,25,0,0,0,5302,5649,10950,243,316,560,122,86,211,8157,8781,16942,1533,1663,3197,18915,20035,38950
LGA20830,13800,14324,28125,2801,3076,5879,158,156,314,6898,7547,14440,154,188,346,33,49,85,65,45,108,29,38,63,32,30,60,12,15,32,0,0,0,7378,8071,15446,381,414,794,187,168,352,10741,11730,22470,1725,1798,3527,26275,27845,54116
LGA20910,27047,29800,56851,2844,3114,5959,395,451,842,10881,11741,22623,245,248,498,89,92,177,133,139,274,33,36,69,7,13,22,54,59,112,0,0,0,11840,12774,24623,2492,2664,5161,209,244,451,17394,18803,36197,1726,2082,3815,46171,50683,96859
LGA21010,3834,4058,7892,790,832,1622,101,102,201,1068,1178,2250,58,68,132,27,24,52,21,16,38,16,18,29,21,21,42,8,0,9,0,0,0,1314,1445,2757,108,107,214,24,26,56,2234,2417,4648,662,676,1335,6729,7151,13877
LGA21110,43629,48053,91684,3420,3667,7095,845,906,1749,19437,20604,40038,525,606,1131,296,317,613,409,419,829,118,124,242,88,79,170,117,125,240,6,6,8,21834,23184,45019,5420,6114,11539,338,324,660,31016,33293,64305,2458,2800,5258,77102,84143,161249
LGA21180,57929,59888,117814,3485,3315,6801,408,374,784,16148,15463,31615,277,292,566,180,168,351,151,146,295,58,65,120,64,44,111,54,42,90,0,0,0,17341,16586,33926,6433,6053,12488,561,488,1050,27821,26444,54266,6028,5519,11539,91775,91848,183622
