LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA20110,..,1528,1528,2053,98,2155,590,19,609,582,4,584,265,0,269,76,0,77,3567,1661,5222
LGA20260,..,1473,1473,1627,97,1722,528,22,551,470,6,476,228,4,232,83,0,82,2939,1599,4541
LGA20570,..,13525,13525,14019,1240,15260,6045,321,6367,5845,115,5964,2535,31,2571,949,22,971,29393,15263,44654
LGA20660,..,11903,11903,14735,955,15684,7548,321,7875,8435,143,8573,2700,45,2749,859,26,878,34279,13389,47666
LGA20740,..,5347,5347,6373,343,6718,1838,55,1892,1662,9,1673,753,0,756,279,0,282,10909,5757,16662
LGA20830,..,5467,5467,7546,351,7900,3006,46,3056,2927,21,2944,1425,7,1432,639,4,642,15542,5897,21441
LGA20910,..,9581,9581,11847,530,12376,5691,90,5780,7106,35,7147,2514,22,2537,511,6,519,27673,10264,37936
LGA21010,..,1999,1999,2276,143,2427,666,13,682,558,5,566,256,0,254,110,0,113,3873,2165,6033
LGA21110,..,16223,16223,18251,1663,19914,9186,564,9747,11190,260,11453,4112,88,4200,1150,37,1183,43878,18840,62715
LGA21180,..,13077,13077,17045,1339,18378,11412,525,11935,11346,295,11641,5115,130,5241,3617,65,3683,48529,15422,63949
LGA21270,..,884,884,942,57,994,272,4,281,219,0,218,122,0,122,53,0,53,1606,953,2555
LGA21370,..,4455,4455,5423,287,5709,1854,43,1894,1716,17,1731,876,3,881,410,3,411,10273,4812,15079
LGA21450,..,7656,7656,11366,714,12081,6837,116,6952,7708,36,7749,3350,14,3368,1805,0,1809,31061,8547,39607
LGA21610,..,17639,17639,28143,1919,30063,21562,524,22088,24973,234,25200,10926,70,11001,7340,31,7376,92945,20417,113365
LGA21670,..,2136,2136,1999,144,2135,629,8,637,515,3,518,228,0,228,113,0,116,3483,2294,5774
LGA21750,..,2864,2864,2974,208,3181,1032,38,1068,972,26,996,503,13,515,217,4,222,5690,3153,8848
LGA21830,..,1930,1930,2331,141,2477,724,18,740,625,6,632,385,0,387,182,0,182,4251,2089,6343
LGA21890,..,18201,18201,16917,2361,19276,8510,1129,9640,8190,507,8701,2450,145,2594,1001,69,1076,37065,22424,59488
LGA22110,..,6212,6212,7688,417,8102,2219,52,2271,1881,18,1894,891,0,895,391,9,403,13063,6709,19771
LGA22170,..,14700,14700,15680,1305,16980,8679,214,8887,8085,34,8122,3099,18,3120,1194,9,1204,36737,16282,53019
LGA22250,..,1447,1447,1633,95,1727,483,4,484,382,0,388,209,0,209,106,0,107,2806,1551,4359
LGA22310,..,16293,16293,16754,1751,18510,8622,487,9110,9546,246,9789,3180,85,3264,974,34,1006,39078,18892,57971
LGA22410,..,2588,2588,3011,183,3190,1038,12,1051,856,6,863,352,0,351,145,0,142,5396,2794,8190
LGA22490,..,1369,1369,2727,103,2828,1274,15,1284,1619,3,1625,802,0,802,376,0,376,6801,1491,8287
LGA22620,..,13374,13374,15099,1180,16273,6522,264,6784,6102,80,6182,2700,20,2719,1251,12,1265,31673,14932,46599
LGA22670,..,11502,11502,12697,1356,14051,9102,583,9686,8309,343,8657,4133,162,4293,3383,97,3486,37633,14036,51670
LGA22750,..,28649,28649,33449,2477,35927,14897,833,15727,14599,422,15016,5816,127,5941,2177,74,2248,70933,32574,103508
LGA22830,..,6901,6901,7787,551,8342,3463,154,3620,3354,51,3405,1589,14,1603,908,16,923,17106,7685,24795
LGA22910,..,2232,2232,2618,162,2782,770,15,783,638,4,638,285,3,292,117,0,124,4425,2413,6846
LGA22980,..,794,794,873,64,930,262,8,270,209,0,211,112,0,110,50,0,50,1499,870,2367
LGA23110,..,9118,9118,10474,745,11215,5722,156,5873,5740,70,5810,1880,24,1906,729,11,740,24545,10120,34663
LGA23190,..,2597,2597,2710,186,2893,1096,34,1128,959,9,967,478,4,480,152,0,152,5394,2821,8216
LGA23270,..,12954,12954,18512,1225,19733,14080,302,14378,15486,164,15650,7562,71,7629,5364,33,5395,61006,14740,75740
LGA23350,..,1725,1725,2539,104,2651,824,13,840,856,0,856,400,0,398,148,0,148,4774,1843,6615
LGA23430,..,16388,16388,18121,1200,19324,9925,292,10216,10429,133,10557,3343,50,3397,1037,24,1056,42855,18085,60940
LGA23670,..,12185,12185,17260,1095,18354,10445,195,10638,10827,74,10892,3810,30,3839,1507,10,1514,43837,13585,57422
LGA23810,..,9859,9859,9982,699,10683,4047,85,4136,3668,18,3690,1518,11,1527,706,9,713,19915,10689,30610
LGA23940,..,1022,1022,1109,80,1185,317,3,314,294,4,292,140,0,140,88,0,88,1946,1109,3049
LGA24130,..,3610,3610,6171,251,6420,2739,38,2773,3366,0,3370,1386,5,1389,483,8,492,14147,3910,18060
LGA24210,..,9008,9008,14016,573,14591,7895,157,8055,8480,85,8572,3107,43,3145,1176,24,1198,34680,9900,44574
LGA24250,..,1129,1129,1527,56,1586,407,13,423,410,3,418,216,0,216,66,0,65,2623,1208,3830
LGA24330,..,9996,9996,9688,1520,11207,4989,612,5604,4555,218,4774,1406,86,1495,570,50,622,21213,12482,33695
LGA24410,..,10719,10719,12998,849,13842,7079,168,7237,7402,56,7456,2709,31,2737,1008,7,1011,31180,11830,43006
LGA24600,..,30524,30524,21064,6909,27966,5737,1922,7659,2830,676,3501,616,169,781,264,62,326,30511,40254,70760
LGA24650,..,9052,9052,12993,903,13890,10524,141,10663,12378,40,12425,5492,15,5511,3357,7,3365,44745,10156,54907
LGA24780,..,6177,6177,6909,471,7376,2905,120,3019,2650,47,2698,1289,26,1323,659,26,692,14414,6868,21283
