LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA20110,341,57,396,1879,619,82,2575,7765,865,11211
LGA20260,327,39,371,1465,634,63,2163,6487,1423,10072
LGA20570,2426,440,2877,18761,6152,708,25623,61500,5313,92434
LGA20660,3110,255,3400,22878,6248,474,29603,70342,3862,103806
LGA20740,993,223,1218,5447,2225,200,7875,24054,2699,34626
LGA20830,1173,173,1359,9253,3384,394,13034,30733,2903,46666
LGA20910,3009,382,3422,18492,5238,378,24109,56202,3318,83632
LGA21010,474,89,566,1603,779,76,2461,8863,1137,12460
LGA21110,4497,419,4961,28851,7963,479,37291,98696,4976,140967
LGA21180,3190,435,3664,28054,8069,530,36653,112656,11542,160852
LGA21270,227,62,286,751,302,20,1072,3638,538,5241
LGA21370,1035,235,1273,5370,2151,202,7726,21846,2549,32122
LGA21450,1253,231,1494,23454,5616,757,29823,56383,5215,91426
LGA21610,3757,418,4207,71018,14933,1758,87709,179305,15179,282197
LGA21670,431,73,501,1536,713,85,2329,8197,980,11511
LGA21750,561,85,651,3154,1276,128,4562,12817,1316,18690
LGA21830,440,79,517,2193,911,76,3182,9157,1091,13433
LGA21890,3334,578,3949,23630,4867,452,28945,90734,6541,126214
LGA22110,1232,277,1516,5841,2520,275,8636,29238,3554,41422
LGA22170,2480,516,3017,24299,7279,868,32446,74217,6776,113444
LGA22250,359,50,409,1298,594,54,1952,6278,783,9007
LGA22310,3564,380,3979,27037,6158,505,33703,84063,5077,122840
LGA22410,519,71,594,2561,1126,103,3783,12023,1255,17065
LGA22490,232,22,258,4827,1276,147,6258,12158,1067,19477
LGA22620,2620,455,3097,19689,6955,712,27352,65157,6225,98733
LGA22670,3061,308,3400,22980,5324,384,28691,93272,8841,130795
LGA22750,5921,887,6844,44303,15053,1403,60766,149462,13061,223284
LGA22830,1419,213,1649,10347,3270,340,13959,36450,4779,55188
LGA22910,361,104,467,2164,887,90,3146,9910,1192,14251
LGA22980,227,55,282,701,254,33,984,3507,351,4851
LGA23110,1917,175,2115,16580,3591,314,20479,50070,3838,74390
LGA23190,589,61,656,3111,1209,150,4472,11206,1005,16691
LGA23270,2199,247,2473,42949,9064,833,52843,124524,11782,189145
LGA23350,350,44,394,2729,989,74,3788,9468,1071,14324
LGA23430,4009,347,4401,28213,7213,606,36039,89543,5341,130919
LGA23670,3103,418,3540,27638,8367,651,36662,90369,4958,131987
LGA23810,1637,301,1947,11088,4442,480,16014,42538,5077,63627
LGA23940,235,71,308,909,397,43,1352,4451,799,6602
LGA24130,760,124,893,9579,2718,295,12593,26288,2357,41232
LGA24210,4163,354,4558,21250,6485,356,28093,72758,3708,104556
LGA24250,216,21,239,1400,503,66,1965,5774,693,8430
LGA24330,1133,209,1348,13766,2432,262,16459,51045,4438,71946
LGA24410,2379,478,2883,21203,6140,562,27901,62377,3747,94018
LGA24600,1016,156,1188,11470,3202,192,14867,113403,11247,139515
LGA24650,1003,147,1154,36108,6746,766,43624,81623,10128,135368
LGA24780,1318,193,1526,8222,2789,323,11339,31004,4079,46427
LGA24850,650,73,730,8917,2294,306,11519,24998,2626,39135
LGA24900,899,151,1050,4044,1627,157,5822,17588,2061,25470
LGA24970,5444,713,6204,31317,7521,398,39237,113612,7961,160818
LGA25060,3023,232,3274,19924,5319,329,25572,72162,4549,102281
LGA25150,559,61,628,6699,2020,199,8916,19425,1703,30044
LGA25250,4161,485,4682,26621,5169,546,32336,105236,7277,144853
LGA25340,5037,934,6029,26027,10597,886,37513,94998,8930,141435
LGA25430,431,216,644,2829,1166,124,4123,11341,1944,17402
LGA25490,319,58,381,2804,1040,90,3938,9095,1043,14077
LGA25620,305,39,346,1960,746,72,2776,8996,1225,12993
LGA25710,797,72,880,11827,4102,338,16266,33348,1611,51226
LGA25810,275,108,384,1465,586,67,2123,6991,1038,10147
LGA25900,1152,296,1468,12960,3554,291,16797,66975,6537,90312
LGA25990,165,27,195,942,374,46,1363,4299,890,6546
LGA26080,158,14,175,346,294,0,645,2084,235,2965
LGA26170,743,103,857,4296,1872,203,6372,17231,1842,25444
LGA26260,518,67,585,2373,830,77,3280,9601,887,13766
LGA26350,2354,348,2749,13321,4144,232,17701,70056,4935,92690
LGA26430,363,62,433,1362,645,54,2064,6830,939,9835
LGA26490,591,145,738,7128,2189,225,9541,18932,1784,30258
LGA26610,505,92,597,2987,1104,103,4196,11505,1691,17396
LGA26670,171,50,217,800,379,25,1206,3563,495,5258
LGA26700,819,127,952,4461,1806,155,6419,16594,1588,24603
LGA26730,889,160,1065,5551,2129,224,7902,19502,1823,29229
LGA26810,893,139,1038,6288,2497,294,9078,25058,3745,37887
LGA26890,125,17,141,530,191,22,754,2253,327,3333
LGA26980,4769,663,5471,29228,6899,488,36610,99442,6347,142397
LGA27070,2806,498,3332,43244,9204,812,53259,117969,9453,180685
LGA27170,752,90,846,7327,2323,335,9981,22694,1889,34569
LGA27260,1588,242,1852,63797,9614,1120,74527,128365,14991,217884
LGA27350,1163,96,1268,10141,2968,226,13333,62774,4476,80584
LGA27450,2453,203,2677,28180,9365,1077,38618,83011,5403,127036
LGA27630,228,66,297,801,353,36,1191,3843,499,5538
LGA29399,3,0,3,63,12,5,80,542,243,869
LGA29499,17,17,29,695,281,39,1013,3668,3262,7946
LGA29799,0,0,0,0,0,0,0,12,27,38
