LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA26490,4337,8622,49,269,522,2362,88,390,2770,10868,3439,13889,201,835,439,1476,627,1971,1264,4284,4700,18176,9,34,109,339,14,49,406,994,536,1419,47,155,127,279,355,766,535,1195,1070,2608,82,161,10195,29569
LGA26610,2346,4696,38,234,190,942,47,222,1210,4860,1493,6251,84,353,138,440,376,1195,594,1990,2086,8241,15,74,65,241,34,104,347,972,455,1392,16,40,53,123,273,593,341,758,796,2155,103,215,5326,15310
LGA26670,938,1851,7,53,58,272,14,72,309,1248,398,1649,16,76,42,138,111,323,172,538,567,2182,0,4,7,38,8,42,61,144,82,231,8,19,14,32,60,125,79,180,165,414,11,29,1679,4468
LGA26700,3660,7305,45,246,334,1561,73,340,1609,6376,2062,8523,149,623,232,761,552,1737,942,3122,3002,11641,19,102,96,336,57,211,508,1327,680,1964,25,74,122,264,458,1001,606,1337,1295,3305,99,190,8054,22442
LGA26730,3959,7917,72,413,344,1575,91,433,1963,7637,2470,10049,174,743,282,941,727,2319,1185,4000,3654,14046,14,78,117,398,55,194,670,1713,861,2391,71,207,129,267,594,1310,787,1779,1650,4167,161,329,9426,26461
LGA26810,5690,11335,85,456,409,1949,153,680,2357,9367,3001,12448,202,827,348,1129,814,2570,1365,4526,4370,16975,20,86,126,448,76,278,692,1859,911,2675,66,215,137,288,646,1365,844,1871,1756,4544,163,337,11979,33189
LGA26890,555,1101,4,18,32,128,3,20,220,892,258,1061,16,51,20,68,66,209,105,331,359,1389,0,3,9,24,10,29,38,121,55,184,6,16,5,9,49,104,55,129,112,309,13,26,1034,2822
LGA26980,16427,33123,180,993,2198,9739,209,895,11458,43370,14048,55005,1294,5504,2877,10328,3410,11029,7581,26859,21628,81867,36,167,458,1468,95,328,1711,4199,2314,6166,350,1124,1155,2645,2573,5577,4080,9345,6392,15515,897,1894,45342,132396
LGA27070,18149,36843,504,2941,3104,14693,669,3131,18591,72316,22867,93081,1840,8042,2214,7927,5965,19999,10017,35969,32887,129056,158,739,742,2616,327,1230,3303,8976,4521,13557,581,1954,996,2339,4241,9738,5815,14032,10340,27585,967,2075,62337,195556
LGA27170,4545,9078,81,468,432,2043,128,570,2725,10645,3374,13725,204,837,288,980,762,2432,1257,4252,4628,17977,37,181,170,604,83,286,985,2668,1268,3737,82,272,192,421,676,1432,947,2127,2219,5867,163,332,11551,33254
LGA27260,19726,40230,735,4563,3953,18945,737,3629,29746,114337,35166,141472,1639,7201,2780,9694,4696,15634,9114,32527,44282,174002,234,1299,877,3376,360,1434,4409,12407,5875,18514,560,1973,1055,2469,3417,7796,5027,12239,10902,30753,1231,2732,76145,247717
LGA27350,11558,23006,19,89,461,2032,51,219,4050,14742,4575,17081,229,939,722,2440,736,2320,1678,5698,6254,22778,18,77,167,530,40,158,950,2290,1173,3062,82,254,372,820,965,2073,1423,3144,2598,6206,621,1276,21026,53266
LGA27450,16483,33091,338,1896,1896,8827,501,2317,10653,41558,13394,54597,1308,5625,1520,5266,4362,14229,7190,25123,20583,79721,72,287,450,1514,200,687,2078,5285,2796,7781,383,1242,634,1424,2660,5865,3673,8531,6465,16309,446,940,43981,130055
LGA27630,906,1801,7,51,68,328,15,72,278,1125,369,1582,14,65,46,144,106,331,166,536,537,2116,5,19,26,99,11,30,84,251,121,394,6,17,24,47,98,218,125,279,246,675,22,46,1715,4635
LGA29399,39,80,0,0,0,12,0,0,15,54,16,66,4,12,5,3,4,10,11,26,24,92,0,0,0,0,0,0,9,15,9,15,0,0,5,3,7,9,5,14,13,27,0,0,79,198
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
