LGA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA20110,12,32,28,14,28,24,15,19,3,171,20,28,26,17,32,24,7,19,38,214,475,1050,873,612,1017,1043,311,787,140,6320
LGA20260,4,23,28,9,27,23,3,7,0,132,10,22,9,14,22,25,3,9,44,157,293,720,520,471,866,1011,269,708,114,4973
LGA20570,114,310,244,146,373,338,92,187,22,1835,97,198,129,90,313,296,92,173,323,1699,2979,8364,6650,4696,10680,10317,3072,5645,703,53104
LGA20660,161,340,279,185,397,378,84,217,11,2049,94,276,234,149,413,489,99,229,307,2285,3405,9384,7322,5183,12195,14492,3886,7397,665,63920
LGA20740,56,134,96,52,106,104,31,60,12,643,60,106,59,37,82,103,26,48,144,670,1252,3050,2303,1514,2624,2981,739,1652,382,16498
LGA20830,74,177,135,96,233,252,57,149,15,1198,57,132,80,47,173,182,63,117,205,1063,1506,4131,3179,2218,4891,4978,1461,3709,528,26602
LGA20910,122,293,184,136,181,217,87,154,12,1376,81,336,214,112,266,476,133,344,267,2240,2476,8533,5584,3697,6841,10806,3337,8671,562,50508
LGA21010,3,48,20,13,34,53,13,26,4,217,20,29,24,9,41,45,17,44,63,281,366,971,756,515,1095,1168,317,899,173,6251
LGA21110,169,454,320,176,367,337,103,191,11,2138,140,456,295,178,504,723,137,459,459,3346,3916,14481,9766,6224,13818,19136,5439,13300,916,86987
LGA21180,281,586,632,256,736,584,132,203,53,3467,189,608,557,340,1356,935,190,289,1181,5653,4025,11780,10546,6392,20879,17058,3828,6268,2194,82979
