LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,33,43,82,558,654,1216,0,0,0,43,46,88,0,0,0,1253,1402,2654,30,28,59,25,26,51,34,44,78,5,5,14,21,26,51,0,0,0,6,17,25,35,43,72,113,109,225,0,8,14,8,16,21,230,331,565,130,141,274,10,8,15,2509,2907,5418,32,29,62,14,12,33,4,4,9,0,0,0,7,7,15,23,32,50,28,38,71,3321,3025,6347,22,12,36,10,22,35,3351,3059,6415,576,573,1156,6562,6671,13235
LGA20260,18,32,55,457,556,1015,0,0,0,35,34,63,0,0,0,853,1009,1860,31,34,65,17,19,37,20,41,62,8,0,8,37,45,87,0,0,0,12,3,12,16,20,40,133,151,284,16,25,41,11,12,27,378,431,808,76,83,157,4,3,3,2102,2461,4563,57,30,84,45,36,79,3,9,11,0,0,0,16,16,32,5,16,23,24,33,62,2752,2510,5263,13,6,16,10,13,19,2775,2530,5302,1257,467,1719,6273,5606,11880
LGA20570,399,479,873,3917,5116,9030,0,0,0,411,454,866,121,119,242,11027,13238,24268,336,466,806,225,237,458,124,163,290,43,67,114,210,256,471,44,33,77,127,155,279,365,412,775,960,1209,2169,89,139,224,78,107,185,2222,3182,5408,924,1101,2021,16,30,43,21237,26497,47729,732,585,1320,420,346,765,26,31,56,9,5,21,335,310,651,156,278,438,506,600,1105,27429,26607,54034,180,155,336,73,139,210,27688,26908,54585,3736,3589,7325,54740,59025,113763
LGA20660,974,1428,2400,3580,4769,8359,11,11,12,587,699,1286,45,49,93,14476,16845,31326,54,72,123,2762,2885,5646,48,79,130,42,50,95,172,218,387,156,137,290,153,193,353,334,387,724,753,859,1605,67,94,161,20,43,59,1118,1700,2814,1210,1491,2706,27,40,61,25613,30615,56230,1253,1066,2317,1568,1483,3045,83,102,185,6,5,6,157,147,311,196,294,495,360,448,807,27955,26367,54315,263,215,475,105,149,250,28312,26730,55038,3240,2975,6219,61405,64835,126236
LGA20740,147,239,390,2061,2516,4577,0,0,0,324,382,707,0,5,5,3143,3555,6696,11,21,27,176,175,350,44,65,109,18,21,34,43,55,95,11,7,15,40,53,92,88,104,184,364,389,752,33,53,80,24,26,54,592,815,1408,357,410,765,20,24,42,7342,8663,16007,93,68,162,39,34,72,14,16,33,5,0,6,42,34,79,44,79,119,93,110,206,10269,9912,20182,76,64,139,38,81,118,10377,10057,20433,1722,1766,3488,19834,20955,40789
LGA20830,182,279,462,2718,3398,6115,0,0,0,357,390,752,64,71,136,4526,5047,9573,45,72,118,123,125,251,120,143,260,59,53,113,55,77,133,6,9,12,253,271,531,191,221,413,737,862,1601,52,77,132,61,88,148,882,1170,2053,739,885,1623,18,17,37,11018,12986,24003,119,106,221,100,97,192,15,17,31,0,3,0,58,69,129,67,105,166,130,168,299,14172,13627,27796,83,89,178,26,59,93,14281,13776,28058,2190,2160,4352,28035,29590,57626
LGA20910,461,764,1228,5265,6712,11973,0,0,0,228,293,519,4,0,5,9794,11792,21584,32,38,70,1996,2155,4149,46,72,118,15,28,44,155,217,369,89,87,171,108,130,234,125,164,288,627,769,1393,9,20,36,18,24,39,1155,1549,2700,579,763,1339,30,34,55,20278,24829,45107,406,376,778,314,357,675,1415,1515,2928,5,0,0,64,52,120,98,127,226,172,174,344,22580,21999,44580,177,125,300,60,118,184,22818,22250,45069,2522,2667,5183,48378,52930,101306
LGA21010,29,41,68,757,960,1719,0,0,0,74,81,162,0,0,0,1226,1441,2665,4,3,3,24,29,50,18,18,35,6,18,24,35,31,67,3,3,13,25,19,41,61,65,120,223,260,481,19,47,65,6,14,19,348,440,788,127,157,287,0,3,3,2956,3591,6542,46,31,79,24,26,56,7,5,12,0,0,4,17,16,32,10,22,36,26,39,70,3199,2974,6171,19,17,30,8,17,23,3219,3003,6226,739,730,1473,7052,7472,14528
LGA21110,2308,3262,5568,5948,7379,13329,8,4,11,1103,1369,2472,0,0,6,15712,17822,33528,64,111,174,3526,3951,7478,53,74,129,47,50,93,225,286,505,162,172,336,226,305,531,423,535,951,1014,1158,2170,61,77,130,43,56,104,1836,2680,4514,1341,1789,3132,39,38,77,31815,37864,69673,2226,2063,4295,986,899,1885,739,767,1501,0,0,0,207,188,394,278,316,591,485,502,988,37463,37464,74927,347,296,641,89,203,289,37902,37957,75859,4049,4080,8131,80517,87386,167900
LGA21180,9643,11963,21602,2158,2456,4606,28,40,66,1643,1464,3100,0,0,0,27801,29750,57553,50,55,112,5771,5990,11759,292,370,661,285,282,566,132,173,299,770,838,1605,493,542,1030,866,998,1867,528,603,1129,58,72,132,164,159,319,663,910,1573,3619,3869,7490,50,45,94,45369,48607,93975,3583,2486,6070,7123,5902,13031,38,34,70,0,0,4,1979,1590,3568,209,246,457,2188,1839,4027,21697,19159,40855,168,121,285,78,124,204,21938,19404,41343,7608,6897,14502,97491,97124,194618
LGA21270,13,24,37,240,304,539,0,0,0,34,40,79,0,0,0,755,697,1450,0,4,5,6,9,12,0,0,0,9,5,7,8,12,30,0,0,0,5,3,3,8,4,13,85,85,168,0,8,7,0,3,8,379,431,814,62,58,119,4,8,15,1599,1664,3268,14,9,26,4,3,11,0,0,0,0,0,0,0,0,0,8,17,19,8,17,19,1194,992,2192,7,7,14,3,6,7,1208,1009,2212,329,270,602,3186,2991,6178
LGA21370,101,136,239,2225,2564,4793,0,0,0,174,200,377,0,0,0,3829,4310,8136,17,30,40,71,61,126,26,43,67,20,18,38,50,56,109,9,4,15,44,45,92,198,206,403,590,608,1192,32,81,110,14,14,27,1097,1424,2521,359,373,730,8,12,18,8756,10048,18796,71,60,133,74,56,135,6,5,11,0,0,0,20,20,37,17,40,63,44,60,103,8310,7714,16025,39,30,66,19,39,56,8363,7784,16145,1688,1479,3171,19105,19627,38735
LGA21450,1301,1440,2743,4073,5068,9143,0,0,0,1030,1181,2212,43,41,91,9957,11017,20979,91,100,185,597,597,1192,122,129,250,168,186,361,114,156,269,167,181,341,166,210,376,699,795,1491,756,924,1677,55,79,135,209,244,455,1024,1417,2444,1709,1951,3660,47,45,96,21028,24321,45348,1668,1566,3238,1619,1502,3119,49,47,93,9,5,14,1670,1430,3097,159,202,362,1834,1633,3469,26507,25283,51788,178,133,311,68,129,195,26758,25543,52301,4023,3873,7894,58269,59925,118194
LGA21610,8731,9531,18264,7900,9886,17785,15,16,30,2157,2540,4697,98,88,186,34604,37526,72128,190,265,460,4400,4468,8872,407,587,988,843,879,1723,262,311,574,1072,1122,2190,849,902,1744,3123,3450,6569,2030,2383,4419,141,188,330,603,683,1286,2132,2900,5037,6175,6832,13012,121,137,265,67128,75161,142290,11742,11092,22837,19899,18526,38427,129,153,280,14,15,27,7919,7146,15064,688,815,1504,8619,7976,16593,53907,49675,103588,352,261,608,178,263,441,54441,50201,104637,11345,10567,21909,182041,183195,365239
LGA21670,34,38,67,941,1089,2035,0,0,0,44,42,83,0,0,0,952,1087,2034,24,36,65,33,32,62,17,36,53,3,10,13,22,29,54,0,0,0,10,13,29,38,36,70,167,168,339,33,44,72,7,12,22,356,437,795,110,137,250,3,0,3,2758,3210,5965,26,19,45,7,3,10,3,3,10,0,0,0,12,9,17,26,42,59,32,48,86,3113,2895,6011,16,11,27,16,21,35,3139,2922,6067,646,583,1229,6650,6836,13483
LGA21750,87,89,174,843,1003,1844,0,0,0,88,102,186,0,0,0,2447,2516,4962,7,8,10,56,47,106,23,28,54,3,5,10,24,31,61,8,0,9,16,13,28,81,99,184,273,317,592,11,32,40,8,4,12,522,693,1209,175,213,384,4,4,9,4591,5117,9704,39,36,80,56,36,91,8,12,14,0,0,0,15,9,30,25,27,48,37,38,80,5367,4924,10286,18,23,38,10,16,31,5395,4961,10358,1005,916,1922,11224,11200,22423
LGA21830,25,30,53,693,814,1504,0,0,0,98,109,203,0,0,0,1762,1921,3685,4,4,10,15,25,36,23,27,46,0,5,5,34,51,78,3,0,6,4,11,15,36,30,60,355,373,735,5,17,23,9,3,9,560,690,1251,92,90,176,0,3,6,3692,4163,7854,11,12,22,11,13,26,3,7,13,0,0,6,5,7,18,13,20,32,22,29,51,3587,3062,6650,14,21,34,4,14,22,3610,3092,6705,737,654,1390,8112,8003,16115
LGA21890,1637,2257,3890,1828,2304,4129,20,34,55,303,364,670,3,6,5,14740,16941,31681,44,62,110,6496,6985,13482,121,211,333,31,32,63,91,121,212,108,117,223,115,158,276,210,257,464,392,497,896,54,77,129,39,43,73,521,787,1313,1264,1516,2777,26,29,59,26407,30532,56943,2178,1587,3767,3194,2941,6129,148,202,351,11,10,16,352,277,630,250,304,550,613,584,1199,32927,33466,66394,431,395,827,136,236,371,33491,34094,67585,4491,4216,8708,72162,76410,148570
LGA22110,128,204,334,2946,3395,6341,0,0,0,285,288,570,76,77,153,3255,3862,7117,10,21,27,75,81,154,139,173,309,22,22,44,50,73,119,8,7,19,52,42,93,222,268,494,557,586,1142,48,46,90,57,66,121,807,1127,1933,437,478,916,18,21,47,9043,10636,19683,67,73,142,61,47,114,9,15,25,5,0,11,40,45,85,56,101,158,105,150,248,12041,11290,23329,77,63,138,40,51,86,12156,11398,23554,2373,2243,4616,23948,24769,48715
LGA22170,647,1047,1696,5410,6800,12209,0,0,0,609,717,1324,0,4,7,11301,13038,24346,70,120,191,1433,1456,2883,205,262,467,218,237,455,169,190,355,94,97,190,180,238,419,511,657,1166,1029,1255,2282,61,81,147,110,126,234,1105,1627,2732,1630,2005,3630,58,51,113,24193,28951,53148,735,708,1444,614,563,1173,160,169,330,0,4,3,145,136,277,266,343,610,406,478,887,35864,34089,69951,258,231,485,135,255,391,36255,34575,70834,5022,4745,9760,68038,71240,139281
LGA22250,26,26,55,666,744,1410,0,0,0,155,151,299,56,43,102,862,986,1847,5,8,15,13,12,26,0,3,5,5,0,6,11,23,34,0,0,0,8,12,25,32,40,69,130,162,293,3,3,13,0,0,0,416,483,893,71,73,148,0,0,0,2438,2753,5187,9,9,22,10,3,12,0,5,5,0,0,0,7,7,16,9,3,10,16,14,31,2274,2046,4319,9,3,15,5,5,10,2290,2055,4342,534,501,1031,5314,5368,10683
LGA22310,1345,1813,3155,2990,3701,6690,3,0,3,364,448,808,0,0,0,11023,12924,23951,41,49,83,4065,4631,8688,107,139,248,30,31,67,126,173,302,122,130,252,131,172,315,185,275,462,513,599,1111,17,28,45,33,40,74,818,1253,2075,865,1182,2049,41,49,95,21480,25834,47314,3557,2949,6505,639,565,1200,12242,13344,25585,0,0,0,211,149,364,224,275,505,439,423,864,28077,27150,55229,296,233,524,96,145,247,28471,27530,56000,4050,4227,8279,72223,76690,148908
LGA22410,32,70,101,918,1112,2032,0,0,0,135,148,286,0,0,0,1279,1401,2677,13,18,32,33,31,62,30,55,84,14,10,23,154,206,359,0,10,9,23,14,43,87,102,191,354,361,712,15,28,46,9,19,28,658,777,1431,226,245,473,3,3,6,3952,4550,8504,44,40,80,18,12,22,3,8,8,0,5,0,11,13,19,19,40,57,30,50,81,4970,4486,9458,24,14,41,6,17,25,5009,4516,9527,964,862,1825,10052,10104,20152
LGA22490,47,62,103,935,1071,2010,0,0,0,166,174,341,0,0,3,2564,2581,5141,23,25,52,83,72,153,35,36,69,3,9,11,89,95,182,0,3,3,19,23,40,80,94,167,339,367,707,19,17,39,28,34,62,434,521,958,305,310,622,4,3,8,5129,5433,10567,12,10,21,30,26,50,0,5,6,3,0,8,6,3,7,27,43,68,38,45,84,6582,5790,12382,21,29,54,10,15,25,6617,5839,12457,905,796,1702,12776,12210,24985
LGA22620,637,800,1442,5218,6591,11814,0,0,4,1251,1452,2699,85,89,178,10721,12327,23050,68,86,160,206,175,383,124,139,264,74,93,164,163,208,369,63,54,116,106,135,241,574,713,1287,883,1031,1916,63,105,174,148,151,299,2516,3406,5922,1152,1405,2561,24,17,38,23463,28172,51634,444,381,825,401,359,759,24,34,59,9,5,18,222,180,408,126,229,359,362,418,780,28875,27912,56784,194,149,347,60,110,170,29126,28170,57301,4421,4251,8674,58884,62586,121470
LGA22670,11594,13531,25124,1833,2173,4007,7,8,12,661,732,1396,8,7,17,13869,14953,28819,113,104,224,3287,3515,6805,194,263,461,114,153,268,78,98,176,238,258,498,333,378,713,701,831,1529,599,691,1288,31,59,91,218,267,487,746,935,1680,2041,2252,4292,41,36,78,25112,27718,52833,4489,3552,8041,12177,10347,22522,100,83,185,0,0,5,2512,2077,4588,354,353,706,2872,2428,5302,17880,14963,32844,123,96,213,70,73,143,18072,15131,33201,5881,5118,11001,80293,77912,158208
LGA22750,1154,1621,2777,9505,12201,21704,3,0,3,2157,2580,4737,82,86,166,28098,32387,60484,150,201,351,2037,2085,4119,316,423,739,131,143,266,698,921,1619,80,76,153,286,332,614,728,900,1634,2259,2836,5093,202,279,480,117,135,252,4019,5890,9906,2984,3654,6637,91,109,204,53940,65231,119170,2164,1469,3630,2287,1733,4020,86,83,170,11,5,19,1010,839,1849,327,475,801,1346,1321,2667,60428,58570,118999,461,337,799,154,344,500,61048,59252,120303,9821,8500,18323,131854,139203,271057
LGA22830,297,379,674,2668,3243,5907,0,0,0,268,286,550,61,56,120,7324,7999,15322,47,67,118,416,387,810,107,157,266,57,69,129,64,91,153,38,44,77,108,96,200,335,360,692,712,820,1530,35,51,85,35,45,79,1350,1789,3140,775,870,1637,13,23,34,14420,16438,30856,511,464,973,2273,2074,4350,10,17,24,7,8,16,784,659,1445,89,126,214,886,787,1672,12338,11288,23633,66,43,116,34,60,94,12444,11395,23834,3191,2835,6023,34021,34388,68409
LGA22910,73,123,195,705,820,1520,0,0,0,39,51,90,0,0,0,1230,1333,2565,20,23,44,67,53,117,8,10,19,3,5,7,23,33,51,0,0,0,12,12,24,24,32,61,133,156,288,15,20,32,9,14,26,287,367,653,125,142,261,9,18,22,2708,3075,5783,29,29,64,23,17,40,14,8,25,0,0,0,5,10,14,35,66,107,50,76,120,4393,4186,8574,48,30,72,26,46,71,4463,4261,8725,804,857,1658,8156,8453,16604
LGA22980,42,29,75,254,304,563,0,0,0,79,67,151,0,0,0,236,320,557,8,5,3,0,3,9,6,4,5,3,3,4,296,294,583,0,0,0,11,4,18,29,31,60,52,40,93,11,13,27,9,10,13,360,417,783,70,77,148,0,0,0,1421,1604,3022,11,17,29,10,4,15,0,0,0,0,0,0,0,5,3,15,11,31,15,17,31,1107,920,2028,9,6,9,5,3,6,1121,929,2045,236,240,479,2857,2844,5698
LGA23110,821,1226,2043,2088,2803,4892,3,3,5,410,482,894,0,0,0,10852,12609,23456,57,54,107,2505,2620,5132,99,111,208,44,43,84,147,215,359,85,97,186,150,172,325,211,273,479,402,537,935,34,45,79,36,34,71,549,786,1337,987,1138,2122,20,17,42,18674,22039,40718,1161,975,2135,2406,2255,4656,43,52,93,4,5,3,314,244,564,119,154,271,437,402,838,17971,16878,34845,200,135,331,70,85,154,18242,17092,35334,2922,2589,5512,44694,46629,91322
LGA23190,40,60,95,706,925,1630,0,0,0,72,79,151,0,0,0,1334,1499,2833,121,151,270,28,26,49,7,16,22,6,8,21,697,774,1473,4,4,5,18,21,40,139,148,291,122,140,261,20,28,52,9,15,31,1039,1317,2355,179,213,394,6,8,11,4508,5381,9890,80,78,154,42,32,76,0,6,5,0,0,0,22,20,37,20,22,36,39,36,74,4520,4126,8647,23,18,38,8,24,30,4549,4164,8714,753,668,1424,10010,10419,20429
LGA23270,2785,3190,5977,3686,4790,8479,1451,1477,2927,602,659,1262,91,93,184,32394,34574,66970,84,102,184,3746,3812,7554,334,360,697,435,508,942,135,181,318,743,777,1522,369,418,782,765,851,1616,814,910,1722,104,132,234,144,154,296,1173,1590,2765,3410,3657,7069,52,53,107,50523,55096,105621,6116,5548,11664,23336,22864,46196,45,54,95,4,0,7,5813,5076,10891,311,347,661,6129,5427,11557,24527,21926,46453,191,143,335,101,127,232,24821,22199,47017,8259,7509,15768,122013,121890,243901
LGA23350,31,38,71,1071,1258,2330,0,0,0,72,88,160,5,3,5,1415,1615,3029,4,7,9,10,11,19,26,29,50,5,7,9,51,73,117,0,0,0,20,25,40,28,33,58,187,194,382,11,16,32,18,18,33,347,406,754,188,201,392,9,8,11,3454,3994,7447,19,12,32,0,10,14,4,7,8,0,0,0,0,0,0,17,25,37,17,25,37,4177,4015,8192,29,27,62,9,20,29,4219,4063,8280,840,634,1478,8586,8782,17368
LGA23430,1953,2493,4446,4830,6401,11233,0,13,12,574,646,1220,7,3,12,17336,19772,37107,85,134,224,4901,5337,10239,195,251,440,114,95,213,168,215,382,172,202,375,188,243,431,505,584,1086,917,1197,2121,30,62,99,56,94,144,1241,1826,3060,1304,1642,2945,43,48,87,32665,38760,71425,2461,2102,4563,1170,1133,2301,805,871,1674,3,0,4,439,350,791,248,301,546,684,656,1341,32400,31073,63472,230,158,391,110,202,314,32739,31439,64181,4176,4020,8197,76656,81476,158129
LGA23670,3147,3735,6881,4717,5968,10681,12,9,25,1707,1957,3665,91,92,187,13963,15989,29948,253,298,551,1927,1931,3853,131,188,321,243,290,526,263,341,606,355,332,687,385,452,832,1344,1564,2907,1239,1512,2748,131,179,309,212,213,426,1553,2090,3638,2581,3060,5636,146,177,326,31235,36636,67871,2852,2805,5662,1249,1213,2457,58,90,149,0,5,8,483,493,979,396,507,898,887,1004,1888,34119,31277,65397,213,196,411,131,235,364,34468,31703,66169,4041,3976,8025,77940,81164,159103
LGA23810,230,318,541,3433,4408,7840,0,0,0,313,363,680,55,66,123,6838,7859,14701,16,24,42,357,368,727,155,215,375,84,88,170,88,131,216,10,12,22,86,103,188,308,367,676,760,935,1697,71,115,188,55,65,116,793,1115,1913,702,833,1532,24,22,43,14140,17104,31242,170,158,328,312,265,581,19,20,40,3,0,8,77,70,146,115,152,267,194,225,420,19041,17788,36822,110,98,207,47,85,129,19196,17970,37162,3550,3454,7006,37817,39510,77318
LGA23940,18,19,36,468,530,1002,0,0,0,75,94,171,0,0,0,586,604,1195,21,32,53,9,16,21,0,5,6,3,4,9,13,9,19,0,0,3,4,5,14,19,25,51,114,124,239,9,8,16,10,3,16,297,304,606,63,68,135,0,3,6,1706,1849,3550,3,10,13,6,11,24,0,0,0,0,0,0,0,0,0,13,22,37,13,23,44,1671,1440,3111,6,6,13,9,8,16,1679,1460,3138,486,467,952,3923,3836,7759
LGA24130,125,171,300,2214,2763,4980,0,0,0,169,216,386,71,64,134,5590,5874,11468,35,57,87,184,212,394,33,48,79,20,23,48,77,100,177,11,7,13,42,45,92,132,132,259,391,431,823,13,24,44,22,26,44,720,1025,1743,400,441,840,13,10,18,10138,11493,21629,51,54,108,97,75,170,32,27,55,0,4,4,35,32,68,39,64,100,71,99,174,12866,12307,25182,106,82,194,30,68,102,13009,12462,25470,1825,1733,3562,25353,26111,51458
LGA24210,2319,3139,5460,3136,4003,7136,3,10,7,1360,1694,3057,14,9,25,11542,13166,24705,104,126,230,5090,5534,10624,61,84,148,55,57,111,236,286,521,405,410,816,351,412,764,639,704,1340,896,1042,1938,54,50,113,57,76,138,1139,1615,2753,1661,2058,3719,30,21,54,26842,31356,58196,1251,1163,2418,2158,2084,4247,169,179,344,0,0,0,342,345,686,347,397,745,687,740,1425,23701,22490,46191,114,105,219,79,98,174,23892,22684,46581,3001,3021,6021,60324,64374,124700
LGA24250,17,41,55,524,676,1203,0,0,0,52,30,82,0,0,0,824,909,1734,0,4,4,25,17,43,4,4,7,0,5,3,20,25,46,0,0,0,19,19,36,21,18,43,105,108,214,0,3,4,21,20,36,191,243,432,82,119,200,7,4,13,1893,2194,4095,10,14,20,14,10,24,8,11,16,0,0,0,6,4,12,13,10,22,14,15,31,2574,2404,4979,20,10,26,3,6,13,2599,2417,5023,456,455,913,5012,5165,10178
LGA24330,2971,3862,6827,1099,1338,2440,0,0,0,371,378,754,0,0,0,7650,8458,16107,49,49,98,1627,1779,3401,45,52,98,28,35,65,45,79,130,166,152,313,160,170,331,182,220,409,234,294,527,11,14,29,38,48,87,321,416,738,881,991,1874,14,11,26,12927,14501,27425,1691,989,2679,1922,1445,3370,62,62,124,0,0,3,113,101,219,134,154,288,257,253,505,19431,18484,37912,244,166,403,73,110,184,19742,18760,38497,3150,2625,5776,42713,42498,85209
LGA24410,1064,1476,2543,3608,4885,8498,0,0,0,2249,2519,4772,16,9,22,9278,10697,19980,282,366,648,760,876,1636,88,127,215,118,128,243,409,510,921,77,80,160,194,263,456,736,864,1600,870,960,1827,126,179,308,184,219,408,1295,1957,3251,1978,2290,4266,138,196,335,22419,27136,49551,1081,1078,2164,526,500,1020,50,65,111,0,0,0,273,269,538,273,347,617,544,616,1157,26769,25320,52086,205,166,373,79,148,235,27052,25638,52690,2957,2853,5805,55688,59351,115043
LGA24600,3935,5494,9425,2202,2369,4573,0,10,9,508,615,1125,3,3,11,9291,10204,19492,27,46,72,902,937,1838,34,53,90,44,43,93,118,144,259,133,137,272,301,324,627,416,542,962,586,637,1228,19,19,37,39,47,86,661,765,1423,1418,1886,3303,34,36,65,16742,18816,35562,5025,4087,9114,3004,2798,5800,299,294,594,3,3,8,269,217,488,310,354,668,584,581,1165,36859,35746,72602,510,392,894,151,184,332,37517,36322,73833,7322,6797,14116,74423,75195,149615
LGA24650,2247,2802,5049,3160,3895,7051,36,33,70,1023,1119,2142,87,69,153,23766,25651,49416,71,78,147,3655,3702,7359,358,428,787,380,370,751,158,220,374,1070,1082,2157,515,558,1074,1161,1325,2484,603,725,1323,51,97,153,214,306,524,926,1211,2133,3618,4041,7662,47,51,94,40905,44958,85866,4745,4508,9251,5704,5720,11419,31,24,58,0,0,3,4960,4471,9437,205,265,475,5169,4743,9910,22393,20676,43070,149,113,267,100,118,216,22645,20904,43554,7834,6019,13853,89280,89678,178960
LGA24780,570,524,1096,2162,2696,4856,0,0,0,161,171,333,0,0,5,5158,5857,11010,90,139,228,280,261,542,79,114,196,54,52,101,269,336,602,15,15,30,108,119,225,315,358,666,410,492,903,55,88,140,183,206,385,1109,1512,2619,576,628,1203,32,42,73,11051,13079,24136,211,165,375,643,528,1171,10,4,17,7,11,16,218,175,394,44,69,113,271,254,521,12446,11690,24135,58,53,108,28,45,75,12532,11783,24316,2750,2601,5351,28040,28932,56972
LGA24850,163,237,404,2026,2460,4484,14,10,24,159,173,335,0,0,0,5868,6102,11970,16,28,43,374,375,745,18,30,47,43,47,96,68,84,146,8,7,15,68,72,145,140,132,271,403,441,842,44,58,103,40,38,77,495,641,1134,457,493,954,9,6,16,10239,11206,21443,324,308,632,420,385,801,8,5,16,0,0,4,561,505,1059,115,156,275,678,663,1340,11010,9826,20831,81,73,151,28,52,85,11124,9947,21067,1961,1785,3752,24921,24536,49460
