LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA25810,27,39,65,577,628,1208,0,0,0,41,41,90,25,30,58,884,1023,1899,21,31,53,15,15,34,20,29,48,0,6,10,37,53,92,0,0,3,16,7,21,23,32,48,108,107,217,22,20,41,8,12,24,516,631,1148,86,96,186,3,8,11,2413,2764,5179,33,10,49,28,11,42,0,0,5,0,0,0,14,10,30,23,20,43,33,36,73,2753,2481,5232,21,11,34,4,14,21,2778,2505,5282,672,589,1263,5989,5963,11948
LGA25900,716,1039,1750,2689,3092,5787,0,0,0,247,264,510,0,0,0,7724,9218,16950,23,24,44,1978,2163,4143,56,81,138,16,15,27,110,146,256,95,82,179,98,122,220,158,194,354,395,441,832,9,14,19,11,35,47,538,694,1235,649,876,1524,30,29,54,14818,17507,32321,1182,921,2103,716,647,1365,1664,1752,3408,0,9,5,75,58,134,183,194,383,257,258,518,25524,25494,51020,328,247,571,113,251,361,25965,25990,51957,4382,4138,8520,49702,52238,101942
LGA25990,9,21,27,489,489,975,0,0,0,13,18,34,0,0,0,557,569,1126,14,16,27,13,9,26,8,4,20,0,4,8,12,12,26,0,0,0,7,8,19,14,24,27,104,79,177,3,13,19,0,0,0,254,280,530,39,41,80,14,7,19,1545,1573,3116,0,0,3,6,4,7,5,3,3,0,0,3,0,0,0,21,15,31,16,16,37,1706,1642,3350,5,9,14,6,9,12,1719,1662,3373,701,392,1095,4000,3671,7671
LGA26080,13,8,22,208,278,485,0,0,0,12,16,23,0,0,0,268,338,605,0,0,4,10,9,18,3,5,5,0,0,0,4,9,11,0,0,0,5,0,5,7,12,30,44,32,78,0,0,0,0,0,4,94,140,233,17,23,42,0,0,0,680,865,1542,7,11,17,0,0,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,700,689,1386,7,6,8,0,4,6,707,695,1401,148,141,286,1550,1725,3276
LGA26170,60,106,166,1611,1921,3533,0,0,0,130,153,287,0,0,0,2152,2356,4509,13,12,21,52,44,94,36,58,99,27,17,46,40,48,89,7,3,7,32,34,60,83,106,188,295,339,636,17,32,48,30,26,57,670,871,1536,279,317,598,8,10,17,5472,6355,11828,26,31,57,3,7,7,13,10,28,0,0,0,11,12,22,35,70,102,45,80,128,8062,7490,15552,53,42,91,33,36,71,8149,7569,15716,1342,1298,2641,15117,15455,30577
LGA26260,31,40,71,699,899,1603,0,0,0,65,77,140,54,51,105,1266,1432,2703,8,5,13,13,20,29,21,37,60,0,3,3,466,500,964,4,0,4,17,22,34,56,62,125,347,348,691,13,10,20,7,17,22,701,832,1536,139,183,323,13,21,29,3875,4521,8394,34,23,56,17,14,31,0,0,6,0,0,0,3,7,11,12,13,23,14,19,35,3450,3161,6606,21,7,31,9,14,23,3475,3181,6657,681,664,1336,8126,8457,16588
LGA26350,934,1388,2327,4300,5384,9691,4,3,6,262,320,589,3,0,3,8260,10032,18290,21,23,44,2421,2792,5213,55,61,121,17,15,28,111,145,259,73,82,155,137,142,279,160,210,366,570,594,1164,14,13,29,19,32,48,840,1079,1922,562,827,1390,21,21,40,17856,21787,39642,1357,1140,2499,611,640,1248,2155,2368,4523,3,0,0,100,97,194,142,146,287,245,240,487,22996,23337,46331,279,234,512,88,142,223,23355,23710,47068,3374,3525,6904,49893,54806,104703
LGA26430,40,68,106,673,740,1414,0,0,0,57,65,125,0,0,0,1113,1239,2352,4,5,14,34,18,48,13,8,13,9,14,20,18,24,40,0,0,0,5,9,12,18,20,34,171,179,350,9,10,18,15,8,18,286,346,630,93,85,183,4,5,11,2511,2785,5296,18,14,29,15,17,32,8,0,9,0,0,5,0,0,0,13,18,34,17,18,37,2394,2226,4618,15,13,30,9,10,26,2411,2252,4667,661,619,1284,5687,5771,11455
LGA26490,105,146,245,1444,1719,3159,0,0,0,244,273,517,0,0,0,3288,3807,7093,9,17,28,118,123,240,54,62,118,9,5,15,87,112,199,0,0,0,23,29,49,33,51,80,274,333,604,23,19,34,14,18,28,666,857,1521,298,351,649,5,12,15,6579,7778,14358,39,28,61,23,32,57,27,27,55,0,0,4,21,12,34,31,41,73,54,54,106,10331,9636,19972,74,57,136,26,58,82,10432,9754,20190,1346,1282,2631,18604,19087,37694
LGA26610,358,379,738,832,1021,1849,0,0,0,64,68,133,90,94,185,2245,2423,4672,76,92,163,36,50,88,9,16,30,19,24,44,36,30,65,0,0,3,69,50,120,62,67,131,219,218,436,8,10,21,32,30,62,578,723,1298,289,291,584,0,0,0,4679,5200,9877,83,63,142,373,264,635,0,0,3,4,0,5,98,92,192,13,23,37,116,115,232,4049,3617,7668,5,10,15,9,7,20,4069,3638,7706,1076,996,2067,10748,10652,21403
LGA26670,18,13,25,556,581,1140,0,0,0,44,48,93,0,0,0,466,497,960,0,0,0,5,9,14,21,26,49,7,0,8,22,27,43,0,0,0,3,4,11,21,16,34,77,83,160,0,0,3,5,12,15,161,198,359,50,69,119,0,0,7,1447,1576,3023,8,6,11,11,3,17,0,0,0,0,0,0,4,0,9,19,9,26,21,15,34,1298,1105,2402,7,8,17,4,12,18,1312,1125,2432,361,319,676,3166,3059,6223
LGA26700,108,139,247,1619,1957,3578,0,0,0,111,127,243,51,38,91,3303,3742,7049,11,25,36,45,47,92,49,70,118,9,15,25,59,69,130,0,0,4,69,93,163,86,110,202,341,360,697,24,29,57,23,26,54,510,745,1260,274,332,608,10,5,11,6605,7804,14408,95,92,187,37,30,72,6,6,13,0,0,0,26,31,57,25,52,79,49,87,133,6311,6119,12429,30,29,59,12,21,36,6360,6168,12524,1115,1095,2214,14384,15425,29808
LGA26730,150,175,322,1000,1342,2344,0,0,0,208,231,444,32,37,64,4329,5115,9450,61,51,116,52,39,94,20,34,56,10,11,23,114,152,263,11,10,11,22,24,45,104,118,219,634,834,1470,33,56,93,22,26,49,500,709,1210,361,435,798,10,4,15,7520,9236,16759,94,72,163,53,59,118,14,17,30,0,3,6,28,23,50,23,34,64,56,57,116,7811,7491,15303,40,36,79,11,28,38,7870,7551,15422,1280,1203,2485,17033,18369,35406
LGA26810,118,179,295,2914,3487,6402,0,0,0,252,296,550,31,37,63,3584,4093,7673,10,17,29,86,73,155,48,65,114,30,32,64,49,56,106,7,4,10,52,59,109,67,84,144,448,439,885,19,16,35,40,40,79,759,1006,1763,412,487,901,10,9,13,8809,10297,19104,99,78,181,72,66,143,9,5,18,0,0,0,44,41,85,53,98,149,93,141,236,10866,9858,20722,68,55,121,28,33,62,10957,9947,20904,2835,1940,4770,22995,22653,45639
LGA26890,3,0,3,208,240,451,0,0,0,10,10,19,0,0,0,293,312,602,10,18,28,3,3,8,5,0,5,0,0,0,59,55,107,0,0,0,5,6,7,4,10,17,52,59,113,5,13,22,0,0,3,238,302,542,47,46,89,0,0,0,943,1079,2022,10,9,11,10,7,19,0,0,0,0,0,0,0,3,6,3,0,10,3,3,7,820,684,1503,3,0,3,0,4,3,825,683,1509,220,215,432,2012,1997,4006
LGA26980,4080,5115,9190,4370,5575,9950,0,0,4,1980,2400,4381,12,9,13,12664,14991,27653,233,307,541,2851,3202,6050,103,128,232,88,100,192,297,345,643,128,147,274,381,434,820,651,755,1413,1131,1436,2566,167,273,437,169,222,386,1861,2627,4487,2305,2825,5132,45,93,136,29444,35858,65308,3480,3015,6499,1454,1248,2702,127,137,261,4,6,11,557,519,1073,359,413,772,921,936,1853,37437,36110,73545,305,232,538,96,169,265,37834,36519,74354,4580,4597,9180,81917,87430,169346
LGA27070,3516,4121,7637,3574,4557,8132,56,72,124,796,883,1682,42,41,75,26887,29680,56568,42,62,106,10412,10810,21224,262,320,577,188,209,407,100,146,250,713,704,1419,338,383,713,1207,1360,2568,969,1172,2138,95,128,221,146,183,332,883,1217,2099,4652,4963,9616,23,33,55,51380,56925,108305,7651,6681,14332,10605,10127,20731,41,36,82,8,10,24,4565,3938,8508,361,396,755,4935,4349,9283,28659,26471,55129,206,176,377,96,174,268,28952,26819,55773,6755,6498,13250,113834,115556,229396
LGA27170,146,189,336,2227,2806,5028,0,0,0,322,391,713,6,3,9,4220,4797,9016,10,12,24,91,84,179,132,163,289,25,21,44,266,302,561,9,4,12,70,94,161,211,245,459,327,409,734,28,45,75,48,51,101,551,820,1370,509,582,1088,4,5,9,9047,10835,19886,254,251,500,94,65,161,9,11,23,4,3,8,94,84,178,45,66,111,143,157,304,9822,9230,19052,56,46,106,33,45,79,9918,9317,19235,1451,1363,2813,21064,22183,43253
LGA27260,3682,4379,8062,5307,6197,11506,0,3,3,2562,2655,5216,98,93,195,25372,27756,53129,158,177,339,2941,2921,5860,343,439,782,528,610,1129,361,386,749,713,731,1447,986,1093,2083,1805,2036,3841,1199,1480,2680,89,131,221,234,275,515,1587,1929,3520,4941,5486,10427,101,97,196,49317,54515,103831,22161,20301,42465,14780,14162,28941,66,54,115,4,0,3,9814,8042,17856,582,727,1314,10406,8767,19172,35240,32313,67553,272,174,447,124,176,296,35637,32658,68297,11406,9713,21124,147444,144566,292011
LGA27350,1213,1826,3042,1649,1890,3534,3,6,3,170,206,376,0,0,0,5936,6934,12869,26,26,50,1377,1638,3019,19,29,47,14,16,26,84,95,182,56,78,128,84,91,176,139,167,308,258,232,487,13,18,31,9,19,36,347,535,881,464,628,1089,19,24,44,10660,12637,23298,367,322,684,1070,1115,2188,310,362,665,4,4,5,35,17,54,155,173,330,195,192,392,26485,26320,52809,365,327,690,97,160,250,26944,26807,53747,3226,2870,6103,43993,46125,90114
LGA27450,614,949,1564,5293,6827,12120,0,0,0,1855,1982,3835,118,120,238,11131,12646,23774,365,437,801,599,600,1205,215,248,465,130,134,265,282,363,641,29,46,78,280,319,599,681,817,1495,1084,1272,2361,120,138,258,440,495,939,1604,2261,3868,2713,3065,5779,154,182,337,27094,31952,59044,397,389,789,222,192,418,99,111,209,8,6,16,135,134,274,270,439,709,416,577,994,43097,40005,83104,338,232,572,134,266,402,43571,40504,84077,4769,4200,8975,77188,78878,156068
LGA27630,10,17,31,305,381,689,0,0,0,28,37,74,0,0,0,494,517,1013,11,6,20,11,11,19,4,4,5,4,7,7,201,237,443,0,0,0,0,5,11,35,53,86,51,59,113,5,11,11,0,0,0,402,414,811,53,54,106,0,0,0,1619,1793,3414,17,14,34,12,12,31,3,4,6,0,0,0,3,0,9,5,14,22,10,22,32,1333,1067,2397,4,0,7,3,3,8,1342,1074,2414,306,294,603,3327,3232,6556
LGA29399,0,4,6,18,18,32,0,0,0,0,3,5,0,0,0,50,52,96,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,9,4,16,5,3,7,0,0,0,85,92,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,229,489,3,6,8,0,0,0,263,234,494,148,128,278,496,463,955
LGA29499,64,63,128,160,162,322,0,0,0,21,25,46,0,0,0,401,371,772,6,9,12,40,35,74,3,11,17,16,7,22,0,9,16,4,6,10,13,15,30,13,20,30,45,29,68,9,5,21,0,6,3,62,66,129,114,101,212,10,4,11,922,872,1797,49,29,78,104,100,211,15,8,21,0,0,4,13,3,15,25,23,48,39,24,68,1584,1297,2880,18,12,28,15,14,25,1614,1323,2937,2361,1494,3854,5170,3915,9089
LGA29799,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7,24,3,27,36,6,38
