LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA20110,49,1473,731,275,1769,0.7,1340,2.3
LGA20260,46,1083,685,245,1651,0.7,1252,2.2
LGA20570,39,1477,743,297,1871,0.7,1429,2.4
LGA20660,40,2167,915,399,2521,0.8,2027,2.5
LGA20740,51,1500,626,300,1485,0.7,1163,2.2
LGA20830,41,1600,726,320,1874,0.7,1495,2.5
LGA20910,45,3000,1098,520,3361,0.8,2487,2.5
LGA21010,51,1300,654,250,1548,0.7,1192,2.2
LGA21110,40,3000,1071,451,3186,0.9,2376,2.5
LGA21180,37,1700,611,346,1674,0.9,1506,2.9
LGA21270,52,734,618,158,1468,0.7,1088,2.2
LGA21370,47,1300,668,250,1630,0.7,1264,2.4
LGA21450,34,1868,831,361,2097,0.8,1874,2.8
LGA21610,34,1950,783,380,2045,0.9,1918,3.1
LGA21670,52,1018,503,235,1260,0.7,904,2.1
LGA21750,45,1300,704,265,1721,0.7,1277,2.3
LGA21830,48,1083,689,225,1669,0.7,1263,2.3
LGA21890,37,2080,879,381,2369,0.9,1829,2.4
LGA22110,52,1300,603,268,1417,0.7,1110,2.2
LGA22170,39,1800,805,356,2098,0.8,1653,2.5
LGA22250,51,1000,590,195,1417,0.7,1071,2.2
LGA22310,38,2400,1021,436,2806,0.9,2133,2.5
LGA22410,49,1083,640,220,1599,0.7,1214,2.2
LGA22490,39,1733,783,338,2125,0.8,1899,2.9
LGA22620,40,1417,739,295,1865,0.7,1448,2.4
LGA22670,36,1785,618,346,1605,1,1453,2.9
LGA22750,39,1733,769,346,2051,0.8,1592,2.4
LGA22830,39,1300,712,260,1759,0.8,1400,2.5
LGA22910,52,1421,666,295,1697,0.7,1281,2.2
LGA22980,50,750,644,180,1569,0.7,1159,2.2
LGA23110,39,2167,913,380,2453,0.8,1972,2.5
LGA23190,41,1200,772,240,1850,0.7,1381,2.3
LGA23270,33,1806,665,369,1852,0.9,1703,3.1
LGA23350,47,1517,777,275,1954,0.7,1511,2.4
LGA23430,41,2167,878,402,2406,0.8,1914,2.5
LGA23670,40,2000,797,400,2194,0.8,1884,2.7
LGA23810,42,1213,654,236,1679,0.7,1260,2.3
LGA23940,52,867,554,170,1394,0.8,1039,2.2
LGA24130,43,2000,865,390,2403,0.8,2059,2.7
LGA24210,43,2400,756,462,2252,0.8,1920,2.7
LGA24250,49,1500,716,320,1705,0.7,1325,2.3
LGA24330,35,2100,965,376,2494,0.9,1998,2.4
LGA24410,39,2000,851,385,2306,0.8,1867,2.6
LGA24600,30,1963,959,396,2368,1,1678,1.8
LGA24650,33,1800,786,360,2051,0.8,1887,3.1
LGA24780,40,1283,694,265,1700,0.8,1341,2.4
LGA24850,36,1733,789,328,2012,0.8,1719,2.7
LGA24900,48,1300,629,250,1505,0.7,1192,2.3
LGA24970,38,2383,754,436,2223,0.8,1901,2.7
LGA25060,39,2188,954,386,2625,0.9,2011,2.4
LGA25150,39,1733,802,330,2127,0.8,1785,2.6
LGA25250,35,2034,921,400,2403,0.9,1943,2.4
LGA25340,48,1989,761,380,2054,0.7,1555,2.4
LGA25430,51,1432,674,300,1702,0.7,1252,2.2
LGA25490,45,1452,767,250,1916,0.7,1530,2.5
LGA25620,50,1517,673,270,1713,0.7,1287,2.3
LGA25710,42,2200,962,440,2772,0.8,2476,2.9
LGA25810,49,975,653,200,1496,0.7,1124,2.2
LGA25900,38,2169,1289,420,3052,0.9,2069,1.9
LGA25990,50,1083,579,210,1419,0.7,1101,2.2
LGA26080,62,2025,834,370,1960,0.6,1509,2
LGA26170,49,1408,655,260,1651,0.7,1266,2.3
LGA26260,47,1083,699,220,1684,0.7,1261,2.2
LGA26350,37,2500,1294,421,3299,0.9,2210,2.1
LGA26430,53,1300,653,260,1580,0.7,1188,2.2
LGA26490,42,2145,941,461,2441,0.8,2088,2.6
LGA26610,39,1157,715,225,1721,0.8,1379,2.5
LGA26670,52,1200,689,210,1658,0.7,1282,2.2
LGA26700,45,1350,727,260,1771,0.7,1326,2.3
LGA26730,42,1430,759,295,1891,0.7,1420,2.3
LGA26810,44,1300,658,260,1661,0.7,1272,2.3
LGA26890,51,739,702,140,1651,0.7,1207,2.2
LGA26980,39,2231,778,411,2300,0.8,1841,2.6
LGA27070,35,1900,737,371,1970,0.8,1768,2.9
LGA27170,38,1479,805,290,1938,0.7,1498,2.4
LGA27260,32,1930,839,370,2129,0.8,2023,3.1
LGA27350,34,2321,1324,451,3138,1,2270,2
LGA27450,40,1950,808,380,2203,0.8,1881,2.7
LGA27630,52,672,625,166,1491,0.7,1102,2.1
LGA29399,30,1300,843,385,1766,1,1382,2.2
LGA29499,0,0,0,0,0,0,0,0
LGA29799,50,0,2200,0,0,0,0,0
