LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA25710,19557,57580,306,530,428,951,726,1479,528,954,40,51,32,44,0,0,13,22,609,1075,0,6,3,0,0,0,3,10,9,18,9,28,20912,60179,999,..,21915,60179
LGA25810,4569,10186,148,204,0,4,145,207,141,194,0,0,0,0,0,0,0,0,139,196,24,34,0,4,0,0,10,27,41,64,8,20,4903,10673,871,..,5778,10673
LGA25900,4239,11599,5999,13894,5407,13130,11406,27020,6525,10812,11198,17732,6072,9767,8598,14414,43,94,32443,52818,0,0,0,0,0,6,561,912,564,920,81,131,48731,92482,11066,..,59798,92482
LGA25990,2908,6499,28,37,3,7,27,45,3,3,0,0,0,0,0,0,0,0,3,3,13,20,10,22,0,4,4,11,29,53,10,7,2976,6609,692,..,3671,6609
LGA26080,1300,2711,75,102,23,40,92,144,26,39,0,0,0,0,0,0,0,4,32,38,0,0,7,12,0,0,5,11,10,25,4,4,1441,2924,1243,..,2682,2924
LGA26170,11464,27111,306,421,26,56,331,474,109,129,0,0,0,0,0,0,5,4,111,137,25,24,28,34,3,8,32,59,78,126,18,24,12001,27871,4148,..,16154,27871
LGA26260,6400,14602,297,417,7,11,304,430,90,108,0,0,0,0,0,0,4,6,96,115,14,21,9,21,0,0,10,27,38,66,11,18,6844,15234,1021,..,7872,15234
LGA26350,12804,36207,4721,9883,4240,9697,8964,19578,5667,9836,8450,13342,5918,9170,5018,7780,10,23,25059,40160,0,0,0,0,4,4,346,558,344,561,58,123,47229,96623,9851,..,57080,96623
LGA26430,4481,9851,177,252,0,7,179,254,12,16,0,0,0,0,0,0,0,0,13,16,17,24,39,49,0,11,6,19,66,101,5,6,4734,10228,978,..,5714,10228
LGA26490,12363,32666,369,614,387,822,754,1435,43,61,31,52,7,16,0,0,0,4,83,129,11,25,16,49,0,0,9,16,39,86,27,49,13270,34368,6255,..,19527,34368
LGA26610,6734,17516,387,617,18,40,403,652,390,640,7,10,0,0,0,3,4,3,399,653,54,109,58,100,6,11,23,57,140,276,43,101,7718,19195,1006,..,8721,19195
LGA26670,2333,5284,34,50,0,0,34,50,13,17,0,0,0,0,0,0,0,0,13,17,3,12,3,7,0,7,8,14,21,38,0,7,2406,5395,481,..,2891,5395
LGA26700,10637,25718,1075,1499,60,92,1128,1592,3,8,0,0,0,0,0,0,5,3,10,6,28,38,16,23,0,4,17,33,57,99,14,29,11847,27444,1100,..,12952,27444
LGA26730,11658,28983,1248,1905,339,633,1589,2545,564,801,54,73,0,0,0,0,0,4,622,874,5,12,73,111,0,0,24,65,107,194,19,47,13993,32638,1230,..,15223,32638
LGA26810,16090,38336,519,818,95,132,617,950,624,822,25,49,0,0,0,6,7,20,661,895,57,78,52,82,5,13,31,60,142,226,34,71,17538,40484,4612,..,22151,40484
LGA26890,1584,3501,27,28,0,6,27,36,21,21,0,0,0,0,0,0,0,0,21,21,6,3,0,3,0,0,3,5,6,14,5,10,1643,3580,443,..,2085,3580
LGA26980,40779,114409,9919,19793,5298,13777,15216,33575,1915,3641,1436,2494,2107,3499,1513,2779,48,119,7018,12526,0,0,0,0,0,0,31,66,29,69,48,100,63094,160678,6413,..,69511,160678
LGA27070,65609,196320,4367,9911,3768,9178,8132,19088,1186,2536,421,658,518,812,0,0,27,66,2156,4065,0,5,0,3,0,0,14,51,20,57,48,86,75971,219623,4140,..,80108,219623
LGA27170,14559,37181,1360,1985,86,165,1445,2154,276,398,0,0,0,0,0,0,3,8,280,401,41,52,3,8,0,0,11,29,61,96,26,55,16372,39877,1091,..,17465,39877
LGA27260,79221,252007,5804,14553,2613,6609,8421,21162,1521,2856,23,41,479,765,0,0,24,46,2045,3710,32,55,44,53,0,0,8,28,87,134,53,132,89823,277149,6120,..,95935,277149
LGA27350,5086,13191,8673,19526,6554,15608,15229,35133,3091,5054,4525,7332,6814,11080,5470,9992,31,60,19928,33517,0,0,0,0,0,0,345,727,353,732,48,91,40646,82652,7151,..,47806,82652
LGA27450,52325,142237,2067,3263,849,1652,2919,4914,245,380,11,15,0,0,0,0,54,99,313,494,66,82,114,154,0,6,28,68,216,311,71,147,55842,148107,3632,..,59475,148107
LGA27630,2632,5727,56,65,0,0,56,65,14,20,0,0,0,0,0,0,4,3,15,21,16,18,0,0,0,4,25,37,36,63,0,6,2740,5881,655,..,3389,5881
LGA29399,80,224,4,10,0,3,3,9,25,57,15,50,15,38,9,18,0,0,64,170,0,0,0,0,0,0,0,0,0,0,8,31,156,434,319,..,475,434
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
