LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA23190,10,81,780,4035,2152,261,46,104,7469,0,78,207,46,3,0,5,9,343,0,0,0,8,0,0,0,0,6,0,78,210,47,9,0,5,11,351,0,83,237,29,4,0,5,12,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,237,29,4,0,5,12,371,0,9,5,0,0,0,0,0,21,0,0,0,6,0,0,0,0,8,7,247,1236,4121,2162,261,55,135,8216
LGA23270,53,310,2175,30503,27638,4149,612,1041,66487,7,226,1539,1766,307,15,3,87,3954,4,41,1116,1427,209,15,4,54,2873,12,271,2653,3199,518,37,8,140,6828,14,149,995,814,48,8,0,38,2070,0,0,0,0,0,0,0,0,0,17,21,70,17,0,0,0,3,128,0,0,0,0,0,0,0,0,0,0,12,12,8,4,0,0,0,45,26,189,1076,846,51,11,3,45,2242,7,95,12,3,5,0,0,7,123,0,12,7,24,14,8,0,6,67,99,871,5920,34575,28221,4198,623,1233,75740
LGA23350,14,103,752,2954,1982,283,61,104,6253,0,35,145,41,8,0,0,8,238,0,0,0,0,0,0,0,0,3,0,35,145,42,11,0,0,8,236,0,14,16,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,16,6,0,0,0,0,37,4,19,12,13,8,4,3,4,68,0,3,8,7,4,4,0,0,22,17,178,930,3015,2007,290,64,114,6615
LGA23430,30,173,2614,17694,12284,2365,359,331,35855,16,645,5251,3057,307,13,12,115,9412,0,80,1411,3572,934,90,16,63,6165,11,726,6663,6625,1244,105,24,177,15576,32,938,3873,1434,123,12,10,113,6531,4,165,715,59,13,0,0,11,967,6,340,854,70,0,0,0,20,1287,0,76,261,9,0,0,0,0,347,0,5,0,5,3,0,0,0,19,35,1523,5717,1579,140,18,10,136,9155,5,106,143,34,0,0,0,10,306,5,17,6,14,8,0,0,0,48,99,2544,15142,25941,13679,2492,389,656,60940
LGA23670,27,252,2944,22174,17530,3866,609,455,47854,9,372,2675,1468,356,38,8,99,5021,0,37,956,1530,335,46,9,15,2931,9,408,3634,2998,686,83,21,117,7959,12,147,321,170,0,0,6,17,671,0,89,258,23,0,0,0,7,385,0,61,169,15,0,0,0,3,243,0,79,85,3,0,0,0,0,170,0,16,21,6,8,6,0,0,56,15,388,859,219,6,6,4,34,1531,0,5,24,12,10,0,0,0,47,0,8,6,9,7,0,0,3,37,45,1060,7463,25413,18239,3960,638,603,57422
LGA23810,30,244,2588,15187,7274,986,177,459,26943,28,398,934,198,14,0,0,61,1649,0,23,69,46,3,3,5,8,150,32,422,1005,249,21,5,7,67,1802,19,402,1081,123,12,0,0,62,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,4,19,405,1082,123,12,0,0,65,1703,17,39,43,7,3,0,0,8,124,3,6,9,10,9,0,0,0,34,93,1117,4728,15576,7315,993,186,602,30610
LGA23940,15,107,499,1462,632,85,13,87,2907,0,25,26,22,3,0,0,0,71,0,0,0,0,0,0,0,0,0,0,25,23,22,3,0,0,0,70,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,22,8,8,0,3,0,3,56,6,3,0,0,0,0,0,0,12,31,154,538,1489,640,88,19,95,3049
LGA24130,18,173,1203,6960,6793,1290,264,176,16880,0,111,452,333,30,3,0,12,945,0,0,23,37,0,0,0,0,60,0,113,471,364,28,3,0,12,1000,0,9,8,16,0,0,0,0,35,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,0,0,0,9,0,6,11,32,6,0,0,0,56,0,29,20,35,15,4,5,0,102,0,0,0,5,7,0,0,4,17,27,327,1705,7391,6852,1302,266,194,18060
LGA24210,12,77,1135,11607,14492,3828,722,252,32131,0,138,1252,1203,233,18,3,42,2890,0,21,476,2247,1568,170,9,51,4543,4,161,1722,3452,1802,190,10,95,7437,12,115,643,577,47,0,0,15,1420,0,104,462,104,4,0,0,5,685,3,291,1012,187,5,0,0,24,1518,10,224,879,190,3,0,0,13,1317,0,0,9,9,0,0,0,0,19,29,736,3001,1074,63,4,4,55,4958,3,4,8,8,0,0,0,0,11,0,4,16,7,8,0,3,0,35,46,982,5884,16137,16364,4026,736,402,44574
LGA24250,11,65,558,1685,1026,182,61,52,3649,0,15,65,42,0,0,0,7,124,0,0,4,0,0,0,0,0,5,0,15,70,37,0,0,0,7,127,0,3,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,13,0,12,9,5,0,0,0,0,30,0,0,0,6,0,0,4,0,9,15,98,645,1736,1035,187,62,62,3830
LGA24330,21,183,3666,8523,3399,622,128,194,16731,17,511,1279,607,68,4,7,57,2558,11,123,1743,2851,659,104,12,67,5563,28,633,3027,3457,731,109,15,120,8118,14,822,1803,193,20,0,8,47,2898,17,467,1078,194,12,0,0,18,1787,52,683,1423,162,3,0,0,42,2360,28,612,746,112,8,0,0,20,1525,0,8,11,10,3,0,0,6,38,107,2589,5064,665,48,0,8,126,8613,0,42,86,38,19,4,4,3,197,0,14,18,5,7,0,0,0,42,154,3462,11846,12694,4200,737,151,452,33695
LGA24410,32,311,6020,17312,11062,2140,307,320,37499,16,285,1433,588,104,24,4,54,2508,0,33,428,643,112,6,0,11,1225,16,317,1856,1227,217,28,7,66,3734,0,38,251,107,18,0,0,7,420,0,80,486,43,4,0,0,0,618,0,107,385,71,0,0,0,9,575,0,12,55,5,0,0,0,4,74,0,4,7,5,8,3,0,0,28,0,234,1197,233,24,3,0,18,1711,0,0,11,8,0,0,0,0,23,0,11,9,16,3,0,0,0,40,53,871,9088,18793,11302,2172,317,411,43006
LGA24600,3,48,454,653,306,81,23,14,1576,8,274,1121,697,194,33,6,21,2346,43,432,1797,2263,886,208,58,51,5745,50,706,2919,2964,1079,242,67,74,8095,25,608,858,306,39,6,0,32,1876,129,1268,2290,557,42,9,5,60,4357,300,3144,5137,859,67,3,3,102,9622,995,14485,24438,4204,170,14,27,535,44854,0,0,0,3,0,0,0,0,9,1451,19500,32732,5927,312,36,35,724,60718,4,33,47,32,17,3,0,0,131,17,61,108,20,9,0,4,24,238,1518,20354,36258,9587,1721,361,120,839,70760
LGA24650,45,104,1086,19002,25173,3321,475,764,49974,3,204,1164,1174,367,22,7,65,3011,0,0,123,1002,164,23,3,25,1342,3,204,1291,2181,529,47,12,86,4353,0,0,67,102,7,0,0,0,175,0,4,70,6,0,0,0,0,74,0,7,122,7,0,0,0,4,137,0,0,0,0,0,0,0,0,0,3,4,6,4,8,0,0,0,23,3,12,265,112,7,0,0,5,409,17,81,3,15,0,0,0,3,122,0,6,3,11,24,5,0,3,56,61,412,2654,21314,25730,3380,486,867,54907
LGA24780,26,207,1818,10045,4967,656,121,334,18178,15,189,820,493,21,4,0,51,1586,0,0,20,42,6,0,0,0,72,15,189,842,536,32,4,4,53,1662,9,201,707,123,3,0,3,36,1085,0,4,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,204,724,123,3,0,3,36,1106,30,131,57,26,20,0,0,13,281,0,12,16,22,3,0,0,3,57,79,738,3457,10752,5022,666,126,440,21283
LGA24850,30,156,1013,6617,6779,915,185,254,15944,4,114,524,272,30,4,3,19,971,0,0,21,74,12,3,0,0,120,4,114,547,354,42,3,3,22,1094,3,0,12,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,10,3,3,17,21,4,0,0,0,36,0,18,5,4,0,0,0,5,43,0,4,5,5,4,0,0,5,23,27,294,1586,6999,6826,924,194,289,17140
LGA24900,20,116,1151,5743,3032,431,95,223,10801,9,150,503,136,11,4,0,36,856,0,0,7,15,10,0,0,0,36,9,150,513,149,22,4,0,36,890,0,0,12,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,5,11,8,0,0,0,0,30,12,66,61,17,12,0,0,9,176,0,0,0,13,5,0,0,0,17,42,339,1736,5927,3058,431,97,274,11917
LGA24970,51,191,2869,19695,17274,4758,820,485,46139,7,219,2379,1953,534,66,23,91,5272,5,49,669,2593,1699,166,57,55,5291,10,268,3050,4548,2231,237,74,142,10558,21,537,2357,2498,555,52,9,70,6093,12,222,700,97,3,0,0,12,1053,31,658,1205,109,22,0,0,30,2054,0,234,648,48,0,0,0,16,951,0,14,15,3,3,0,0,0,41,69,1662,4923,2754,587,58,10,132,10187,0,5,17,5,0,0,0,0,30,0,9,19,13,5,0,4,3,56,134,2134,10874,27015,20097,5052,907,766,66979
LGA25060,19,111,2554,13233,8221,1804,264,255,26470,6,158,1986,1774,250,23,4,44,4240,7,209,1546,2991,1020,95,3,54,5923,16,365,3524,4766,1269,118,13,94,10166,11,645,2046,743,37,3,4,46,3538,47,966,1487,117,9,0,0,77,2707,3,1238,2172,186,10,0,0,49,3649,7,310,509,204,3,0,0,38,1079,0,6,4,5,0,0,0,0,20,69,3162,6220,1254,58,3,10,213,10994,0,25,59,44,3,0,0,0,145,0,3,3,12,3,0,0,3,35,109,3680,12368,19316,9561,1931,287,574,47814
LGA25150,23,106,909,5554,4937,677,157,155,12518,0,75,363,231,22,0,0,11,702,0,6,29,76,7,0,0,0,124,0,82,391,308,27,0,0,18,829,0,36,8,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,57,18,0,3,0,0,6,85,5,28,14,4,3,0,0,0,58,0,4,0,3,10,0,0,0,14,30,274,1341,5863,4973,684,161,178,13500
LGA25250,37,333,6084,19951,7811,1335,231,433,36218,20,627,4727,1836,197,31,8,84,7530,21,354,5265,4698,678,47,11,124,11188,40,985,9992,6528,874,78,20,208,18715,58,1399,2670,376,29,3,7,69,4619,33,492,1084,83,13,0,0,17,1717,69,1907,2812,217,20,8,0,40,5069,3,537,553,24,0,0,4,11,1131,0,9,12,14,6,3,0,0,40,161,4339,7134,714,74,12,8,125,12575,3,46,131,85,15,8,3,3,295,4,14,25,23,6,0,0,6,74,248,5704,23362,27303,8783,1430,259,783,67871
LGA25340,58,426,5571,26322,17593,3802,776,654,55205,6,318,2876,1816,126,13,4,129,5290,0,17,330,1097,283,20,3,16,1766,6,336,3203,2909,408,33,7,144,7055,3,136,953,502,27,0,0,28,1661,0,20,70,30,0,0,0,4,129,0,0,34,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,13,16,0,3,0,3,6,51,3,178,1077,547,35,8,3,38,1886,17,140,237,43,7,5,0,15,450,0,12,9,17,6,0,0,3,52,82,1095,10094,29834,18057,3843,788,853,64650
LGA25430,34,257,1735,3899,1756,245,60,97,8075,5,86,115,27,0,0,0,10,239,0,0,6,4,4,0,0,0,14,5,86,114,32,4,0,0,10,257,0,4,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,7,4,6,3,0,0,0,0,13,3,12,6,10,0,0,0,0,33,3,3,5,3,0,0,0,0,10,46,355,1870,3949,1760,243,62,109,8396
LGA25490,13,102,677,2975,1922,349,85,93,6221,0,29,81,25,4,0,0,4,146,0,0,10,9,4,3,0,0,32,0,27,97,36,11,0,0,4,176,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,10,5,4,7,6,0,0,0,0,26,0,3,4,0,0,0,0,0,9,18,141,786,3020,1939,354,88,100,6439
LGA25620,37,170,879,2806,1471,242,52,85,5738,0,19,68,13,0,0,0,4,107,0,0,0,0,0,0,0,0,0,0,19,68,15,4,0,0,4,106,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,15,50,46,11,3,0,0,12,133,0,3,4,6,0,0,0,6,19,52,241,996,2837,1481,244,55,102,6006
LGA25710,18,175,971,7477,8351,2062,376,134,19557,7,43,142,89,18,4,0,4,306,0,0,117,254,46,8,0,3,428,7,45,265,338,60,7,0,7,726,0,27,239,224,30,4,0,4,528,0,10,30,0,0,0,0,0,40,0,4,20,8,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,13,0,54,284,234,28,4,0,4,609,0,0,0,4,0,0,0,0,9,0,5,0,0,0,0,0,0,9,27,273,1523,8058,8437,2074,377,145,20912
LGA25810,9,98,661,2449,1075,141,42,89,4569,0,33,86,7,0,0,0,8,148,0,0,0,0,0,0,0,0,0,0,33,86,14,0,0,0,8,145,0,59,61,8,0,0,0,8,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,67,8,0,0,0,8,139,4,18,8,6,0,0,0,0,41,0,4,0,3,0,0,0,3,8,16,213,825,2479,1080,141,48,108,4903
LGA25900,0,78,830,1849,1138,263,54,30,4239,23,325,2492,2435,583,79,13,53,5999,19,249,1298,2880,797,104,19,45,5407,37,569,3792,5314,1384,183,33,100,11406,204,1783,3699,660,64,7,17,101,6525,200,3949,6024,840,31,9,4,149,11198,111,1970,3221,659,36,5,7,65,6072,68,2786,4446,1158,42,3,6,95,8598,3,8,14,12,3,0,0,0,43,582,10501,17397,3323,169,28,29,412,32443,17,227,245,56,9,0,0,10,564,0,24,33,5,0,0,0,4,81,633,11398,22297,10551,2703,471,113,560,48731
LGA25990,13,80,520,1454,657,107,27,51,2908,0,15,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,15,10,0,3,0,0,0,27,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,9,4,0,0,3,0,29,0,0,0,0,0,0,0,0,10,14,105,548,1460,655,107,34,47,2976
LGA26080,3,10,141,655,376,76,17,15,1300,0,11,39,24,0,0,0,0,75,0,0,9,16,0,0,0,0,23,0,11,43,40,3,0,0,0,92,0,0,17,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,8,0,0,0,0,32,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,25,207,713,384,76,17,16,1441
LGA26170,28,176,1456,5977,3085,463,92,188,11464,4,58,182,44,8,0,0,8,306,0,0,5,10,4,0,0,0,26,4,54,190,54,10,0,0,11,331,0,47,58,8,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,48,54,8,0,0,0,3,111,10,24,19,16,7,0,0,4,78,0,0,4,4,0,0,0,0,18,38,306,1730,6050,3099,465,100,206,12001
LGA26260,9,96,793,3412,1631,302,66,103,6400,0,75,177,26,9,0,0,6,297,0,0,0,6,0,0,0,0,7,0,75,181,33,4,0,0,6,304,0,45,42,4,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,46,40,4,0,0,0,0,96,11,11,5,12,0,0,0,0,38,0,4,0,4,0,0,0,0,11,17,232,1018,3461,1643,300,63,115,6844
LGA26350,9,119,1536,4768,4548,1469,264,103,12804,8,208,2333,1817,248,35,11,59,4721,0,129,1165,2242,582,67,17,38,4240,8,341,3504,4062,832,101,24,93,8964,63,1236,3209,954,86,10,9,93,5667,101,2979,4490,760,30,16,9,66,8450,149,2333,2668,673,18,0,0,76,5918,118,1784,2650,392,12,0,0,61,5018,3,0,0,0,0,0,0,0,10,426,8328,13019,2788,142,29,17,298,25059,8,102,158,54,3,3,6,5,344,3,12,15,20,7,0,0,5,58,450,8910,18225,11691,5537,1602,310,506,47229
LGA26430,27,138,721,2261,1031,154,48,92,4481,0,54,96,24,0,0,0,10,177,0,0,0,0,0,0,0,0,0,0,54,96,24,0,0,0,10,179,0,4,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,13,3,31,19,12,0,4,0,3,66,0,0,0,4,0,0,0,0,5,37,222,837,2301,1031,153,48,104,4734
LGA26490,11,110,986,5284,4834,841,159,132,12363,0,27,167,156,11,0,0,7,369,0,14,71,236,51,6,0,6,387,0,35,243,391,59,8,0,16,754,0,17,12,12,0,4,0,0,43,0,15,14,5,0,0,0,0,31,0,4,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,17,3,4,0,0,83,5,7,10,13,8,0,0,4,39,0,3,3,6,3,0,0,0,27,19,194,1272,5710,4911,852,157,156,13270
LGA26610,11,81,620,3656,1917,257,71,132,6734,0,58,255,50,5,0,0,17,387,0,3,5,8,5,0,0,0,18,0,60,256,60,5,0,0,17,403,0,147,196,25,0,0,0,18,390,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,153,201,25,0,0,0,21,399,20,63,4,21,12,0,3,13,140,0,8,12,9,5,6,0,6,43,34,363,1094,3771,1937,259,74,177,7718
LGA26670,4,56,287,1196,621,93,15,51,2333,0,11,15,4,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,11,15,4,0,0,0,3,34,0,11,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,13,4,5,3,7,4,0,0,0,21,0,5,0,0,0,0,0,0,0,10,87,310,1215,626,93,15,52,2406
LGA26700,25,117,1079,5457,3254,416,97,186,10637,8,190,635,106,12,0,0,131,1075,0,18,17,14,0,0,0,0,60,4,202,654,119,12,0,0,131,1128,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,10,9,27,11,8,3,0,0,4,57,0,0,6,7,0,0,0,0,14,36,354,1739,5595,3263,419,105,332,11847
LGA26730,9,89,1316,6155,3343,530,84,137,11658,16,142,891,143,20,0,0,25,1248,0,18,169,123,20,0,0,8,339,15,164,1064,271,35,0,0,29,1589,3,128,362,48,10,0,0,16,564,0,32,8,5,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,157,371,52,6,0,0,16,622,3,12,44,32,17,4,0,0,107,0,3,5,0,7,0,0,4,19,35,432,2800,6512,3407,536,84,187,13993
LGA26810,36,210,1952,7894,4820,762,145,260,16090,0,48,296,145,16,0,0,8,519,0,50,28,20,0,0,3,0,95,8,97,323,162,16,0,5,9,617,3,180,337,79,6,0,0,14,624,0,0,20,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,7,3,179,367,81,11,0,0,14,661,11,60,41,13,7,3,0,3,142,0,8,5,12,6,0,0,0,34,56,560,2687,8168,4862,766,150,295,17538
LGA26890,5,25,251,837,347,64,18,36,1584,3,21,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,27,0,12,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,21,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,57,270,837,351,65,18,36,1643
LGA26980,25,214,3253,18754,14302,3324,571,335,40779,24,693,5042,3430,462,59,15,194,9919,12,85,1049,2820,1127,130,10,58,5298,36,779,6091,6252,1589,196,28,257,15216,100,291,1071,365,51,9,5,24,1915,66,439,798,106,4,0,4,20,1436,57,798,1152,72,0,0,0,30,2107,5,416,1035,42,0,0,0,17,1513,0,11,8,14,10,4,3,0,48,231,1959,4065,597,68,11,5,90,7018,0,0,11,7,3,0,0,0,29,0,5,15,13,10,0,0,3,48,294,2962,13437,25621,15973,3535,600,683,63094
LGA27070,60,195,2486,30024,28169,3260,475,940,65609,9,142,1777,1652,673,45,7,61,4367,0,49,1172,2015,410,53,3,59,3768,9,196,2945,3667,1080,102,12,123,8132,3,125,661,355,24,0,0,15,1186,0,120,278,17,5,0,0,7,421,0,96,389,18,0,0,0,4,518,0,0,0,0,0,0,0,0,0,0,10,10,3,0,0,4,0,27,12,349,1334,391,32,0,3,33,2156,0,0,7,12,5,0,0,0,20,0,0,12,13,9,3,0,6,48,76,741,6785,34112,29299,3368,489,1101,75971
LGA27170,16,77,1112,7019,5426,584,80,247,14559,5,192,901,179,4,0,0,75,1360,0,3,45,38,0,0,0,0,86,5,193,946,214,6,0,0,80,1445,0,42,208,19,0,0,0,4,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,45,208,18,0,0,0,4,280,3,9,5,11,5,0,0,35,61,0,0,5,5,6,0,0,7,26,27,327,2275,7268,5444,581,84,368,16372
LGA27260,48,199,2309,28830,41241,4788,561,1246,79221,4,136,1648,2502,1296,89,6,109,5804,0,9,516,1449,496,100,7,34,2613,3,147,2169,3954,1794,190,15,141,8421,0,74,872,501,29,6,3,23,1521,0,0,13,0,0,0,0,0,23,0,91,362,24,0,0,0,3,479,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,0,24,0,181,1261,529,31,6,5,35,2045,9,40,15,6,3,0,0,11,87,0,0,10,10,25,3,0,4,53,61,570,5758,33326,43097,4989,584,1431,89823
