LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA22310,19,131,2771,11929,9581,2410,448,236,27526,24,362,4277,3037,348,37,15,83,8187,9,60,1121,2837,1409,115,10,33,5591,31,422,5394,5871,1761,148,23,119,13778,51,3258,4712,1302,221,17,17,128,9716,9,505,2107,229,13,0,3,29,2902,29,813,2269,211,7,0,3,29,3360,0,169,200,13,0,0,0,5,385,0,3,10,10,11,0,0,0,38,91,4752,9288,1770,256,24,22,192,16397,6,44,100,40,7,4,0,4,208,0,10,17,19,4,0,0,0,56,153,5357,17588,19630,11606,2580,497,555,57971
LGA22410,17,116,928,4244,1826,264,55,120,7578,0,80,247,50,8,0,0,14,392,0,3,27,0,0,0,0,0,42,0,81,274,49,12,6,0,15,435,0,19,44,15,0,0,0,4,83,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,47,19,0,0,0,4,87,12,24,24,9,6,0,0,5,74,0,3,4,5,6,0,0,0,16,31,243,1277,4321,1841,264,62,147,8190
LGA22490,26,112,598,3249,3390,573,118,103,8169,0,4,48,27,10,0,0,0,89,0,0,0,0,0,0,0,0,0,0,4,48,27,10,0,0,0,95,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,0,7,0,4,0,4,0,0,0,3,14,0,0,0,0,0,0,0,0,4,26,129,650,3277,3411,575,115,105,8287
LGA22620,47,507,4992,21191,13359,1690,317,520,42612,15,432,1725,549,49,3,0,66,2835,0,42,158,215,36,0,0,6,455,13,475,1881,759,83,5,0,70,3291,9,88,220,68,5,0,0,9,405,0,0,3,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,9,94,228,76,11,3,0,19,436,19,48,45,26,15,0,0,6,162,3,20,19,17,25,3,0,3,95,94,1144,7165,22075,13487,1698,321,615,46599
LGA22670,46,281,3278,19947,9928,2348,485,598,36911,12,700,3471,1307,115,16,0,130,5758,5,38,1238,1591,437,22,7,69,3408,16,732,4713,2900,556,33,5,194,9162,22,773,2637,742,101,7,4,128,4412,8,67,331,30,0,0,0,10,450,4,130,270,18,0,0,0,6,433,0,0,0,0,0,0,0,0,0,0,12,3,8,0,5,3,0,35,30,982,3243,803,104,16,10,149,5323,29,124,34,18,4,0,0,9,215,3,15,18,19,8,0,5,8,61,126,2135,11279,23678,10596,2395,499,954,51670
LGA22750,69,709,9338,45359,28479,3711,681,1043,89397,38,1711,4759,1741,312,23,9,197,8789,7,150,702,953,208,20,9,21,2071,44,1861,5463,2695,522,41,11,218,10866,20,522,990,334,24,0,4,39,1928,5,52,97,9,0,0,0,5,170,5,80,184,26,0,0,0,4,302,0,20,68,44,6,0,4,0,134,0,8,10,4,0,0,0,0,22,25,686,1346,421,31,0,3,50,2558,36,179,208,82,34,3,3,13,556,3,25,33,41,20,3,3,3,132,184,3454,16386,48597,29085,3768,705,1328,103508
LGA22830,31,165,2103,11399,6803,844,156,407,21909,8,394,1385,220,57,6,3,67,2143,0,9,34,38,17,0,0,5,102,8,406,1422,256,69,6,3,72,2241,0,25,12,4,0,0,0,5,48,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,36,19,0,0,0,0,5,66,28,156,269,30,10,0,0,39,528,0,6,6,14,12,0,0,3,44,63,779,3823,11700,6892,848,160,523,24795
LGA22910,22,233,1248,3296,1318,226,57,65,6470,0,42,73,19,3,0,0,5,140,0,3,18,11,0,0,0,3,37,0,47,87,26,7,0,0,5,177,0,33,46,9,0,0,0,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,45,11,0,0,0,10,100,5,27,21,18,5,0,4,4,80,0,4,4,4,4,0,4,0,20,30,348,1403,3355,1333,227,68,82,6846
LGA22980,9,47,374,1238,468,59,16,35,2241,0,21,29,8,0,0,0,3,68,0,5,6,0,0,0,0,0,7,0,30,30,8,0,0,0,3,74,0,17,7,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,30,0,3,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,5,102,416,1253,475,62,13,37,2367
LGA23110,25,144,2936,14121,5509,849,108,274,23967,9,334,1725,1214,196,18,0,49,3558,5,70,1147,2520,822,69,12,45,4687,12,400,2869,3735,1018,87,13,94,8236,13,320,857,267,17,3,3,33,1508,4,111,136,17,0,0,0,10,273,0,94,287,20,0,0,0,0,401,4,66,55,20,0,0,0,8,150,0,8,0,0,0,0,0,0,15,19,590,1326,331,17,6,7,51,2350,0,17,25,21,6,3,0,0,69,0,7,12,13,3,0,0,4,43,58,1164,7174,18213,6557,945,130,425,34663
