LGA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,169,194,469,606,734,721,234,22,0,3145,119,43,85,106,116,299,682,505,208,2160,13,24,42,41,59,61,56,66,32,392,303,255,590,756,919,1079,967,590,239,5699,47,157,539,657,831,706,195,28,3,3166,234,180,329,450,469,571,263,39,3,2538,61,32,79,66,73,108,52,9,0,475,13,18,20,23,32,18,17,7,0,140,349,389,963,1187,1414,1408,525,77,7,6320,8,6,14,13,14,15,4,0,0,82,5,3,6,12,3,14,3,0,0,52,18,14,22,22,25,35,11,0,0,133,367,400,982,1211,1435,1442,531,77,7,6456,251,70,131,164,207,574,1330,899,336,3964,46,47,80,85,118,144,113,106,49,791,666,516,1194,1459,1760,2151,1982,1080,396,11211
LGA20260,146,209,456,445,543,510,169,23,4,2499,112,40,127,103,119,264,556,410,200,1934,17,20,36,36,40,50,53,36,15,311,269,268,620,588,706,820,779,465,222,4741,79,229,614,512,652,563,173,22,3,2851,178,133,276,285,291,357,174,27,3,1716,17,16,56,52,47,64,33,3,0,293,6,12,8,8,14,28,18,10,5,114,281,388,957,860,1006,1008,392,62,12,4973,9,28,21,20,28,16,0,0,0,113,16,9,8,8,4,12,0,3,0,59,24,37,23,25,36,30,3,3,0,178,304,422,981,886,1048,1034,397,67,12,5151,222,98,358,356,385,598,1154,778,334,4287,29,35,97,79,92,107,95,78,33,641,557,560,1438,1312,1520,1745,1644,915,371,10072
LGA20570,1998,2859,6056,5831,5610,4326,937,75,14,27704,1248,596,1379,1290,1361,2439,5188,3340,1533,18371,179,195,408,316,291,269,305,305,306,2565,3423,3646,7844,7438,7264,7039,6431,3717,1848,48643,653,2467,7372,6863,6926,4615,759,54,8,29711,2357,2436,3649,3647,3225,3096,1163,135,6,19708,322,319,761,461,377,542,166,21,5,2979,62,88,197,109,114,82,39,12,11,703,3397,5312,11977,11078,10639,8330,2119,231,28,53104,110,206,378,255,232,181,20,0,0,1383,372,182,219,162,124,138,50,5,0,1255,486,386,593,422,359,322,65,5,0,2639,3876,5701,12567,11497,10993,8649,2189,230,28,55738,2712,1099,2141,1946,2230,4090,9139,5976,2403,31738,334,402,825,630,619,571,599,535,444,4960,6927,7198,15533,14072,13845,13314,11927,6743,2877,92434
LGA20660,1717,2797,6986,7689,7102,5098,1341,114,8,32852,1423,473,993,1369,1361,2565,5240,3900,1956,19269,71,107,294,274,234,187,233,184,160,1737,3207,3380,8269,9329,8698,7849,6811,4194,2121,53856,317,2052,9156,9971,9269,5859,1249,80,6,37965,2064,2774,3290,4355,4097,3524,1539,226,21,21882,331,398,833,690,381,499,235,30,3,3405,22,91,162,150,112,69,33,12,9,665,2734,5309,13447,15169,13867,9943,3058,350,38,63920,61,169,338,293,279,185,30,0,0,1354,543,246,179,178,166,145,62,6,0,1521,597,410,520,466,441,330,94,5,0,2877,3337,5721,13965,15639,14307,10278,3151,360,41,66800,3328,1032,1662,1945,2138,4172,9112,6992,3106,33495,169,257,622,581,474,410,424,323,256,3520,6832,7008,16254,18164,16921,14862,12694,7678,3400,103806
LGA20740,498,519,1394,1647,1857,1937,515,60,8,8426,351,123,362,404,466,1396,2910,1598,581,8198,61,46,124,162,155,225,245,192,119,1325,908,684,1886,2215,2480,3549,3664,1852,706,17951,147,484,1564,1770,1973,1667,355,29,5,7999,588,460,856,1163,1328,1644,707,112,3,6863,152,72,202,225,163,311,116,11,4,1252,37,28,74,55,86,60,32,16,0,382,921,1034,2693,3211,3543,3685,1217,162,16,16498,27,34,69,60,77,82,12,0,0,354,49,30,36,31,43,85,14,5,3,295,77,64,107,94,119,168,28,5,3,658,1000,1101,2800,3302,3660,3854,1240,167,23,17155,731,243,545,638,826,2397,5464,3115,976,14942,111,90,235,299,329,420,478,356,214,2530,1842,1427,3585,4242,4815,6672,7185,3641,1218,34626
LGA20830,918,1184,2861,2588,2828,2401,626,83,5,13500,618,194,677,596,608,1399,2803,1765,715,9375,81,59,216,194,179,196,191,154,94,1359,1615,1437,3758,3378,3620,3989,3618,2008,817,24236,337,1222,3574,3178,3403,2613,610,94,6,15037,1068,848,1519,1639,1698,1799,783,160,15,9528,114,122,388,225,212,311,112,17,0,1506,32,60,122,110,89,67,37,18,6,528,1556,2257,5603,5149,5402,4783,1533,288,30,26602,61,80,125,72,99,98,13,0,0,550,152,59,75,66,62,67,19,3,0,505,211,142,197,137,158,162,29,8,0,1052,1766,2395,5801,5289,5571,4946,1568,294,30,27658,1283,358,945,877,973,2240,5128,3354,1167,16319,163,135,387,403,380,392,380,293,161,2693,3208,2884,7130,6567,6921,7577,7078,3940,1359,46666
LGA20910,1771,2107,3438,5110,6943,4845,1455,180,11,25864,1516,293,524,1055,1401,2299,4271,3422,1916,16697,86,42,140,208,272,189,219,235,273,1667,3369,2442,4101,6372,8621,7337,5952,3838,2201,44233,154,1299,4617,6669,9449,6017,1305,139,7,29660,2213,2421,1418,2558,3514,3363,1892,400,23,17810,399,332,390,437,328,370,182,31,5,2476,20,50,112,109,128,91,30,13,8,562,2793,4109,6539,9772,13417,9837,3408,588,40,50508,21,96,178,154,248,206,39,0,0,947,467,154,84,87,132,124,48,12,0,1115,491,255,262,249,386,325,88,11,3,2064,3285,4356,6804,10017,13797,10160,3499,604,44,52571,3520,740,810,1379,1920,3530,7198,5937,2988,28032,165,106,292,415,537,347,381,392,390,3036,6965,5212,7912,11814,16260,14041,11081,6937,3422,83632
LGA21010,183,220,507,521,682,739,249,35,10,3141,131,45,125,127,170,419,869,610,280,2782,24,27,61,61,69,73,73,86,54,526,343,287,694,712,925,1237,1189,728,345,6459,87,253,633,615,814,781,264,31,7,3478,214,154,293,335,356,558,277,46,7,2235,27,18,75,56,57,85,42,9,0,366,17,13,30,16,32,27,17,15,0,173,350,439,1037,1012,1260,1450,594,97,12,6251,8,14,29,11,24,24,9,0,0,116,25,11,12,7,15,23,10,3,0,101,36,25,38,20,43,48,12,3,0,224,379,461,1072,1031,1305,1498,611,98,16,6471,292,95,199,201,284,694,1574,1153,468,4952,68,52,118,123,132,158,165,138,81,1038,739,608,1389,1350,1725,2350,2342,1392,566,12460
LGA21110,2649,4927,9125,8813,10015,7039,2166,293,27,45042,3067,982,1118,1817,2442,3541,6072,4910,2831,26788,136,172,373,312,350,254,256,274,288,2403,5853,6075,10620,10937,12800,10831,8499,5479,3143,74237,131,2893,12495,11540,13493,8906,2025,200,8,51690,3295,5445,4136,4437,5050,4746,2720,595,53,30470,595,679,777,644,434,465,255,48,15,3916,46,115,225,189,164,104,40,20,4,916,4070,9132,17632,16815,19137,14222,5044,857,78,86987,33,228,411,329,359,284,45,7,0,1700,790,496,257,190,212,202,82,21,0,2246,826,724,672,519,569,484,133,28,0,3953,4892,9857,18301,17334,19710,14701,5172,883,78,90942,6794,2111,1967,2453,3425,5531,10272,8482,4473,45507,262,333,775,617,683,517,473,455,412,4521,11950,12306,21044,20408,23812,20747,15917,9829,4961,140967
LGA21180,2256,4649,10168,8697,8490,5737,1045,66,0,41114,2933,1309,3339,3622,3550,5406,7924,4628,1981,34702,295,393,1098,854,665,562,510,373,291,5049,5489,6349,14610,13179,12708,11706,9475,5071,2271,80858,381,3420,13282,11653,10566,7416,1271,46,0,48036,2543,4484,6365,5172,4862,3985,1177,130,6,28719,332,494,1048,746,591,604,204,19,0,4025,96,309,697,421,358,231,67,9,5,2194,3357,8705,21396,17983,16373,12238,2714,196,10,82979,150,518,999,801,775,573,70,0,0,3899,788,545,518,387,429,445,80,3,0,3201,945,1065,1516,1191,1204,1022,148,9,0,7097,4301,9766,22911,19173,17577,13258,2867,212,10,90074,6192,2718,5207,5400,5577,8700,14439,8755,3206,60192,638,920,2435,1843,1399,1154,1001,749,447,10578,11131,13406,30553,26419,24555,23114,18308,9714,3664,160852
