LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA20110,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,4,0,4,..,112,20,131,0,136,..,787,114,899,16,916,..,35,8,45,846,890,11428,822,119,941,864,13235
LGA20260,0,3,0,3,..,8,0,8,0,8,..,7,4,6,0,6,..,18,4,17,0,17,..,99,9,111,5,109,..,504,85,588,8,595,..,23,0,23,1427,1444,9836,527,83,615,1428,11880
LGA20570,0,146,3,149,..,119,20,139,4,139,..,18,3,26,0,26,..,167,23,186,0,186,..,1117,125,1243,40,1287,..,7122,733,7858,113,7976,..,316,36,356,5258,5612,100172,7444,771,8214,5375,113763
LGA20660,30,547,9,550,..,258,30,284,5,292,..,159,13,169,0,171,..,776,148,923,4,933,..,2642,356,3000,90,3089,..,23714,3542,27255,290,27548,..,430,56,479,3576,4061,94634,24146,3592,27742,3865,126236
LGA20740,0,17,0,17,..,59,10,65,0,65,..,15,0,15,0,15,..,45,9,59,0,59,..,300,41,342,0,348,..,1817,213,2033,29,2060,..,126,3,129,2615,2744,35984,1941,223,2160,2647,40789
LGA20830,5,38,0,38,..,65,18,78,0,82,..,20,0,20,0,20,..,63,34,99,0,97,..,555,49,610,10,617,..,2482,312,2787,31,2819,..,128,6,135,3074,3214,51600,2607,316,2923,3106,57626
LGA20910,8,89,0,91,..,124,10,133,3,138,..,224,16,240,0,245,..,226,28,258,0,258,..,1665,135,1801,39,1842,..,13763,1725,15487,158,15645,..,306,33,342,3191,3534,82132,14071,1758,15830,3349,101306
LGA21010,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,8,0,9,..,73,4,76,0,80,..,464,46,513,14,529,..,39,0,39,1165,1204,12802,504,46,550,1179,14528
LGA21110,16,683,3,684,..,329,41,369,0,369,..,191,17,211,4,210,..,1792,272,2067,16,2080,..,2115,195,2310,60,2373,..,41121,6756,47878,346,48227,..,507,49,556,4555,5117,114556,41632,6809,48437,4906,167900
LGA21180,163,988,8,1000,..,357,85,443,3,443,..,1719,462,2186,7,2189,..,22839,12888,35726,299,36020,..,14675,3784,18451,220,18673,..,84422,26093,110518,903,111421,..,1256,420,1669,10861,12534,70661,85679,26514,112188,11765,194618
LGA21270,0,0,0,0,..,8,0,10,0,10,..,6,0,3,0,3,..,3,0,3,0,3,..,32,0,36,0,36,..,183,19,203,0,206,..,11,0,13,518,534,5444,196,22,217,520,6178
LGA21370,0,10,0,10,..,27,23,52,0,52,..,6,4,6,0,6,..,23,12,32,0,32,..,195,29,228,7,229,..,1283,211,1496,27,1521,..,127,3,133,2529,2665,34548,1411,216,1629,2555,38735
LGA21450,71,646,3,651,..,170,29,200,0,200,..,89,12,102,0,105,..,185,54,240,0,242,..,3455,630,4091,83,4175,..,18466,2362,20820,247,21073,..,459,84,544,5472,6012,91108,18921,2444,21360,5721,118194
LGA21610,510,5961,74,6034,..,566,138,703,11,711,..,1409,298,1710,10,1717,..,2136,801,2941,12,2956,..,29964,7655,37617,532,38144,..,129632,21284,150921,1607,152525,..,2795,765,3563,15352,18913,193800,132433,22049,154479,16959,365239
LGA21670,0,0,0,0,..,9,0,9,0,9,..,6,0,6,0,6,..,4,6,8,0,8,..,91,10,97,0,98,..,366,32,397,5,403,..,43,0,51,929,975,12098,413,31,446,935,13483
LGA21750,0,10,0,10,..,17,3,22,0,25,..,3,0,3,0,3,..,20,9,26,0,26,..,202,38,236,12,246,..,988,304,1290,18,1310,..,41,0,49,1398,1447,19672,1032,302,1334,1419,22423
LGA21830,0,0,0,0,..,7,3,11,0,11,..,3,0,3,0,3,..,7,0,7,0,7,..,70,6,81,4,79,..,364,42,413,0,410,..,39,0,43,1112,1154,14555,407,46,452,1113,16115
LGA21890,30,457,9,461,..,265,41,308,0,308,..,351,72,421,3,424,..,2235,813,3050,23,3067,..,3357,460,3819,94,3912,..,38756,8827,47588,414,48003,..,551,108,661,5792,6448,94119,39315,8937,48249,6202,148570
LGA22110,3,40,0,41,..,32,33,63,0,71,..,6,0,6,0,6,..,74,39,114,0,114,..,290,39,329,10,336,..,1687,252,1940,28,1968,..,129,18,150,3519,3664,43084,1812,272,2090,3546,48715
LGA22170,24,329,3,333,..,296,56,349,4,353,..,154,28,181,0,180,..,263,62,330,0,327,..,2320,372,2698,62,2755,..,13605,1938,15545,184,15734,..,498,44,539,6591,7131,116411,14100,1985,16087,6778,139281
LGA22250,0,0,0,0,..,13,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,29,3,34,4,39,..,221,30,251,3,256,..,30,4,29,818,851,9574,248,36,279,824,10683
LGA22310,24,799,14,813,..,298,55,347,4,352,..,175,20,199,7,200,..,999,136,1136,8,1143,..,6809,483,7288,127,7416,..,40173,5465,45633,429,46060,..,587,86,669,4472,5143,97714,40760,5545,46301,4893,148908
LGA22410,0,4,0,4,..,32,0,31,0,31,..,0,0,0,0,0,..,18,5,21,0,22,..,109,11,124,4,124,..,539,39,578,5,582,..,49,0,52,1330,1384,18185,588,41,630,1341,20152
LGA22490,0,0,0,0,..,24,4,24,0,26,..,4,0,4,0,4,..,14,3,15,0,19,..,200,33,232,7,241,..,674,66,736,12,752,..,42,5,47,1135,1179,23053,711,72,782,1151,24985
LGA22620,3,83,0,81,..,81,21,102,0,102,..,27,3,37,0,37,..,124,43,170,5,176,..,1820,911,2726,57,2785,..,6323,1426,7753,116,7869,..,322,63,378,6530,6911,106692,6645,1489,8133,6647,121470
LGA22670,348,2761,32,2797,..,418,236,655,5,657,..,1183,326,1510,12,1518,..,11981,6691,18668,112,18784,..,13624,4408,18033,197,18227,..,75626,25385,101009,840,101849,..,1508,703,2209,7788,9994,46362,77130,26092,103225,8621,158208
LGA22750,40,462,4,462,..,351,79,431,3,436,..,279,52,340,0,340,..,650,237,889,9,897,..,5087,1294,6384,130,6513,..,27176,4242,31411,388,31800,..,759,108,866,13049,13915,225345,27937,4347,32283,13431,271057
LGA22830,14,161,0,159,..,111,47,157,0,158,..,356,122,483,0,483,..,69,27,95,8,102,..,1960,728,2692,50,2743,..,9499,2395,11889,167,12066,..,268,64,334,4921,5251,51093,9762,2460,12228,5090,68409
LGA22910,0,0,0,0,..,20,0,20,0,20,..,10,0,10,0,10,..,13,0,16,0,16,..,145,16,163,0,169,..,718,69,789,8,798,..,39,0,42,1254,1297,14514,759,73,835,1262,16604
LGA22980,0,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,7,3,11,0,11,..,151,115,262,6,266,..,270,127,396,3,402,..,18,4,25,362,389,4903,290,130,419,370,5698
LGA23110,10,195,0,194,..,192,42,236,5,237,..,117,19,132,3,132,..,1346,504,1847,26,1873,..,3236,595,3830,81,3908,..,20805,3672,24478,258,24734,..,361,71,431,3785,4213,62380,21168,3740,24909,4037,91322
LGA23190,4,11,0,13,..,13,0,13,0,13,..,11,0,20,0,15,..,17,0,18,0,18,..,147,65,218,7,219,..,828,115,944,15,958,..,43,8,49,1052,1102,18370,870,123,993,1062,20429
LGA23270,66,955,18,975,..,402,112,518,7,518,..,11544,3160,14709,100,14814,..,1414,662,2073,11,2081,..,17809,5993,23796,308,24106,..,98145,19661,117803,1213,119012,..,2057,660,2713,11985,14697,110184,100196,20322,120519,13197,243901
LGA23350,0,0,0,0,..,12,3,17,0,17,..,0,0,0,0,0,..,4,0,0,0,0,..,101,13,110,0,111,..,362,31,394,11,404,..,18,6,27,1031,1058,15902,386,34,421,1044,17368
LGA23430,34,762,6,775,..,323,77,401,0,401,..,617,140,757,8,767,..,1302,407,1711,14,1727,..,3538,432,3964,86,4048,..,34501,6212,40722,408,41125,..,566,83,651,4810,5466,111535,35072,6294,41372,5219,158129
LGA23670,67,1452,6,1457,..,321,34,355,4,362,..,151,24,175,3,176,..,967,315,1282,10,1294,..,2945,518,3469,112,3575,..,38443,6803,45242,493,45732,..,586,107,690,4525,5217,108159,39023,6906,45930,5017,159103
LGA23810,0,44,0,44,..,75,19,98,3,100,..,18,4,16,0,16,..,87,32,122,3,127,..,1007,201,1210,34,1246,..,4355,704,5056,72,5134,..,223,38,267,5419,5682,66500,4578,741,5325,5493,77318
