LGA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA23190,0,0,0,0,0,0,0,0,5,0,12,0,0,0,3,0,0,0,3,0,0,4,0,8,0,8,0,0,0,9,4,0,12,0,5,0,6,0,0,0,9,17,0,24,0,14,4,17,5,5,8,24,28,0,50,4,30,9,41,0,3,7,45,51,0,94,8,27,6,32,0,0,0,32,36,0,70,20,40,4,63,0,5,5,66,47,0,118,33,33,0,69,5,0,3,75,32,0,102,29,20,5,57,0,0,0,59,28,0,88,25,13,0,39,0,0,0,39,11,0,55,15,6,0,24,0,0,0,24,17,0,38,40,15,3,65,0,0,0,65,9,0,72,10,3,0,16,0,0,0,18,6,0,24,8,3,0,10,0,0,0,10,4,0,9,0,0,0,4,0,0,0,4,0,0,4,7,0,0,6,0,0,0,6,3,0,8,22,15,0,40,0,0,0,40,16,0,56,0,0
LGA23270,3,4,0,11,14,6,23,30,249,7,289,0,0,4,8,4,3,11,18,44,0,61,3,27,8,37,11,12,22,58,141,3,196,0,36,6,48,13,16,26,70,201,3,279,6,75,11,92,15,24,36,130,332,3,467,20,152,23,199,29,25,58,250,438,3,685,49,258,37,347,25,32,51,402,490,4,896,164,252,47,469,15,15,32,501,650,9,1158,284,239,46,574,14,22,44,616,575,6,1193,341,211,28,580,15,17,33,611,469,8,1082,307,151,30,487,5,6,16,500,291,0,788,250,99,31,382,5,8,11,394,233,0,626,451,161,38,655,12,11,19,670,304,0,982,267,91,26,381,8,3,10,388,188,0,583,172,39,19,226,3,0,0,235,72,0,305,88,17,3,106,9,0,9,111,40,0,152,142,34,3,179,0,0,3,182,49,0,233,168,90,50,315,12,11,19,334,229,33,594,7,3
LGA23350,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,9,0,0,0,0,0,0,0,0,13,0,12,0,3,0,5,0,0,0,5,17,0,15,0,17,3,17,0,6,7,25,23,0,48,0,18,5,23,0,0,0,23,21,0,45,11,15,0,32,0,0,3,33,16,0,51,22,14,4,39,0,0,0,39,33,0,66,27,21,3,46,0,0,0,46,14,0,67,20,17,0,38,0,0,0,38,5,0,48,16,9,5,29,0,0,0,32,7,0,34,32,5,0,46,0,0,0,44,9,0,55,8,4,0,14,0,0,0,14,7,0,12,9,0,0,10,0,0,0,10,0,0,12,4,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,5,3,0,4,21,11,0,37,0,0,0,38,11,3,56,0,0
LGA23430,0,4,0,6,7,3,9,21,110,0,132,0,13,0,17,0,5,7,19,29,0,53,0,14,4,20,9,0,9,28,44,0,65,6,17,0,26,8,3,14,42,71,0,109,3,56,7,66,5,11,15,79,124,0,202,9,106,9,125,13,17,32,156,158,0,314,35,145,16,198,10,13,22,218,182,0,403,83,187,20,288,10,3,11,305,289,3,598,169,204,27,406,12,9,19,424,311,0,744,203,202,15,419,4,6,6,430,228,0,655,264,141,9,414,6,3,8,420,151,0,573,220,114,25,352,3,0,3,353,114,4,465,445,142,23,613,0,3,5,623,203,3,827,187,68,15,274,0,0,4,275,94,0,371,161,42,12,218,0,0,0,217,50,0,267,57,17,10,78,0,0,0,81,16,0,95,223,36,9,267,0,0,3,270,35,0,302,201,93,27,321,5,0,6,325,131,6,467,8,8
LGA23670,9,0,6,14,7,4,10,28,120,0,145,4,0,0,5,0,4,4,9,32,0,40,4,8,7,15,9,5,9,23,28,0,58,3,30,4,39,8,10,22,59,70,0,132,7,51,4,61,8,11,15,78,156,0,237,9,100,12,122,12,19,29,145,194,0,338,43,165,24,241,9,17,18,255,204,0,458,106,191,18,318,13,7,21,337,274,5,608,203,224,26,457,4,10,15,469,302,0,779,251,195,19,467,4,6,10,481,231,0,708,246,123,25,398,6,4,13,410,157,0,574,219,89,10,318,3,3,11,327,121,0,448,397,159,18,576,5,0,9,585,180,0,767,234,69,11,316,4,0,6,319,75,0,390,143,37,5,191,3,0,3,189,31,0,228,79,27,5,110,3,3,3,118,21,0,138,151,34,8,189,5,0,5,189,32,0,222,196,76,25,299,9,4,9,309,130,4,441,4,13
LGA23810,0,0,0,4,0,3,4,10,46,3,54,0,8,0,13,0,0,0,14,15,0,30,0,12,0,12,10,0,6,16,34,0,52,4,26,7,36,7,7,16,48,74,0,124,0,26,6,34,25,11,41,71,169,0,240,7,92,16,111,20,25,42,155,221,6,382,36,136,14,192,14,17,37,228,203,4,432,72,166,17,257,11,8,17,275,280,0,554,101,129,13,239,7,8,18,253,193,5,453,112,130,11,258,5,0,4,260,122,0,389,122,63,7,194,3,5,7,197,64,0,261,98,35,8,144,0,0,6,145,39,0,187,162,40,12,217,3,0,4,222,60,0,277,59,21,3,85,3,0,3,97,23,0,115,35,9,0,50,0,0,0,50,8,0,64,13,3,0,13,0,0,0,16,4,0,22,26,11,0,41,0,0,0,41,15,0,58,80,54,19,155,7,5,10,167,80,11,261,4,3
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,3,0,0,0,3,15,0,17,5,9,0,12,0,0,0,14,15,0,22,3,5,0,10,6,0,6,16,16,0,30,0,9,0,10,0,0,0,10,21,0,34,6,5,0,11,0,0,0,14,19,0,32,8,0,0,10,0,0,0,10,6,0,23,6,4,0,10,0,0,0,11,4,0,15,0,0,0,0,0,0,0,0,8,0,4,10,0,0,8,0,0,0,10,3,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,12,0,0,0,12,15,0,22,0,0
LGA24130,0,0,0,0,0,5,3,3,17,0,22,0,4,0,3,0,0,0,3,8,0,13,0,8,0,8,0,0,0,3,8,0,15,0,11,0,11,0,0,0,11,15,0,27,3,11,7,20,0,3,4,23,44,0,67,4,37,8,45,0,6,4,52,52,0,106,8,43,0,52,0,0,8,59,56,0,117,23,57,6,86,4,0,5,90,71,0,163,43,45,11,101,0,0,8,105,60,5,172,48,48,8,96,0,0,0,101,45,0,149,68,46,0,121,0,0,0,120,44,0,161,46,27,3,77,0,0,0,79,22,0,99,116,39,9,165,0,5,6,171,30,0,207,37,17,3,62,0,0,0,62,23,0,79,46,8,0,54,0,0,0,54,5,0,65,10,3,0,16,0,0,0,16,0,0,14,52,11,4,66,0,0,0,66,4,0,71,68,44,7,120,0,0,0,120,28,7,157,0,3
LGA24210,10,9,0,13,7,8,16,30,213,0,248,0,14,0,15,5,3,6,19,48,0,72,6,11,0,20,0,4,3,25,43,3,70,0,21,0,26,0,12,11,38,54,0,91,0,39,9,47,7,8,16,58,92,0,151,13,78,11,103,0,13,12,119,88,0,207,26,94,16,134,3,12,10,153,119,0,267,38,103,12,159,9,7,12,168,172,3,350,116,146,20,285,8,6,10,297,199,0,490,116,113,11,237,8,8,15,248,164,0,416,113,71,14,202,10,3,11,210,110,0,326,124,72,6,196,7,7,7,201,113,0,316,270,92,10,371,5,4,9,380,172,0,550,112,58,8,172,0,0,0,174,104,0,280,115,43,5,163,0,0,0,163,38,0,198,27,24,0,53,0,0,4,61,23,0,80,162,39,5,212,5,3,7,216,63,0,278,102,56,13,172,4,6,11,182,91,17,286,3,0
LGA24250,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,5,0,6,0,0,0,6,0,0,6,0,7,0,8,0,0,0,8,9,0,16,0,11,0,10,0,0,0,12,11,0,22,3,15,3,16,0,0,0,16,10,0,29,6,14,5,25,0,0,0,26,11,0,40,5,13,0,21,0,0,0,21,16,0,36,14,14,5,20,0,0,0,20,14,0,33,10,5,0,19,0,0,0,19,3,0,20,4,6,0,9,0,0,0,9,7,0,15,8,6,0,19,0,0,0,19,0,0,19,5,3,0,7,0,0,0,7,4,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,9,0,0,3,8,0,0,5,0,0,0,5,0,0,5,6,7,0,20,0,0,0,21,10,0,31,0,0
LGA24330,0,0,0,6,4,4,5,5,71,0,71,0,4,0,4,3,3,10,11,17,0,33,0,10,6,17,3,3,8,22,26,0,51,0,18,0,19,4,3,4,29,56,0,88,3,25,0,30,5,11,16,41,87,0,134,9,29,3,41,9,6,22,60,106,0,170,17,64,10,91,8,8,17,111,107,0,220,41,73,16,127,3,3,9,140,182,0,324,72,87,12,170,9,0,9,183,137,8,318,102,70,7,179,10,5,13,194,126,0,320,90,40,11,141,7,0,10,150,87,3,242,111,44,4,155,5,5,4,166,66,0,231,211,73,14,294,0,3,9,305,91,0,393,73,22,0,99,0,4,3,99,56,0,156,78,13,9,103,0,0,3,103,29,0,129,20,7,3,27,0,0,0,27,14,0,43,111,14,4,126,0,0,0,127,31,0,160,75,29,6,110,3,0,6,111,85,9,209,3,0
LGA24410,0,0,0,3,4,0,4,10,90,0,101,0,3,0,6,0,3,3,10,15,0,27,0,9,4,8,0,5,6,17,31,0,43,0,31,3,32,7,6,10,42,56,0,99,5,35,7,50,0,6,6,58,99,0,155,8,73,11,90,3,17,22,112,142,4,252,25,142,8,177,7,12,18,190,147,0,341,61,145,18,223,9,5,11,229,224,3,457,142,153,25,316,8,10,16,335,176,3,513,175,170,13,353,4,0,4,362,160,0,518,149,116,13,273,6,6,6,284,92,0,371,169,65,6,239,3,0,3,244,80,0,324,347,114,17,477,3,4,9,486,83,0,571,167,43,11,229,4,0,4,238,47,0,280,129,27,7,158,0,0,0,162,22,0,184,51,17,0,65,0,0,0,65,8,0,77,124,18,0,143,0,0,0,149,25,0,173,174,71,20,265,5,9,8,276,84,5,361,0,3
LGA24600,4,6,0,13,13,10,27,35,158,0,191,0,7,3,16,3,3,7,24,29,0,43,0,18,0,18,5,8,16,33,60,0,97,5,17,0,22,3,3,5,28,55,0,88,0,16,8,28,4,8,13,36,97,0,131,9,55,8,74,6,12,13,82,105,0,185,14,57,10,75,4,5,10,88,99,4,188,18,63,4,87,8,6,11,104,105,0,207,69,65,12,151,0,3,8,157,102,0,261,88,69,5,164,7,3,7,175,82,0,254,80,40,14,134,4,3,4,139,67,0,204,89,28,12,125,0,0,0,129,54,0,179,209,41,7,255,4,3,9,263,66,0,326,61,14,6,77,0,0,3,80,36,0,120,82,12,0,98,0,0,0,97,20,0,117,23,4,0,28,0,0,0,30,11,0,39,168,32,3,204,0,0,0,204,27,0,234,51,26,6,81,5,0,3,87,54,10,156,0,0
LGA24650,5,8,3,18,11,14,25,40,140,0,179,0,4,0,6,3,0,6,13,42,0,55,0,17,10,27,8,11,16,47,71,4,120,4,30,12,40,9,0,9,56,115,0,177,4,51,13,69,21,23,48,119,224,3,345,18,143,44,211,22,33,55,269,370,0,646,65,176,40,284,28,33,56,347,351,0,700,120,239,36,398,19,26,41,439,356,3,804,267,208,37,516,16,17,34,545,329,0,874,306,176,33,514,19,15,35,551,266,0,819,251,105,14,371,12,9,18,392,163,0,548,219,78,19,317,9,4,20,336,130,0,464,405,141,29,569,5,11,18,591,174,0,769,180,49,16,245,11,6,13,255,89,0,347,137,41,4,176,0,4,0,181,37,0,227,61,17,5,82,0,3,3,80,10,0,94,95,27,5,125,3,0,3,130,33,0,165,129,84,34,248,14,4,22,266,130,11,414,20,14
LGA24780,0,0,5,6,0,0,0,6,30,0,34,0,0,0,0,0,0,0,0,7,0,12,0,9,0,9,0,0,5,13,24,0,35,0,7,4,13,0,5,10,18,48,0,67,0,24,0,30,5,8,9,39,100,4,147,15,58,15,82,9,17,24,109,124,0,231,33,94,17,143,11,0,9,155,120,0,267,55,89,13,156,3,11,14,166,129,0,300,117,95,15,220,4,3,12,228,129,0,361,99,63,9,175,4,0,8,185,78,0,265,102,40,9,146,0,0,0,151,49,3,208,77,23,3,106,0,0,3,110,37,0,141,131,23,3,160,0,0,0,161,38,0,205,39,11,0,58,0,0,0,56,18,0,75,39,0,4,43,0,0,0,43,4,0,45,7,0,0,6,0,0,0,6,3,0,15,18,11,0,29,0,0,0,31,8,0,38,73,34,9,117,0,0,3,118,52,11,183,4,8
LGA24850,4,0,0,4,0,0,0,12,35,0,47,0,0,0,3,0,0,0,3,3,0,11,0,3,0,4,0,0,0,7,20,0,25,0,4,0,4,0,4,8,16,22,0,36,3,18,4,23,8,7,10,35,59,0,93,5,48,10,68,3,13,17,74,103,0,188,24,70,11,102,10,4,15,110,102,0,212,51,60,5,121,0,10,6,131,129,4,259,55,67,15,139,6,0,6,142,77,0,226,67,71,16,149,0,3,5,152,92,0,247,78,33,3,115,0,0,3,120,39,0,154,71,25,5,98,0,0,3,97,35,0,135,118,35,8,158,0,0,4,157,42,0,207,59,19,8,82,0,0,0,81,22,0,103,38,5,3,43,0,0,0,45,11,0,58,13,3,0,13,0,0,0,13,9,0,21,33,3,0,37,0,0,0,37,8,0,44,56,27,7,87,5,4,0,87,50,5,143,9,3
LGA24900,0,0,0,0,0,0,4,0,4,0,6,0,0,0,3,0,0,0,3,5,0,7,0,8,0,5,0,0,0,5,15,0,20,0,9,4,14,0,4,4,16,17,0,34,3,14,4,15,5,4,7,24,52,0,76,8,42,12,56,4,5,10,63,43,0,102,16,51,8,71,0,5,6,78,55,0,134,31,50,0,82,4,4,8,88,80,0,167,42,46,8,97,0,0,0,97,69,0,162,45,42,0,86,0,0,3,94,44,0,135,33,25,4,56,0,0,0,61,25,0,84,18,13,0,33,0,0,3,36,8,0,48,51,18,6,74,0,0,0,74,21,3,93,15,3,0,23,0,0,0,23,9,0,29,8,3,0,16,0,0,0,16,0,0,18,5,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,9,0,0,12,22,16,3,46,0,0,0,44,36,4,86,4,4
LGA24970,6,10,9,26,8,14,18,44,274,0,318,0,19,5,21,0,8,12,31,62,0,96,5,44,3,48,6,8,14,64,74,0,134,8,47,12,63,8,8,19,82,79,0,157,10,66,10,78,5,13,17,97,117,0,221,15,108,9,132,10,20,31,161,195,0,358,33,150,8,194,9,11,21,213,211,0,420,108,153,15,277,6,8,13,293,311,8,607,146,170,18,340,3,14,17,355,331,0,693,195,160,19,366,7,3,11,385,262,3,645,177,95,22,291,4,6,5,301,181,0,483,200,98,13,309,4,0,4,308,154,0,463,394,108,24,529,5,7,10,539,232,0,769,176,77,4,261,3,6,8,271,120,0,392,155,34,11,199,0,0,0,203,53,0,257,69,16,0,88,0,0,0,89,32,0,124,186,47,10,241,0,0,0,245,71,0,314,145,87,31,265,6,0,11,272,149,18,434,6,3
LGA25060,3,3,0,5,7,3,12,21,63,0,82,0,4,0,8,4,5,7,18,25,0,41,0,10,3,13,8,3,12,20,59,0,85,0,20,4,28,8,5,11,40,66,0,110,0,25,4,27,10,9,14,39,125,0,164,7,48,10,64,8,9,19,81,125,0,206,25,77,11,116,6,3,16,131,142,0,272,55,111,13,183,8,5,17,193,182,0,384,93,117,15,219,0,3,6,232,213,0,451,114,116,12,239,6,3,9,247,175,0,426,137,94,10,244,4,3,8,247,108,0,356,137,59,7,202,3,0,4,208,109,0,317,284,89,13,388,6,0,4,396,140,0,536,150,51,12,208,0,3,4,215,61,0,282,137,32,5,167,0,0,0,170,32,0,200,61,15,0,77,0,0,0,77,13,0,91,201,24,8,228,0,0,0,233,49,0,286,134,57,12,200,5,4,8,205,91,9,308,5,4
LGA25150,0,0,4,3,0,0,0,6,26,0,32,0,0,0,5,0,0,0,5,4,0,10,0,0,0,0,0,4,3,8,13,0,30,6,3,0,12,0,0,0,9,13,0,24,0,10,4,18,6,4,10,27,53,0,77,6,31,7,47,4,6,11,52,51,0,103,13,48,9,58,0,3,10,70,67,0,137,21,48,8,79,0,5,5,82,70,0,159,50,58,9,109,6,4,4,114,68,0,178,49,34,3,89,0,0,0,89,52,0,143,56,35,9,92,7,0,3,100,29,0,130,64,18,0,80,0,0,0,80,33,0,114,92,28,0,124,0,0,0,126,30,0,157,44,9,0,49,0,0,0,49,21,0,73,38,5,0,41,0,0,0,43,0,0,48,12,3,0,17,0,0,0,17,4,0,27,26,8,3,38,0,0,0,38,6,0,43,32,24,3,55,0,0,0,59,27,3,85,6,0
LGA25250,0,0,6,7,7,5,12,19,100,4,122,0,0,0,4,3,0,6,8,26,0,36,0,12,0,10,3,3,5,24,56,0,77,4,15,5,31,10,13,25,49,82,0,131,0,27,10,39,6,9,19,62,150,0,213,19,64,10,94,13,12,28,120,210,0,331,26,123,16,161,3,18,22,182,218,0,403,57,144,12,217,10,16,20,240,338,4,579,152,189,15,355,5,3,11,362,322,0,692,157,135,24,310,11,8,19,329,229,0,557,185,105,20,309,0,3,9,319,192,0,510,181,67,9,253,9,3,10,264,138,0,399,416,121,21,560,4,0,9,566,211,3,779,155,45,12,204,3,3,3,213,130,3,348,145,31,9,184,0,0,0,188,29,0,218,58,21,3,77,0,0,0,82,25,0,110,150,24,5,177,0,0,0,181,44,0,220,115,67,14,197,3,0,6,204,156,15,373,0,3
LGA25340,0,0,0,5,3,3,9,13,75,0,85,0,4,4,9,5,0,5,13,22,0,34,0,17,7,25,0,12,12,31,43,0,72,0,25,12,36,8,7,18,55,79,0,129,6,44,20,68,10,17,34,101,147,3,254,17,144,26,192,8,14,19,211,217,4,428,38,224,30,288,6,19,29,312,231,3,552,76,262,37,379,10,8,17,394,331,3,729,179,271,35,483,3,3,14,491,314,4,812,214,236,38,483,9,8,17,507,213,0,718,195,155,29,377,0,0,4,374,137,0,515,211,106,16,334,0,6,4,336,107,3,449,370,131,26,531,0,0,3,531,133,0,667,157,61,14,241,0,0,0,239,64,0,303,103,45,8,148,0,0,0,154,26,0,175,46,24,3,68,0,0,0,68,17,0,82,135,35,0,174,0,0,0,174,39,0,217,204,147,30,385,12,4,14,397,171,23,588,5,3
LGA25430,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,11,0,7,0,8,0,0,0,8,9,0,21,0,5,0,5,0,0,0,5,24,0,34,0,25,0,28,0,7,7,29,34,0,61,8,45,3,50,0,3,3,57,39,0,90,13,41,10,63,0,0,0,67,55,0,124,16,38,0,51,0,0,0,55,37,0,88,19,28,6,57,0,0,0,57,39,0,92,25,28,0,50,0,0,0,51,9,0,64,30,10,0,41,0,0,0,41,5,0,48,35,11,9,56,0,0,0,57,4,0,61,15,8,0,30,0,0,0,30,4,0,28,9,3,0,18,0,0,0,18,6,0,16,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,3,3,0,12,35,30,0,63,0,0,0,64,17,5,83,0,0
LGA25490,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,6,0,0,0,4,0,0,0,6,13,0,22,0,6,3,12,0,0,0,12,9,0,19,0,15,0,17,0,4,5,25,19,0,38,5,23,0,31,0,0,0,35,24,0,53,14,23,5,37,0,0,0,43,31,0,75,16,17,3,34,0,0,4,41,23,0,65,15,17,0,33,0,0,0,32,19,0,50,14,7,3,29,0,0,0,29,3,0,37,18,9,4,27,0,0,0,27,9,0,33,17,14,0,29,0,0,0,28,11,0,44,5,5,0,13,0,0,0,13,4,0,19,8,0,0,10,0,0,0,10,0,0,10,3,0,0,8,0,0,0,8,0,0,8,9,5,0,9,0,0,0,14,9,0,17,19,13,4,33,0,0,4,40,17,0,59,0,4
LGA25620,3,0,0,3,0,0,0,3,11,0,13,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,5,4,4,3,3,0,10,0,5,0,9,0,0,0,6,3,0,13,0,10,5,13,0,0,0,15,17,0,29,0,15,0,13,6,6,6,20,18,0,38,0,17,4,16,0,0,0,21,28,0,39,4,19,0,27,0,4,4,34,35,0,66,11,25,3,39,0,0,0,41,31,0,75,16,11,3,29,0,0,0,29,11,0,37,8,5,0,17,0,0,0,17,7,0,26,10,8,0,20,0,0,0,20,12,0,27,23,7,0,26,0,0,0,26,11,0,36,5,4,3,15,0,0,0,15,5,0,20,4,0,0,9,0,0,0,9,3,0,11,4,0,0,0,0,0,0,0,0,0,3,7,0,0,8,0,0,0,8,3,0,9,22,16,0,38,0,0,0,35,21,5,58,0,0
LGA25710,3,5,0,6,0,0,0,4,39,0,44,0,0,0,0,0,0,0,0,9,0,9,0,0,0,7,0,0,0,0,9,0,13,0,9,0,9,0,0,0,11,18,0,23,3,19,3,23,3,0,8,34,29,0,63,0,32,5,34,0,3,3,41,51,0,86,12,33,3,50,0,3,5,58,49,0,105,19,59,7,84,0,0,0,84,60,0,148,38,68,3,109,3,3,4,114,58,0,172,76,55,5,137,0,4,5,139,50,0,189,60,56,7,119,0,0,6,118,33,0,156,68,40,0,114,0,0,0,117,32,0,149,179,45,7,233,0,0,0,234,48,3,286,75,21,3,103,0,0,4,104,19,0,123,81,6,0,92,0,0,0,88,14,0,105,29,9,5,41,0,0,0,41,7,0,42,99,22,5,115,0,0,0,122,15,0,132,84,48,6,144,6,3,12,155,42,9,203,5,0
