LGA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA20110,20,6,5,0,32,18,0,0,0,16,5,0,9,0,17,9,3,10,0,28,52,0,15,0,73,38,7,45,0,90,235,14,45,0,295,162,31,51,10,258,158,54,51,6,269,221,86,45,3,361,114,73,22,5,217,139,109,20,8,271,233,220,18,0,477,131,161,7,0,301,97,142,7,0,248,41,74,0,0,117,113,146,6,0,270,71,119,39,3,227,34,14,5,0,52,1894,1261,423,38,3617
LGA20260,27,4,3,0,35,12,0,3,0,17,4,0,3,0,14,8,0,6,0,17,51,5,18,0,75,23,5,46,4,85,171,21,48,10,251,141,24,66,9,234,138,45,57,8,244,128,91,51,4,269,69,72,39,9,185,107,86,29,0,225,189,175,35,8,409,98,124,15,0,249,65,83,12,0,157,34,52,0,0,86,61,87,3,0,157,76,108,37,3,228,26,10,8,0,51,1434,1001,481,54,2973
LGA20570,158,14,71,3,247,69,8,25,3,101,47,9,56,3,114,45,14,116,0,167,251,37,264,7,560,222,43,512,13,797,1380,151,580,29,2136,951,229,737,49,1967,1051,455,731,61,2297,1252,742,603,67,2661,705,744,419,39,1902,807,817,305,31,1959,1553,1795,444,55,3849,994,1570,181,33,2780,674,1373,103,17,2164,384,838,47,3,1278,753,2002,84,7,2849,393,829,359,13,1593,180,72,99,11,364,11872,11742,5732,444,29786
LGA20660,272,66,99,5,435,108,19,31,3,155,72,27,74,0,176,50,19,94,6,170,287,44,149,12,485,179,66,288,13,541,976,133,308,30,1445,739,203,448,51,1438,919,371,498,44,1829,1037,529,472,63,2099,636,567,395,42,1638,658,719,379,42,1802,1494,1792,651,66,4009,1301,1871,293,57,3518,996,1989,204,24,3209,744,1514,76,17,2351,1639,5534,246,26,7450,383,906,360,6,1655,203,102,63,12,374,12696,16457,5120,503,34785
LGA20740,129,17,16,0,164,68,0,14,0,80,61,0,22,5,84,51,4,48,0,101,225,18,81,6,325,142,25,144,5,313,807,54,207,6,1069,576,88,219,22,908,607,209,194,18,1037,622,285,162,7,1076,259,260,92,15,626,372,312,69,0,752,567,557,98,7,1228,313,442,36,5,796,227,319,20,0,562,112,206,13,0,334,309,396,25,0,729,207,331,136,6,684,137,34,37,9,216,5781,3565,1620,108,11074
LGA20830,136,22,24,5,182,67,6,14,4,86,39,4,29,0,83,33,5,54,3,95,199,25,111,9,333,132,41,188,0,366,846,82,222,12,1161,592,136,288,24,1041,631,230,284,26,1170,668,366,244,19,1291,352,417,157,26,951,450,521,130,19,1117,845,1115,202,15,2171,551,853,79,9,1490,375,689,41,9,1118,178,388,24,3,589,414,919,47,7,1379,246,519,172,4,945,149,85,43,3,279,6896,6408,2350,184,15843
LGA20910,176,57,107,9,344,82,15,28,0,121,68,18,53,6,141,37,16,52,3,103,159,33,108,8,312,126,31,131,6,296,464,70,162,18,720,460,77,238,24,794,622,146,278,21,1071,784,202,256,35,1279,451,234,245,15,940,562,252,217,16,1043,1071,810,429,28,2345,959,855,161,20,1995,791,1126,190,9,2114,567,884,70,9,1528,2538,7938,423,21,10922,357,958,309,3,1631,133,91,39,4,270,10418,13810,3486,250,27964
LGA21010,28,0,4,0,33,18,0,0,0,19,8,0,10,0,21,18,3,11,0,33,73,0,33,0,109,39,11,38,5,88,291,21,63,0,381,207,28,90,0,333,196,67,79,12,350,225,93,47,11,375,109,106,39,0,249,120,77,33,4,233,214,196,44,9,459,161,138,15,0,319,91,112,11,0,214,57,74,12,0,137,98,116,20,0,230,98,126,59,0,280,51,19,7,0,70,2084,1197,618,46,3939
LGA21110,392,147,357,24,921,130,45,76,17,264,76,49,137,17,280,47,44,139,5,236,245,74,166,22,505,199,106,191,19,518,702,189,244,36,1172,599,209,307,53,1171,864,380,417,56,1719,1100,512,401,78,2082,701,514,312,60,1588,900,527,332,40,1794,1925,1441,621,100,4089,1589,1350,285,68,3293,1401,1524,307,41,3276,987,1315,115,24,2441,3700,11943,636,69,16347,534,1556,453,18,2556,149,152,46,8,360,16248,22080,5540,748,44611
LGA21180,763,230,401,33,1424,174,50,87,5,314,151,114,234,20,520,123,114,377,12,624,681,243,471,36,1425,363,354,675,31,1427,2488,673,776,77,4010,1327,1034,1046,121,3525,1149,1524,1024,115,3805,1400,1863,1067,128,4462,731,1657,742,86,3213,766,1667,603,94,3120,1598,3376,946,153,6075,1045,2750,489,76,4361,697,2132,316,55,3201,438,1399,158,25,2031,707,3051,238,34,4030,514,1492,569,59,2635,350,221,228,29,818,15455,23938,10455,1181,51032
