LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA20110,..,3,0,6,0,6,..,39,13,53,0,54,..,11,4,10,0,16,..,29,0,31,4,41,..,60,0,60,0,60,..,25,3,32,0,32,..,0,0,0,0,0,..,5,0,8,0,8,..,4,0,4,0,4,..,28,6,32,0,33,..,14,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,59,3,63,0,70,..,289,42,326,0,333,..,10,3,13,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,13,0,13,..,3,0,3,0,3,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,38,4,41,3,47,..,9,0,9,0,9,..,20,0,20,0,20,..,0,3,10,0,10,..,68,9,76,3,82,..,26,0,26,0,26,..,0
LGA20260,..,0,4,3,0,3,..,45,47,90,0,90,..,6,0,9,0,9,..,4,0,6,0,6,..,18,0,18,0,18,..,11,0,11,0,11,..,5,0,5,0,5,..,19,0,19,0,19,..,15,0,15,0,15,..,14,3,12,0,15,..,45,0,52,0,50,..,4,0,8,0,8,..,37,3,38,0,42,..,8,0,8,0,8,..,139,6,152,5,155,..,9,0,9,0,9,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,4,0,4,..,30,0,30,0,30,..,3,3,4,0,4,..,25,0,28,0,28,..,8,0,8,0,8,..,23,0,25,0,25,..,5,3,6,0,6,..,68,7,70,0,70,..,6,3,10,0,10,..,3
LGA20570,..,33,6,36,0,36,..,901,255,1156,16,1174,..,100,16,116,6,114,..,125,10,137,0,136,..,163,3,173,0,172,..,131,13,146,4,151,..,113,8,127,0,128,..,110,13,121,0,125,..,362,19,383,0,387,..,209,8,213,0,213,..,705,49,755,11,764,..,199,7,205,4,206,..,213,25,235,3,233,..,41,0,41,0,41,..,1957,123,2075,20,2103,..,174,14,185,4,191,..,136,15,155,0,151,..,17,0,17,0,17,..,58,9,63,0,63,..,28,0,34,0,34,..,430,32,464,7,466,..,56,14,65,0,70,..,57,0,57,0,57,..,54,3,56,0,56,..,66,9,76,0,79,..,23,0,26,0,26,..,51,3,59,0,59,..,211,4,213,5,221,..,72,0,72,0,74,..,217,6,220,0,220,..,82,3,79,0,79,..,576,16,590,4,598,..,213,10,221,5,227,..,144
LGA20660,..,178,47,229,0,229,..,5084,1575,6653,66,6720,..,466,50,517,3,514,..,338,14,347,4,355,..,368,7,374,11,383,..,2161,283,2444,15,2464,..,83,0,83,0,86,..,140,3,139,0,139,..,767,20,785,6,797,..,159,7,166,3,168,..,311,18,335,5,336,..,478,27,499,0,506,..,188,8,196,0,198,..,164,4,165,7,173,..,2295,90,2378,24,2403,..,2651,327,2981,14,2992,..,324,34,356,0,360,..,29,4,35,0,35,..,228,56,284,3,286,..,725,92,820,4,824,..,458,19,473,5,475,..,708,71,781,11,794,..,230,15,251,0,251,..,146,16,157,0,157,..,268,31,294,3,298,..,48,4,47,0,47,..,232,35,271,4,269,..,247,0,249,0,248,..,196,32,222,3,223,..,235,6,245,4,244,..,120,0,120,0,121,..,791,42,838,7,844,..,664,48,712,7,721,..,511
LGA20740,..,9,0,10,0,10,..,120,45,169,4,172,..,17,3,22,0,22,..,63,0,67,0,66,..,120,4,126,0,126,..,129,26,154,3,161,..,8,0,8,0,8,..,6,0,6,0,6,..,31,0,31,0,28,..,38,6,39,0,39,..,87,0,90,0,90,..,31,0,31,0,27,..,4,0,11,0,11,..,3,0,3,0,3,..,209,7,213,3,216,..,254,25,277,5,283,..,34,5,38,0,39,..,13,0,21,0,21,..,15,0,15,0,16,..,20,0,19,0,19,..,52,11,62,5,67,..,3,0,3,0,3,..,28,0,30,0,32,..,21,0,21,0,21,..,23,0,23,0,23,..,7,0,3,0,3,..,18,0,18,0,18,..,45,0,48,0,47,..,9,5,9,0,9,..,26,0,26,0,26,..,20,0,20,0,20,..,102,0,106,0,109,..,109,10,117,0,117,..,17
LGA20830,..,5,3,12,0,11,..,230,87,315,0,319,..,41,6,47,0,47,..,51,0,50,0,52,..,132,0,133,0,133,..,62,9,65,0,65,..,0,0,0,0,3,..,19,0,19,0,17,..,78,0,79,0,79,..,5,0,5,0,5,..,135,12,149,0,149,..,112,5,117,0,117,..,49,10,57,0,59,..,3,0,3,0,3,..,410,22,433,3,438,..,174,15,195,3,196,..,34,6,37,0,37,..,9,0,8,0,8,..,12,7,15,0,15,..,5,0,8,0,8,..,49,0,51,0,52,..,9,0,12,0,12,..,46,8,52,0,52,..,12,3,17,0,17,..,42,8,50,0,50,..,19,3,21,0,21,..,26,4,32,3,34,..,77,0,74,0,77,..,40,0,43,0,43,..,38,0,38,0,38,..,24,0,25,0,25,..,180,4,183,0,185,..,86,10,94,0,94,..,32
LGA20910,..,74,24,94,0,92,..,2619,778,3400,25,3425,..,163,8,169,0,169,..,526,16,542,3,549,..,629,23,650,7,660,..,1788,222,2002,8,2013,..,27,0,28,0,28,..,64,0,58,0,61,..,319,3,322,0,323,..,46,0,46,0,44,..,92,4,90,0,97,..,95,0,95,0,93,..,37,0,37,0,40,..,33,0,36,0,36,..,696,14,713,4,720,..,933,76,1014,6,1023,..,289,51,336,5,336,..,22,5,31,0,31,..,88,10,101,0,100,..,77,4,84,3,88,..,31,0,31,0,31,..,167,15,183,3,189,..,385,37,423,0,424,..,219,15,231,5,237,..,1124,182,1304,9,1310,..,12,0,12,0,7,..,209,14,224,0,225,..,53,0,50,0,50,..,125,4,130,4,133,..,86,6,90,0,90,..,55,0,55,4,55,..,312,7,320,4,321,..,650,36,684,7,694,..,84
LGA21010,..,5,4,4,0,4,..,34,15,52,0,52,..,3,0,3,0,3,..,19,0,18,0,18,..,30,0,34,0,34,..,13,0,13,5,17,..,13,3,13,0,13,..,0,0,0,0,0,..,18,0,18,0,18,..,16,3,14,0,19,..,37,8,41,0,41,..,11,0,11,0,11,..,13,0,13,0,17,..,0,0,0,0,0,..,106,6,116,8,119,..,22,3,25,0,27,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,32,0,31,0,31,..,6,0,6,0,6,..,6,4,9,0,9,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,3,0,3,0,3,..,14,0,14,0,14,..,0,0,0,0,0,..,27,0,30,0,33,..,7,0,7,0,7,..,8
LGA21110,..,736,161,898,11,906,..,18378,4901,23288,145,23429,..,176,19,193,0,193,..,815,26,841,7,847,..,509,14,521,11,533,..,4012,516,4527,19,4546,..,221,6,225,0,228,..,575,25,599,9,604,..,1329,20,1351,10,1361,..,189,8,192,0,195,..,341,16,352,5,356,..,684,7,691,9,697,..,323,9,332,3,338,..,331,7,338,3,340,..,3986,101,4087,33,4117,..,2120,172,2293,21,2315,..,478,32,515,0,512,..,56,11,65,0,65,..,580,109,689,0,693,..,201,17,217,0,217,..,245,5,252,0,253,..,801,69,863,7,874,..,233,13,246,3,251,..,202,7,207,0,206,..,289,20,311,0,311,..,5,0,5,0,5,..,165,13,174,0,174,..,128,0,128,0,128,..,585,33,619,0,620,..,167,3,174,0,175,..,174,6,181,0,183,..,1063,41,1102,7,1103,..,971,73,1047,4,1054,..,671
LGA21180,..,852,431,1282,3,1291,..,5360,2633,7992,46,8035,..,2315,530,2847,20,2868,..,230,17,241,0,249,..,255,15,267,3,274,..,3720,863,4589,22,4613,..,446,41,486,5,492,..,174,5,178,4,182,..,1624,105,1727,17,1743,..,1057,52,1110,3,1112,..,3977,355,4331,39,4370,..,881,49,930,3,937,..,1559,145,1700,24,1725,..,185,13,196,0,196,..,9909,756,10657,89,10752,..,3295,550,3851,21,3868,..,146,18,169,0,169,..,78,17,92,0,92,..,107,20,131,0,134,..,3149,1053,4202,34,4237,..,411,32,444,4,450,..,274,97,372,0,379,..,879,176,1055,4,1060,..,223,60,289,0,289,..,168,29,199,0,202,..,1220,151,1371,16,1385,..,1124,342,1472,10,1476,..,1935,62,1993,21,2011,..,249,42,292,5,296,..,2808,99,2908,15,2923,..,394,36,433,0,433,..,5393,240,5632,35,5669,..,2098,438,2531,20,2554,..,825
