LGA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,12,0,0,0,5,4,8,34,38,26,114,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,7,12,0,0,0,0,0,15,0,0,0,3,0,7,7,13,3,35,0,0,10,20,16,15,13,3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,7,3,16,5,0,0,0,0,35,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,8,0,28
LGA20260,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,6,0,0,0,0,5,9,9,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,6,5,0,18,3,3,0,35,24,25,8,0,0,109,0,0,0,0,0,0,0,0,0,4,0,0,0,14,4,0,0,0,0,20,0,0,0,0,3,0,0,0,0,7,0,8,5,18,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,4,0,0,0,18,0,0,0,0,5,6,4,3,0,22
LGA20570,0,7,0,13,8,3,0,0,0,28,0,4,9,24,17,12,17,10,12,88,0,0,0,12,8,13,34,21,14,101,0,0,5,10,5,6,0,0,0,23,0,0,0,21,3,3,0,0,0,31,0,0,0,8,0,3,0,0,0,10,0,10,19,33,13,17,14,3,3,112,0,0,0,0,3,4,18,10,0,34,0,0,0,12,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,30,77,0,0,0,0,0,112,0,0,0,7,3,17,84,80,26,217,3,21,35,126,100,91,59,27,3,467,0,0,0,3,3,3,0,0,0,13,6,13,10,73,5,4,0,0,0,112,0,0,0,7,5,0,0,0,0,13,4,29,38,127,31,6,5,0,0,238,0,0,0,3,5,3,8,0,0,21,0,0,0,0,0,0,0,0,0,7,0,9,8,20,15,27,53,31,7,163
LGA20660,0,0,4,16,8,12,6,0,0,54,0,9,11,76,48,37,22,10,3,226,0,0,3,63,47,130,354,257,167,1020,0,4,10,22,16,6,7,0,0,63,0,3,9,48,20,8,0,3,0,97,0,0,5,26,31,52,43,25,6,176,0,25,41,196,65,76,67,32,3,513,0,0,0,0,3,17,35,27,3,98,0,0,3,23,6,21,10,6,0,64,0,0,6,8,3,3,0,0,0,18,0,0,31,58,5,0,0,0,0,99,0,7,3,20,16,10,33,19,10,122,3,23,63,265,150,133,60,28,8,742,0,0,0,28,33,47,60,26,6,197,0,9,16,62,17,8,4,0,0,112,0,0,0,4,16,4,0,0,0,27,0,17,20,128,46,20,19,3,0,249,0,0,0,28,14,19,29,7,10,108,0,0,0,0,7,0,4,0,0,6,0,3,3,62,33,46,63,54,9,279
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,14,13,0,55,0,0,0,16,6,22,73,36,14,165,0,0,0,5,0,4,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,0,0,0,24,0,0,0,0,0,11,15,11,3,49,0,0,0,3,0,4,8,3,0,26,0,0,0,4,4,0,0,0,0,14,0,0,4,18,0,0,0,0,0,19,0,0,0,6,9,17,63,29,13,130,0,12,15,53,46,81,63,33,4,310,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,5,5,24,0,0,3,0,0,44,0,0,0,4,4,0,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,24,37,25,8,117
LGA20830,0,0,0,4,0,0,0,0,0,7,0,0,0,17,6,9,12,9,0,50,0,0,0,11,0,17,35,30,14,108,0,0,3,3,5,0,0,0,0,16,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,4,8,0,0,19,0,0,0,8,0,5,6,0,0,22,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,21,67,65,9,186,0,4,21,98,60,58,54,22,3,328,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,0,0,0,19,0,0,0,3,0,4,6,0,0,14,0,0,9,22,8,4,0,0,0,45,0,0,0,6,8,3,11,0,0,30,0,0,0,21,0,0,0,0,0,18,0,3,3,4,12,26,44,34,7,132
LGA20910,0,0,0,4,3,0,0,0,0,12,0,7,14,125,48,36,22,18,3,285,0,6,6,30,37,56,94,51,55,321,0,17,15,20,22,13,9,0,0,87,0,5,10,22,12,5,0,0,0,48,0,0,0,3,13,12,12,3,0,53,4,5,9,63,40,35,32,13,6,203,0,0,0,0,0,8,14,7,0,27,0,0,0,10,8,11,7,7,3,44,0,0,0,0,3,0,0,0,0,5,0,0,3,15,4,0,0,0,0,25,5,13,17,20,30,24,29,22,10,173,4,35,60,228,184,163,85,45,12,818,0,0,0,10,6,4,5,4,0,33,0,0,0,11,8,0,6,3,0,28,0,0,0,3,14,0,0,0,0,17,0,8,14,39,4,5,4,0,0,69,0,0,0,18,23,33,75,26,7,191,0,0,0,3,0,0,0,0,0,4,0,13,20,64,78,90,86,38,11,407
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,7,0,24,0,0,0,5,0,0,4,7,0,21,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,10,0,0,0,0,0,8,10,13,0,36,0,0,0,7,11,12,14,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,18
LGA21110,0,7,0,19,12,4,0,0,0,44,3,11,8,85,27,33,24,15,7,223,0,3,0,73,39,90,169,162,128,679,4,16,16,35,14,18,5,8,0,106,0,18,40,108,54,29,8,6,0,260,0,0,0,11,14,16,10,13,4,69,0,58,159,443,327,264,288,126,28,1688,0,0,0,0,3,9,16,7,4,34,0,0,4,30,13,11,13,3,4,84,0,0,9,10,0,3,0,4,3,30,0,3,41,66,0,0,3,0,0,113,0,11,20,25,19,14,42,20,8,165,3,68,134,396,208,191,129,56,15,1202,0,0,5,5,7,14,14,4,0,52,0,11,28,102,13,14,9,0,0,183,0,6,3,7,26,9,3,0,0,43,0,13,20,101,37,13,12,4,0,202,0,0,0,21,7,17,30,28,11,121,0,0,0,0,0,0,0,0,0,0,0,3,12,40,50,55,56,45,12,270
LGA21180,3,143,85,232,86,55,24,10,7,643,0,0,3,43,9,9,15,12,4,104,0,3,10,68,40,257,442,382,173,1379,0,3,12,13,3,0,0,0,0,26,0,0,10,35,5,0,4,3,0,59,4,8,10,88,85,96,76,24,10,397,12,117,30,226,47,50,42,12,0,545,0,5,5,37,52,278,880,600,152,1998,0,0,5,39,11,16,21,11,0,105,3,41,188,554,132,46,20,0,0,998,3,9,203,403,13,7,4,0,0,642,0,0,3,3,4,7,30,21,7,76,21,210,248,489,167,100,45,9,4,1300,0,3,11,164,173,320,558,219,42,1501,14,81,145,964,102,24,26,5,7,1366,0,0,9,5,5,6,0,0,0,21,7,108,249,954,430,413,278,72,6,2521,0,0,3,48,40,91,119,61,26,390,4,33,58,107,81,76,26,3,0,388,0,0,3,22,17,39,40,37,10,170
