LGA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA20110,0,10,0,14,296,50,359,9,0,0,7,228,25,265,115,7,4,135,431,42,605,363,10,12,388,269,49,702,309,25,5,339,455,55,850,72,61,0,139,853,84,1079,9,67,0,74,870,68,1008,0,13,0,16,425,41,489,0,0,0,0,136,19,156,883,201,25,1110,3966,436,5513,0,15,0,13,267,28,303,19,11,0,25,209,24,255,184,26,6,219,324,43,590,461,19,35,506,208,42,756,302,42,11,353,500,61,919,29,147,0,173,836,65,1079,3,141,0,148,755,64,967,0,22,0,22,500,74,590,0,0,0,0,201,35,239,993,419,54,1468,3796,429,5699,4,21,0,21,566,77,666,26,15,0,35,437,45,516,306,36,13,351,757,88,1194,826,30,49,891,472,90,1459,608,60,16,692,956,118,1760,98,214,0,319,1689,150,2151,16,211,0,222,1619,132,1982,0,36,0,43,921,112,1080,0,0,0,0
LGA20260,3,16,0,18,251,18,290,16,11,0,27,220,44,293,172,12,11,194,403,225,818,267,20,7,289,219,217,732,155,25,9,190,420,203,814,26,57,0,82,682,161,923,3,57,0,63,678,124,863,0,17,0,20,364,74,457,0,0,0,0,131,17,154,651,216,25,890,3359,1086,5334,0,24,0,29,230,20,269,32,19,6,53,194,25,268,259,17,17,295,280,37,620,327,25,16,369,175,35,588,174,64,4,244,415,50,706,13,142,0,154,613,54,820,8,112,0,114,607,61,779,0,15,0,19,407,36,465,0,3,0,3,199,24,222,814,421,44,1273,3125,337,4741,8,37,0,44,480,38,557,44,32,6,77,411,69,560,430,37,25,490,683,270,1438,596,45,26,657,396,253,1312,329,88,13,434,834,253,1520,42,194,0,241,1297,211,1745,11,171,0,175,1282,184,1644,0,34,0,36,772,111,915,0,0,0,0
LGA20570,8,121,0,131,3175,202,3508,127,106,4,235,3090,228,3558,1922,176,50,2154,5087,449,7689,3743,116,89,3949,2350,338,6634,2268,179,52,2495,3750,337,6584,378,521,10,907,5043,320,6276,60,642,3,711,4482,310,5499,13,134,4,142,2630,254,3027,0,4,0,4,876,148,1030,8521,1995,199,10719,30482,2594,43794,22,231,0,253,2945,229,3423,266,223,24,517,2909,216,3646,2831,375,173,3375,4031,432,7844,4612,204,220,5030,2071,333,7438,2259,449,74,2776,4161,318,7264,169,1338,17,1525,5222,288,7039,60,1149,4,1215,4899,315,6431,12,174,0,189,3226,301,3717,0,10,0,9,1544,294,1848,10234,4155,508,14900,31016,2723,48643,29,352,0,381,6110,427,6927,400,328,24,751,6003,447,7198,4760,553,219,5531,9125,882,15533,8356,319,307,8980,4419,670,14072,4522,624,122,5269,7916,659,13845,552,1864,24,2440,10267,608,13314,121,1796,10,1920,9383,624,11927,19,311,3,334,5854,553,6743,0,8,0,10
LGA20660,5,93,0,102,3396,127,3621,19,61,0,78,3376,170,3625,1346,148,13,1503,6124,359,7983,5064,103,66,5227,3278,330,8836,3614,99,55,3760,4198,264,8224,554,391,10,949,5820,240,7010,77,961,0,1046,4616,218,5883,17,251,0,268,3060,161,3487,0,15,0,15,1161,105,1279,10686,2126,143,12954,35023,1976,49949,9,170,0,181,2934,101,3207,50,138,3,190,3067,116,3380,2042,257,51,2350,5610,309,8269,6077,208,191,6473,2564,292,9329,3581,228,74,3892,4558,246,8698,340,1131,13,1479,6144,222,7849,69,1668,6,1744,4800,263,6811,17,302,0,318,3698,181,4194,7,15,0,19,1950,150,2121,12194,4118,337,16649,35324,1887,53856,10,266,0,278,6331,223,6832,66,201,9,271,6446,288,7008,3387,407,64,3854,11733,666,16254,11143,313,256,11706,5835,624,18164,7198,332,125,7654,8752,512,16921,892,1518,24,2432,11966,464,14862,146,2636,3,2786,9420,483,12694,29,555,0,591,6748,343,7678,9,26,0,35
LGA20740,4,32,0,33,802,91,935,23,22,0,44,654,50,744,472,41,6,521,1066,110,1699,1085,41,27,1153,718,155,2025,721,49,15,786,1377,173,2339,146,200,4,349,2569,201,3122,28,326,0,359,2906,251,3523,0,40,0,48,1564,178,1787,0,0,0,0,408,98,504,2485,748,57,3288,12071,1311,16670,6,51,3,62,754,90,908,59,51,4,115,532,38,684,768,89,32,884,866,138,1886,1357,66,75,1495,563,164,2215,686,139,28,849,1473,157,2480,70,549,8,629,2702,225,3549,16,476,0,492,2910,259,3664,7,55,0,57,1610,186,1852,0,5,0,5,580,128,706,2961,1474,151,4586,11982,1387,17951,8,85,3,95,1560,188,1842,79,74,4,157,1181,90,1427,1234,130,37,1403,1929,252,3585,2446,99,101,2648,1278,315,4242,1405,189,45,1632,2851,329,4815,222,746,14,980,5267,423,6672,50,804,6,854,5820,513,7185,8,97,0,108,3170,363,3641,0,4,0,4
LGA20830,3,59,0,64,1417,110,1590,61,58,0,117,1253,86,1455,1135,75,27,1238,1948,184,3377,1819,46,59,1928,1036,224,3186,1001,105,20,1124,1968,213,3304,187,308,6,499,2878,209,3583,42,365,0,408,2846,200,3461,9,79,0,89,1713,138,1935,0,6,0,6,464,71,537,4251,1095,113,5464,15534,1428,22429,8,140,0,157,1343,120,1615,116,103,6,227,1138,64,1437,1627,154,93,1881,1645,231,3758,2112,93,125,2324,853,201,3378,1018,252,41,1310,2116,195,3620,88,847,4,943,2849,198,3989,18,608,4,630,2801,193,3618,9,82,0,92,1748,170,2008,0,0,0,6,710,97,817,5000,2288,278,7564,15197,1472,24236,13,201,0,219,2760,225,3208,175,165,6,346,2395,149,2884,2764,230,123,3118,3599,419,7130,3934,141,182,4253,1894,420,6567,2014,355,66,2436,4080,406,6921,274,1157,12,1441,5724,408,7577,62,975,4,1035,5646,395,7078,16,157,0,180,3458,307,3940,0,6,0,8
LGA20910,3,81,0,87,3401,106,3596,4,49,4,58,2637,72,2766,548,78,8,635,3004,165,3806,3271,54,42,3370,1847,224,5443,3868,70,43,3988,3372,286,7639,803,300,14,1122,5395,186,6700,102,878,3,988,3959,179,5125,19,272,0,290,2635,174,3097,0,10,0,13,1093,122,1225,8622,1802,114,10540,27352,1510,39406,9,131,0,138,3130,103,3369,16,104,0,118,2276,51,2442,927,134,15,1077,2851,177,4101,4249,147,144,4541,1608,222,6372,4173,143,75,4387,3951,278,8621,420,832,18,1271,5850,218,7337,59,1584,5,1648,4058,243,5952,13,353,0,368,3216,255,3838,0,11,0,16,1914,268,2201,9872,3432,263,13570,28849,1812,44233,7,212,0,219,6533,212,6965,20,149,0,174,4915,126,5212,1468,218,22,1714,5853,341,7912,7519,209,188,7911,3460,446,11814,8040,213,117,8374,7321,562,16260,1224,1133,33,2392,11247,408,14041,167,2463,9,2642,8018,424,11081,37,621,3,664,5851,427,6937,5,24,0,28
LGA21010,0,16,0,16,332,49,396,11,7,0,21,266,34,320,177,16,5,195,433,68,693,305,14,6,320,255,64,637,181,33,6,213,522,70,805,47,59,0,107,915,95,1118,10,105,0,115,946,98,1157,0,11,0,16,587,60,662,0,0,0,0,189,31,219,724,263,24,1008,4440,558,5999,6,14,0,25,284,39,343,11,26,4,42,216,28,287,262,29,21,315,315,64,694,384,27,23,426,220,64,712,182,64,14,249,598,74,925,24,188,3,213,940,86,1237,8,150,0,157,953,78,1189,3,17,0,27,611,96,728,0,0,0,0,284,52,345,879,524,56,1454,4424,577,6459,9,34,0,40,614,83,739,26,37,4,64,486,57,608,439,49,21,509,747,132,1389,681,37,29,744,481,129,1350,359,87,15,469,1119,139,1725,67,247,5,322,1852,180,2350,18,251,0,268,1899,174,2342,4,34,0,36,1194,157,1392,0,0,0,0
LGA21110,8,143,0,151,5787,167,6100,14,85,0,99,5936,197,6229,991,132,9,1130,8838,455,10424,5359,108,60,5534,3607,336,9469,5523,98,55,5673,4978,358,11016,1154,390,11,1553,8076,281,9915,157,1346,8,1516,5665,235,7420,29,440,0,472,3681,199,4347,4,25,0,27,1671,120,1820,13231,2763,151,16146,48238,2343,66732,16,224,0,234,5441,173,5853,17,193,0,212,5666,203,6075,1630,280,35,1947,8268,403,10620,7009,222,141,7377,3222,339,10937,6186,202,98,6487,5949,364,12800,599,1141,31,1770,8788,279,10831,118,2362,24,2499,5709,295,8499,29,563,5,594,4605,284,5479,8,17,0,19,2823,293,3143,15619,5202,331,21147,50461,2632,74237,19,365,0,384,11230,334,11950,30,283,0,314,11594,396,12306,2625,412,42,3078,17110,859,21044,12369,334,199,12909,6825,675,20408,11712,297,156,12156,10929,722,23812,1751,1525,46,3324,16866,562,20747,274,3712,31,4011,11371,530,15917,58,1004,8,1068,8278,480,9829,8,41,0,52
LGA21180,22,134,0,162,5060,423,5640,90,191,0,282,6192,580,7056,2250,286,25,2569,11862,1514,15946,5472,150,70,5691,6441,1101,13239,3291,151,32,3475,7579,792,11849,894,567,17,1480,9273,647,11396,164,942,9,1116,7214,498,8831,32,216,5,249,4014,382,4643,0,15,0,16,1233,144,1391,12216,2657,164,15043,58863,6083,79991,30,286,3,318,4804,365,5489,206,311,7,521,5369,453,6349,4256,422,83,4758,8630,1223,14610,7232,264,150,7643,4617,923,13179,3541,485,67,4094,7891,724,12708,396,1839,34,2276,8837,594,11706,135,1552,17,1711,7257,507,9475,33,236,0,270,4436,364,5071,6,14,0,20,1958,294,2271,15838,5411,367,21612,53795,5457,80858,52,422,3,479,9858,789,11131,294,503,11,803,11564,1038,13406,6504,709,103,7326,20490,2737,30553,12701,416,218,13337,11059,2028,26419,6833,634,97,7567,15465,1521,24555,1292,2406,55,3755,18111,1238,23114,304,2496,25,2831,14470,1005,18308,68,449,7,522,8451,750,9714,6,29,0,36
