LGA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA21270,0,10,0,10,152,32,194,4,0,0,10,117,13,143,83,3,0,88,160,28,272,128,3,0,131,97,26,253,107,5,0,114,254,44,408,24,28,0,58,430,50,533,3,38,0,44,437,48,531,0,3,0,8,228,32,267,0,0,0,0,86,22,106,354,103,0,457,1950,290,2699,3,11,0,14,105,11,133,20,7,0,25,75,4,103,123,11,5,138,116,23,276,147,4,9,161,56,20,237,95,28,3,122,241,32,397,8,86,0,93,386,35,516,0,55,0,57,331,29,416,0,4,0,8,231,43,285,0,0,0,0,138,41,182,393,199,16,611,1688,242,2543,3,21,0,20,261,46,328,22,6,0,30,190,19,246,201,14,6,224,280,46,550,276,5,9,291,148,37,490,203,35,3,234,495,76,805,32,113,0,152,819,88,1051,5,92,0,100,767,82,945,4,10,0,11,459,78,547,0,0,0,0
LGA21370,4,34,0,38,1035,105,1187,54,24,0,81,801,68,947,543,49,13,610,1125,162,1894,1003,38,20,1066,640,134,1834,661,66,17,749,1453,185,2384,122,234,7,360,2268,193,2822,21,225,0,248,2142,196,2585,5,54,0,55,1360,159,1573,0,0,0,0,432,74,507,2423,725,59,3206,11260,1278,15740,4,74,4,77,846,102,1033,110,52,5,168,712,50,927,859,84,43,990,869,141,2005,1262,76,59,1396,510,139,2050,629,203,25,844,1539,141,2532,56,531,10,600,2112,176,2891,21,351,0,372,2010,167,2552,0,52,0,52,1391,184,1629,0,6,0,6,595,161,766,2946,1430,147,4525,10588,1270,16383,13,106,4,122,1885,207,2215,165,79,4,244,1512,120,1876,1407,135,58,1601,1990,307,3902,2267,109,81,2465,1148,274,3885,1290,265,35,1594,2994,331,4918,184,765,21,962,4385,368,5716,45,581,0,623,4154,367,5143,5,104,0,110,2747,349,3201,0,9,0,9
LGA21450,11,149,0,162,3386,252,3797,119,119,3,242,3145,193,3577,2748,176,59,2983,5383,552,8915,5057,119,114,5292,2905,471,8672,2371,198,50,2619,4059,391,7063,403,409,8,819,4545,251,5618,61,513,0,580,3308,216,4103,7,94,0,106,1941,164,2210,5,5,0,5,512,75,591,10780,1787,236,12804,29184,2567,44553,12,291,0,305,2955,231,3493,245,237,12,492,2819,170,3482,4159,352,169,4681,4475,535,9685,5753,203,241,6191,2214,429,8841,2264,489,74,2824,4205,365,7396,178,1221,7,1410,4334,305,6045,45,916,10,966,3394,241,4599,9,115,0,127,2080,225,2430,0,7,0,13,740,151,902,12671,3830,518,17019,27199,2652,46867,29,441,0,469,6333,478,7280,366,352,16,736,5960,368,7063,6903,526,230,7662,9859,1079,18597,10809,320,362,11491,5113,906,17514,4629,684,126,5445,8256,756,14459,578,1633,17,2228,8879,556,11663,105,1433,9,1549,6697,455,8701,19,210,0,232,4018,385,4640,3,11,0,13
LGA21610,50,429,9,479,10746,652,11878,335,389,10,732,11089,747,12563,6824,570,133,7532,17732,1871,27135,16025,357,243,16617,10912,1561,29092,7418,433,107,7964,13357,1067,22386,1316,1157,35,2505,14609,814,17923,230,1291,14,1537,9275,536,11340,54,254,4,309,4807,354,5468,3,3,0,12,1411,140,1567,32256,4883,550,37683,93930,7742,139362,67,739,4,811,9892,576,11278,764,704,45,1514,9571,654,11746,11824,960,365,13157,13709,1695,28552,18613,567,474,19653,7876,1379,28909,6601,1223,201,8025,13817,1021,22866,663,3266,72,3998,13499,786,18281,192,2258,35,2485,9204,622,12320,34,312,7,351,5467,429,6242,4,24,0,25,2342,276,2646,38763,10049,1213,50023,85377,7435,142834,121,1161,10,1293,20639,1227,23162,1096,1091,56,2247,20661,1403,24309,18650,1535,504,20685,31439,3562,55683,34633,924,714,36275,18791,2940,58004,14017,1659,310,15988,27174,2085,45253,1984,4418,107,6503,28103,1594,36204,424,3553,50,4026,18474,1156,23658,87,570,8,665,10270,781,11711,9,26,0,38
LGA21670,0,21,0,20,299,35,356,19,16,0,27,246,22,293,179,23,9,205,322,46,574,226,12,8,247,231,51,526,200,31,6,235,516,91,843,35,57,0,96,833,75,1006,13,76,0,92,938,93,1115,0,16,0,20,621,67,714,0,0,0,3,175,33,210,669,254,22,948,4183,515,5645,4,22,0,30,263,39,327,30,20,9,57,186,18,258,267,31,21,311,255,38,608,330,17,18,364,177,50,590,203,71,11,281,487,63,836,26,153,9,184,849,71,1098,4,118,0,129,938,76,1138,0,22,0,28,607,81,716,0,4,0,4,253,36,294,863,455,59,1385,4023,466,5867,8,39,0,45,564,73,686,45,38,9,89,430,37,553,445,51,27,521,580,87,1185,548,28,29,609,404,97,1108,395,101,20,512,1004,156,1678,62,209,7,280,1676,145,2111,17,200,0,221,1875,166,2260,3,42,0,45,1234,150,1433,0,4,0,4
LGA21750,0,23,0,23,578,51,653,15,21,0,41,470,37,548,356,31,8,401,804,98,1305,627,21,19,662,477,86,1230,399,33,7,442,847,96,1380,65,119,0,188,1316,108,1612,13,151,0,160,1237,99,1497,6,32,0,34,717,61,806,0,0,0,0,202,35,240,1485,429,39,1950,6660,663,9276,3,41,0,43,480,40,564,37,29,0,60,387,23,477,504,60,32,591,605,75,1271,751,36,45,831,335,70,1238,346,92,4,444,903,91,1435,19,298,6,330,1181,100,1613,9,259,3,270,1182,120,1573,0,37,0,39,716,80,842,0,0,0,4,356,47,415,1671,850,91,2611,6155,649,9412,6,63,0,65,1058,84,1214,49,47,0,106,862,58,1025,857,87,43,992,1407,174,2573,1377,58,61,1492,813,156,2463,747,123,11,884,1754,186,2814,87,411,8,509,2502,211,3223,24,407,6,432,2421,221,3071,6,71,0,80,1431,146,1651,0,3,0,6
LGA21830,0,16,0,15,403,77,495,24,7,0,21,353,35,408,217,17,4,247,504,70,818,416,16,7,436,271,62,774,322,34,9,362,572,85,1024,43,98,0,139,1027,88,1257,13,98,0,107,944,75,1130,5,13,0,17,546,52,610,0,0,0,0,178,30,214,1034,291,19,1346,4806,576,6731,5,31,0,37,335,70,438,33,24,0,54,247,30,333,328,37,22,391,318,52,757,500,33,28,560,200,62,815,256,73,4,337,646,66,1041,24,235,0,261,949,70,1275,8,154,0,162,794,67,1023,3,28,0,30,613,67,709,0,0,0,0,262,46,307,1159,622,48,1833,4349,519,6705,7,47,0,50,736,148,935,54,27,0,81,597,62,743,544,60,27,629,822,118,1571,917,44,29,994,471,123,1591,577,111,11,700,1221,148,2065,70,330,0,404,1976,155,2536,18,255,0,274,1741,146,2154,9,44,0,48,1160,114,1322,0,0,0,0
LGA21890,0,95,0,106,3128,145,3376,25,78,0,111,4350,309,4769,1313,179,13,1508,11632,757,13897,5070,156,60,5279,5835,561,11681,3788,107,46,3942,5583,427,9948,652,228,4,882,6140,332,7361,66,475,5,546,4065,291,4900,6,148,0,159,2810,248,3216,3,18,0,17,1306,215,1543,10929,1483,127,12544,44854,3294,60688,5,141,0,146,3033,168,3353,68,173,6,247,4185,222,4657,2174,474,44,2697,11324,672,14685,6067,326,175,6567,5144,498,12205,3926,261,74,4261,5806,377,10441,372,851,18,1232,6411,314,7959,58,942,9,1012,4342,317,5666,25,202,0,229,3606,309,4143,0,16,0,17,2030,366,2406,12698,3385,319,16404,45879,3244,65528,10,236,3,248,6160,319,6729,100,254,6,359,8538,529,9424,3490,655,54,4201,22953,1436,28587,11136,479,232,11846,10983,1059,23888,7714,368,118,8200,11389,805,20391,1021,1075,21,2117,12556,649,15323,123,1418,16,1554,8405,607,10566,35,348,0,390,6417,555,7356,5,31,0,36
LGA22110,9,49,0,53,1010,144,1209,48,36,5,86,776,77,937,637,53,22,717,1206,178,2099,1055,45,36,1139,776,203,2122,684,85,10,783,1621,221,2620,158,247,0,407,3023,294,3725,30,289,0,322,3776,317,4408,9,62,0,73,2156,236,2464,0,0,0,0,538,103,640,2639,877,81,3587,14875,1773,20241,7,82,0,95,877,123,1099,102,59,0,171,628,81,874,984,88,69,1137,967,183,2284,1328,79,85,1491,686,197,2372,695,218,29,942,1828,224,2992,64,580,12,661,3101,261,4027,25,448,0,473,3477,308,4258,8,71,0,82,2080,246,2408,3,6,0,5,696,169,877,3208,1643,191,5045,14355,1782,21189,14,131,0,148,1897,266,2307,156,98,4,258,1406,155,1816,1621,138,91,1853,2175,360,4378,2389,123,124,2632,1464,399,4496,1376,311,40,1727,3452,445,5618,225,831,11,1064,6127,558,7752,50,740,0,797,7252,623,8664,15,139,0,152,4242,481,4873,3,6,0,5
LGA22170,17,162,0,174,3719,240,4132,78,109,0,181,3494,223,3893,2279,196,49,2528,6196,585,9306,5102,162,139,5403,3583,563,9551,3051,203,50,3300,5447,568,9322,512,571,16,1098,6634,450,8179,79,787,0,872,4869,322,6062,14,158,0,171,2846,260,3272,0,7,0,7,922,173,1106,11124,2346,262,13732,37713,3378,54823,18,230,0,251,3194,251,3696,193,239,7,443,3203,214,3863,3472,416,146,4032,5173,568,9767,6225,286,324,6830,2799,519,10147,2950,502,106,3560,5637,459,9666,245,1623,16,1881,6523,348,8752,65,1401,0,1468,5068,324,6858,13,228,0,240,3351,370,3965,0,15,0,12,1557,347,1913,13177,4937,605,18716,36506,3397,58620,30,391,3,423,6915,493,7827,270,350,14,626,6698,435,7760,5749,615,198,6557,11372,1150,19076,11324,442,462,12231,6381,1084,19695,5999,707,160,6865,11086,1028,18983,756,2193,29,2977,13156,799,16928,145,2184,3,2334,9938,648,12919,24,384,0,411,6198,625,7236,4,20,0,24
LGA22250,0,13,0,13,220,16,242,6,11,0,20,190,34,242,152,12,4,170,245,35,440,242,7,10,260,189,55,495,142,28,0,173,408,50,633,29,55,0,85,679,58,826,5,67,0,76,738,84,898,0,17,0,14,466,40,524,0,0,0,0,151,21,179,584,200,15,803,3286,393,4484,0,18,0,22,193,30,243,26,20,0,47,139,6,198,226,20,11,258,150,28,440,313,16,17,347,124,49,512,123,60,11,187,414,53,662,10,149,0,158,631,51,846,5,102,0,100,672,71,848,0,21,0,22,462,60,543,0,0,0,0,206,28,234,714,395,36,1148,2996,387,4526,0,27,0,34,410,51,494,35,31,0,64,329,48,438,379,28,15,427,395,62,884,553,25,21,605,308,103,1013,266,86,10,358,827,105,1293,43,200,0,243,1313,114,1670,11,165,0,176,1416,156,1744,5,35,0,38,932,102,1068,0,0,0,6
LGA22310,10,117,0,130,4013,131,4276,32,79,0,109,4430,226,4766,1277,142,14,1437,9002,596,11037,5780,119,70,5972,4181,427,10579,4544,70,56,4668,4789,296,9747,872,341,7,1225,6294,242,7756,104,947,11,1060,4835,230,6133,20,217,0,236,2728,167,3136,4,15,0,15,1285,102,1396,12652,2052,156,14862,41557,2419,58836,6,229,6,236,3679,146,4062,51,155,6,212,4298,193,4695,2120,298,32,2459,8405,538,11399,7034,198,195,7417,3501,397,11322,4623,214,80,4920,5397,314,10630,438,1105,18,1564,6530,246,8338,86,1617,16,1715,4884,298,6896,29,272,0,300,3534,254,4084,4,14,0,19,2280,281,2577,14391,4104,349,18845,42507,2657,64003,17,352,6,370,7693,275,8338,78,239,6,328,8720,414,9462,3400,445,52,3892,17415,1131,22436,12812,315,258,13393,7677,825,21899,9164,291,137,9588,10184,610,20378,1312,1448,25,2782,12823,488,16099,191,2559,19,2778,9722,531,13025,45,490,3,538,6260,425,7220,8,23,0,34
LGA22410,0,21,0,25,504,56,578,20,15,0,37,400,35,471,275,28,9,308,529,70,910,469,21,20,507,401,83,990,318,43,5,369,822,100,1288,57,110,0,168,1387,111,1668,13,118,0,132,1338,112,1587,0,25,0,25,663,79,762,0,5,0,5,194,25,222,1156,372,33,1567,6235,671,8470,3,42,4,50,435,38,519,53,29,0,82,278,29,386,421,35,15,481,418,57,959,587,39,27,658,322,89,1066,303,101,6,410,888,71,1377,22,296,5,327,1241,93,1659,7,171,0,182,1202,98,1480,5,24,0,28,676,74,781,0,5,0,7,326,44,375,1405,748,63,2223,5778,586,8590,10,66,4,69,934,90,1091,70,39,0,112,675,61,852,695,60,25,789,948,129,1865,1051,60,46,1167,724,166,2050,627,143,15,785,1709,173,2667,82,406,5,495,2632,203,3330,22,294,0,310,2538,209,3059,5,51,0,51,1341,153,1545,0,9,0,9
LGA22490,5,29,0,30,787,61,875,18,7,0,30,555,36,614,487,24,4,517,706,71,1290,1028,21,21,1066,444,87,1603,649,50,15,708,1063,103,1875,104,139,0,243,1303,69,1617,20,133,0,156,1139,82,1379,3,18,0,25,479,41,545,0,0,0,0,90,6,96,2304,436,41,2779,6554,560,9891,3,67,0,67,678,53,802,28,31,0,62,426,31,516,650,51,32,733,465,59,1258,1180,33,52,1268,405,81,1750,605,107,20,724,1007,86,1818,45,315,0,364,1174,85,1626,3,217,0,226,910,56,1197,0,22,0,21,406,40,462,0,0,0,0,145,18,161,2523,844,107,3474,5606,508,9589,10,91,0,106,1463,120,1681,42,42,0,87,978,66,1129,1135,75,40,1249,1165,133,2547,2207,62,70,2340,848,165,3348,1256,155,31,1438,2068,187,3693,149,451,3,604,2479,151,3234,25,353,0,379,2051,141,2568,5,41,0,45,876,80,1007,0,4,0,4
LGA22620,9,151,4,167,3116,238,3525,130,120,3,257,3129,214,3601,2172,195,63,2433,4627,487,7547,3911,125,83,4116,2434,435,6981,2245,194,34,2471,4141,459,7072,379,612,8,999,5748,453,7199,66,770,0,836,5285,394,6518,11,156,0,172,3082,276,3527,0,8,0,8,1051,153,1212,8931,2325,194,11455,32607,3110,47166,27,254,0,281,2998,216,3492,270,245,9,518,2942,182,3650,3253,327,178,3771,3906,468,8147,4743,202,211,5150,2109,432,7693,2186,522,94,2796,4402,403,7605,213,1569,16,1798,5871,428,8098,49,1277,5,1330,5349,349,7032,17,215,0,229,3399,344,3970,0,13,0,14,1566,303,1886,10754,4626,515,15897,32543,3125,51561,39,405,4,443,6120,455,7017,401,364,18,775,6069,396,7245,5432,530,245,6203,8533,957,15687,8649,331,287,9265,4540,868,14674,4430,720,123,5265,8543,857,14673,594,2178,21,2795,11619,885,15299,119,2043,8,2166,10629,742,13545,36,370,3,403,6480,618,7499,0,21,0,21
LGA22670,19,117,0,135,4010,263,4412,75,136,3,225,5343,449,6008,2094,220,24,2341,11125,1319,14783,4630,102,37,4775,6214,856,11844,2499,107,23,2632,6124,578,9338,655,328,8,986,6820,533,8340,140,533,6,683,5308,364,6356,24,177,4,199,3326,287,3811,0,15,0,19,1206,118,1346,10146,1734,107,11989,49483,4762,66239,29,218,3,252,3663,269,4188,280,230,13,530,4516,339,5378,3904,384,65,4348,7700,950,12996,5911,215,87,6215,4291,691,11202,2281,315,46,2644,5986,503,9133,325,1019,38,1387,6484,442,8304,90,1017,14,1119,5502,390,7013,22,167,8,191,3787,307,4288,0,15,0,18,1852,185,2061,12833,3589,273,16695,43784,4077,64563,42,337,3,388,7677,537,8601,359,373,14,746,9857,781,11392,5999,599,88,6690,18823,2267,27782,10542,324,121,10986,10511,1543,23041,4778,426,73,5274,12113,1082,18472,976,1350,51,2374,13305,973,16646,229,1548,20,1802,10815,757,13369,47,342,8,396,7106,591,8102,3,33,0,35
LGA22750,22,289,0,306,6979,425,7711,137,207,3,356,7780,613,8754,4164,399,69,4638,13039,1489,19168,9293,255,212,9761,5774,1126,16663,5673,354,84,6112,8816,929,15855,892,1213,11,2115,12183,776,15080,131,1852,11,1999,11161,752,13910,15,397,0,418,6614,559,7589,0,12,0,22,2288,312,2619,20337,4987,399,25723,74634,6986,107346,30,459,3,488,6501,390,7379,379,426,28,835,7178,441,8452,6275,790,298,7364,10753,919,19032,11089,506,447,12047,4888,815,17750,5601,924,174,6699,9706,715,17127,442,3244,47,3734,12694,655,17086,111,3204,15,3332,11631,808,15775,31,484,0,516,7847,750,9113,4,20,0,25,3632,576,4228,23965,10067,1003,35042,74827,6075,115941,45,746,4,798,13476,818,15088,523,641,32,1193,14957,1056,17203,10437,1192,364,12001,23794,2408,38200,20384,763,655,21805,10664,1944,34409,11278,1279,261,12818,18523,1643,32985,1332,4459,59,5845,24882,1431,32161,244,5063,21,5327,22788,1567,29684,52,882,0,934,14465,1307,16706,7,35,0,41
LGA22830,7,67,0,81,1884,229,2187,73,59,0,136,1639,187,1961,1182,97,27,1307,2585,461,4353,1935,67,43,2049,1536,384,3967,1174,118,28,1317,2591,377,4288,224,256,3,482,3341,335,4157,43,331,4,376,2862,282,3524,7,74,0,84,1762,199,2044,0,4,0,4,553,83,645,4647,1074,108,5834,18748,2545,27123,15,133,0,148,1623,164,1933,176,131,8,308,1417,152,1881,1816,188,71,2076,2100,367,4540,2419,113,94,2623,1253,331,4207,1123,289,39,1449,2510,285,4245,117,758,11,883,3160,297,4344,32,524,6,557,2872,257,3694,3,62,0,66,1893,260,2217,0,11,0,11,869,129,1004,5698,2197,227,8125,17704,2240,28064,25,207,0,232,3500,386,4124,244,185,11,447,3056,335,3838,2996,281,100,3379,4683,831,8899,4355,175,143,4668,2788,716,8176,2293,408,67,2770,5103,660,8527,341,1014,11,1362,6504,630,8503,75,848,11,940,5737,542,7214,8,137,0,150,3653,456,4255,0,14,0,14
LGA22910,0,15,0,14,332,33,379,12,3,0,17,209,20,244,173,13,6,193,392,44,635,400,14,9,425,352,60,844,340,24,7,370,725,91,1188,78,87,3,167,1137,101,1397,15,118,0,130,1185,110,1426,7,21,0,31,552,68,651,0,0,0,0,138,43,183,1027,298,24,1351,5024,571,6943,0,22,0,17,298,32,353,11,17,0,29,172,19,219,241,25,13,283,323,63,661,478,23,36,539,292,72,901,338,73,11,419,740,80,1242,51,204,3,254,1171,97,1529,14,203,0,213,1121,114,1451,3,24,0,31,548,79,656,0,0,0,0,218,62,284,1137,591,71,1796,4886,618,7309,3,31,0,31,630,61,724,27,21,0,47,380,37,462,419,38,17,476,714,105,1297,884,45,42,968,646,136,1748,678,95,15,785,1469,178,2432,127,290,10,426,2305,193,2927,21,319,0,346,2309,230,2881,13,46,0,61,1105,145,1311,0,0,0,0
LGA22980,0,9,0,8,156,17,178,7,4,0,7,103,6,119,95,4,0,97,188,9,298,132,6,4,145,103,22,270,70,12,0,82,209,22,303,23,27,0,49,407,17,474,5,24,0,26,362,38,418,0,10,0,10,217,23,248,0,0,0,0,94,22,115,331,90,9,422,1835,172,2435,0,17,0,16,101,12,131,5,4,0,11,84,0,101,120,7,5,138,152,18,309,154,7,8,171,74,16,259,73,22,4,100,240,16,355,5,64,0,72,350,19,438,4,41,0,45,293,21,360,0,8,0,8,246,36,290,0,0,0,0,130,38,165,375,171,23,564,1674,181,2417,0,28,0,26,252,29,303,11,10,0,23,187,6,214,219,9,7,237,344,31,610,288,12,17,313,177,43,533,145,29,3,180,451,32,664,26,87,0,119,755,37,918,9,62,0,71,653,60,784,0,9,0,9,462,58,537,0,0,0,0
LGA23110,8,68,0,72,2091,113,2278,24,46,0,70,2156,150,2378,1019,95,10,1125,4571,440,6136,3689,72,43,3808,2747,409,6963,2373,71,32,2469,3454,287,6215,478,238,0,718,4471,232,5420,57,447,4,508,3139,167,3815,10,101,4,116,1794,129,2040,0,4,0,8,736,57,790,7652,1148,97,8894,25162,1979,36029,0,100,0,104,2003,98,2202,72,110,8,191,1881,102,2180,1692,194,43,1927,3970,397,6293,4410,170,110,4692,2269,320,7283,2474,205,43,2723,3687,269,6685,211,753,7,975,4464,206,5651,44,767,4,822,3232,193,4241,14,128,3,144,2216,148,2515,0,12,0,14,1188,120,1322,8925,2445,219,11590,24909,1858,38359,4,166,0,173,4091,210,4474,99,162,3,261,4038,255,4555,2708,287,48,3050,8537,835,12426,8099,244,154,8501,5022,730,14248,4844,275,77,5199,7140,560,12897,686,996,11,1692,8936,436,11063,103,1210,11,1323,6372,360,8051,26,236,3,260,4012,277,4548,3,21,0,26
LGA23190,4,26,0,26,564,54,644,25,27,0,51,474,46,571,368,28,15,411,766,93,1265,611,26,21,662,378,63,1098,350,33,15,403,701,45,1150,63,103,0,164,1118,73,1360,15,130,0,141,886,72,1101,0,32,0,36,562,48,641,0,3,0,3,223,24,251,1434,414,44,1903,5679,507,8090,8,40,0,48,460,37,549,58,35,0,91,435,50,575,508,48,29,590,630,69,1287,731,29,45,812,303,52,1171,335,81,16,430,771,62,1266,35,302,0,329,1004,57,1395,0,210,0,217,891,57,1166,0,36,0,36,673,71,782,0,8,0,8,362,37,401,1675,800,97,2572,5530,503,8603,12,71,0,79,1020,95,1196,88,60,0,147,907,94,1149,870,80,47,1002,1393,159,2557,1349,61,68,1472,683,115,2267,685,115,29,835,1473,111,2421,94,408,0,496,2126,136,2759,21,342,0,360,1777,122,2266,0,67,0,75,1239,117,1425,0,9,0,9
LGA23270,23,245,9,268,7043,532,7839,145,187,0,330,7683,612,8621,4425,362,64,4852,13461,1567,19882,9201,178,107,9492,7906,1324,18708,4242,193,41,4477,8700,852,14034,836,667,20,1522,10058,645,12222,143,821,4,972,6377,373,7727,7,185,0,197,3284,242,3715,3,5,0,7,876,102,989,19025,2844,248,22117,65392,6233,93744,27,464,0,489,6437,456,7385,421,490,10,926,6570,473,7961,7959,611,175,8750,10211,1259,20214,10975,316,235,11529,5851,1094,18474,3986,711,95,4790,9100,793,14686,415,2009,38,2472,9424,603,12498,120,1412,18,1554,6568,409,8531,19,188,5,206,3655,308,4173,0,17,0,17,1322,145,1481,23922,6221,581,30721,59134,5545,95401,41,707,7,762,13482,985,15225,559,677,10,1249,14250,1084,16584,12387,975,238,13599,23672,2823,40097,20172,499,346,21019,13755,2417,37187,8226,897,140,9269,17795,1648,28715,1255,2680,57,3990,19482,1248,24719,267,2231,27,2526,12948,784,16262,26,374,4,409,6935,547,7891,3,22,0,23
