LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,0,0,0,13,8,22,0,0,0,0,0,0,0,0,3,1766,1644,3409,130,113,246,38,0,37,26,0,28,56,26,84,35,13,50,220,218,442,2302,2024,4332,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,30,33,3,36,0,0,0,0,0,0,0,0,0,0,0,0,516,578,1093,347,455,803,27,30,61,3230,3097,6320
LGA20260,5,0,3,8,22,22,0,0,0,0,0,0,3,6,9,1602,1432,3027,145,146,290,32,0,31,8,8,8,17,4,24,14,6,18,190,115,304,2009,1730,3745,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,19,15,6,23,0,0,0,0,0,0,0,0,4,0,0,4,290,334,620,201,325,530,25,25,52,2551,2419,4973
LGA20570,100,47,142,122,169,287,12,0,15,3,3,4,81,82,166,17477,15210,32688,1203,1344,2550,211,8,215,71,8,86,249,64,307,92,40,138,614,647,1261,20235,17622,37862,3,9,11,0,0,0,10,8,21,35,13,48,0,0,3,13,0,12,64,31,90,0,0,0,0,0,0,6,4,8,9,26,34,7,16,22,24,41,66,176,119,295,263,190,454,20,17,32,7,10,11,12,0,12,38,25,59,3714,4516,8231,2208,4032,6239,144,121,262,26600,26502,53104
LGA20660,816,647,1464,188,231,426,12,8,13,27,27,55,56,51,105,15447,11923,27371,639,904,1539,193,3,198,119,9,124,284,84,371,153,95,245,638,774,1411,18580,14747,33323,90,93,185,0,0,0,46,58,103,127,92,213,14,26,44,41,20,53,313,291,597,0,0,0,16,20,30,10,15,25,11,28,41,8,17,26,51,73,124,139,91,235,495,455,956,73,77,151,12,9,14,0,0,5,87,83,166,10224,11121,21341,2859,5087,7940,114,78,191,32353,31568,63920
LGA20740,12,0,8,11,20,36,7,0,8,0,0,0,0,3,3,5269,4414,9677,285,331,620,106,0,111,31,3,31,86,31,119,44,24,73,267,265,536,6118,5106,11220,0,0,0,0,0,0,0,0,0,3,4,8,0,0,5,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,10,42,30,73,55,34,91,0,0,0,0,0,6,4,0,4,7,4,12,1208,1612,2812,846,1347,2186,96,77,173,8331,8170,16498
LGA20830,87,41,129,28,11,39,4,3,7,0,0,0,14,11,24,9149,7493,16642,536,560,1096,219,3,225,58,4,68,30,16,42,59,34,91,331,270,601,10510,8458,18967,9,13,28,0,0,0,0,0,0,22,15,35,8,3,9,9,0,8,53,33,80,0,0,0,0,0,0,9,3,8,5,3,8,3,0,3,10,8,23,100,38,146,166,79,239,10,9,19,0,0,0,3,0,3,16,9,30,1770,2379,4145,1045,1997,3044,94,81,173,13603,13000,26602
LGA20910,586,449,1033,64,89,149,3,0,3,16,21,31,34,27,57,10085,7921,18002,404,636,1037,68,3,79,89,8,98,313,90,402,99,79,178,426,576,1007,12187,9885,22075,56,45,105,0,0,0,27,41,70,61,43,109,16,16,31,26,7,36,185,160,344,0,0,0,0,0,4,3,4,13,3,10,13,4,0,9,19,15,29,74,78,154,275,251,528,40,44,83,0,4,7,5,5,8,46,50,101,10754,10955,21709,2225,3678,5901,108,91,196,25602,24912,50508
LGA21010,0,0,0,5,4,10,0,0,0,0,0,0,9,0,8,2111,1816,3932,147,122,268,65,5,71,19,0,17,25,18,38,25,9,25,112,102,220,2514,2084,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5,5,6,4,8,21,10,29,24,17,41,0,0,0,0,0,0,0,0,0,0,0,0,376,497,871,238,429,663,49,33,81,3200,3054,6251
LGA21110,984,902,1885,187,239,432,11,8,18,484,609,1097,59,56,114,16410,13294,29705,672,1352,2021,100,4,96,158,16,174,621,192,806,151,122,271,990,1175,2168,20824,17967,38786,67,63,130,0,0,0,169,187,354,80,67,148,17,35,53,46,24,68,380,378,756,0,0,0,41,64,105,12,22,34,11,14,26,8,5,12,79,100,176,219,199,420,674,680,1357,105,111,212,16,16,26,11,15,25,124,135,262,18261,18243,36499,3749,6069,9817,143,123,270,43775,43216,86987
LGA21180,1160,1328,2483,215,341,554,7,0,14,8,11,22,160,120,283,29462,17844,47307,1551,2439,3994,476,8,491,140,14,157,151,33,182,280,135,412,265,354,620,33871,22641,56507,234,392,618,0,0,0,58,113,172,239,182,420,39,101,138,40,19,59,607,813,1416,0,0,0,0,6,7,18,22,45,31,56,90,3,11,14,52,100,155,331,202,535,990,1118,2110,194,315,505,9,12,22,19,0,21,216,329,548,6444,8404,14851,3370,5132,8504,276,184,458,45166,37809,82979
