LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA20110,177,57,396,2000,3422,1712,1185,2020,873,11211
LGA20260,192,44,371,1654,2405,1131,1007,2435,1437,10072
LGA20570,1373,461,2877,18496,26437,11793,8272,22015,5416,92434
LGA20660,1759,267,3400,22249,31975,13958,8608,23004,4015,103806
LGA20740,574,224,1218,5842,9820,5212,3748,7273,2725,34626
LGA20830,692,168,1359,8985,13007,6406,5075,10219,2973,46666
LGA20910,1615,394,3422,19491,26172,11819,6407,16324,3409,83632
LGA21010,286,91,566,2096,3291,1736,1337,2840,1154,12460
LGA21110,2400,434,4961,33713,43951,18979,10709,28507,5101,140967
LGA21180,2049,448,3664,26826,31972,14319,12462,63331,11946,160852
LGA21270,115,66,286,875,1320,685,624,1183,555,5241
LGA21370,604,233,1273,5751,8299,4149,3278,8002,2629,32122
LGA21450,759,238,1494,18499,25062,11064,8599,22824,5380,91426
LGA21610,2428,448,4207,52978,67122,29489,23920,93017,15677,282197
LGA21670,286,66,501,1789,2668,1633,1264,3163,993,11511
LGA21750,328,82,651,3459,4870,2528,2018,4464,1348,18690
LGA21830,250,83,517,2580,3354,1869,1533,2994,1108,13433
LGA21890,1834,593,3949,27390,38735,14120,8528,30643,6795,126214
LGA22110,668,278,1516,6705,10832,6136,4907,9173,3666,41422
LGA22170,1482,541,3017,23213,32043,13398,9077,28744,6968,113444
LGA22250,210,57,409,1461,2273,1255,1015,2198,809,9007
LGA22310,2036,395,3979,28483,37879,14593,8128,28542,5215,122840
LGA22410,329,73,594,2938,4393,2378,1891,4165,1290,17065
LGA22490,151,27,258,3788,5551,2907,2326,3829,1072,19477
LGA22620,1490,477,3097,19370,27729,12908,9373,22946,6409,98733
LGA22670,2023,288,3400,21513,24200,10757,8940,56223,9170,130795
LGA22750,3401,919,6844,44387,63493,28883,19699,53382,13441,223284
LGA22830,847,211,1649,9832,13478,6211,5014,15804,4853,55188
LGA22910,197,105,467,2402,4230,2180,1591,2636,1216,14251
LGA22980,123,59,282,827,1182,640,604,1223,369,4851
LGA23110,1134,181,2115,14885,21564,8981,5866,19145,3943,74390
LGA23190,329,54,656,3271,4528,2177,1631,4068,1011,16691
LGA23270,1437,258,2473,31233,39337,17417,16349,72615,12199,189145
LGA23350,201,37,394,2508,4416,2259,1485,2561,1097,14324
LGA23430,2357,347,4401,28190,38416,15913,9585,33240,5572,130919
LGA23670,1859,428,3540,28159,37006,16240,11053,34364,5168,131987
LGA23810,1006,299,1947,10868,16199,7987,6514,16859,5206,63627
LGA23940,141,70,308,1074,1519,830,798,1558,824,6602
LGA24130,434,131,893,8123,12339,6662,4662,7028,2414,41232
LGA24210,2339,357,4558,21228,27464,13762,9624,28624,3855,104556
LGA24250,130,19,239,1591,2459,1192,877,1611,711,8430
LGA24330,682,210,1348,15069,21245,7466,4382,19238,4547,71946
LGA24410,1262,503,2883,20444,28238,12340,7603,21504,3909,94018
LGA24600,648,158,1188,31639,37972,9767,4795,43957,11382,139515
LGA24650,663,132,1154,23973,30588,13639,12349,44430,10394,135368
LGA24780,824,200,1526,8053,11251,5472,4326,13130,4197,46427
LGA24850,381,81,730,7296,10365,4731,3860,10179,2704,39135
LGA24900,561,149,1050,4540,6329,3224,2497,6776,2112,25470
LGA24970,3049,744,6204,32542,41442,18979,12543,47107,8202,160818
LGA25060,1796,237,3274,22378,29828,12117,7649,25614,4710,102281
LGA25150,360,67,628,5874,8339,3960,3055,7076,1738,30044
LGA25250,2392,498,4682,31707,43978,15521,9763,36352,7519,144853
LGA25340,2748,976,6029,27409,40190,20216,13365,31060,9188,141435
LGA25430,196,210,644,2896,5199,2854,2004,2500,1941,17402
LGA25490,165,56,381,2732,3735,2210,1666,2660,1074,14077
LGA25620,173,45,346,2232,3618,1862,1481,2564,1230,12993
LGA25710,464,79,880,11213,16174,8052,4914,9226,1638,51226
LGA25810,137,107,384,1672,2487,1343,1128,2480,1041,10147
LGA25900,593,307,1468,22653,29533,8534,4269,18709,6624,90312
LGA25990,96,30,195,1029,1600,839,766,1391,913,6546
LGA26080,49,17,175,542,928,567,284,405,227,2965
LGA26170,411,114,857,4623,6959,4027,3146,4794,1901,25444
LGA26260,314,61,585,2567,3778,1898,1536,3104,885,13766
LGA26350,1221,361,2749,24111,29278,9376,5134,19708,5077,92690
LGA26430,234,64,433,1674,2613,1343,1087,2164,955,9835
LGA26490,319,146,738,6081,9794,4646,2973,4903,1855,30258
LGA26610,282,90,597,3108,4015,1911,1580,5062,1717,17396
LGA26670,109,49,217,900,1391,783,624,1043,517,5258
LGA26700,455,136,952,4576,6917,3361,2483,5648,1611,24603
LGA26730,477,181,1065,5796,8311,3752,2480,7003,1878,29229
LGA26810,518,149,1038,6482,9752,5112,4189,8537,3812,37887
LGA26890,61,16,141,604,854,432,402,707,336,3333
LGA26980,2515,689,5471,29911,40021,17861,10832,37235,6542,142397
LGA27070,1798,521,3332,32588,41714,18569,15845,62076,9884,180685
LGA27170,438,88,846,6891,9623,4325,2961,8846,1906,34569
LGA27260,1070,249,1852,36955,51039,23554,19891,71037,15410,217884
LGA27350,652,111,1268,21995,28436,7576,3406,14611,4562,80584
LGA27450,1333,204,2677,26375,38548,18029,12320,26175,5584,127036
LGA27630,128,65,297,904,1331,748,678,1365,510,5538
LGA29399,0,0,3,139,167,57,29,232,248,869
LGA29499,12,17,29,1148,1118,391,326,1694,3270,7946
LGA29799,0,0,0,0,3,0,0,8,27,38
