LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA20110,165,1610,2055,797,491,5123,104,5222
LGA20260,263,1505,1575,638,462,4443,96,4541
LGA20570,2667,16726,16591,5240,2843,44076,583,44654
LGA20660,2773,17713,19078,5104,2524,47190,473,47666
LGA20740,693,6251,6444,1982,988,16359,307,16662
LGA20830,684,6506,8446,3294,2219,21146,290,21441
LGA20910,1895,13841,15730,4121,1984,37582,358,37936
LGA21010,311,1991,2138,876,558,5870,163,6033
LGA21110,4559,25120,23270,6207,3003,62161,553,62715
LGA21180,4468,21575,23000,8839,4856,62740,1211,63949
LGA21270,113,785,850,428,316,2481,76,2555
LGA21370,719,4687,5492,2314,1543,14754,329,15079
LGA21450,1006,11362,16664,6010,4064,39109,502,39607
LGA21610,3333,30757,50007,17682,10038,111827,1540,113365
LGA21670,325,2162,1967,726,464,5642,131,5774
LGA21750,456,2980,3225,1217,777,8649,192,8848
LGA21830,257,1844,2246,1073,798,6210,135,6343
LGA21890,7288,27373,17572,4343,2122,58702,791,59488
LGA22110,842,6664,7463,2769,1592,19335,441,19771
LGA22170,3036,18780,20716,6399,3382,52314,705,53019
LGA22250,202,1398,1529,649,469,4246,117,4359
LGA22310,4987,24884,20826,4564,2105,57370,602,57971
LGA22410,370,2564,2973,1319,826,8038,151,8190
LGA22490,81,1367,3404,1777,1559,8184,107,8287
LGA22620,2290,15823,17697,6341,3831,45982,619,46599
LGA22670,4184,18686,17920,6385,3481,50651,1021,51670
LGA22750,5409,36827,41257,12103,6573,102176,1333,103508
LGA22830,1214,8060,9137,3628,2218,24267,532,24795
LGA22910,221,2291,2596,1044,596,6753,95,6846
LGA22980,133,724,786,382,311,2330,36,2367
LGA23110,2506,13866,12979,3303,1558,34219,449,34663
LGA23190,484,2695,3002,1200,691,8079,140,8216
LGA23270,3359,23070,30789,10907,6377,74507,1239,75740
LGA23350,174,1761,2623,1130,793,6480,132,6615
LGA23430,3751,23245,23995,6298,2988,60277,664,60940
LGA23670,2161,17614,24405,8094,4576,56848,575,57422
LGA23810,2130,10893,10712,3951,2309,29996,611,30610
LGA23940,93,831,1024,586,429,2966,85,3049
LGA24130,379,4378,7608,3216,2268,17853,202,18060
LGA24210,1931,14708,18371,5691,3458,44161,417,44574
LGA24250,104,1126,1521,627,401,3769,59,3830
LGA24330,4176,16189,9797,2212,848,33231,468,33695
LGA24410,2030,15281,17524,4901,2842,42572,433,43006
LGA24600,32071,29411,6840,915,378,69618,1143,70760
LGA24650,1733,15878,23631,8157,4681,54090,816,54907
LGA24780,1275,7014,7772,2958,1770,20780,499,21283
LGA24850,529,4688,6768,2915,1961,16864,275,17140
LGA24900,544,3898,4281,1734,1209,11658,259,11917
LGA24970,4745,24159,26283,7481,3487,66152,822,66979
LGA25060,4650,19700,16279,4363,2230,47221,587,47814
LGA25150,414,3746,5196,2295,1669,13317,183,13500
LGA25250,8792,31777,19269,4860,2344,67035,839,67871
LGA25340,2329,21510,26620,8399,4945,63801,848,64650
LGA25430,345,3047,3031,1117,722,8264,130,8396
LGA25490,151,1558,2584,1174,859,6319,115,6439
LGA25620,152,1735,2287,1023,703,5898,104,6006
LGA25710,356,4413,9238,3787,2958,20757,158,20912
LGA25810,276,1656,1701,688,484,4803,100,4903
LGA25900,8705,26671,10483,1608,607,48076,652,48731
LGA25990,85,774,1105,527,426,2919,62,2976
LGA26080,56,574,586,135,65,1425,11,1441
LGA26170,375,3754,4488,1884,1290,11792,215,12001
LGA26260,341,2228,2360,1065,737,6736,111,6844
LGA26350,7794,22649,12162,2742,1323,46670,562,47229
LGA26430,177,1483,1730,760,488,4634,102,4734
LGA26490,235,3618,6135,1932,1198,13113,157,13270
LGA26610,475,2321,2898,1114,714,7528,192,7718
LGA26670,59,634,930,421,315,2362,50,2406
LGA26700,594,3794,4494,1606,1052,11537,309,11847
LGA26730,774,5145,5376,1641,863,13792,204,13993
LGA26810,769,5574,6621,2577,1682,17233,309,17538
LGA26890,60,445,558,295,251,1611,31,1643
LGA26980,5162,24887,23585,5877,2827,62340,760,63094
LGA27070,3206,24325,31695,10184,5511,74918,1053,75971
LGA27170,757,5519,6534,2074,1122,16006,366,16372
LGA27260,3261,31491,37823,10632,5194,88400,1421,89823
LGA27350,8142,21519,8426,1562,496,40146,501,40646
LGA27450,1584,15189,23164,8965,6420,55318,525,55842
LGA27630,130,886,966,388,302,2670,65,2740
LGA29399,36,80,21,13,0,148,6,156
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
