LGA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
LGA23670,6,230,..,3465,239,3706,26,3727,..,642,79,725,5,728,..,127,7,133,5,142,..,153,81,231,0,231,..,373,116,486,5,491,..,68,3,75,0,75,..,283,12,293,0,295,..,459,94,558,6,560,..,251,40,289,4,293,..,61,5,68,0,68,..,136,22,151,0,151,..,29,0,29,0,29,..,152,24,170,0,170,..,301,11,309,0,309,..,346,27,372,4,377,..,345,6,356,0,357,..,157,3,162,4,164,..,1148,48,1197,9,1203,..,341,50,388,0,395,..,680,44,722,4,728,..,231,28,263,0,269,..,71,11,85,3,83,..,486,194,685,8,691,..,1538,274,1816,60,1874,..,19803,3887,23691,254,23943,..,326,68,398,2313,2711,54509,20133,3954,24088,2571,81164,108159,..,..,..,..,108159,..,186,0,185,0,185,..,1052,102,1153,14,1164,..,10,3,14,0,12,..,4292,1176,5465,44,5515,..,8579,2814,11395,141,11536
LGA23810,0,9,..,250,22,273,0,269,..,269,59,332,3,335,..,6,9,17,0,17,..,10,3,16,0,16,..,7,4,10,0,10,..,6,0,4,0,4,..,110,4,117,0,116,..,3,0,3,0,3,..,39,7,48,0,48,..,9,0,10,0,10,..,16,0,19,0,19,..,7,0,8,0,8,..,23,9,29,0,29,..,129,3,132,0,134,..,20,4,26,4,31,..,133,5,140,0,143,..,42,5,43,0,43,..,326,13,344,0,349,..,59,11,67,0,70,..,20,0,20,0,20,..,60,15,70,3,72,..,5,4,5,0,5,..,36,24,64,0,64,..,511,104,615,21,634,..,2322,407,2728,33,2761,..,112,22,131,2700,2832,33905,2431,428,2858,2739,39510,66500,..,..,..,..,66500,..,51,0,56,0,56,..,136,18,151,3,156,..,25,0,25,0,25,..,80,37,111,4,114,..,221,62,277,0,278
LGA23940,0,0,..,0,0,0,0,0,..,6,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,5,26,0,26,..,3,0,5,0,5,..,18,3,18,0,21,..,12,6,13,0,13,..,57,5,67,0,64,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,4,0,4,..,13,0,13,0,13,..,113,21,134,0,129,..,10,4,10,390,395,3299,118,24,137,390,3836,6692,..,..,..,..,6692,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,10,7,0,7
LGA24130,0,0,..,70,7,79,3,79,..,133,4,136,0,136,..,24,0,24,0,24,..,4,0,4,0,4,..,4,0,4,0,4,..,20,0,24,0,24,..,5,0,5,0,5,..,0,0,0,0,0,..,26,4,33,0,31,..,9,0,9,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,6,0,12,0,12,..,15,0,14,0,14,..,3,0,3,0,3,..,24,0,24,0,24,..,11,0,11,0,11,..,55,0,62,0,62,..,64,5,65,0,68,..,0,0,0,0,0,..,29,3,35,0,35,..,24,0,22,0,22,..,19,4,25,0,25,..,240,29,266,0,267,..,1137,111,1250,22,1271,..,47,0,47,1264,1310,23535,1180,112,1295,1280,26111,46536,..,..,..,..,46536,..,61,0,61,0,61,..,53,15,65,0,65,..,10,0,10,0,10,..,23,8,29,3,34,..,107,71,184,3,185
LGA24210,0,106,..,1578,90,1669,0,1671,..,1878,260,2140,11,2147,..,126,19,147,0,147,..,21,16,31,0,31,..,438,122,560,3,568,..,226,35,255,0,257,..,78,0,79,0,79,..,1392,227,1615,5,1624,..,92,6,99,0,99,..,73,7,79,0,79,..,72,8,79,0,79,..,7,0,7,0,7,..,67,16,79,0,79,..,93,0,93,0,93,..,262,22,279,4,284,..,121,0,123,0,123,..,100,0,96,0,96,..,577,22,598,4,600,..,253,16,266,0,269,..,197,12,206,0,206,..,112,13,122,0,122,..,128,22,152,0,152,..,373,79,454,5,459,..,953,146,1099,44,1140,..,24741,5577,30324,231,30555,..,240,52,285,1710,1999,31821,24981,5626,30607,1948,64374,63188,..,..,..,..,63188,..,225,0,225,0,225,..,2136,163,2300,12,2314,..,9,0,9,0,9,..,8324,2157,10478,76,10559,..,12831,4326,17154,180,17341
LGA24250,0,0,..,16,5,23,0,24,..,7,0,7,0,7,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,10,0,10,..,0,3,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,7,0,3,0,3,..,28,8,30,0,34,..,213,21,228,4,235,..,6,0,6,367,371,4553,219,21,240,374,5165,9011,..,..,..,..,9011,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,50,10,66,0,66
LGA24330,0,52,..,1101,101,1200,21,1219,..,520,134,657,3,665,..,146,14,153,5,155,..,22,6,29,0,29,..,86,17,101,5,106,..,264,99,360,3,362,..,28,0,30,0,30,..,65,10,73,0,73,..,125,29,152,0,152,..,109,11,118,0,119,..,49,6,54,0,55,..,29,0,29,0,29,..,180,49,227,0,229,..,188,7,200,0,200,..,145,13,158,3,162,..,320,12,331,4,334,..,67,3,69,0,72,..,722,33,762,6,764,..,606,109,717,9,720,..,65,10,78,0,80,..,150,18,172,0,172,..,138,43,182,5,184,..,3520,1788,5304,34,5347,..,1487,285,1771,31,1801,..,12577,3856,16433,155,16587,..,180,44,221,1876,2098,23808,12757,3901,16659,2028,42498,48241,..,..,..,..,48241,..,32,0,32,0,32,..,632,94,726,7,731,..,29,3,38,0,38,..,1665,744,2413,14,2425,..,1437,584,2020,29,2044
LGA24410,0,100,..,1295,95,1390,15,1405,..,314,43,354,6,349,..,83,5,88,0,89,..,65,42,106,0,106,..,175,60,231,5,238,..,37,4,41,0,41,..,150,9,161,4,161,..,344,70,413,3,416,..,96,16,112,0,114,..,43,0,43,0,42,..,83,9,91,0,91,..,6,0,6,0,6,..,56,16,68,0,68,..,124,9,126,0,126,..,136,8,147,0,148,..,160,0,163,3,166,..,49,10,52,0,52,..,463,26,489,4,493,..,265,25,292,5,298,..,119,8,128,0,130,..,165,21,189,0,189,..,32,6,40,0,40,..,227,77,297,5,299,..,1564,716,2282,44,2329,..,9572,2369,11942,143,12088,..,231,57,295,1688,1979,45289,9809,2428,12235,1830,59351,88426,..,..,..,..,88426,..,199,0,204,0,204,..,389,56,441,5,451,..,9,0,9,0,9,..,1493,394,1883,18,1906,..,4008,1392,5402,51,5455
LGA24600,7,441,..,3426,89,3511,26,3541,..,607,67,678,3,678,..,590,109,700,8,706,..,90,0,91,0,91,..,993,259,1252,6,1258,..,72,6,78,0,78,..,284,10,294,0,294,..,365,29,394,0,394,..,134,4,140,0,140,..,381,22,400,0,404,..,283,23,300,0,300,..,13,0,13,0,15,..,109,17,121,0,121,..,459,6,461,0,468,..,1467,46,1513,5,1519,..,466,3,470,0,470,..,321,3,325,3,330,..,2716,54,2767,17,2788,..,1797,194,1995,11,2002,..,474,26,498,9,506,..,1015,262,1282,5,1286,..,184,26,206,5,209,..,1553,283,1840,5,1850,..,2434,319,2757,49,2805,..,32218,4312,36525,208,36738,..,238,53,293,5204,5501,32954,32459,4366,36822,5412,75195,69367,..,..,..,..,69367,..,94,0,94,0,94,..,1512,213,1730,10,1740,..,23,0,25,0,25,..,4362,760,5118,24,5146,..,17881,3440,21319,70,21393
LGA24650,4,253,..,8906,996,9906,123,10025,..,838,67,906,7,908,..,71,5,74,0,74,..,32,15,43,0,43,..,112,31,137,0,137,..,1215,149,1366,10,1369,..,361,26,390,4,391,..,133,25,151,4,155,..,205,33,236,0,236,..,139,19,159,0,161,..,71,4,74,0,74,..,689,44,738,12,749,..,492,80,571,0,579,..,1185,33,1220,12,1232,..,177,17,192,0,192,..,1573,42,1609,11,1621,..,228,22,251,0,246,..,3161,109,3270,20,3291,..,980,131,1118,3,1123,..,568,66,628,5,637,..,219,35,247,0,253,..,562,89,649,0,655,..,1665,752,2419,14,2433,..,5856,1142,6993,103,7096,..,30685,4579,35265,350,35621,..,588,155,744,4498,5234,48826,31271,4735,36007,4847,89678,97261,..,..,..,..,97261,..,92,0,92,0,98,..,3269,377,3642,31,3668,..,24,0,24,0,29,..,646,198,845,10,853,..,1015,328,1339,17,1359
LGA24780,0,3,..,280,32,319,5,322,..,354,72,421,0,420,..,26,4,29,0,29,..,23,14,39,0,39,..,23,6,28,0,28,..,7,0,7,0,7,..,69,6,75,0,75,..,15,3,12,0,12,..,0,0,5,0,5,..,4,0,3,0,3,..,7,0,7,0,7,..,36,6,42,0,42,..,11,0,13,0,13,..,69,4,68,0,68,..,11,3,15,0,15,..,69,3,67,0,68,..,141,40,179,0,182,..,282,53,338,5,342,..,18,0,20,0,20,..,36,4,40,0,40,..,52,47,107,4,104,..,119,90,213,0,213,..,91,108,196,0,201,..,475,160,635,12,649,..,2485,894,3382,36,3413,..,109,20,126,2018,2149,23371,2599,909,3505,2054,28932,45513,..,..,..,..,45513,..,75,0,75,0,75,..,84,18,101,3,106,..,29,0,29,0,29,..,98,62,164,0,165,..,420,517,932,25,953
LGA24850,0,8,..,782,81,863,5,873,..,176,15,192,3,195,..,11,4,16,0,16,..,0,4,6,0,6,..,7,0,7,0,7,..,64,3,67,0,70,..,32,4,39,0,39,..,4,3,5,0,5,..,23,5,25,0,25,..,15,0,16,0,16,..,13,0,13,0,13,..,66,9,68,0,68,..,8,0,8,0,8,..,28,3,34,0,34,..,16,0,19,0,19,..,72,0,78,0,74,..,23,9,27,0,27,..,145,7,157,0,157,..,38,3,46,0,46,..,33,3,40,0,40,..,44,6,52,0,52,..,79,13,93,0,93,..,38,12,50,0,50,..,433,85,519,15,533,..,2456,324,2775,37,2811,..,58,5,62,1354,1414,20311,2509,332,2838,1389,24536,40885,..,..,..,..,40885,..,63,3,70,0,68,..,231,31,260,3,261,..,10,0,16,0,16,..,29,9,35,0,35,..,178,72,246,0,248
LGA24900,0,0,..,88,13,106,0,103,..,108,16,126,3,126,..,3,0,3,0,3,..,9,0,4,0,4,..,3,5,5,0,5,..,0,0,0,0,0,..,8,0,13,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,49,0,49,0,49,..,4,0,3,0,3,..,44,0,42,0,45,..,31,4,35,0,35,..,125,8,130,0,133,..,11,0,10,0,10,..,14,0,14,0,14,..,35,6,44,0,44,..,4,0,4,0,4,..,4,3,9,0,9,..,97,10,106,0,106,..,646,144,790,14,801,..,46,0,47,1036,1078,13412,688,146,835,1045,15286,26713,..,..,..,..,26713,..,14,0,14,0,14,..,41,19,61,0,61,..,8,0,8,0,8,..,25,11,36,0,36,..,101,117,224,6,224
LGA24970,0,578,..,7373,368,7736,42,7781,..,1376,300,1683,14,1695,..,463,54,515,7,522,..,179,50,232,0,234,..,871,269,1141,0,1146,..,70,10,91,0,91,..,431,12,444,5,445,..,445,52,499,4,503,..,325,52,368,0,368,..,126,7,128,0,133,..,421,95,513,0,516,..,27,3,34,0,34,..,212,31,243,4,243,..,332,4,339,0,343,..,809,48,857,9,872,..,364,7,376,0,377,..,216,13,224,0,226,..,1723,85,1803,15,1817,..,556,46,602,4,604,..,1472,85,1560,5,1571,..,304,58,359,0,359,..,113,23,139,3,140,..,1509,380,1890,17,1903,..,2601,313,2911,55,2969,..,41622,8662,50282,368,50655,..,374,104,479,3303,3777,41126,41995,8761,50760,3671,95556,83546,..,..,..,..,83546,..,136,0,136,0,136,..,1313,89,1397,8,1407,..,10,0,10,0,10,..,6922,1741,8664,61,8726,..,21540,7249,28790,221,29014
LGA25060,0,76,..,1278,59,1341,12,1346,..,3053,650,3705,18,3721,..,183,13,194,0,194,..,12,5,17,0,17,..,115,33,146,0,149,..,241,36,273,6,281,..,106,6,106,0,106,..,137,18,154,0,157,..,176,8,190,0,188,..,124,3,134,0,137,..,85,3,97,0,97,..,27,0,27,0,27,..,158,23,181,0,181,..,142,9,146,0,146,..,109,5,113,0,113,..,207,3,206,0,210,..,77,6,83,0,83,..,533,18,553,3,553,..,702,80,780,5,788,..,131,10,142,0,140,..,165,29,198,0,205,..,381,74,461,4,463,..,1117,451,1569,8,1577,..,1812,344,2153,25,2185,..,15288,2971,18256,130,18388,..,243,33,278,2110,2389,41889,15530,3008,18535,2235,62666,82779,..,..,..,..,82779,..,43,0,42,0,42,..,1638,211,1844,6,1850,..,14,0,14,0,14,..,1279,545,1828,14,1842,..,1629,373,2004,24,2031
LGA25150,0,7,..,370,43,420,6,421,..,60,6,64,0,64,..,17,3,20,0,20,..,0,0,0,0,0,..,5,0,5,0,5,..,20,4,19,0,19,..,7,0,9,0,9,..,0,0,0,0,0,..,22,0,25,0,25,..,19,0,19,0,19,..,5,0,5,0,5,..,19,0,19,0,19,..,27,4,35,0,35,..,23,0,23,0,23,..,4,0,4,0,4,..,41,0,39,0,39,..,14,0,11,0,11,..,89,3,90,0,90,..,57,0,62,3,59,..,17,4,26,0,26,..,11,0,20,0,20,..,11,0,17,0,17,..,29,12,36,3,40,..,294,32,326,5,336,..,1321,145,1464,24,1487,..,40,3,46,839,880,16619,1358,149,1506,862,18991,32863,..,..,..,..,32863,..,29,0,34,0,34,..,60,4,60,4,63,..,6,0,6,0,6,..,17,3,18,0,18,..,65,26,88,0,88
LGA25250,3,146,..,4508,397,4903,42,4950,..,4324,1303,5627,32,5660,..,265,20,284,3,291,..,17,7,23,0,21,..,140,21,167,0,163,..,124,14,137,0,137,..,214,16,229,0,232,..,182,26,212,0,207,..,194,26,224,0,225,..,231,16,252,4,253,..,127,9,131,0,138,..,42,0,42,0,42,..,123,25,154,0,154,..,262,3,269,4,270,..,260,23,283,8,289,..,307,6,315,0,315,..,144,8,148,0,154,..,971,49,1012,8,1028,..,918,82,1000,11,1011,..,194,25,215,0,216,..,203,41,242,0,238,..,1177,372,1548,11,1565,..,690,210,899,8,907,..,2018,347,2360,58,2421,..,25238,5113,30345,275,30618,..,436,68,500,3365,3869,53420,25668,5177,30843,3641,87909,104555,..,..,..,..,104555,..,61,0,67,0,69,..,6575,1139,7707,60,7767,..,27,0,27,0,27,..,844,212,1051,10,1066,..,2188,637,2827,22,2857
LGA25340,0,9,..,134,3,142,0,142,..,680,57,743,8,746,..,83,4,82,0,82,..,21,4,17,0,17,..,24,0,21,0,21,..,51,0,54,0,54,..,32,3,36,0,36,..,26,0,30,0,30,..,107,5,115,0,115,..,34,0,42,0,41,..,85,4,91,0,95,..,3,0,3,0,3,..,53,5,57,0,57,..,85,5,88,3,89,..,55,0,56,0,56,..,129,6,133,0,133,..,22,0,22,0,22,..,290,6,301,3,300,..,230,11,243,0,243,..,14,0,14,0,14,..,142,19,163,0,164,..,29,5,37,0,37,..,65,14,78,0,78,..,634,75,710,20,724,..,4367,458,4824,58,4884,..,228,14,246,4432,4683,77708,4594,473,5071,4489,87267,150667,..,..,..,..,150667,..,132,3,133,0,132,..,174,16,190,0,194,..,19,4,24,0,24,..,142,30,168,7,177,..,359,113,475,4,476
LGA25430,0,0,..,17,0,14,0,14,..,17,0,15,0,15,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,7,0,7,..,6,0,5,0,5,..,5,0,5,0,5,..,22,3,25,0,25,..,21,3,19,0,27,..,4,0,4,0,4,..,9,0,9,0,9,..,0,0,0,0,0,..,4,0,3,0,3,..,72,6,83,0,83,..,310,28,338,3,336,..,16,5,20,766,791,9021,327,30,355,771,10150,17612,..,..,..,..,17612,..,9,0,9,0,9,..,9,0,12,0,12,..,5,0,5,0,5,..,11,0,11,0,11,..,11,6,18,0,18
LGA25490,0,0,..,6,3,6,0,6,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,0,0,0,0,0,..,24,0,24,0,24,..,0,0,6,0,6,..,48,0,46,0,46,..,15,0,15,0,15,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,6,0,6,0,6,..,44,4,44,0,53,..,184,12,196,5,205,..,20,0,19,517,534,8036,203,17,219,524,8780,15903,..,..,..,..,15903,..,19,0,19,0,19,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,4,..,21,6,27,0,23
LGA25620,0,0,..,22,3,26,0,26,..,15,0,15,0,15,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,4,0,0,0,3,..,9,3,11,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,19,0,19,0,19,..,11,0,11,0,11,..,6,0,6,0,6,..,11,0,11,0,11,..,6,0,6,0,6,..,6,3,6,0,6,..,61,9,66,0,66,..,253,20,275,0,279,..,10,0,10,588,593,6501,262,20,286,590,7378,13328,..,..,..,..,13328,..,20,0,20,0,20,..,5,0,5,0,5,..,5,0,5,0,5,..,7,0,7,0,7,..,27,6,29,0,29
LGA25710,0,16,..,203,12,214,0,220,..,397,27,421,4,421,..,40,3,42,0,42,..,3,0,4,0,4,..,16,7,21,0,21,..,121,16,135,0,135,..,27,0,27,0,27,..,155,18,170,0,169,..,50,5,54,0,54,..,15,0,12,0,12,..,35,4,39,0,39,..,0,0,0,0,0,..,46,0,50,0,50,..,14,0,14,0,14,..,31,3,30,0,30,..,31,0,31,0,32,..,11,3,10,0,10,..,84,3,87,0,87,..,117,5,124,0,125,..,26,0,31,0,28,..,38,7,42,0,41,..,45,8,56,0,54,..,46,6,51,0,51,..,333,30,364,7,370,..,2976,288,3256,25,3284,..,69,5,72,776,849,27664,3043,291,3330,800,31794,55147,..,..,..,..,55147,..,103,4,102,0,102,..,202,36,237,0,239,..,0,0,0,0,0,..,163,30,194,0,194,..,598,127,725,10,734
LGA25810,0,0,..,25,5,33,0,33,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,25,0,25,0,25,..,6,0,6,0,6,..,32,3,32,0,32,..,7,0,6,0,6,..,63,0,66,0,66,..,18,0,18,0,18,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,6,5,3,0,4,..,62,4,62,4,65,..,265,49,319,0,322,..,15,0,13,482,496,5143,281,57,336,484,5963,10258,..,..,..,..,10258,..,15,0,10,0,10,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,6,0,6,..,57,67,117,0,117
LGA25900,0,64,..,726,27,756,0,755,..,552,33,584,7,587,..,184,19,206,7,214,..,16,4,16,0,16,..,147,25,171,3,174,..,74,5,77,0,77,..,37,3,41,0,41,..,141,10,155,0,158,..,220,35,250,0,246,..,300,13,319,9,321,..,436,228,664,10,674,..,9,0,9,0,9,..,121,6,127,0,127,..,104,0,108,0,108,..,138,10,149,0,149,..,135,5,139,0,139,..,77,0,77,0,77,..,453,16,477,0,477,..,913,48,955,10,968,..,88,0,91,0,91,..,187,17,206,0,206,..,116,23,137,0,132,..,278,46,321,0,326,..,1313,151,1454,29,1486,..,10016,1289,11304,114,11417,..,164,22,184,3049,3233,37592,10180,1310,11487,3157,52238,73895,..,..,..,..,73895,..,94,0,94,0,98,..,366,28,395,0,395,..,8,0,8,0,11,..,621,94,720,3,725,..,1786,329,2118,16,2130
