LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA21270,12,7,8,8,0,0,66,3,11,12,18,21,14,4,0,76,26,115,73,82,73,46,22,5,448,11,44,49,71,91,72,26,9,367,72,133,135,218,233,148,44,10,996,6,9,6,7,10,13,0,0,51,0,3,8,13,17,9,8,0,61,80,147,150,240,262,166,49,13,1110,0,4,3,5,4,9,4,0,23,68,53,51,95,121,108,99,85,673,187,395,344,523,580,426,205,108,2778
LGA21370,101,98,78,52,13,0,483,3,87,101,116,112,76,31,0,533,125,644,641,524,400,321,111,19,2777,93,327,432,525,545,398,178,38,2540,569,1236,1133,1289,1335,831,321,83,6801,74,67,71,50,70,27,14,5,377,24,44,61,84,109,77,29,13,436,673,1349,1257,1419,1510,937,361,94,7611,3,15,19,17,19,26,29,4,131,334,317,327,413,529,578,538,355,3376,1242,2866,2875,3112,3190,2374,1262,520,17448
LGA21450,1376,569,322,201,62,7,3856,59,456,521,404,271,179,61,7,1958,743,3524,3315,1926,1081,777,264,50,11678,602,2486,2694,1862,1280,783,325,61,10105,1616,5060,4185,3611,2679,1416,615,140,19329,275,227,213,141,133,69,20,0,1079,116,230,279,320,259,184,81,22,1492,2010,5520,4679,4073,3070,1673,715,161,21897,26,109,135,70,50,54,35,7,487,884,1203,1040,943,807,740,666,363,6643,4368,14568,13750,9847,6890,4411,2131,651,56624
LGA21610,6334,2438,1102,521,157,23,15210,193,1175,1514,1067,670,350,113,18,5092,3086,12511,13037,6754,3577,1934,623,137,41664,2163,7436,8880,6219,3983,2006,700,194,31577,4416,10470,9645,8849,6983,3609,1416,372,45753,694,658,578,503,391,168,55,16,3060,353,707,919,996,857,485,213,54,4579,5458,11836,11142,10347,8231,4261,1685,436,53401,130,333,436,267,235,198,99,34,1739,2635,3855,3380,2595,2184,1822,1372,676,18527,13885,41563,44726,29692,19979,11096,4748,1511,167206
LGA21670,22,13,32,29,9,0,138,3,20,25,29,25,41,6,0,157,34,146,122,120,136,127,78,9,772,31,82,98,160,176,147,73,10,779,140,352,320,448,485,420,171,35,2371,22,42,27,21,33,26,15,0,180,4,16,15,25,38,39,15,3,157,168,408,372,499,555,476,195,39,2707,0,0,0,6,0,10,11,6,35,119,94,113,196,202,271,238,90,1319,362,773,745,1025,1136,1107,604,149,5895
LGA21750,91,92,110,82,17,4,488,6,54,63,64,82,79,23,3,369,59,404,360,321,288,350,117,28,1916,45,227,254,296,354,299,110,22,1608,319,763,763,688,697,433,143,33,3845,38,45,35,29,26,28,0,0,211,15,37,35,55,57,58,19,3,277,374,849,833,770,782,520,168,38,4331,0,21,8,8,8,11,13,5,78,143,200,201,232,279,328,234,119,1746,634,1828,1811,1784,1912,1667,680,219,10530
LGA21830,46,46,38,39,9,0,235,3,30,51,51,48,50,9,0,242,59,269,267,250,204,169,49,9,1268,29,134,152,218,246,195,73,18,1067,218,483,430,539,562,279,104,24,2626,36,26,39,25,28,15,4,0,162,11,21,18,27,42,29,14,3,168,264,521,485,593,628,318,128,25,2961,0,8,4,10,10,19,7,0,60,186,139,140,181,227,231,216,142,1456,547,1145,1149,1356,1390,1015,492,198,7278
LGA21890,4243,2546,1440,611,152,22,14063,66,1069,1415,1329,894,459,76,12,5319,2051,10829,8216,5248,2633,1249,342,90,30654,874,2663,2609,2352,1550,733,235,78,11098,1107,2854,2366,2306,1823,1002,493,192,12142,181,187,156,154,122,64,14,3,885,80,206,262,375,344,183,73,31,1562,1375,3246,2787,2838,2287,1244,582,225,14586,42,135,147,118,82,78,35,19,659,870,1580,1243,1057,874,884,812,696,8014,5534,24328,20647,15485,9763,5252,2232,1149,84397
LGA22110,145,139,180,189,71,12,922,3,101,146,159,214,236,62,3,917,89,634,638,625,732,743,320,53,3831,83,434,505,681,846,885,401,88,3913,495,1307,1296,1437,1679,1508,692,140,8558,71,69,88,79,115,91,19,4,540,16,49,94,94,156,172,88,24,702,582,1430,1480,1617,1955,1775,798,169,9803,9,22,21,21,34,55,53,16,226,415,403,440,538,796,952,744,341,4620,1189,3199,3367,3780,4748,4836,2443,683,24247
LGA22170,1102,771,495,303,82,26,3805,64,507,717,586,428,324,88,13,2718,771,3955,3833,2703,1662,1184,455,113,14672,615,2459,3032,2660,1989,1282,518,140,12691,1712,5050,4727,4498,3734,2186,1020,272,23207,252,245,261,200,198,127,32,9,1335,115,252,346,386,396,324,161,40,2018,2085,5545,5342,5091,4325,2642,1218,316,26558,35,90,90,83,103,96,80,41,622,940,1295,1266,1291,1110,1046,1000,695,8650,4556,14819,15370,13186,10121,6869,3436,1337,69705
LGA22250,21,12,20,11,0,0,103,0,16,16,20,28,16,11,0,122,25,113,133,111,90,90,26,3,598,15,68,99,129,120,117,47,17,608,132,285,302,321,386,277,98,20,1820,20,20,19,11,20,10,4,0,107,9,11,8,14,24,28,6,0,96,152,315,333,349,422,320,109,21,2024,0,3,0,3,7,12,5,0,34,109,61,122,127,158,221,155,81,1038,311,607,729,761,847,788,357,127,4519
LGA22310,4584,3032,1699,1070,327,87,15689,52,714,1068,1270,1035,686,160,33,5023,2515,9079,8785,7032,4509,2889,1068,351,36233,755,1889,2151,2513,1992,1631,690,249,11872,794,1865,1596,1854,1740,1189,604,282,9926,149,107,113,125,110,71,30,8,711,84,176,236,353,387,316,182,78,1816,1024,2146,1947,2325,2233,1575,814,373,12447,39,147,177,147,141,149,95,50,949,668,1219,976,852,712,903,773,699,6800,5317,19819,19690,17178,12326,8903,3941,1847,89018
LGA22410,60,48,45,41,10,0,258,8,33,55,61,74,56,17,0,306,46,272,250,253,228,211,69,8,1337,25,177,229,238,286,256,82,23,1327,270,599,601,749,790,482,150,30,3671,54,43,31,36,39,25,6,0,230,14,23,41,70,66,49,19,7,280,336,659,677,850,891,558,166,42,4178,4,3,13,13,21,13,10,0,70,161,138,199,214,290,350,247,124,1736,583,1342,1476,1676,1837,1486,601,201,9210
LGA22490,117,108,103,77,11,0,500,11,76,140,139,87,83,14,0,553,87,453,574,451,315,230,61,10,2178,73,301,472,469,387,242,75,14,2027,343,893,1073,1101,800,478,155,26,4861,55,36,54,46,40,29,9,0,262,18,26,59,59,58,37,29,0,291,419,953,1186,1207,895,544,185,28,5414,7,7,17,21,14,23,11,0,96,197,144,187,249,232,263,146,65,1483,787,2013,2689,2642,2045,1461,505,113,12253
LGA22620,796,642,532,423,148,13,3534,60,489,672,641,566,449,95,13,2987,722,3297,3073,2298,1627,1319,492,138,12966,411,1448,1664,1679,1643,1406,617,144,9005,1610,4267,3690,3550,3328,2078,948,252,19730,272,242,243,178,195,147,31,5,1312,104,159,204,268,305,271,116,45,1471,1985,4667,4133,3991,3828,2504,1094,303,22508,10,73,44,60,73,69,63,30,415,874,1066,991,1038,1186,1199,1156,749,8256,4155,11917,11372,10357,9448,7363,3660,1398,59679
LGA22670,2141,853,391,206,61,15,7063,83,503,454,336,215,144,55,14,1797,1834,7134,4711,2274,1390,912,358,114,18730,1030,3087,2809,1884,1303,801,308,108,11332,1396,2807,2616,2439,2011,1463,782,209,13720,210,252,247,186,156,97,27,5,1174,121,345,344,366,323,237,115,24,1876,1726,3395,3206,2991,2492,1793,927,237,16770,77,214,211,120,99,98,57,25,902,1315,2390,1760,1295,1240,1168,925,477,10571,6277,19907,15289,9742,7135,5128,2689,985,67159
LGA22750,2815,1903,1444,1002,377,35,11600,128,1286,1479,1323,1156,961,257,33,6632,2458,9872,8514,5860,4248,3429,1235,298,35907,1308,4020,4324,4418,3798,3308,1460,359,23009,3571,8625,7569,7049,6649,4502,1985,604,40545,466,420,448,350,300,253,78,14,2329,227,377,470,564,600,609,312,93,3246,4263,9421,8483,7965,7547,5356,2369,705,46116,87,142,164,138,154,201,195,69,1143,1918,2256,1955,1883,1933,2381,2264,1373,15964,10437,30740,27725,23498,20284,16649,8154,2878,140374
LGA22830,388,256,181,111,31,7,1495,20,236,272,271,216,145,30,5,1202,302,1594,1280,883,681,527,159,37,5462,246,894,989,918,835,568,238,56,4746,976,2079,1784,1858,1664,1018,414,92,9889,168,137,110,113,66,57,14,0,662,66,100,123,162,135,98,53,14,751,1204,2314,2017,2139,1866,1180,475,112,11305,20,46,47,24,36,32,13,9,234,727,867,761,749,797,748,758,477,5877,2564,6431,5749,5248,4620,3303,1710,695,30320
LGA22910,119,186,222,183,53,8,836,0,30,72,100,150,148,18,3,531,39,237,392,464,466,390,134,31,2161,20,131,253,313,352,325,115,14,1525,112,381,376,480,502,364,156,38,2423,20,21,26,26,33,21,7,0,150,7,13,27,38,57,66,12,0,229,139,418,426,544,594,454,180,46,2802,3,8,6,10,10,26,11,5,79,109,125,145,207,254,313,226,126,1506,316,1030,1423,1816,2040,1841,740,227,9435
LGA22980,12,11,15,4,3,0,79,0,9,16,17,16,3,9,0,75,22,111,64,61,56,49,22,7,401,9,52,65,74,82,50,10,3,349,62,187,152,142,226,100,31,14,907,17,16,15,3,10,6,3,0,72,8,6,7,22,16,10,8,0,76,79,209,173,168,252,116,45,19,1056,0,0,0,0,0,3,3,0,13,40,39,44,46,74,96,82,72,487,152,448,369,379,495,321,181,102,2452
LGA23110,1862,1210,743,348,102,10,5783,45,437,659,614,495,267,53,8,2572,866,3992,4637,2948,1707,850,267,56,15313,372,1292,1670,1667,1201,605,246,62,7113,651,1838,1884,1891,1762,1071,443,177,9723,91,106,93,107,104,59,14,6,579,65,107,197,262,248,165,43,20,1106,807,2052,2170,2266,2117,1302,503,202,11410,23,73,72,57,61,62,31,6,384,492,919,815,699,576,572,468,325,4859,2682,10196,11882,9452,6886,4000,1661,672,47436
LGA23190,104,87,53,23,4,6,419,13,67,79,68,72,47,17,3,365,93,436,346,316,229,187,74,21,1693,59,236,286,319,313,226,89,34,1567,345,783,652,588,615,349,122,31,3475,49,48,37,29,27,15,9,0,219,19,20,36,48,53,47,13,3,241,410,849,728,668,690,408,145,36,3934,3,12,5,8,9,19,8,5,66,188,183,136,148,184,206,201,132,1380,786,1905,1692,1614,1547,1100,548,232,9430
LGA23270,3613,1174,617,305,64,9,9381,170,979,917,624,386,229,60,9,3386,2255,8995,7293,3444,2092,1091,290,65,25528,1377,5091,5221,3359,2288,1164,336,58,18895,2739,6805,5728,4876,4116,2011,802,182,27262,418,466,423,308,238,122,23,5,1998,284,554,629,617,512,269,109,25,2999,3439,7825,6782,5801,4864,2402,935,211,32255,85,232,295,199,154,115,53,21,1159,2133,3119,2764,1949,1668,1223,889,362,14101,9711,29592,26880,16554,12064,6532,2628,736,104702
LGA23350,101,134,121,128,24,0,571,4,53,96,119,126,110,36,7,541,35,265,448,425,370,339,106,30,2017,28,114,235,301,359,299,100,31,1466,202,505,526,630,602,375,153,18,3016,26,20,24,29,45,35,5,3,179,13,15,21,41,47,53,30,3,224,241,536,572,693,697,459,182,23,3416,0,0,6,10,9,17,10,8,70,144,102,141,177,219,194,179,59,1215,452,1140,1598,1865,1918,1542,632,151,9292
LGA23430,3094,1858,1019,605,215,33,9612,67,555,1003,1041,734,456,128,26,4009,1613,6868,7358,5401,3126,1858,710,201,27129,734,2184,3041,3460,2369,1619,676,239,14322,1245,2936,3165,3715,3289,2045,1052,376,17828,165,154,185,205,186,142,42,7,1089,92,174,365,511,531,385,161,87,2300,1504,3270,3715,4430,4012,2566,1253,468,21216,47,114,151,145,128,149,103,61,887,647,1115,1020,941,913,1052,1070,759,7512,4732,16753,19382,17275,12292,8308,4156,1791,84692
LGA23670,3057,1569,1097,529,156,31,8778,93,569,850,738,617,385,121,21,3394,1682,6235,6604,4437,2992,1916,670,178,24720,814,2280,2981,3110,2546,1717,738,214,14406,1660,3711,3566,4163,3823,2432,1225,337,20917,257,212,225,195,169,139,44,12,1246,99,202,321,406,507,380,190,61,2161,2017,4132,4111,4765,4500,2956,1450,409,24327,32,100,131,106,137,152,84,41,793,672,950,939,847,864,905,1004,709,6886,5449,16479,18677,15574,12753,8560,4228,1607,83315
LGA23810,337,240,227,160,53,11,1373,37,184,215,212,222,165,50,3,1099,335,1466,1143,885,789,604,239,39,5495,184,902,948,993,984,705,307,54,5083,1208,3141,2616,2499,2648,1680,704,177,14683,149,184,187,122,104,76,23,3,851,45,105,115,150,161,185,54,21,838,1403,3425,2912,2769,2915,1945,786,209,16366,13,35,32,38,54,57,42,10,277,815,880,831,831,983,1010,796,524,6681,2819,7221,6423,5967,6176,4652,2271,847,36372
LGA23940,5,14,17,14,4,0,72,0,15,13,24,27,20,10,0,111,21,101,115,113,75,67,22,8,521,10,55,68,102,119,95,24,10,482,62,174,198,236,320,170,63,16,1238,14,14,12,17,18,14,3,0,82,7,8,12,13,30,26,7,0,104,76,196,225,265,366,208,76,16,1430,0,3,0,3,0,9,9,0,30,86,53,88,128,190,195,132,88,962,197,436,520,653,788,614,274,123,3599
LGA24130,580,586,446,311,104,11,2370,16,133,377,447,368,244,48,13,1647,210,1006,1805,1650,1092,833,350,55,7010,148,500,812,1004,883,753,313,37,4451,493,1183,1478,1623,1367,858,366,62,7415,55,63,63,65,67,50,14,3,383,34,53,91,145,156,134,60,12,685,580,1295,1634,1827,1587,1046,435,81,8486,4,24,20,37,36,46,38,16,230,359,285,336,493,479,470,372,210,3001,1336,3572,5568,6051,4898,3698,1657,419,27195
LGA24210,3224,1950,1384,896,352,64,10657,37,365,647,725,692,521,212,36,3233,1879,5140,6200,5196,3749,2381,1151,324,26019,540,1236,1779,2174,2030,1566,996,298,10619,790,1214,1231,1974,1859,1117,1010,360,9561,108,64,90,125,121,79,57,13,654,97,86,169,337,392,358,226,83,1740,989,1367,1486,2434,2374,1556,1291,456,11959,39,92,114,129,142,120,112,39,788,437,607,716,715,643,736,873,629,5354,4107,11417,14157,13327,11013,7769,4989,1846,68630
LGA24250,57,35,63,50,19,0,267,5,31,49,47,47,42,11,0,229,19,158,236,178,199,186,46,10,1029,10,91,161,162,201,172,72,17,887,97,261,294,312,391,312,105,30,1801,17,15,12,17,18,9,8,0,90,9,14,13,19,25,41,15,7,150,119,288,322,345,429,357,129,39,2041,0,0,6,6,9,16,11,0,48,77,72,113,108,180,174,98,47,868,238,684,940,885,1130,991,385,114,5378
LGA24330,2469,1204,583,229,45,3,8144,37,691,818,623,395,148,27,0,2734,1190,6966,5397,2921,1257,554,157,40,18468,478,1746,1639,1245,766,377,102,31,6389,600,1736,1373,1153,968,498,189,67,6588,115,137,92,84,69,34,12,0,548,40,160,174,222,183,110,28,10,925,756,2038,1642,1456,1221,648,229,74,8064,37,134,83,49,49,33,10,3,397,559,1437,891,641,576,451,329,319,5202,3282,16391,12938,8134,4839,2442,901,470,49395
LGA24410,2190,1206,711,459,142,31,6609,49,538,817,737,575,428,136,17,3302,985,4655,5199,3301,2019,1409,638,153,18354,587,1607,2131,2220,1759,1275,658,221,10474,1213,2625,2638,2848,2671,1453,823,266,14539,138,147,156,158,114,89,28,7,826,103,125,222,309,389,284,183,65,1684,1452,2897,3016,3314,3170,1823,1037,341,17053,23,62,100,60,81,108,82,39,562,406,669,674,635,605,639,725,624,4973,3573,12225,14141,11477,8923,6146,3416,1431,61320
LGA24600,5578,2214,1575,944,440,85,25903,210,1500,949,600,457,333,106,13,4170,8330,20979,8179,3306,2278,1552,700,162,45484,2230,3850,2229,1231,933,729,284,108,11593,1302,2379,1218,821,713,339,133,45,6949,214,206,88,58,67,39,12,0,684,151,298,209,178,174,108,64,15,1193,1677,2873,1518,1058,942,487,209,61,8826,233,424,191,102,74,67,44,18,1153,2471,4418,2094,1067,838,647,421,251,12208,16467,47807,20734,9574,7095,4757,2204,698,109335
LGA24650,2784,1001,385,179,43,0,6631,96,671,830,524,249,130,25,0,2529,1455,6123,6741,3434,1400,766,188,30,20129,850,3559,4133,2670,1401,643,206,40,13492,2072,5345,5258,4229,2733,1501,510,86,21739,279,316,320,266,167,80,4,6,1437,191,392,563,532,357,220,63,15,2328,2543,6057,6134,5026,3253,1804,579,108,25502,36,152,224,123,83,69,24,4,726,1506,2280,2092,1444,1049,830,513,220,9941,6607,20956,22938,14221,7821,4416,1577,408,78940
LGA24780,227,160,121,63,24,4,877,11,156,166,208,159,105,16,4,821,191,1219,981,754,553,348,122,35,4214,176,631,695,743,700,484,170,25,3630,801,2023,1687,1617,1409,827,314,73,8757,135,164,122,106,86,34,13,0,657,58,78,101,149,104,81,33,8,606,992,2262,1911,1868,1601,945,358,84,10025,8,35,38,34,28,32,22,10,214,629,756,706,692,760,755,584,323,5211,2041,5322,4724,4452,3912,2733,1301,483,24978
LGA24850,345,201,128,82,30,5,1130,24,159,191,171,139,63,21,0,771,234,1031,961,610,451,336,123,30,3780,214,884,905,766,608,376,128,22,3901,753,2013,1754,1643,1312,748,272,60,8548,118,120,87,77,68,48,9,0,521,43,93,119,132,95,84,44,14,627,913,2230,1950,1851,1471,880,320,74,9691,6,30,38,36,28,29,14,8,189,503,480,502,473,521,409,308,140,3340,1904,5147,4887,4119,3347,2175,950,283,22802
