LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA20110,93,93,86,65,21,0,410,6,35,65,66,100,64,35,0,372,31,251,358,340,258,222,70,20,1545,40,119,178,236,215,220,86,23,1124,137,352,374,410,479,320,113,30,2216,20,22,19,21,31,23,5,0,143,11,17,18,39,37,50,30,3,208,169,385,407,475,548,393,149,38,2566,0,6,6,4,7,17,5,6,55,119,107,110,131,198,206,184,77,1138,377,958,1217,1350,1405,1185,552,165,7208
LGA20260,34,38,20,20,6,0,192,6,31,28,35,30,42,11,0,183,19,207,197,162,151,114,42,4,893,29,120,140,156,205,150,71,22,893,136,323,263,331,367,259,101,24,1800,18,32,20,19,15,11,12,0,128,0,11,15,23,27,25,11,0,129,154,369,294,376,407,299,122,30,2054,7,0,6,4,0,6,7,0,32,101,143,132,158,181,169,133,59,1077,322,947,828,928,1002,802,387,116,5326
LGA20570,1142,903,690,487,184,27,4631,37,460,655,638,563,488,133,23,3010,782,3532,3391,2469,1618,1347,534,114,13786,426,1455,1637,1664,1448,1188,504,140,8463,1676,3911,3242,2942,2615,1686,727,209,17011,262,278,195,164,126,114,30,11,1177,83,159,177,221,246,222,114,36,1249,2018,4346,3615,3323,2985,2023,872,257,19439,24,59,55,67,56,70,61,24,424,882,945,766,838,833,1002,921,623,6812,4253,11911,11253,9898,8198,6612,3211,1211,56552
LGA20660,3157,1966,1312,916,376,61,10389,48,680,1003,1051,850,594,187,27,4451,1522,5790,6382,4545,3011,2120,807,237,24414,484,1558,1974,2202,1793,1421,668,205,10290,1029,2257,2179,2414,2213,1451,882,289,12716,146,135,121,124,104,95,28,9,760,83,136,187,324,377,329,181,70,1689,1260,2528,2488,2867,2701,1873,1095,369,15173,39,82,111,87,89,104,78,33,617,516,757,755,668,659,741,693,425,5207,3991,13870,15881,13382,10403,7767,3899,1352,70544
LGA20740,195,171,242,228,76,5,1074,18,107,158,172,214,246,58,11,976,108,699,797,646,749,746,296,47,4099,88,369,555,569,763,764,305,76,3473,370,1031,1124,1211,1446,1158,487,132,6955,44,64,74,73,97,58,17,12,443,25,45,56,94,132,161,58,13,583,443,1141,1255,1376,1670,1379,567,159,7981,4,10,15,22,25,47,37,15,188,292,280,365,410,582,730,552,277,3490,961,2751,3351,3373,4245,4145,1888,585,21286
LGA20830,306,280,247,175,64,12,1382,18,164,227,208,247,236,66,9,1171,253,1291,1104,853,780,682,270,46,5285,156,778,901,829,801,714,276,68,4521,815,2327,1910,1869,1793,1141,500,128,10483,122,100,96,84,81,96,20,0,591,56,105,95,145,155,153,79,20,800,994,2529,2099,2095,2028,1391,590,148,11874,14,28,43,33,44,56,45,11,274,406,488,474,506,549,618,517,223,3781,1854,5567,5148,4802,4705,3865,1833,505,28290
LGA20910,2109,2513,1807,1010,422,99,9110,36,293,576,938,855,615,202,52,3572,1252,3348,4889,6031,4226,2729,1234,383,24102,334,733,1278,1919,1817,1518,909,328,8823,421,810,821,1268,1404,813,533,208,6287,68,43,64,69,96,66,37,10,457,47,64,147,288,314,307,229,82,1474,543,917,1037,1627,1809,1188,792,303,8210,13,36,80,118,108,120,77,61,617,338,389,554,688,565,691,722,654,4610,2562,6805,10519,13836,11196,7873,4373,1881,59043
LGA21010,58,36,56,59,15,4,296,0,26,37,59,72,68,20,4,287,36,221,188,180,205,210,80,19,1133,38,130,176,209,255,226,118,25,1181,179,390,395,451,528,370,160,44,2515,30,35,18,21,38,24,10,3,178,15,7,16,33,48,40,20,3,189,225,431,427,504,613,433,190,50,2879,4,6,0,14,13,10,16,4,66,161,141,134,175,241,255,252,115,1475,471,1021,1026,1170,1446,1263,686,229,7319
LGA21110,4977,4745,3482,2163,1011,246,21309,71,759,1126,1655,1549,1037,351,81,6638,3532,9468,8779,9353,7045,4552,2200,798,45721,848,1528,1586,2399,2295,2036,1197,501,12383,818,1403,979,1242,1355,837,565,240,7447,137,106,85,94,120,81,41,19,679,79,126,188,329,367,352,224,118,1779,1031,1645,1251,1668,1846,1270,830,372,9903,60,134,146,152,152,180,146,76,1047,706,923,851,870,759,835,845,684,6476,6571,18812,18719,20838,17125,12066,6579,2763,103483
LGA21180,1811,788,478,241,57,11,6695,96,630,632,505,316,165,42,7,2382,2408,7971,5529,3330,1969,1165,340,65,22778,1158,3331,3182,2434,1806,928,303,61,13204,1748,3750,3751,3690,3313,2075,885,235,19446,252,288,336,305,260,127,22,0,1588,165,350,417,581,539,298,119,33,2502,2155,4382,4503,4580,4107,2501,1029,271,23533,74,207,174,115,138,117,50,9,881,1796,2900,2250,1772,1600,1528,1157,653,13657,7991,22436,18071,13522,10413,6647,2971,1076,83120
