UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL201001,83769,10894,95489,782918,189670,16438,989023,2573738,200073,3762827
UCL203001,2346,435,2790,17142,5597,652,23393,57423,5032,85845
UCL203002,2354,405,2780,16361,5732,592,22682,54305,4759,81745
UCL203003,4083,467,4583,29567,9523,898,39991,100466,8063,148516
UCL211001,607,58,671,6292,2042,290,8628,20042,1667,30334
UCL211002,528,58,591,14521,3235,398,18149,34525,4276,56958
UCL212001,375,26,404,4038,1144,122,5304,11075,791,17165
UCL212002,390,111,512,1910,737,69,2723,7923,823,11469
UCL212003,878,134,1016,5007,1681,197,6887,19856,2435,29176
UCL212004,455,58,519,4123,1432,107,5664,11023,929,17618
UCL212005,1171,169,1352,7540,2253,245,10034,26684,3190,39909
UCL212006,599,42,644,7021,2162,204,9396,20074,1299,30766
UCL212007,337,80,414,4894,1245,139,6275,10743,890,17912
UCL212008,575,144,725,4427,1588,187,6203,14761,1565,22531
UCL212009,872,166,1045,5093,1961,204,7262,18250,1720,27240
UCL213001,386,155,543,1788,697,100,2582,7848,973,11408
UCL213002,274,195,465,1520,622,64,2210,5598,1272,9080
UCL213003,429,58,492,1732,717,83,2529,7160,575,10261
UCL213004,348,25,372,2507,853,116,3475,7676,598,11750
UCL213005,328,93,424,2522,984,126,3627,9180,554,13358
UCL213006,162,61,223,2378,531,84,2991,5101,297,8387
UCL213007,515,59,576,2488,965,126,3579,8908,788,13281
UCL213008,245,19,262,3078,802,98,3980,8079,428,12488
UCL213009,223,75,301,2160,664,72,2901,6697,436,10033
UCL213010,506,50,554,1914,845,94,2854,9338,1055,13251
UCL213011,392,80,467,1669,680,62,2414,7919,1283,11620
UCL213012,303,26,334,1346,543,40,1932,6281,583,8798
UCL213013,390,68,460,2143,761,87,2988,7789,775,11554
UCL213014,365,49,417,1599,599,63,2261,5888,652,8798
UCL213015,74,0,75,3121,631,90,3843,6683,578,11106
UCL213016,673,111,793,2877,1192,103,4177,11142,989,16309
UCL213017,507,51,563,3143,1020,126,4291,10515,809,15613
UCL213018,314,73,390,1116,431,39,1582,5151,502,7238
UCL214001,253,24,282,848,438,44,1327,4209,370,5910
UCL214002,100,12,114,1412,270,44,1730,2705,179,4611
UCL214003,427,75,505,1017,482,57,1554,6065,755,8379
UCL214004,210,19,237,649,236,27,908,3297,314,4522
UCL214005,21,3,27,142,68,3,211,578,56,839
UCL214006,219,73,297,814,356,39,1212,4161,485,5860
UCL214007,10,0,16,1061,185,24,1267,2466,193,3924
UCL214008,369,47,417,1343,481,50,1874,5644,473,7992
UCL214009,264,21,291,1344,522,59,1929,4909,422,7258
UCL214010,203,33,235,811,388,27,1224,3654,239,5113
UCL214011,217,21,239,1525,406,45,1982,4692,415,7087
UCL214012,249,62,312,817,312,34,1154,3480,364,5003
UCL214013,240,25,268,800,276,36,1111,2982,216,4313
UCL214014,217,42,261,662,321,30,1012,4000,590,5602
UCL214015,193,22,218,884,337,33,1250,3056,269,4575
