UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL201001,16356,20272,11902,12779,15547,6693,4557,5032,1319,94448,24506,24339,21344,35769,27368,12954,8749,9942,2516,167488,33629,15990,116522,43182,34054,18897,22562,27298,5636,317778,1817,1220,2026,2857,3943,2452,1551,2414,241,18525,4359,3289,3369,5904,6854,3627,2402,3109,598,33515,2011,3944,1574,1496,1781,1046,940,1117,414,14322,3376,5063,3268,3864,4039,2519,2297,3131,5878,33437,257953,594013,202509,175082,202044,91904,64910,79334,30202,1697942
UCL203001,307,403,180,310,288,113,58,83,14,1752,438,523,362,1029,629,225,91,171,36,3506,1065,471,3719,1814,1287,777,705,1020,147,10995,58,41,57,105,137,120,44,105,0,670,48,61,55,152,121,87,39,59,6,628,25,55,23,28,25,11,7,15,6,195,58,91,67,90,72,68,47,70,88,650,4061,10562,4995,4890,3862,1857,1198,1852,421,33697
UCL203002,225,365,168,295,238,71,47,65,17,1489,445,591,291,1065,533,218,107,199,40,3484,1089,531,3736,1929,1183,721,827,1166,168,11356,46,22,66,94,132,94,40,132,14,644,70,47,61,139,138,58,45,84,7,655,25,57,16,26,20,10,6,25,3,194,47,102,68,113,71,71,62,81,92,699,3509,9798,4757,4794,3354,1608,1263,2080,434,31597
UCL203003,528,860,434,607,553,198,118,176,52,3519,904,919,802,1802,1058,445,297,362,73,6656,1621,783,6543,3258,1816,1113,1252,1768,321,18473,79,52,109,153,143,157,91,183,8,970,145,84,104,273,217,135,82,119,14,1185,49,112,44,55,44,20,23,38,14,405,87,143,134,219,106,92,78,161,186,1216,7514,19430,9503,9072,6580,3313,2654,3803,967,62842
UCL211001,95,128,78,117,87,27,31,30,8,587,197,245,129,463,264,107,54,62,17,1535,466,266,1647,879,631,313,436,496,85,5216,20,3,31,38,45,45,26,49,3,267,21,20,13,68,56,26,26,34,6,268,8,16,4,17,7,4,4,8,5,68,11,21,28,37,30,18,29,44,38,251,1362,2850,2040,1988,1378,605,659,800,180,11862
UCL211002,151,126,146,209,204,70,159,72,25,1168,283,271,274,765,408,162,380,189,42,2772,451,255,2323,1229,833,387,961,767,137,7327,24,10,41,68,74,52,80,77,3,423,41,26,43,108,90,52,92,61,14,533,27,31,22,26,20,10,35,20,6,193,43,57,62,92,63,43,74,87,97,620,1706,3710,3329,3494,2598,1116,2251,1583,424,20210
UCL212001,63,77,62,75,88,19,23,18,4,434,112,126,101,239,167,52,40,46,8,884,262,115,1065,384,348,142,257,236,47,2846,13,3,14,19,28,23,11,21,0,131,24,7,26,29,31,14,13,11,0,158,5,11,9,9,14,0,4,0,0,47,13,12,21,18,16,16,13,16,32,159,806,1700,1413,1017,933,334,414,395,114,7127
UCL212002,36,36,21,33,22,12,7,4,4,173,58,56,51,126,66,37,8,25,5,433,206,56,584,293,143,112,130,191,23,1733,8,0,13,14,13,16,0,19,5,80,15,3,7,17,19,10,8,4,0,91,6,9,6,3,0,0,0,6,0,19,14,15,9,23,6,6,8,21,11,115,525,979,731,633,344,227,172,299,46,3954
UCL212003,85,111,38,110,67,27,11,29,8,481,164,210,107,348,153,62,35,82,26,1184,377,199,1099,612,407,273,246,357,67,3626,26,18,21,39,42,50,16,60,0,271,36,20,23,66,46,34,22,36,4,276,11,14,5,8,15,0,5,15,3,74,38,32,26,38,22,20,25,64,56,322,1202,2618,1410,1512,947,536,392,793,182,9588
UCL212004,125,141,51,89,90,26,3,18,14,560,126,149,113,203,115,54,15,26,7,804,268,98,832,270,185,112,84,137,30,2016,10,5,11,11,18,12,0,11,0,80,25,14,10,29,31,9,5,11,0,138,11,12,7,7,3,5,0,0,0,44,21,33,21,30,21,16,10,12,10,174,1309,2872,1177,914,817,346,138,269,111,7947
