UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,..,21925,33527,6990,4275,4876,3505,1348,364,76808,..,8939,33759,27002,25242,36825,45537,39549,21921,238777,3501,6281,6480,3330,2555,3007,2477,1530,821,29977,384340,259050,355248,333142,288007,240811,186410,108863,41585,2197459,..,7411,214490,409598,345270,285824,218217,113724,25462,1619985,..,27514,156951,81992,53120,31689,13826,3980,589,369662,..,2158,15173,38235,56349,35666,15583,10741,7195,181101,783263,..,..,..,..,..,..,..,..,783263,..,256176,..,..,..,..,..,..,..,256176,..,123865,103953,28369,19420,9544,1770,69,0,286996,..,23931,25640,8608,8502,15329,15711,10174,5879,113779,..,14021,21933,6446,3927,2846,1301,415,129,51008,..,47327,83094,19396,11342,10898,7458,2891,677,183074,..,17104,67612,56997,54788,67191,70362,54909,29614,418586,7055,11181,12803,7214,5652,5478,4224,2398,1103,57107,790322,530703,701648,656858,558369,464463,348447,199293,70643,4320742
UCL203001,..,701,541,110,134,167,102,36,10,1804,..,245,765,573,783,1446,1794,1396,771,7773,125,218,140,64,88,92,71,33,18,837,9081,6004,7040,6547,6318,6055,5477,3151,1200,50874,..,162,3719,6650,6192,6146,5778,3027,623,32295,..,1378,3925,1844,1417,944,416,162,12,10096,..,163,875,1363,1598,781,357,214,160,5513,18287,..,..,..,..,..,..,..,..,18287,..,4328,..,..,..,..,..,..,..,4328,..,3026,1422,512,371,188,38,0,0,5550,..,428,355,119,147,261,273,143,69,1807,..,394,337,107,61,47,31,5,7,982,..,1337,1335,310,321,345,227,90,25,3999,..,449,1641,1250,1599,2448,2715,1952,994,13057,240,370,317,152,156,150,122,52,26,1586,18527,12037,13930,12311,11867,11311,9954,5652,1913,97497
UCL203002,..,562,425,86,109,143,104,34,4,1468,..,228,648,464,722,1407,1594,1185,640,6888,128,213,139,72,58,85,103,43,10,850,8781,5726,6761,6106,5873,5988,5283,3006,1097,48627,..,155,3734,6275,5865,6061,5823,3177,707,31791,..,1219,3703,1731,1317,846,410,124,21,9371,..,126,851,1297,1437,766,360,214,160,5217,17802,..,..,..,..,..,..,..,..,17802,..,4205,..,..,..,..,..,..,..,4205,..,3095,1375,546,332,212,45,0,0,5597,..,489,345,120,148,272,280,164,83,1914,..,324,321,115,86,53,31,9,0,943,..,1013,1010,267,261,291,209,83,16,3149,..,416,1321,1060,1513,2405,2506,1700,870,11788,227,364,280,182,121,158,180,72,18,1592,18030,11392,12939,11589,11083,11058,9845,5545,1880,93364
UCL203003,..,1429,1248,214,179,240,132,35,11,3484,..,345,1320,1015,1209,2168,2680,2187,1236,12145,144,400,241,125,117,134,118,61,36,1382,14695,10323,13523,11438,10604,10065,8510,5089,1972,86216,..,260,7617,12383,11110,10561,9274,5045,1115,57359,..,1859,7206,3281,2267,1356,639,211,17,16829,..,184,1029,1934,2523,1387,615,395,265,8332,29880,..,..,..,..,..,..,..,..,29880,..,7846,..,..,..,..,..,..,..,7846,..,5132,2914,1018,672,361,68,4,0,10164,..,794,725,242,278,487,427,257,146,3357,..,631,846,166,116,64,38,6,3,1868,..,2934,3362,606,444,497,308,87,13,8255,..,645,2532,2117,2680,3894,4088,2984,1671,20611,305,731,563,276,243,230,196,95,50,2694,30189,21005,26796,22009,20328,18832,15658,9091,3279,167188
UCL211001,..,99,92,22,42,58,34,12,0,360,..,85,217,180,292,487,586,429,186,2457,50,55,40,26,33,27,46,18,4,300,3575,1988,2466,2380,2262,2232,1922,1059,301,18188,..,63,1496,2350,2278,2357,2144,1017,180,11883,..,500,1360,686,511,342,146,58,7,3603,..,62,391,576,555,245,129,108,41,2098,7043,..,..,..,..,..,..,..,..,7043,..,1527,..,..,..,..,..,..,..,1527,..,1193,478,182,139,68,14,0,0,2068,..,181,135,51,54,112,95,55,31,722,..,132,119,45,28,9,12,0,0,348,..,227,259,70,106,128,86,15,3,890,..,165,513,429,594,871,919,608,252,4355,92,110,92,86,70,56,83,28,11,618,7134,4159,4837,4472,4331,4183,3620,1892,528,35157
UCL211002,..,105,124,87,79,84,60,16,8,565,..,91,293,256,342,497,630,328,125,2568,105,120,86,37,55,33,37,15,4,492,8990,4173,6458,5646,3859,3186,2630,989,261,36187,..,188,5089,6972,4111,3439,2890,987,122,23803,..,683,2471,1409,827,397,183,44,0,6012,..,162,847,1072,1054,558,292,174,54,4206,17929,..,..,..,..,..,..,..,..,17929,..,3435,..,..,..,..,..,..,..,3435,..,2563,1525,507,265,99,13,0,0,4976,..,556,608,219,201,325,323,160,63,2457,..,261,314,131,100,52,33,10,0,907,..,241,392,234,176,188,139,52,13,1433,..,187,762,705,810,933,1042,495,177,5102,201,199,197,108,105,61,66,31,9,980,18127,8474,12194,11352,7660,6061,4979,1955,437,71234
UCL212001,..,33,34,17,15,27,18,5,0,144,..,20,106,62,119,186,253,248,100,1103,15,50,23,8,13,11,17,8,0,146,2074,1147,1612,1480,1334,1175,1019,537,171,10554,..,23,1085,1717,1459,1288,1215,504,86,7375,..,203,947,488,359,202,74,18,0,2291,..,13,147,306,303,169,63,34,25,1056,4326,..,..,..,..,..,..,..,..,4326,..,974,..,..,..,..,..,..,..,974,..,730,416,104,54,28,3,0,0,1351,..,93,94,27,46,63,94,38,16,464,..,67,63,17,11,21,13,0,0,205,..,70,89,36,43,46,46,15,5,333,..,47,222,181,256,349,396,332,120,1906,31,73,50,33,30,23,27,16,0,280,4359,2296,3113,2905,2567,2187,1917,963,258,20566
UCL212002,..,49,38,16,21,21,21,9,6,177,..,33,73,57,88,197,249,206,114,1022,14,26,15,12,12,14,17,3,3,127,1068,710,764,699,828,921,861,526,192,6568,..,14,407,652,800,969,906,556,116,4419,..,170,431,215,186,186,113,35,5,1338,..,23,115,167,205,94,40,34,25,702,2118,..,..,..,..,..,..,..,..,2118,..,507,..,..,..,..,..,..,..,507,..,411,192,60,65,31,10,0,0,761,..,59,28,9,26,31,57,23,8,235,..,43,41,7,7,9,11,0,0,122,..,76,92,33,35,46,42,17,6,353,..,66,145,131,199,334,396,310,165,1737,42,47,28,23,33,27,34,13,3,241,2156,1418,1473,1300,1552,1724,1592,984,333,12531
UCL212003,..,136,203,76,56,58,45,10,0,583,..,80,252,150,246,451,542,507,301,2520,29,44,49,18,46,46,44,16,5,294,2964,1871,2480,2043,2085,2072,1841,1164,447,16960,..,68,1380,1906,1907,2054,1984,1104,264,10677,..,414,1153,558,432,338,184,48,7,3138,..,58,351,506,536,269,112,93,41,1967,5950,..,..,..,..,..,..,..,..,5950,..,1264,..,..,..,..,..,..,..,1264,..,1139,517,159,136,80,12,0,0,2038,..,236,148,51,76,109,97,63,24,796,..,135,186,73,39,30,13,0,0,477,..,289,475,193,138,133,95,34,7,1356,..,147,495,352,527,818,856,726,398,4325,69,91,109,56,80,75,79,25,5,580,6014,3828,4825,3849,3873,3899,3430,2098,745,32561
UCL212004,..,60,59,21,8,27,11,8,0,209,..,12,51,55,110,282,355,243,139,1248,19,28,29,24,19,21,22,12,5,166,2081,919,918,1476,1520,1475,1394,638,229,10652,..,3,578,1854,1847,1716,1847,735,145,8720,..,66,508,492,330,265,146,47,3,1843,..,4,52,159,294,147,40,15,28,728,4184,..,..,..,..,..,..,..,..,4184,..,1051,..,..,..,..,..,..,..,1051,..,532,271,69,35,16,11,0,0,934,..,31,20,16,19,28,32,22,14,177,..,27,27,3,10,4,8,0,0,87,..,98,120,47,32,45,30,11,5,378,..,31,95,122,208,414,488,337,189,1880,47,51,58,35,35,43,44,16,8,340,4229,1885,1725,2796,2801,2671,2631,1181,396,20318
