UCL_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL201001,263192,477734,128526,13112,882562,186820,33471,1102854,37478,31598,15437,2018,86532,61956,8120,156608,34236,37115,14494,2076,87912,29486,9224,126620,71708,68716,29929,4086,174446,91438,17349,283230,18727,11219,6754,1269,37972,41695,5490,85159,13015,3964,2883,814,20677,27722,4382,52785,17213,4566,3311,962,26043,31848,4649,62551,19981,5438,3691,1790,30903,35051,8363,74315,161,199,95,14,468,421,24,914,69092,25385,16738,4851,116062,136748,22908,275722,47,3,10,4,68,287,0,360,138,17,51,6,207,982,17,1205,0,0,0,0,6,6,0,13,904,440,261,56,1667,1515,458,3635,1091,474,317,67,1946,2787,476,5212,331,286,134,29,778,793,122,1691,405421,572593,175640,22147,1175801,418583,74326,1668713
UCL203001,9551,9998,4749,365,24659,9204,1411,35271,850,408,501,58,1816,2789,204,4802,110,54,85,5,248,247,48,540,959,463,584,59,2068,3029,244,5345,125,39,85,8,263,709,36,1007,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,5,9,0,11,157,42,92,8,298,765,44,1102,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,0,25,17,4,43,13,12,9,0,32,22,5,57,15,9,5,0,30,31,5,72,10692,10529,5432,433,27086,13059,1715,41851
UCL203002,9626,9992,4738,402,24761,9474,1209,35439,381,191,266,33,880,1793,121,2800,108,45,61,9,216,189,47,451,485,233,328,43,1097,1987,170,3246,68,27,44,4,136,250,13,399,8,4,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,15,77,25,44,4,154,265,13,429,4,0,0,0,8,16,0,18,12,0,0,0,16,12,0,22,0,0,0,0,0,0,0,0,10,9,0,3,18,14,0,32,22,7,0,4,39,39,6,81,17,13,4,0,35,27,8,75,10238,10273,5120,452,26085,11785,1400,39271
UCL203003,15426,18278,7248,705,41655,13899,2645,58195,1240,550,554,67,2416,4405,298,7118,451,245,187,22,909,611,135,1654,1690,796,741,86,3323,5018,433,8772,292,131,139,17,576,1090,84,1757,23,7,8,0,43,106,11,163,65,19,13,3,94,185,23,300,57,4,4,5,68,59,7,134,3,0,0,0,4,8,0,11,439,164,166,26,789,1448,125,2368,6,0,0,0,11,22,0,29,28,10,11,0,53,132,4,193,0,0,0,0,0,0,0,0,30,37,8,0,75,42,10,123,61,43,26,5,133,193,18,343,18,15,7,0,39,50,10,101,17641,19295,8188,825,45942,20612,3225,69783
UCL211001,3598,3809,1862,132,9395,3163,351,12911,164,68,137,14,386,918,49,1352,13,6,27,5,41,42,4,86,176,74,161,21,433,963,46,1437,35,9,33,5,76,182,11,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,35,9,32,5,81,187,11,282,0,0,0,0,0,30,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,8,9,5,0,0,13,43,0,47,7,0,0,0,12,6,0,15,3816,3898,2056,161,9925,4359,413,14696
UCL211002,4789,9125,3701,287,17906,4065,593,22565,278,214,248,19,760,896,47,1705,37,59,56,4,167,88,14,273,314,280,306,20,920,991,64,1978,8,10,17,0,36,34,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,9,0,16,13,17,17,0,45,37,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,8,0,5,0,0,6,3,0,10,7,10,3,0,19,0,0,21,5116,9433,4027,311,18894,5103,662,24655
UCL212001,1958,2609,932,64,5571,1393,137,7093,111,46,67,8,237,376,18,635,32,13,27,4,66,48,0,118,143,56,93,9,306,432,20,751,0,0,0,0,0,39,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,0,0,0,8,67,0,71,0,0,0,0,3,3,0,11,9,0,0,0,11,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,0,0,3,16,17,0,36,0,0,0,0,3,0,0,4,2116,2676,1029,83,5896,1907,159,7964
UCL212002,1490,1191,626,42,3349,1211,131,4688,129,34,62,10,234,467,25,725,5,0,0,0,5,12,0,15,134,32,65,10,238,474,25,745,4,3,0,0,8,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,6,0,15,0,0,0,0,0,3,0,3,13,0,0,0,14,25,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,0,0,0,15,33,0,47,4,4,0,0,8,7,0,10,1640,1229,690,50,3614,1734,156,5505
UCL212003,3169,3045,1665,144,8019,2748,407,11179,250,98,156,14,522,797,63,1386,24,6,6,0,38,22,4,69,274,104,163,18,561,823,71,1450,150,65,81,9,315,682,47,1042,4,0,0,0,5,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,160,65,86,9,323,695,47,1060,4,0,3,0,7,8,0,16,25,0,0,0,22,21,3,42,0,0,0,0,0,0,0,0,4,4,0,0,7,3,0,12,29,3,0,0,39,37,4,81,9,10,0,0,18,21,0,41,3638,3223,1918,168,8955,4324,528,13808
UCL212004,2480,2574,668,35,5757,1634,156,7544,60,34,30,4,123,137,6,269,95,35,19,0,145,65,4,218,149,70,48,4,269,202,9,484,10,4,3,0,17,35,3,55,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,0,22,33,3,62,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,9,6,0,12,0,0,0,0,0,0,0,0,2646,2648,719,44,6056,1879,173,8107
