UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL201001,1308,2755,8792,17513,4703,35752,2864,20073,1532,95299,9411,34838,31024,37754,25308,37179,11714,23355,4560,215141,60651,197036,76216,59627,67271,37040,30370,38884,12386,579478,96292,178431,60344,46323,67012,27879,27713,28934,11022,543945,86014,118679,49180,41057,64698,26086,26868,30220,8297,451095,49210,72663,34030,28534,49394,19061,23359,26175,5105,307531,12212,22714,8016,6279,13476,5415,5616,7436,1646,82816,1831,3045,783,455,1316,741,369,994,520,10048,147,193,43,22,68,54,12,59,172,767,317061,630357,268429,237562,293250,189209,128895,176135,45239,2286127
UCL203001,64,53,384,525,109,1143,77,682,51,3084,254,537,929,1122,469,805,179,623,80,5002,967,3072,1934,1631,1253,874,553,934,168,11381,1355,3082,1313,1215,1343,561,451,731,113,10166,1442,2341,1042,1210,1398,621,526,842,134,9564,962,1606,858,934,1149,542,565,790,107,7502,241,442,168,196,251,144,152,221,37,1849,40,49,9,13,12,16,3,21,19,191,4,0,0,4,3,0,0,0,11,23,5324,11172,6636,6847,5986,4706,2511,4841,731,48758
UCL203002,46,24,337,441,110,1110,90,761,39,2962,191,586,811,958,445,684,219,698,82,4679,812,3027,1807,1479,1022,728,542,1160,163,10749,1268,2677,1293,1181,1136,532,502,946,134,9669,1278,2097,1002,1153,1337,587,602,826,143,9017,868,1472,788,1013,1151,492,614,872,107,7373,279,441,180,217,277,128,161,232,37,1947,37,28,18,3,21,22,12,30,16,196,4,3,0,0,0,3,0,0,8,21,4788,10358,6249,6450,5493,4276,2746,5531,729,46618
UCL203003,59,55,536,860,136,1839,146,1116,57,4809,411,1137,1630,2116,809,1545,577,1191,169,9587,2004,6632,3789,3068,2204,1474,1309,1910,356,22751,2692,5408,2544,2074,2162,1013,950,1365,339,18550,2486,3912,1956,2120,2204,967,1092,1408,285,16431,1524,2553,1435,1628,1764,834,1097,1363,191,12384,401,745,314,315,452,229,278,406,60,3207,66,69,32,22,30,15,23,58,34,348,8,9,4,0,5,4,0,0,6,28,9659,20523,12234,12210,9768,7918,5468,8820,1500,88098
UCL211001,22,15,248,179,51,459,28,259,25,1295,66,116,486,345,123,219,123,183,27,1687,306,864,780,641,383,255,311,434,82,4053,496,831,554,512,412,208,277,378,70,3736,484,672,400,447,525,271,316,352,59,3524,335,420,292,375,454,201,282,364,39,2763,83,111,66,74,103,50,92,104,8,692,14,9,5,8,12,5,3,17,7,82,3,0,0,0,0,4,0,0,0,7,1808,3043,2833,2575,2068,1687,1426,2084,316,17840
UCL211002,12,18,225,143,59,594,65,325,32,1479,137,205,614,395,339,439,340,418,77,2967,598,1368,1410,1262,1126,644,1234,908,243,8785,796,1407,1118,1219,1145,460,1301,805,171,8422,542,599,674,797,812,341,907,654,124,5458,289,309,418,473,554,252,583,407,75,3359,66,80,87,103,132,62,120,116,27,792,3,6,3,3,9,3,3,11,4,48,0,0,0,0,0,0,0,0,3,4,2458,3993,4543,4398,4173,2796,4551,3638,751,31303
UCL212001,4,13,96,82,25,198,23,133,10,584,33,96,240,153,105,155,64,94,12,945,202,530,614,322,337,151,194,214,46,2613,318,535,382,269,359,124,218,167,42,2420,334,378,275,250,351,131,201,142,44,2111,160,222,182,209,262,87,187,145,17,1471,41,49,45,31,80,26,49,41,9,367,6,7,0,0,4,3,0,7,3,35,0,0,0,0,0,0,0,0,0,0,1094,1827,1829,1329,1523,871,950,944,186,10556
UCL212002,0,11,68,83,8,147,6,94,4,415,18,68,137,112,39,85,15,72,3,552,113,284,249,176,95,92,49,141,21,1226,166,242,180,146,101,73,56,129,9,1103,204,212,155,183,159,106,110,150,10,1285,173,171,130,173,161,111,117,165,22,1216,56,48,37,50,41,34,26,44,7,352,7,7,0,0,6,0,6,11,4,37,5,0,0,0,0,4,0,0,0,6,741,1039,964,922,609,645,379,798,92,6191
UCL212003,17,11,116,87,25,371,24,211,17,885,71,147,296,263,131,215,74,225,46,1471,327,871,551,532,303,264,210,595,83,3737,430,654,380,366,314,192,175,421,66,2997,480,574,304,396,385,232,176,373,77,3005,344,405,240,316,353,208,246,347,50,2501,110,130,62,67,98,47,59,79,11,662,3,9,3,3,7,9,7,10,13,51,5,0,0,0,0,0,0,0,3,11,1790,2802,1958,2032,1614,1539,976,2265,362,15321
UCL212004,9,6,78,159,17,232,16,148,14,673,32,66,128,154,54,113,29,64,7,638,189,530,302,189,132,82,29,71,19,1550,459,886,397,254,282,102,41,93,30,2546,487,785,314,259,318,138,64,114,40,2525,326,564,185,209,275,124,77,105,22,1894,83,173,48,45,93,36,17,40,16,548,21,20,5,0,8,9,0,4,4,70,0,0,0,0,0,0,0,0,3,4,1599,3025,1461,1271,1196,837,268,630,149,10444
