UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL214021,34,186,132,1927,6,2290,0,9,0,68,0,76,22,6,0,10,0,33,11,10,7,8,0,37,50,13,8,42,0,112,287,152,131,1676,30,2278,20,4,9,0,0,31,14,0,0,13,0,22,31,17,16,137,0,207,36,9,11,29,0,87,11,4,0,15,0,33,16,4,5,0,0,32,57,41,33,517,0,653,149,65,24,261,0,504,0,0,0,0,0,0,7,3,0,11,0,14,29,10,7,25,0,65,38,15,7,22,0,87,21,4,6,9,0,33,8,3,10,9,0,20,10,4,6,14,0,35,4,0,0,9,0,11,9,0,0,0,3,8,75,37,23,440,3,573,6,0,9,0,0,15,11,4,0,0,0,17,3,0,0,10,0,14,3,7,0,4,0,13,11,0,0,0,0,12,12,5,0,14,0,30,123,19,20,71,0,234,18,5,3,26,195,239,909,363,267,3719,237,5497
UCL214022,67,315,202,2642,70,3299,0,5,3,148,4,160,39,3,3,26,0,69,11,0,0,3,0,12,109,44,21,69,5,240,618,315,194,2542,67,3734,34,0,9,0,0,49,15,3,0,17,0,32,79,32,15,196,8,321,8,0,3,3,0,19,6,0,0,5,0,17,71,9,3,8,0,91,124,39,36,692,17,905,210,64,20,248,11,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,20,0,33,16,5,3,0,0,25,15,5,7,3,0,35,12,3,0,15,0,30,12,3,0,0,0,11,0,0,0,0,0,0,167,98,38,703,13,1014,3,0,0,0,0,5,12,4,0,0,0,15,13,0,0,5,0,16,0,0,0,0,0,8,5,3,0,0,0,14,22,4,0,29,0,62,268,39,35,100,0,449,24,4,0,69,455,549,1607,580,357,5279,604,8430
UCL215001,9,42,52,385,5,498,0,0,0,6,0,6,3,4,0,5,0,11,6,0,0,0,0,6,18,4,0,5,0,24,70,53,26,417,7,578,0,0,0,0,0,0,3,5,0,8,0,7,23,5,11,34,0,80,3,0,0,9,0,11,3,0,0,0,0,3,0,0,0,0,0,0,27,20,13,199,4,260,21,0,0,17,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,4,0,5,0,0,0,0,0,0,7,0,3,3,0,12,13,0,0,4,0,24,0,0,0,0,0,3,0,0,0,0,0,0,32,12,20,163,0,227,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,5,5,0,5,0,0,3,0,0,0,0,0,0,3,0,0,5,0,10,39,11,7,22,0,78,0,0,0,4,86,90,227,87,86,898,103,1395
UCL215002,13,73,41,821,17,972,0,0,0,51,0,55,15,0,0,0,0,11,0,0,0,3,0,3,32,10,8,12,0,59,149,82,59,863,6,1160,3,0,0,0,0,8,5,0,0,9,0,16,31,6,4,45,5,83,5,0,0,0,0,6,3,0,0,0,0,7,15,0,0,0,0,15,17,24,13,233,5,291,18,3,0,40,0,57,0,0,0,0,0,0,0,4,0,0,0,6,5,0,0,0,0,3,3,0,0,8,0,14,0,4,0,0,0,5,3,0,0,5,0,11,5,0,0,5,0,13,6,0,0,3,0,8,0,0,0,0,0,0,48,29,9,263,0,353,0,0,0,3,0,6,0,0,0,3,0,6,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,9,7,0,0,3,0,16,56,18,3,21,0,100,8,3,3,35,123,168,355,153,86,1729,154,2480
UCL215003,15,155,104,959,16,1253,0,0,0,10,0,5,12,7,5,11,0,22,7,0,0,7,0,16,32,6,7,21,0,57,139,131,91,1010,20,1387,3,0,0,0,6,5,15,0,4,11,0,25,35,15,7,83,0,144,6,5,0,5,0,22,5,0,7,0,0,12,0,0,0,0,0,3,53,40,33,440,3,573,26,12,6,45,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,4,0,5,0,14,0,0,0,0,0,0,4,4,4,0,0,12,22,3,3,12,0,32,5,3,4,5,0,8,4,10,0,0,0,11,62,32,29,378,4,499,0,0,0,0,0,6,5,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,12,0,20,68,33,20,27,3,161,0,3,0,22,163,194,404,276,185,2129,205,3191
UCL215004,5,41,34,380,8,475,0,0,0,23,0,31,31,0,0,0,0,34,4,0,0,0,0,4,14,4,4,8,0,31,88,39,35,395,10,565,7,0,0,0,0,7,11,5,0,6,0,20,13,3,4,56,0,82,21,4,3,6,0,28,6,0,0,0,0,6,12,0,0,0,0,12,29,13,28,180,5,252,6,6,3,14,0,33,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,3,0,8,0,0,0,0,0,4,3,4,0,0,0,13,3,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,22,19,14,113,0,171,0,0,0,0,0,0,0,0,0,3,0,9,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,4,69,10,20,20,0,114,0,0,0,8,153,159,324,91,79,821,176,1491
UCL215005,4,24,17,442,6,495,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,10,0,29,59,16,28,402,9,503,5,0,0,0,0,5,4,0,0,0,0,4,5,0,0,24,0,33,3,0,0,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,7,6,6,115,0,127,0,5,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,6,0,0,0,5,0,7,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,7,11,112,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,0,11,13,0,4,5,0,21,0,0,0,4,73,80,107,34,39,865,86,1129
UCL215006,15,122,56,884,13,1090,0,0,0,36,0,33,9,0,0,3,0,16,11,0,0,4,3,15,19,4,4,16,0,46,194,88,72,762,10,1129,7,0,4,0,0,8,4,0,4,8,0,13,20,20,9,61,0,116,10,0,0,8,0,21,3,0,4,0,0,13,12,3,3,0,0,12,56,18,17,273,4,371,22,9,6,44,0,78,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,9,28,17,3,37,0,82,9,0,0,3,0,13,9,5,0,5,0,14,11,0,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,52,25,9,225,6,314,3,0,3,0,0,8,0,6,0,0,0,3,0,0,0,3,0,6,3,3,0,0,0,4,0,0,0,0,0,0,3,4,0,6,0,14,66,20,10,28,0,130,4,10,3,15,85,112,469,213,118,1690,114,2613
UCL215007,11,101,81,790,13,1000,0,0,0,13,0,13,6,4,0,4,0,13,5,0,7,0,0,7,26,3,7,16,0,55,241,106,85,730,11,1175,0,0,0,0,0,0,0,6,3,11,0,14,29,21,12,53,0,114,5,0,0,0,0,9,8,0,0,0,0,7,10,0,3,3,0,18,50,33,20,257,3,369,17,14,3,40,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,11,0,0,0,0,0,0,15,6,7,0,0,25,16,3,0,14,0,34,0,0,0,3,0,4,0,0,0,0,0,0,60,41,19,256,6,372,0,0,0,0,0,0,6,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,14,0,33,45,21,25,23,0,113,0,0,0,8,127,146,434,203,153,1576,158,2528
UCL215008,11,77,53,811,5,958,0,4,0,34,0,36,0,0,0,11,0,11,5,4,0,4,0,11,23,9,3,13,0,56,82,62,57,652,4,856,6,0,0,0,0,6,5,0,0,0,0,11,31,12,5,105,0,155,3,0,0,0,0,5,3,0,0,0,0,6,3,0,0,0,0,3,7,15,11,177,0,215,9,4,4,39,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,4,8,3,0,0,14,9,4,0,0,0,10,3,5,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,27,17,11,208,0,261,4,0,0,0,0,4,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,11,0,17,42,10,8,31,0,88,0,9,0,7,38,50,212,136,91,1471,42,1950
