UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL201001,7182,87376,4013,23285,10120,3703,749,2169,1045,139650,7421,56545,964,19192,7022,2368,451,1429,680,96074,42097,55556,4385,15679,64081,17856,2425,6956,2969,212006,16371,50402,2798,40881,23417,6943,1267,4527,1952,148557,7607,21283,2843,5198,7545,5380,576,1464,598,52506,4455,1708,10238,8965,7410,5100,985,3868,560,43298,52,75,32,116,96,65,23,103,19,580,2713,4366,676,2486,3399,1261,246,779,423,16351,1216,2083,622,2271,2554,1306,310,1159,3317,14826,104094,324195,36723,126409,140627,50668,9004,27477,13169,832364,11548,30253,5906,4875,7283,3685,1562,2701,902,68714,17521,52543,9591,4149,8970,4847,5216,5022,1856,109717,33891,55804,66201,5782,12162,7210,17311,14984,3113,216466,14973,14361,46536,1922,4302,2838,3950,7531,1375,97778,3318,3468,6196,1223,1915,1146,1313,2480,306,21374,10780,118562,6075,30141,11561,4774,2027,3544,1457,188924,10864,74116,2049,21369,8027,2988,1347,2233,921,123912,96250,112965,14117,23502,89176,34026,14096,15540,6105,405772,27836,79234,6393,55118,30437,10235,5046,8040,3074,225413,12951,38066,7618,7979,10657,8534,2491,3931,1074,93307
UCL203001,165,2425,102,743,274,102,9,46,20,3888,175,1638,30,551,173,72,12,41,9,2696,534,629,76,305,1366,311,17,106,37,3389,274,947,65,1397,473,183,23,142,37,3541,87,282,52,103,126,90,6,46,8,795,108,34,293,266,187,156,8,113,3,1175,0,4,0,0,4,3,0,4,0,20,30,58,17,36,53,24,5,12,6,237,17,31,19,49,64,38,5,35,38,300,1553,6404,818,3559,2908,1081,127,641,171,17258,115,341,92,75,89,43,17,35,12,830,168,471,145,41,124,55,64,62,10,1150,554,495,1640,133,165,152,400,368,46,3950,327,119,1379,46,53,60,118,206,31,2342,153,110,187,44,66,69,58,96,11,789,240,3239,156,954,312,128,36,76,25,5161,323,2306,58,637,212,87,34,61,17,3729,1266,1345,250,454,1696,560,158,245,66,6035,408,1381,124,1860,580,250,90,235,52,4985,155,525,138,159,184,154,39,96,15,1463
UCL203002,168,2766,117,800,272,111,21,65,23,4351,152,1423,22,568,187,56,4,53,7,2473,454,581,68,228,1180,259,23,130,19,2958,224,812,49,1396,388,172,23,174,36,3277,61,154,29,53,84,82,8,38,8,523,104,28,304,259,180,123,20,138,13,1175,0,0,3,3,0,0,3,3,0,15,22,46,5,26,37,18,3,10,6,186,22,34,14,56,38,35,10,44,53,305,1340,6154,790,3490,2563,947,163,783,175,16401,88,275,99,52,80,26,18,37,3,675,123,333,111,25,85,37,26,51,14,816,462,526,1725,125,167,141,442,445,58,4085,357,116,1247,62,72,64,157,233,25,2330,153,118,189,46,66,59,68,137,8,840,243,3613,163,1004,302,138,45,96,32,5643,244,2016,61,673,219,82,41,82,12,3425,1050,1160,192,353,1491,460,147,254,41,5141,356,1172,98,1865,465,220,73,259,57,4570,112,282,83,96,109,122,33,84,8,931
UCL203003,323,4395,273,1349,514,181,28,129,43,7240,309,2613,47,907,252,95,14,51,20,4304,1069,1254,151,549,2179,574,80,250,66,6174,506,1615,132,2561,813,297,68,233,81,6314,223,584,115,211,237,194,23,57,19,1657,210,56,576,472,298,252,43,202,20,2142,0,3,0,0,0,6,0,5,0,21,52,112,17,90,90,35,4,35,14,448,45,66,26,129,77,48,6,51,111,559,3038,11599,1719,6591,4891,1939,376,1246,413,31800,252,739,252,171,212,129,49,107,17,1924,290,741,241,108,158,95,117,124,31,1905,973,1524,2857,297,329,296,873,807,103,8061,631,502,2769,192,210,154,291,578,76,5401,164,178,311,58,100,74,77,143,25,1127,495,5796,403,1726,586,226,90,201,60,9580,469,3635,106,1063,292,124,60,87,35,5861,2468,2564,492,847,2799,1013,427,491,121,11231,793,2335,282,3364,997,416,205,421,125,8934,354,1002,254,319,302,296,110,151,33,2827
UCL211001,56,697,36,300,83,27,13,17,11,1227,64,480,9,240,48,17,3,12,6,878,207,237,31,121,604,119,13,65,14,1404,82,268,19,628,151,58,15,64,8,1292,15,46,3,23,34,21,0,5,0,160,44,16,153,123,88,59,10,51,7,541,0,0,0,3,0,3,0,4,0,16,6,10,3,13,17,9,0,6,0,63,6,12,11,20,22,13,0,13,23,117,517,1873,303,1507,1107,371,81,269,74,6104,39,71,22,14,15,10,4,14,4,185,37,68,31,7,27,16,10,17,3,224,233,180,881,57,76,70,220,186,30,1941,89,35,476,28,24,20,46,81,12,812,40,47,67,12,28,18,32,43,3,298,83,865,41,375,87,38,19,30,12,1560,98,640,27,263,56,16,20,19,4,1149,471,452,77,177,697,186,121,125,19,2337,135,340,55,809,172,75,39,91,15,1728,26,85,19,29,50,30,16,27,6,283
UCL211002,46,732,80,407,122,59,21,47,8,1516,64,583,10,515,73,41,19,30,11,1340,291,306,45,220,872,227,84,104,31,2176,122,227,41,1056,298,99,59,123,21,2040,16,63,15,34,50,31,10,10,3,235,71,21,147,169,145,91,42,80,12,774,0,0,0,0,3,0,0,0,0,8,14,16,8,48,20,17,9,17,5,151,15,24,8,61,42,26,19,27,48,272,720,2198,473,2625,1782,680,305,515,163,9454,62,125,60,60,65,47,38,28,12,488,121,417,128,95,124,58,135,65,21,1160,248,395,1302,107,204,97,572,384,64,3386,102,34,790,26,43,19,161,169,26,1369,24,21,90,18,25,19,54,44,4,290,73,891,104,497,148,69,53,74,8,1914,79,725,32,552,84,43,45,46,8,1618,572,554,159,378,1157,382,457,221,71,3946,178,341,99,1350,370,144,198,197,42,2920,42,111,46,52,84,53,38,49,7,481
UCL212001,18,292,36,134,59,13,4,6,4,580,31,402,3,148,54,15,0,4,3,658,120,114,23,64,296,74,9,37,7,753,57,156,16,310,131,22,12,23,9,734,15,46,16,20,36,12,5,0,3,141,16,10,73,47,47,34,5,25,5,258,0,0,0,0,0,0,0,0,0,0,4,13,0,6,9,4,0,0,0,39,9,3,4,10,10,5,0,9,24,72,315,1131,227,763,706,200,55,116,52,3560,21,61,27,14,15,15,4,7,0,165,34,94,31,23,22,12,16,10,6,248,152,122,517,39,46,34,152,95,10,1172,57,31,427,13,22,8,43,59,12,674,27,19,51,10,18,6,17,23,0,167,29,340,43,157,72,23,5,15,6,693,51,511,8,156,58,16,9,12,8,818,248,219,70,97,385,110,76,56,12,1266,94,196,29,392,158,28,24,36,12,979,31,72,34,27,42,16,12,10,3,241
UCL212002,18,276,11,96,33,17,0,7,6,469,14,186,8,77,24,8,0,7,0,328,57,47,11,37,123,37,0,13,4,340,35,77,11,211,48,24,5,26,4,439,7,16,4,11,10,7,0,0,0,52,23,4,70,43,31,20,0,25,4,215,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,0,0,3,0,24,3,4,0,13,9,7,0,15,5,46,178,658,129,496,284,140,12,109,22,2025,11,28,8,3,4,4,0,3,0,66,7,11,11,3,4,3,0,5,0,57,101,60,283,12,10,26,70,73,6,651,60,11,149,5,0,8,18,24,3,283,40,18,35,9,5,12,22,20,0,160,27,337,18,118,33,21,7,12,6,565,33,260,7,90,27,17,3,14,0,441,135,106,31,51,141,66,6,24,13,571,42,94,21,256,58,26,5,45,4,548,9,19,9,10,6,16,0,5,0,80
UCL212003,45,617,32,173,52,21,0,23,0,974,53,469,12,171,36,18,0,15,3,786,161,145,31,101,419,103,5,74,12,1051,74,271,20,513,106,54,10,62,9,1121,19,52,11,12,15,18,3,16,0,148,38,22,116,77,55,57,10,53,6,435,0,3,0,0,0,0,0,7,0,9,0,12,5,11,7,3,0,6,3,42,18,15,5,24,27,12,0,34,30,159,461,1691,263,1109,754,312,37,327,78,5022,45,87,17,10,9,5,9,18,0,201,22,34,28,12,9,8,9,18,0,140,145,106,540,28,45,48,124,135,19,1194,86,33,284,14,13,14,25,47,6,528,102,69,64,18,22,15,34,67,5,400,72,814,40,240,65,23,12,29,3,1293,84,629,21,187,49,25,12,31,7,1042,370,314,61,144,489,184,49,131,24,1758,110,379,37,681,126,73,28,90,17,1542,23,84,25,31,21,29,15,23,0,248
UCL212004,69,641,21,124,85,18,0,5,13,986,54,415,6,110,57,18,0,4,4,672,156,188,22,54,234,55,6,15,10,734,87,253,18,203,108,31,0,19,7,732,33,75,23,29,36,20,3,5,4,223,27,15,64,44,26,14,4,8,0,215,0,0,0,0,0,0,0,0,0,0,17,19,3,9,23,8,0,0,0,85,12,22,4,14,17,14,0,5,4,91,521,1761,204,622,622,188,23,82,50,4077,47,113,28,23,22,5,3,13,3,247,25,72,17,8,8,3,0,0,0,146,122,150,318,38,25,23,36,48,14,783,151,72,411,20,27,13,14,33,10,753,59,47,69,18,16,14,10,15,5,256,102,830,40,177,93,16,4,9,15,1285,100,600,18,129,61,22,0,11,10,954,393,384,45,83,301,103,16,36,18,1374,148,375,31,285,139,43,9,37,19,1077,49,149,38,34,38,32,3,15,4,364
