UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL201001,384975,69254,37981,1118,289,493621,465538,84272,56274,644,319,607042,166756,87875,137475,1654,546,394316,11233,9577,12144,8,31,32995,1871,2057,3554,20,40,7538,38013,15065,16319,560,176,70128,5844,1737,1702,914,89,10287,1164,534,593,26,22,2340,224871,116854,171787,3185,901,517594,12824,8600,6086,147,60,27717,14644,4254,3591,120,123,22723,1102854,283230,275722,5212,1691,1668713
UCL203001,11906,1182,202,16,12,13320,12540,800,94,15,15,13464,7259,2071,571,10,21,9928,861,462,68,0,3,1390,140,152,37,0,3,336,1556,335,85,8,9,1988,122,38,13,5,3,178,47,20,0,0,0,67,9979,3077,778,23,38,13889,426,154,14,4,4,604,422,127,23,0,6,578,35271,5345,1102,57,72,41851
UCL203002,12311,594,55,38,19,13014,12964,372,45,8,21,13408,6114,1392,166,14,10,7690,858,405,81,0,0,1344,216,117,24,0,0,354,1943,227,38,7,12,2224,148,17,8,9,0,182,47,11,7,0,0,59,9319,2167,310,30,27,11858,408,49,5,0,0,465,434,70,10,0,4,524,35439,3246,429,81,75,39271
UCL203003,19374,1707,382,111,14,21589,21657,1366,329,9,18,23388,11159,3219,1228,34,28,15669,1502,844,107,0,0,2456,278,330,67,5,9,680,2520,584,157,20,21,3298,243,89,22,119,6,472,81,46,5,0,0,133,15777,5110,1586,168,63,22705,638,401,26,51,7,1114,747,185,41,5,0,985,58195,8772,2368,343,101,69783
UCL211001,3989,204,23,5,0,4225,4700,129,22,0,7,4858,2485,668,146,3,0,3306,584,202,53,0,0,848,43,15,6,0,0,62,541,94,17,6,0,656,218,15,0,0,0,238,20,12,0,0,0,30,3884,1010,224,11,0,5140,101,11,3,0,0,125,233,78,5,30,7,357,12911,1437,282,47,15,14696
UCL211002,4711,459,11,0,0,5188,11069,449,26,0,14,11554,4932,664,31,0,4,5635,188,121,0,0,0,314,60,49,0,0,0,115,890,91,9,0,0,987,118,51,0,0,0,170,38,14,0,0,0,51,6225,988,41,10,4,7272,156,29,3,0,0,194,403,44,0,0,0,446,22565,1978,86,10,21,24655
UCL212001,1994,177,10,17,0,2194,3626,120,0,0,0,3752,851,289,0,5,4,1146,135,25,36,0,0,194,15,50,4,0,0,68,239,53,15,0,0,303,18,5,10,9,0,44,5,8,0,0,0,15,1263,432,58,12,3,1772,131,16,0,0,0,146,81,9,3,0,0,95,7093,751,71,36,4,7964
UCL212002,1835,160,0,33,0,2028,1535,60,0,5,4,1608,679,238,14,0,0,928,203,151,0,0,0,351,24,7,0,0,0,31,241,43,0,4,5,292,22,5,0,4,0,36,3,0,0,0,0,4,1175,445,10,3,3,1644,62,29,0,0,0,95,87,39,0,0,0,123,4688,745,15,47,10,5505
UCL212003,3605,310,137,35,11,4105,3808,148,59,6,0,4018,2037,551,461,7,7,3077,336,175,104,0,0,624,55,19,57,0,0,139,730,129,90,3,11,958,124,18,27,15,0,189,28,12,16,0,0,64,3320,908,767,32,21,5046,194,38,60,3,3,307,235,45,34,3,7,329,11179,1450,1060,81,41,13808
UCL212004,3229,169,22,5,0,3430,2865,115,9,0,0,2986,903,133,26,5,0,1067,24,21,0,0,0,45,21,0,0,0,0,21,251,32,9,0,0,291,19,0,0,0,0,21,9,0,0,0,0,8,1228,186,27,8,0,1443,115,9,0,0,0,121,110,9,5,0,0,122,7544,484,62,12,0,8107
