UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL212009,163,11,4,0,0,180,75,7,5,0,0,91,73,7,0,0,0,83,181,21,6,0,0,201,276,32,12,0,0,323,928,60,19,0,0,1010,888,30,8,0,0,927,626,17,3,0,0,645,177,5,0,0,0,180,126,0,0,0,0,128,82,0,0,0,0,82,203,9,4,0,0,224,3801,199,63,0,0,4066
UCL213001,63,11,0,0,0,71,45,0,0,0,0,47,46,5,0,0,0,53,111,0,0,0,0,120,169,8,3,0,0,178,418,11,0,0,0,423,308,5,0,0,0,321,147,5,0,0,0,151,30,0,0,0,0,32,32,0,0,0,0,32,10,0,0,0,0,12,72,4,0,0,0,71,1452,47,3,0,0,1507
UCL213002,72,3,0,0,0,75,52,0,0,0,0,53,33,0,0,0,0,37,62,0,0,0,0,62,102,0,0,0,0,102,271,4,0,0,0,272,263,8,0,0,0,274,202,4,0,0,0,201,76,0,0,0,0,76,56,0,0,0,0,57,28,0,0,0,0,24,75,0,0,0,0,74,1281,22,0,0,0,1304
UCL213003,47,3,0,0,3,51,40,3,0,0,0,47,35,0,0,0,0,36,88,3,0,0,0,95,157,3,0,0,0,161,440,4,0,0,0,451,321,0,0,0,0,324,190,0,0,0,0,189,54,0,0,0,0,54,29,0,0,0,0,29,19,0,0,0,0,23,92,0,0,0,0,94,1505,29,0,7,3,1544
UCL213004,63,0,0,0,0,66,40,0,0,0,0,41,28,0,0,0,0,28,68,0,5,0,0,73,107,15,7,0,0,130,353,21,11,0,0,375,555,7,4,0,0,568,488,7,0,0,0,498,160,0,0,0,0,160,102,0,0,0,0,101,49,0,0,0,0,49,135,3,0,0,0,141,2141,60,29,0,0,2227
UCL213005,112,3,0,0,0,115,63,0,0,0,0,63,48,0,0,0,0,50,81,0,0,0,0,87,105,3,0,0,0,107,377,3,0,0,0,383,526,0,0,0,0,526,554,5,0,0,0,556,180,0,0,0,0,180,98,0,0,0,0,100,60,0,0,0,0,60,131,0,0,0,0,132,2340,25,0,0,0,2361
UCL213006,69,3,0,0,0,70,30,0,0,0,0,30,13,0,0,0,0,15,43,0,0,0,0,44,44,4,0,0,0,52,171,11,0,0,0,185,232,27,4,0,0,259,420,18,0,0,0,433,268,3,0,0,0,272,216,3,0,0,0,214,110,3,0,0,0,113,98,4,0,0,0,99,1717,76,10,0,0,1793
UCL213007,87,3,0,0,0,93,66,0,0,0,0,66,74,0,0,0,0,78,166,0,0,0,0,168,266,6,4,0,0,276,617,3,4,0,0,625,357,3,0,0,0,362,224,0,5,0,0,232,67,0,0,0,0,68,50,0,0,0,0,50,28,0,0,0,0,28,94,0,0,0,0,92,2102,15,13,0,3,2127
UCL213008,83,11,0,0,0,91,36,0,0,0,0,34,35,0,0,0,0,37,59,5,0,0,0,67,100,8,0,0,0,105,362,25,0,0,0,383,566,26,0,0,0,589,774,25,0,0,0,792,208,0,0,0,0,216,121,7,0,0,0,127,55,0,0,0,0,58,145,4,0,0,0,151,2541,109,0,0,0,2651
UCL213009,86,0,0,0,0,87,44,6,0,0,0,44,25,0,0,0,0,24,69,6,0,0,0,78,84,0,0,0,0,88,330,17,0,0,0,344,462,17,0,0,0,482,476,0,0,0,0,482,107,0,0,0,0,114,68,0,0,0,0,73,38,0,0,0,0,38,102,9,0,0,0,110,1901,58,0,0,0,1956
UCL213010,74,8,3,0,0,85,81,12,0,0,0,93,101,4,0,0,0,107,232,3,4,0,0,237,263,11,4,0,0,281,502,16,0,0,0,520,263,3,0,0,0,267,128,0,0,0,0,131,29,0,0,0,0,29,19,0,0,0,0,24,12,0,0,0,0,12,105,0,0,0,0,110,1819,72,15,0,0,1899
UCL213011,82,0,8,0,0,86,85,0,3,0,0,90,89,3,0,0,0,95,201,9,10,0,0,215,205,0,4,0,0,216,335,0,3,0,0,337,135,0,0,0,0,136,91,0,0,0,0,91,20,0,0,0,0,20,11,0,0,0,0,16,10,0,0,0,0,15,106,3,0,0,0,110,1373,20,31,0,0,1421
UCL213012,67,0,0,0,0,66,50,0,0,0,0,53,61,10,0,0,0,66,146,0,0,0,0,146,179,5,0,0,0,183,328,9,0,0,0,340,197,0,0,0,0,196,94,0,0,0,0,99,32,0,0,0,0,32,21,0,0,0,0,18,15,0,0,0,0,15,69,0,0,0,0,73,1264,29,3,0,4,1301
UCL213013,74,4,0,0,0,76,42,0,0,0,0,45,61,0,0,0,0,62,110,6,4,0,0,119,166,7,3,0,0,175,412,13,6,0,0,430,315,3,0,0,0,324,216,5,0,0,0,215,53,0,0,0,0,56,35,0,0,0,0,33,28,0,0,0,0,25,84,9,3,0,0,92,1587,49,21,0,3,1667
UCL213014,44,3,0,0,0,51,29,0,0,0,0,28,34,0,0,0,0,38,90,7,0,0,0,89,137,8,5,0,0,144,347,6,3,0,0,358,240,3,0,0,0,239,152,0,0,0,0,160,46,0,0,0,0,46,27,0,0,0,0,31,19,0,0,0,0,20,68,0,3,0,0,77,1230,22,13,3,0,1265
UCL213015,77,3,0,0,0,79,39,0,0,0,0,39,24,0,0,0,0,22,59,4,0,0,0,56,79,9,0,0,0,91,356,35,0,0,0,391,649,52,0,0,0,702,711,17,0,0,0,728,218,3,0,0,0,223,151,0,0,0,0,152,80,0,0,0,0,80,180,10,0,0,0,187,2626,137,4,0,4,2767
UCL213016,104,5,0,0,0,106,64,4,0,0,0,64,59,0,0,0,0,63,134,11,0,0,0,144,234,23,0,0,0,259,596,23,0,0,0,619,495,10,0,0,0,505,321,0,0,0,0,327,84,0,0,0,0,84,66,0,0,0,0,66,46,3,0,0,0,51,148,4,0,0,0,153,2363,81,0,0,0,2443
UCL213017,92,4,4,0,0,103,56,0,0,0,0,50,40,3,0,0,0,48,92,0,0,0,0,90,126,3,8,0,0,133,465,15,12,0,0,487,630,5,5,0,0,640,613,6,5,0,0,620,191,0,0,0,0,191,109,0,0,0,0,109,84,0,0,0,0,82,144,4,4,0,0,149,2649,31,31,6,0,2716
UCL213018,46,4,0,0,0,50,21,4,0,0,0,29,28,0,0,0,0,31,57,7,0,0,0,62,60,0,0,0,0,61,192,8,0,0,0,199,202,5,0,0,0,208,151,4,0,0,0,156,53,0,0,0,0,53,29,0,0,0,0,31,18,0,0,0,0,18,44,8,0,0,0,49,907,40,4,0,0,949
UCL214001,40,5,0,0,0,46,38,0,0,0,0,39,42,0,0,0,0,41,87,0,0,0,0,87,131,9,0,0,0,137,234,3,0,0,0,239,96,0,0,0,0,99,57,0,0,0,0,61,30,0,0,0,0,30,10,0,0,0,0,10,12,0,0,0,0,12,41,0,0,0,0,45,820,15,0,3,0,843
UCL214002,23,0,0,0,0,23,19,0,0,0,0,19,13,0,0,0,0,13,30,0,0,0,0,28,36,3,0,0,0,38,139,5,0,0,0,145,233,5,0,0,0,239,313,3,0,0,0,319,145,0,0,0,0,145,71,0,0,0,0,71,23,0,0,0,0,25,70,0,0,0,0,70,1127,19,0,0,0,1147
UCL214003,57,5,0,0,0,60,36,4,0,0,0,43,35,5,0,0,0,43,91,6,0,0,0,96,129,4,0,0,0,138,257,5,0,0,0,269,204,4,0,0,0,208,115,0,0,0,0,115,24,0,0,0,0,21,22,0,0,0,0,22,18,0,0,0,0,16,55,0,0,0,0,55,1043,39,0,5,4,1089
UCL214004,33,0,0,0,0,33,22,0,0,0,0,22,21,0,0,0,0,21,31,3,0,0,0,35,67,0,0,0,0,70,156,5,0,0,0,157,98,0,0,0,0,98,65,0,0,0,0,64,8,0,0,0,0,12,9,0,0,0,0,14,11,0,0,0,0,14,38,0,0,0,0,38,552,11,0,4,3,570
UCL214005,5,0,0,0,0,5,4,0,0,0,0,4,5,0,0,0,0,0,11,0,0,0,0,11,11,0,0,0,0,15,35,0,0,0,0,35,36,0,0,0,0,41,13,0,0,0,0,16,7,0,0,0,0,7,11,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,8,138,7,3,0,0,147
UCL214006,26,6,4,0,0,37,17,0,0,0,0,17,17,0,0,0,0,16,25,5,0,0,0,22,38,6,0,0,0,43,94,8,9,0,0,111,124,0,3,0,0,135,98,3,0,0,0,101,43,0,0,0,0,41,34,0,0,0,0,34,25,0,0,0,0,27,37,3,0,0,0,38,566,30,16,0,5,620
UCL214007,23,0,0,0,0,23,8,0,0,0,0,8,3,0,0,0,0,3,22,0,0,0,0,24,33,0,0,0,0,37,126,15,0,0,0,142,248,29,0,0,0,278,362,22,0,0,0,378,104,5,0,0,0,103,47,0,0,0,0,43,21,3,0,0,0,23,48,7,0,0,0,57,1036,77,0,0,0,1114
UCL214008,48,0,0,0,0,50,38,0,0,0,0,37,64,0,0,0,0,65,161,3,0,0,0,162,185,0,0,0,0,184,352,3,0,0,0,351,154,3,0,0,0,159,96,0,0,0,0,100,31,5,0,0,0,35,14,0,0,0,0,17,11,0,0,0,0,11,62,0,0,0,0,65,1217,16,3,0,0,1243
