UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL201001,954,6225,85288,505103,403787,76464,12239,12791,1102854,326,10773,78114,53220,10442,1046,239,2447,156608,193,3525,35533,63723,19686,2275,350,1341,126620,515,14297,113646,116943,30128,3315,583,3784,283230,953,18881,45962,15837,1859,201,117,1351,85159,855,15926,30278,4689,277,48,34,670,52785,1015,20286,35314,4941,251,24,26,695,62551,1306,24154,40356,7254,254,23,38,933,74315,19,270,255,164,112,47,22,27,914,4138,79516,152163,32881,2748,348,250,3674,275722,182,1694,2079,862,200,49,20,129,5212,60,339,475,418,204,34,31,125,1691,5857,102069,353656,656206,437079,80214,13132,20507,1668713
UCL203001,29,256,3861,18189,11197,1187,164,395,35271,6,755,2236,1398,266,18,6,108,4802,8,39,182,224,67,5,0,9,540,18,799,2418,1622,340,27,12,124,5345,5,283,491,188,8,0,0,19,1007,0,16,48,18,8,0,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,11,12,300,543,207,12,3,0,28,1102,0,7,18,18,9,0,0,0,57,3,17,7,15,18,4,0,3,72,56,1381,6843,20054,11573,1220,182,542,41851
UCL203002,28,336,4236,18172,10851,1233,180,405,35439,15,435,1695,537,49,3,0,66,2800,0,42,153,212,36,0,0,6,451,13,476,1857,751,81,4,0,70,3246,9,88,211,68,5,0,0,14,399,0,0,3,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,9,94,222,76,10,3,0,15,429,4,21,22,22,7,0,0,0,81,3,7,15,20,22,3,0,3,75,54,930,6357,19036,10966,1251,183,493,39271
UCL203003,57,501,6786,30732,16858,2192,393,686,58195,36,1590,3834,1232,232,21,9,175,7118,7,151,594,718,146,18,5,15,1654,42,1738,4429,1952,379,33,11,190,8772,17,497,921,271,14,0,0,40,1757,5,52,93,4,0,0,0,5,163,5,80,184,26,0,0,0,4,300,0,20,68,44,6,0,4,0,134,0,4,0,4,0,0,0,0,11,23,651,1272,355,26,0,6,46,2368,23,85,141,59,26,3,0,6,343,3,25,23,32,7,3,4,0,101,144,2996,12650,33122,17297,2227,414,926,69783
UCL211001,11,74,1011,6491,4569,460,54,235,12911,5,192,901,171,4,0,0,75,1352,0,3,45,38,0,0,0,0,86,5,193,946,207,6,0,0,80,1437,0,47,208,19,0,0,0,4,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,43,208,18,0,0,0,4,282,0,5,0,3,5,0,0,30,47,0,0,3,4,3,0,0,7,15,17,318,2171,6732,4583,459,53,360,14696
UCL211002,20,50,530,9689,10484,1172,197,429,22565,0,169,771,594,124,3,0,40,1705,0,0,34,213,22,0,0,3,273,0,171,801,807,143,10,0,41,1978,0,0,36,31,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,16,3,3,43,32,3,0,0,0,86,0,0,0,6,0,0,0,0,10,0,0,0,3,12,0,0,0,21,26,218,1378,10543,10644,1182,203,467,24655
UCL212001,8,23,363,3223,2998,341,55,81,7093,0,67,332,205,18,0,0,11,635,0,6,29,74,3,0,0,0,118,0,77,360,276,23,0,0,13,751,0,36,6,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,55,12,0,0,0,0,3,71,4,19,9,0,3,0,0,0,36,0,0,0,0,4,0,0,0,4,13,177,748,3500,3029,343,55,96,7964
UCL212002,6,31,518,2455,1423,136,28,85,4688,3,120,425,126,6,0,3,30,725,0,0,0,17,0,0,0,0,15,3,124,427,142,6,0,3,30,745,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,0,20,22,8,0,0,0,4,47,0,0,6,4,4,0,0,0,10,18,180,967,2613,1440,140,29,121,5505
UCL212003,11,99,1054,6593,2884,290,49,201,11179,10,126,713,465,22,4,0,46,1386,0,0,17,42,6,0,0,0,69,10,126,734,508,26,4,0,47,1450,4,178,699,114,4,0,3,33,1042,0,4,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,184,711,119,4,0,3,33,1060,6,35,24,7,6,0,0,0,81,0,5,16,16,4,0,0,7,41,30,444,2536,7240,2917,297,56,285,13808
UCL212004,3,43,710,3448,2796,389,67,89,7544,10,40,98,110,17,3,0,0,269,0,0,52,121,32,0,0,4,218,10,40,146,233,54,4,0,6,484,0,0,29,21,4,0,0,5,55,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,4,0,0,5,62,0,5,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,84,891,3711,2849,397,67,95,8107
