UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL201001,5902,5832,4784,845,1794,324,19479,1249,927,1115,178,418,37,3916,2146,1587,1944,363,912,74,7026,1718,1563,1602,385,780,76,6129,2832,2643,2576,632,1458,123,10270,3618,4222,3518,1088,1853,190,14487,5099,7366,4757,1540,2416,214,21391,6552,10507,5274,2020,2657,282,27293,7515,13838,5434,2191,2522,326,31838,8879,18006,5729,2397,2546,388,37943,8403,17726,4187,1765,1626,321,34015,14396,30359,9267,2722,2777,467,59983,7816,16398,3357,1147,997,184,29898,7000,14871,3250,1026,894,189,27226,10031,21501,5385,1531,1363,254,40067,14759,34611,9168,2178,1974,333,63024,6141,15341,4455,964,841,134,27879,5761,17257,5044,1226,841,140,30271,7968,14533,7009,1688,2530,373,34087,127782,249088,87840,25897,31190,4415,526221
UCL203001,105,74,60,19,20,0,277,35,21,18,3,12,0,93,80,60,46,13,24,4,231,75,58,33,19,27,0,211,161,124,83,40,60,4,475,185,272,94,63,86,12,716,267,405,136,111,89,11,1018,376,571,174,137,96,6,1356,367,594,131,99,54,13,1260,348,632,155,67,53,13,1272,214,409,76,34,28,0,768,238,507,119,38,26,3,928,77,160,37,5,6,0,291,43,102,23,11,0,0,183,112,217,73,15,11,0,434,121,214,59,17,15,0,430,38,72,29,3,3,0,145,25,77,18,4,4,0,123,152,164,88,45,47,5,502,3028,4731,1451,741,678,80,10714
UCL203002,124,72,50,15,30,0,297,58,23,24,4,14,0,127,91,44,30,12,40,0,225,70,46,49,13,25,5,204,165,142,80,47,57,0,494,199,250,131,87,81,13,757,304,403,148,109,100,16,1079,392,644,163,146,100,13,1453,386,632,165,114,60,18,1376,321,612,134,72,53,13,1215,155,411,79,42,18,4,704,230,484,124,53,30,0,918,81,173,39,6,6,0,311,42,89,19,0,5,0,160,100,201,69,14,11,5,406,101,215,72,20,12,5,418,43,54,27,4,5,0,134,23,53,29,0,0,0,113,144,191,78,46,30,7,497,3030,4738,1510,814,686,105,10878
UCL203003,191,163,122,23,49,5,543,58,36,37,6,17,3,162,122,73,79,22,48,4,338,88,80,61,20,44,3,293,152,156,121,54,97,9,585,241,264,171,69,99,9,848,337,483,215,97,134,19,1277,430,678,238,136,140,29,1652,468,707,228,130,112,24,1676,591,955,233,137,112,20,2046,481,802,134,64,55,4,1536,670,1144,269,103,82,17,2294,271,539,100,32,21,6,972,159,383,80,29,15,0,677,275,698,136,30,25,5,1173,308,711,191,49,38,6,1297,91,270,70,11,12,0,460,75,189,52,14,5,0,333,276,371,166,44,83,17,962,5294,8708,2700,1071,1179,185,19124
UCL211001,51,26,15,6,4,0,107,21,11,12,3,9,0,45,47,17,7,5,5,0,80,33,12,11,4,11,0,65,48,39,20,18,11,0,139,97,104,33,46,22,5,308,118,146,48,46,30,4,386,135,228,64,49,40,10,517,138,235,55,44,27,7,513,131,218,57,47,27,4,478,61,136,41,23,12,5,264,107,159,63,11,16,0,355,30,56,19,3,4,0,113,9,23,11,0,4,0,50,31,76,20,3,6,0,143,38,67,27,6,3,0,145,17,21,13,0,0,0,46,4,13,9,0,4,0,27,60,70,37,9,19,0,196,1174,1649,552,317,256,29,3983
UCL211002,74,75,39,31,18,8,238,37,9,12,0,9,0,69,53,25,22,6,23,0,131,48,32,29,14,24,6,148,67,61,51,26,46,0,244,108,117,71,44,50,5,392,143,245,90,58,74,3,610,226,434,131,87,83,7,980,258,671,150,100,68,15,1258,327,832,143,101,60,10,1471,272,736,86,35,34,7,1163,276,659,108,74,43,9,1172,110,275,47,17,5,4,462,37,142,32,9,0,0,224,75,185,45,19,15,0,348,83,204,61,25,14,3,382,31,84,24,13,0,0,156,15,64,15,8,6,3,111,144,272,95,66,50,12,639,2379,5130,1247,726,634,92,10205
UCL212001,35,15,15,3,0,0,76,3,4,10,0,3,0,27,13,12,8,3,10,0,44,10,4,7,5,3,0,39,19,12,16,8,7,0,65,36,33,23,13,11,4,121,44,54,38,23,10,0,171,83,122,39,19,38,4,306,82,154,43,21,19,0,320,103,210,40,27,16,0,396,106,175,32,15,13,0,333,145,214,43,19,11,4,439,43,94,20,6,3,0,172,30,52,18,6,4,0,101,42,98,22,5,8,0,181,54,101,28,6,10,0,199,13,22,9,0,0,0,44,6,10,8,0,0,0,33,64,84,25,14,9,3,192,923,1476,448,210,185,20,3262
UCL212002,12,14,7,0,0,0,36,9,0,3,0,0,0,14,22,3,0,0,4,0,29,17,6,7,0,5,0,26,19,9,8,8,3,0,51,31,35,12,12,8,0,101,43,48,12,9,4,0,114,50,78,24,10,13,0,174,51,85,18,13,6,3,176,51,72,26,14,7,0,175,15,47,5,3,3,0,82,24,35,20,0,3,0,83,15,11,5,0,0,0,31,8,6,0,0,0,0,13,11,12,9,0,0,0,42,5,18,13,0,0,0,41,3,13,4,0,0,0,18,0,6,0,0,0,0,17,28,16,14,8,4,0,75,420,506,197,86,77,14,1293
UCL212003,39,18,17,5,9,0,94,12,6,0,0,0,4,23,26,12,19,0,10,0,63,28,12,15,10,12,0,84,62,56,32,17,28,0,193,86,117,43,41,38,3,327,133,183,50,42,34,5,450,160,199,67,50,35,9,523,100,169,50,28,16,0,357,82,158,47,18,14,0,318,40,82,30,6,10,0,166,49,102,26,10,9,8,203,18,24,7,3,3,0,49,7,14,0,0,0,0,19,27,33,17,3,4,0,87,24,41,13,3,0,0,80,12,17,8,0,0,0,31,0,12,4,0,0,0,16,70,54,36,15,19,0,189,974,1302,475,250,239,34,3276
UCL212004,22,21,15,0,5,0,65,8,5,9,0,3,0,20,13,12,12,0,8,0,55,15,13,0,0,5,0,35,18,13,16,0,5,0,53,23,30,14,11,12,0,86,45,38,26,10,4,0,116,27,81,24,9,14,0,162,30,75,30,19,6,0,154,48,95,26,24,21,0,212,36,124,16,6,9,0,194,74,167,48,10,14,0,317,42,99,17,5,4,0,168,33,85,11,3,0,0,132,53,154,27,5,5,0,250,70,190,41,14,6,0,317,33,59,16,3,4,0,112,20,63,11,3,5,0,105,30,58,18,11,5,0,123,639,1390,374,140,123,3,2674
UCL212005,55,41,24,6,6,3,133,17,9,11,4,5,0,47,42,16,21,6,20,0,110,46,32,27,18,9,0,125,77,66,34,32,33,4,247,132,153,69,51,40,3,442,154,251,87,56,45,4,601,180,323,83,61,46,3,701,117,295,68,42,26,9,552,125,221,64,22,19,6,453,47,157,51,17,6,7,281,82,212,64,18,15,0,388,17,43,10,10,4,0,86,8,35,11,0,0,0,56,30,76,22,4,3,0,140,24,72,29,9,10,0,140,21,25,12,6,0,0,68,11,24,8,0,3,0,50,78,110,47,16,16,0,275,1273,2157,744,381,298,42,4903
UCL212006,62,38,37,9,10,3,152,23,10,18,0,3,0,58,26,15,27,4,9,0,88,26,11,12,7,17,0,68,38,38,35,10,20,6,141,66,58,48,15,30,0,215,85,114,62,24,34,5,331,105,155,82,25,43,7,422,114,224,77,42,42,3,501,157,280,89,47,36,9,613,121,258,54,24,22,6,483,175,363,109,41,32,0,726,82,192,39,12,4,0,335,69,95,42,3,9,0,215,112,183,63,17,13,3,394,91,177,69,15,8,0,364,32,67,31,4,10,0,139,27,38,28,8,3,0,92,77,148,68,17,23,0,335,1492,2458,975,334,370,49,5673
