UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL201001,1833238,1929594,3762827,845499,530629,1376124,278438,483877,762318,64341,83342,147682,68524,60800,129322,1256803,1158643,2415445,485993,680943,1166937,5.5,5.2,5.4,68.6,60,64.2,64.8,56.9,60.8,168838,176303,345136,38885,74576,113463,371483,441008,812484,167626,205774,373397,293991,153735,447726,12155,18053,30205,22639,33992,56638,328793,205775,534571,1790936,1861199,3652138,335204,343911,679110,1136091,1198194,2334286,875103,898178,1773284
UCL203001,40461,45383,85845,17177,10050,27221,5791,12358,18151,1385,1998,3386,1373,1138,2513,25724,25545,51268,12484,17404,29885,5.3,4.5,4.9,63.6,56.3,59.7,60.2,53.8,56.8,1979,2359,4344,942,1864,2806,5289,7538,12831,3187,4636,7821,9598,5952,15551,433,671,1100,458,697,1159,10487,7324,17811,38907,42656,81558,8212,8856,17068,23644,25923,49563,20870,22962,43824
UCL203002,38526,43222,81745,16486,9699,26188,5406,11849,17255,1294,1886,3178,1163,948,2110,24347,24383,48729,12124,16645,28770,4.8,3.9,4.3,63.2,56.4,59.6,60.2,54.2,57,1353,1716,3074,760,1729,2484,4303,6770,11069,3020,4432,7449,9996,5987,15979,389,704,1098,465,735,1207,10850,7432,18282,38413,41523,79939,6607,7466,14074,24160,25744,49898,18282,20667,38951
UCL203003,71028,77486,148516,31219,17973,49195,10816,22030,32846,2435,3621,6054,2424,1962,4385,46894,45585,92478,20388,28158,48552,5.2,4.3,4.7,66,58.8,62.3,62.6,56.3,59.3,4303,4228,8530,1358,2956,4316,10558,14356,24911,6142,8540,14680,16085,9729,25820,598,969,1566,781,1258,2047,17468,11955,29427,67894,72360,140253,13868,14993,28863,41380,44516,85896,35723,38443,74162
UCL211001,14699,15638,30334,6851,3882,10734,1750,4187,5943,484,686,1164,463,375,842,9547,9133,18681,4382,5760,10144,4.9,4.1,4.5,64.9,58.4,61.6,61.8,56,58.8,322,459,781,225,514,741,1144,1956,3097,1237,1783,3024,4281,2751,7029,161,276,433,206,321,524,4643,3342,7982,14411,15348,29752,2792,2823,5622,8713,9353,18064,7555,7847,15399
UCL211002,27777,29181,56958,12432,6643,19073,3600,6225,9829,1113,1290,2405,1313,1350,2663,18460,15514,33968,7356,11646,19001,7.1,8.7,7.8,66.5,53.2,59.6,61.7,48.5,55,1014,1157,2174,214,651,859,2603,3589,6190,2391,3050,5444,6385,4150,10534,318,453,768,381,551,932,7080,5153,12232,28847,29656,58503,5511,5906,11413,15453,15723,31171,16002,16984,32987
UCL212001,8156,9006,17165,4132,2373,6502,973,2314,3283,335,430,767,212,237,448,5649,5357,11002,2167,3269,5437,3.7,4.5,4.1,69.3,59.4,64.1,66.7,56.8,61.5,253,373,625,100,317,421,762,1263,2024,715,1127,1843,2409,1295,3702,77,147,222,98,168,271,2585,1610,4194,8497,9049,17547,1446,1510,2960,5114,5372,10489,4195,4591,8786
UCL212002,5388,6077,11469,2183,1268,3453,659,1578,2238,235,267,503,130,118,253,3212,3231,6442,1825,2441,4269,4,3.7,3.9,59.6,53.1,56.2,57.2,51.1,54,87,147,232,59,169,227,416,739,1150,317,590,907,1564,846,2405,42,78,115,60,92,154,1663,1015,2680,5155,5669,10826,907,1026,1937,3384,3706,7087,2360,2672,5033
UCL212003,13854,15322,29176,5448,3682,9136,1702,3374,5078,489,618,1108,542,412,954,8192,8083,16278,4531,6084,10612,6.6,5.1,5.9,59.1,52.8,55.8,55.2,50.1,52.5,310,356,665,166,370,540,1035,1838,2875,897,1452,2349,3066,2016,5083,163,265,428,185,256,441,3411,2538,5948,13086,14367,27455,2439,2571,5009,8024,8751,16776,6605,7273,13875
UCL212004,8242,9372,17618,3458,1921,5373,1273,2918,4191,368,513,880,149,130,283,5247,5483,10726,2602,3449,6054,2.9,2.4,2.6,63.6,58.4,60.9,61.8,57.1,59.3,479,615,1098,260,547,804,1575,2153,3725,910,1271,2183,1966,872,2833,51,94,145,118,143,254,2131,1107,3241,8402,9222,17624,1495,1648,3146,5100,5597,10699,4280,4798,9080
