UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL201001,8783,2603,23507,11548,9020,6946,5334,7406,979,76129,115,140,183,168,144,143,166,301,36,1385,5439,7831,2989,3833,4731,2059,2161,2054,1024,32124,3680,4059,5146,3470,3661,2479,2900,3546,7981,36920,257953,594013,202509,175082,202044,91904,64910,79334,30202,1697942
UCL203001,209,49,614,325,225,203,82,214,14,1939,0,6,3,4,4,3,0,11,0,28,78,113,67,72,79,33,45,33,20,545,66,63,129,80,77,68,62,95,106,745,4061,10562,4995,4890,3862,1857,1198,1852,421,33697
UCL203002,198,41,625,327,203,167,93,249,25,1923,4,0,6,0,5,3,3,11,0,36,59,94,48,60,55,32,45,35,13,442,54,63,109,84,49,59,75,108,142,747,3509,9798,4757,4794,3354,1608,1263,2080,434,31597
UCL203003,374,83,1172,576,350,328,184,399,38,3508,0,8,6,9,3,11,0,11,4,53,118,199,113,167,127,57,79,95,33,989,124,131,249,181,114,95,87,188,273,1437,7514,19430,9503,9072,6580,3313,2654,3803,967,62842
UCL211001,71,24,262,145,96,79,67,92,7,842,0,0,3,7,0,5,0,12,0,30,20,23,21,32,25,11,21,16,5,176,25,17,45,30,24,23,37,50,54,314,1362,2850,2040,1988,1378,605,659,800,180,11862
UCL211002,126,29,344,211,183,127,277,150,15,1469,4,0,5,0,4,0,3,5,0,20,41,30,44,66,43,28,88,43,13,390,39,40,116,80,69,37,139,104,131,755,1706,3710,3329,3494,2598,1116,2251,1583,424,20210
UCL212001,26,11,123,54,59,38,17,35,5,366,0,0,4,0,0,4,0,4,0,5,10,18,24,16,12,4,18,17,3,113,24,10,34,21,25,13,22,20,46,211,806,1700,1413,1017,933,334,414,395,114,7127
UCL212002,36,7,144,48,35,31,15,39,4,360,0,0,0,0,0,0,0,3,0,5,7,9,6,7,11,3,6,9,0,52,16,8,18,17,7,7,17,26,15,123,525,979,731,633,344,227,172,299,46,3954
UCL212003,81,26,234,97,63,85,41,94,13,718,5,3,0,4,0,0,0,12,0,25,13,19,15,21,7,9,9,27,5,127,39,31,40,35,29,24,31,72,73,369,1202,2618,1410,1512,947,536,392,793,182,9588
UCL212004,52,20,123,53,34,28,12,29,0,353,0,0,0,0,0,0,0,0,0,0,32,38,14,21,27,6,7,5,3,156,28,33,36,27,24,22,6,18,16,203,1309,2872,1177,914,817,346,138,269,111,7947
UCL212005,84,22,276,137,100,95,55,127,7,908,0,0,0,0,0,6,0,10,0,15,25,34,23,29,11,5,23,28,4,194,46,36,57,36,33,39,44,98,79,465,1633,3765,2062,2031,1329,707,541,1218,231,13514
UCL212006,80,22,230,119,113,79,46,68,7,758,0,0,0,0,0,8,0,0,0,10,21,35,31,31,40,8,29,14,11,219,44,27,43,33,33,21,35,31,54,327,1674,3270,2500,1849,1723,695,650,661,214,13239
UCL212007,41,19,105,45,50,41,4,24,0,346,0,0,0,0,0,0,0,0,0,4,35,40,15,27,20,5,5,9,9,163,23,20,26,13,17,12,3,17,29,163,1632,3303,1215,961,867,447,121,300,120,8963
