UCL_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
UCL201001,1056,1037,954,1054,354,297,282,20740,0,3,57,168,348,4682,6446,4617,2456,1923,922,2093,570,65,347,24704,72,473,1188,1184,1882,895,2802,2635,411,448,591,791,292,69,243,13975,1708,20030,20648,3585,1241,889,1525,2519,475,421,418,395,129,30,2229,56229,20,70,75,240,610,1351,2587,1255,329,327,417,494,262,105,191,8319,0,0,15,185,776,1461,6213,3012,593,608,602,586,252,55,219,14582,30,223,1783,4399,3165,2243,2782,1361,284,304,286,285,140,90,598,17972,39,211,1316,3700,9526,5261,13537,8872,3129,3291,3173,2566,1018,179,873,56679,0,0,4,11,42,392,4303,3114,1159,2057,2993,3073,800,48,301,18290,388,4719,1174,629,693,467,883,454,127,136,139,139,55,27,278,10290,201,467,2029,5590,9478,11360,19425,14452,2416,2419,2585,2701,1071,1066,1942,77217,56,409,4169,5081,2850,1972,1407,641,122,119,125,99,33,26,452,17551,8,18,61,190,658,1467,6024,9072,1905,2283,2345,2196,1004,430,430,28076
UCL203001,0,0,9,4,4,0,0,72,0,0,0,0,0,3,21,10,6,11,3,0,0,0,0,51,3,10,25,20,21,13,24,21,8,6,3,4,0,0,3,164,8,75,32,11,0,3,4,7,0,3,3,0,0,0,10,156,0,5,3,0,4,14,33,18,0,3,0,0,0,0,3,83,0,0,0,0,11,7,24,15,0,0,0,0,0,0,0,63,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,14,4,0,11,20,37,15,70,44,15,8,8,14,4,0,0,244,0,0,0,0,0,0,20,36,20,42,37,43,10,0,6,212,11,335,36,19,13,10,12,3,0,4,0,0,0,0,18,453,3,18,43,140,167,161,161,109,15,12,27,13,11,9,25,918,0,0,0,3,0,3,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,3,52,56,17,11,19,12,8,0,9,180
UCL203002,6,0,4,0,0,0,0,56,0,0,0,0,0,10,7,6,0,0,0,0,0,0,0,25,0,13,15,10,19,9,18,12,0,0,0,0,0,0,5,106,9,49,35,9,4,3,3,6,0,3,0,0,0,0,5,120,0,0,0,0,5,4,10,6,0,0,3,6,0,0,0,30,0,0,0,0,7,6,9,17,3,4,12,0,0,0,3,68,0,0,0,0,6,4,6,0,8,0,0,0,0,0,0,19,0,0,15,24,35,19,50,28,18,22,25,26,5,0,7,274,0,0,0,0,0,0,22,25,22,19,13,15,11,0,0,127,14,116,27,6,9,6,5,9,0,0,0,3,0,0,4,193,3,3,43,118,132,105,163,55,5,26,11,10,9,9,24,711,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,29,39,18,4,14,4,0,0,0,116
UCL203003,24,26,28,29,12,4,7,471,0,0,0,0,0,19,25,53,88,16,17,18,8,0,0,246,3,18,48,34,56,30,103,103,7,11,9,5,4,0,11,442,63,451,399,76,21,14,35,35,6,0,7,10,4,0,56,1173,0,0,0,6,3,21,54,22,6,5,4,3,5,0,4,134,0,0,0,0,7,10,61,42,12,18,4,3,0,3,4,168,0,0,12,22,11,7,14,6,4,3,0,4,0,0,3,89,4,8,11,39,75,50,122,98,40,36,43,34,12,0,12,578,0,0,0,0,0,3,68,79,36,54,45,30,7,0,4,325,24,609,58,26,26,14,22,11,8,6,8,0,0,0,20,831,5,12,77,216,324,295,405,261,41,33,34,46,23,16,50,1846,0,29,269,182,70,27,21,12,3,0,3,0,0,0,9,620,0,0,0,4,9,6,80,303,29,70,61,115,31,6,14,737
UCL211001,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,5,9,3,3,7,4,0,0,0,4,0,0,6,43,0,25,8,0,0,0,0,3,0,0,0,0,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,16,0,0,4,4,7,6,8,3,8,6,0,7,3,0,0,52,0,0,0,0,0,0,29,46,4,17,3,0,0,0,5,106,3,71,15,11,3,5,0,0,0,0,0,0,0,0,8,118,0,3,26,42,88,53,51,49,11,13,6,6,3,4,5,366,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,21
UCL211002,0,7,0,0,0,0,0,72,0,0,0,0,0,7,29,72,39,3,4,6,0,0,10,176,0,9,27,15,16,5,16,9,0,0,0,0,0,0,5,100,0,73,109,35,7,10,15,16,0,0,0,0,0,0,6,273,0,0,0,0,0,4,14,10,0,0,0,0,0,0,0,34,0,0,0,0,9,9,41,11,0,0,0,0,0,0,0,76,0,0,14,16,18,23,27,8,0,0,0,4,0,0,5,112,0,0,3,16,28,24,65,94,17,10,11,6,0,6,14,291,0,0,0,0,0,3,65,45,8,0,8,9,0,0,0,138,0,81,16,7,5,3,9,3,3,0,0,0,0,0,0,128,0,6,21,82,171,298,526,581,119,97,86,80,22,29,83,2190,0,0,52,49,37,37,25,8,3,4,4,0,3,0,3,223,0,0,0,6,19,35,215,248,51,78,29,41,10,18,10,742
UCL212001,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,9,10,5,7,5,0,0,0,0,0,0,0,47,0,22,25,7,3,0,0,4,0,0,0,0,0,0,8,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,0,3,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,36,11,11,10,4,9,4,0,0,0,0,0,0,0,92,0,0,11,40,41,65,78,43,0,3,4,4,0,0,12,304,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,28
UCL212002,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,8,4,3,0,0,0,0,0,0,0,29,4,11,6,5,0,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,0,4,0,0,0,0,16,0,0,0,0,0,0,4,10,3,4,4,0,0,0,0,29,5,10,0,0,0,0,0,4,0,0,0,0,0,0,0,27,0,0,4,18,23,30,34,7,4,0,4,3,5,3,4,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,10
UCL212003,0,0,0,3,0,0,0,22,0,0,0,0,0,10,16,13,0,0,0,4,8,0,0,48,0,3,3,5,5,0,6,0,0,5,0,0,0,0,4,30,30,145,98,18,3,0,0,16,4,0,0,0,0,0,24,338,0,0,0,0,0,0,9,3,4,0,0,4,0,0,0,17,0,0,0,0,0,3,20,5,4,3,0,3,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,40,125,139,151,157,166,34,0,54,884,0,0,0,0,0,0,9,15,18,7,7,10,0,0,0,67,3,26,8,4,0,0,3,0,0,0,0,0,0,0,0,52,0,0,12,32,56,77,44,48,6,8,15,0,0,7,10,316,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,3,8,13,5,8,16,0,5,0,0,48
UCL212004,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,3,5,10,21,5,0,0,0,4,0,0,3,64,6,26,14,4,0,0,4,7,0,0,0,0,0,0,3,68,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,3,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57,7,7,3,6,15,6,0,0,0,0,0,0,4,111,6,0,17,31,33,40,42,13,0,0,0,0,0,0,12,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
