UCL_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL201001,117,44,44,92,18,163,12,130,109,2527,55,3298,23,23,4,31,10,56,0,117,31,480,8,782,17,44,14,35,4,79,10,266,84,810,9,1372,4,31,3,28,6,93,4,350,43,675,17,1247,41,101,13,50,12,170,13,618,112,1808,25,2961,43,162,17,118,17,571,37,1275,201,1912,47,4380,120,463,38,298,39,1492,93,2262,383,3570,67,8813,201,820,83,674,127,3699,165,2977,510,3850,107,13218,457,1678,148,1699,266,7141,310,3850,750,5436,143,21876,1252,2809,236,5497,715,9214,553,3948,771,5257,169,30423,1607,2235,233,7105,921,9177,492,2978,663,4082,134,29632,3288,2344,246,9074,1171,8771,565,2288,543,3438,113,31838,13196,4639,670,23957,3496,18411,1198,3969,944,5815,197,76488,15987,3556,618,26358,3944,7796,980,2444,522,3294,121,65634,17046,2486,516,22889,3453,8346,800,1648,413,2204,83,59894,15883,1561,368,14838,2649,3446,517,935,215,1115,75,41589,61547,3902,1011,46054,7718,19166,1272,2520
UCL203001,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,3,0,7,0,8,0,0,0,0,0,5,0,9,0,15,0,32,0,0,0,0,0,6,0,15,0,19,0,43,0,6,0,9,3,22,0,30,7,64,0,135,3,19,0,19,3,36,3,61,10,74,0,220,14,29,0,32,13,122,5,72,18,108,6,419,24,56,3,172,21,196,21,78,25,89,3,690,34,53,5,233,35,191,3,63,11,62,0,691,54,61,9,297,41,171,12,45,9,48,0,760,263,99,7,661,82,308,30,68,11,70,0,1600,351,81,19,655,94,114,26,36,5,32,3,1418,346,43,6,568,85,114,23,22,4,26,0,1236,310,28,7,286,47,41,13,11,10,13,4,754,709,47,17,634,101,163,12,24
UCL203002,0,0,0,0,0,6,0,3,0,9,0,28,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,12,0,14,0,6,0,0,0,0,0,0,0,12,0,25,0,0,0,0,0,10,0,13,0,26,0,53,0,6,0,4,0,20,0,38,7,50,0,135,0,22,3,13,5,58,0,43,11,77,4,244,7,41,5,39,3,122,4,78,7,87,0,397,23,59,3,153,26,184,11,87,13,109,3,673,26,41,3,220,30,171,10,46,15,59,0,619,87,59,7,286,50,162,7,41,11,48,3,758,341,109,20,729,83,294,34,57,27,61,4,1770,368,76,20,696,93,113,24,37,7,38,0,1469,340,57,15,538,84,110,28,14,7,21,0,1210,289,28,4,274,50,40,19,12,0,13,0,738,600,38,13,517,65,147,21,17
UCL203003,4,0,0,3,0,9,0,3,0,41,0,61,0,0,0,0,0,4,0,3,0,6,0,19,0,0,0,0,0,3,0,8,0,19,0,33,0,0,0,0,0,0,0,9,5,15,0,26,0,0,0,0,0,4,3,9,0,38,0,61,0,7,0,0,0,14,0,29,4,53,0,105,0,8,0,10,5,30,0,37,7,114,0,218,4,18,0,21,7,86,4,89,12,116,3,370,9,41,4,68,12,198,6,135,17,198,8,684,21,120,9,217,41,295,26,132,27,183,6,1068,41,87,10,347,41,263,25,105,19,111,0,1054,98,78,19,385,60,256,25,79,21,106,3,1133,425,181,38,1197,168,577,52,127,26,159,0,2955,486,135,28,1240,172,241,53,64,9,68,0,2505,542,114,24,1106,170,242,39,54,15,50,3,2356,535,52,15,627,100,103,26,17,4,35,0,1512,1447,123,28,1454,248,434,33,61
UCL211001,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,6,0,3,0,11,0,0,0,0,0,4,0,10,0,12,0,28,0,4,0,3,0,24,0,15,3,13,0,62,0,8,0,12,3,40,0,20,0,46,0,134,12,24,3,62,16,69,4,31,9,39,0,265,19,14,5,79,13,66,8,18,0,20,0,248,36,30,5,111,25,67,3,13,4,9,0,297,186,35,12,301,51,109,15,33,3,21,0,776,202,16,10,272,30,53,3,11,8,14,0,619,137,11,7,167,24,25,8,12,0,10,0,394,137,7,3,102,18,9,0,3,3,4,0,289,235,8,5,150,21,41,3,0
UCL211002,0,0,0,0,0,5,0,6,4,45,0,70,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,6,0,0,0,12,0,19,0,34,0,0,0,0,0,0,0,3,0,11,0,20,0,3,0,0,0,5,0,8,7,34,5,57,0,0,0,0,0,8,0,35,5,47,0,110,0,6,0,0,0,45,0,69,11,101,3,240,4,18,6,15,3,156,4,84,17,101,3,408,3,32,0,32,5,267,8,106,16,139,4,613,19,54,4,159,19,339,19,123,28,117,4,902,40,45,7,172,34,316,15,79,31,70,6,823,95,41,8,238,40,287,19,60,21,60,3,865,370,84,13,520,93,382,30,90,21,97,3,1703,392,44,10,352,72,162,20,38,23,52,3,1170,273,23,4,229,51,103,4,15,8,24,0,734,201,15,4,109,19,44,0,7,3,11,0,416,357,16,10,184,35,95,8,14
UCL212001,0,0,0,0,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,0,0,5,0,4,0,19,0,4,0,0,0,11,0,4,4,12,0,40,0,3,0,9,0,31,0,14,0,15,0,83,5,13,0,25,4,63,0,13,0,12,0,143,7,3,3,51,8,49,4,12,7,20,0,163,18,3,0,60,5,41,0,9,3,8,0,157,80,17,10,169,35,90,11,20,4,18,0,449,93,12,5,169,32,35,7,11,0,14,0,380,85,9,9,127,36,46,6,0,6,5,0,329,92,4,4,99,15,10,0,5,0,5,0,233,228,4,6,128,26,53,4,4
UCL212002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,0,8,0,0,0,4,0,15,0,4,0,9,0,16,0,3,3,8,0,47,5,4,0,31,0,25,0,11,3,15,0,96,0,7,4,34,8,15,0,0,3,4,0,74,12,11,0,29,9,18,0,3,0,4,0,94,41,11,5,104,16,22,8,3,0,10,0,215,44,3,0,75,11,12,6,6,3,6,0,169,55,4,0,49,0,11,0,0,0,5,0,129,46,3,0,22,6,5,0,0,0,0,0,83,62,7,0,61,10,13,0,0
UCL212003,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,13,0,14,0,30,0,5,0,0,0,12,0,13,4,29,0,62,0,9,0,0,0,15,0,16,4,31,0,80,7,14,4,18,0,55,3,21,9,53,0,184,13,20,5,51,7,67,9,12,6,48,5,239,22,10,3,74,16,68,3,18,3,21,0,238,38,14,0,97,12,41,3,8,6,21,3,249,131,29,8,212,24,71,8,20,7,24,0,546,123,14,8,156,34,45,5,18,5,16,0,413,136,13,0,99,18,20,9,9,0,4,0,304,101,4,0,58,3,6,0,6,0,0,0,186,166,6,5,104,15,33,7,7
UCL212004,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,7,0,0,0,3,0,14,0,4,0,3,0,9,0,8,0,10,0,32,3,9,0,19,5,15,3,13,0,9,0,81,8,21,3,34,7,30,0,7,0,5,0,110,6,5,0,45,5,22,3,3,3,9,0,106,31,26,0,181,22,63,6,13,6,16,0,363,55,36,0,222,18,21,9,14,0,11,0,389,81,30,3,200,30,35,8,7,0,4,0,392,77,7,9,111,24,9,3,0,0,3,0,246,253,25,11,270,28,64,10,7
