UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL201001,..,418583,418583,473097,47656,520757,266304,16098,282404,279673,7035,286706,105611,2412,108021,51121,1117,52237,1175801,492909,1668713
UCL203001,..,13059,13059,13025,1220,14248,5643,321,5966,5331,117,5442,2259,31,2290,820,22,847,27086,14769,41851
UCL203002,..,11785,11785,12408,1038,13450,5482,251,5734,5026,81,5105,2168,22,2189,996,15,1011,26085,13184,39271
UCL203003,..,20612,20612,21060,1909,22973,10229,739,10968,9521,390,9910,3686,123,3805,1449,67,1515,45942,23842,69783
UCL211001,..,4359,4359,4651,339,4988,2136,60,2192,1939,14,1960,826,8,832,370,0,370,9925,4766,14696
UCL211002,..,5103,5103,6368,547,6915,4586,81,4670,4286,23,4307,2077,7,2082,1584,0,1593,18894,5760,24655
UCL212001,..,1907,1907,2444,135,2573,1330,16,1344,1361,6,1365,551,0,554,209,0,213,5896,2064,7964
UCL212002,..,1734,1734,1928,113,2041,694,28,717,602,12,613,278,0,278,114,3,117,3614,1892,5505
UCL212003,..,4324,4324,4398,354,4752,1835,93,1929,1577,30,1605,743,27,767,403,26,431,8955,4853,13808
UCL212004,..,1879,1879,2937,127,3059,1017,29,1048,1430,14,1446,542,0,541,130,0,130,6056,2049,8107
UCL212005,..,5305,5305,5518,430,5947,2559,135,2695,2402,45,2443,1110,12,1123,715,13,729,12303,5937,18240
UCL212006,..,3061,3061,4235,261,4493,2437,37,2478,2501,8,2514,966,0,967,345,0,348,10484,3376,13864
UCL212007,..,1548,1548,2547,151,2697,1140,78,1211,1619,43,1662,658,6,669,126,7,135,6091,1827,7922
UCL212008,..,3373,3373,3510,259,3765,1460,37,1494,1449,10,1458,568,7,569,220,3,223,7207,3688,10889
UCL212009,..,4092,4092,4337,303,4637,1780,84,1856,1574,34,1606,686,11,699,234,4,245,8608,4529,13131
