UCL_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL201001,78,34,33,34,9,118,3,133,69,11904,161,12580,27,59,20,18,0,34,9,276,55,3182,46,3725,3,56,8,16,0,41,10,538,86,1868,19,2650,3,5,0,11,0,49,6,493,88,1353,19,2042,32,201,16,38,0,106,32,911,147,8448,107,10046,26,229,21,83,13,345,57,1666,246,4299,66,7050,110,681,74,190,34,1041,131,2752,434,31204,442,37085,158,1269,87,440,65,2336,214,3598,536,16169,210,25083,396,2447,153,1286,160,4149,367,3822,618,14617,172,28186,1299,3421,216,4336,449,4880,566,3789,582,13538,208,33285,1578,1931,150,4563,498,4248,381,2217,371,4469,61,20457,3617,2115,183,5617,645,3935,404,1753,318,4843,92,23526,16968,3421,421,13012,1609,7334,736,2837,527,5934,146,52954,19441,1885,298,10041,1348,2899,426,1410,243,3074,89,41166,16747,1103,223,6622,999,2676,261,837,169,1976,92,31695,14021,532,146,3571,639,953,116,470,62,910,23,21455,31291,1606,359,8426,1434,5512,321,1763
UCL203001,0,0,0,0,0,0,0,4,0,133,8,149,0,0,0,0,0,0,0,8,0,56,0,63,0,0,0,0,0,0,0,9,0,34,0,37,0,0,0,0,0,0,0,9,5,23,0,35,0,6,0,0,0,0,0,21,0,188,4,226,0,9,0,0,0,6,0,41,15,129,6,204,10,24,7,9,0,13,10,92,16,1102,24,1289,0,40,3,20,5,56,7,119,9,619,4,876,22,72,0,46,3,113,8,143,26,530,4,961,48,110,9,164,10,140,20,119,22,507,13,1166,63,46,3,178,9,108,14,65,12,159,4,660,153,69,11,177,18,90,11,54,19,149,0,742,526,84,9,387,46,152,21,58,10,140,3,1434,408,50,4,254,27,50,11,19,10,56,0,896,300,14,4,165,19,53,9,7,6,37,0,618,211,7,3,53,19,24,5,7,0,12,4,342,315,29,14,138,19,58,8,23
UCL203002,0,0,0,0,0,0,0,0,0,107,4,121,0,0,0,0,0,0,0,7,0,65,0,73,0,0,0,0,0,0,0,0,0,37,0,45,0,0,0,0,0,0,0,6,0,24,0,32,0,4,0,0,0,3,0,17,5,202,6,244,0,3,0,0,0,4,4,40,6,123,0,187,0,10,4,6,0,33,0,86,12,1084,20,1259,10,27,0,14,3,67,0,124,13,629,4,890,21,63,4,47,9,118,10,121,20,565,9,979,47,103,7,141,16,100,12,120,27,484,9,1069,57,56,3,157,20,101,6,67,12,122,0,605,127,46,6,184,20,69,16,55,10,140,4,666,456,80,10,368,36,177,12,64,25,155,3,1390,399,38,8,247,29,52,15,24,5,75,0,902,306,29,15,159,20,32,7,11,6,49,0,629,194,14,3,69,3,9,6,3,0,12,0,312,260,15,7,120,21,43,4,22
UCL203003,0,0,0,0,0,3,0,0,0,246,5,265,0,0,0,3,0,0,0,9,4,109,6,125,0,0,0,0,0,4,0,14,3,59,0,93,0,0,0,0,0,4,0,19,0,50,0,73,3,11,0,3,0,7,4,36,7,340,5,417,3,9,0,6,0,17,5,69,5,197,0,315,0,24,3,12,0,42,9,162,15,1629,31,1930,5,62,6,17,0,74,3,204,30,925,8,1340,10,132,10,66,4,179,11,204,40,811,12,1472,70,153,3,232,21,219,26,178,23,747,5,1694,73,93,0,280,32,165,12,91,14,216,5,983,171,86,13,320,30,133,13,88,17,221,0,1098,774,164,16,654,69,277,33,104,30,214,5,2344,816,87,12,472,76,88,23,47,13,123,0,1753,624,42,3,320,36,85,18,28,3,63,3,1229,441,23,14,143,26,31,4,13,0,35,0,729,744,43,12,277,43,144,7,40
UCL211001,0,0,0,0,0,0,0,0,0,41,0,48,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,4,0,4,0,14,0,4,0,0,0,0,0,4,0,61,0,78,0,0,0,0,0,3,0,17,0,51,0,71,4,4,0,5,0,13,3,38,3,368,7,442,0,13,0,4,0,24,0,40,4,239,0,324,4,17,0,17,3,56,5,33,9,197,0,337,23,36,0,58,0,43,7,37,8,183,4,398,30,11,3,69,3,35,6,13,3,65,0,243,48,20,0,80,8,35,3,12,3,66,0,283,231,28,6,167,21,66,15,27,14,54,3,620,165,14,6,102,14,16,10,13,0,18,0,358,105,5,0,67,9,18,0,3,0,16,5,217,70,4,0,18,4,8,0,0,0,3,0,105,80,0,0,34,5,17,3,5
UCL211002,0,0,0,0,0,0,0,4,0,177,5,187,0,0,0,0,0,0,0,9,0,33,5,42,0,0,0,0,0,0,0,8,0,30,0,39,0,0,0,0,0,0,0,4,3,28,0,36,0,3,0,0,0,3,0,15,3,99,0,125,0,5,0,0,0,14,0,22,7,48,0,93,0,10,0,0,0,24,6,57,0,554,13,663,5,6,0,8,0,46,0,47,13,250,3,383,10,25,3,23,0,103,0,54,18,171,0,413,29,45,0,70,12,120,6,55,15,147,3,499,39,24,10,87,12,101,3,19,11,40,0,339,87,23,5,88,11,90,4,17,9,21,3,354,399,36,13,174,33,115,18,25,7,30,0,840,314,12,6,124,29,38,6,11,3,4,0,551,171,3,0,67,5,20,0,0,0,9,0,277,84,0,3,25,3,4,0,0,0,0,0,129,125,5,4,26,10,22,0,0
UCL212001,0,0,0,0,0,0,0,0,0,37,6,45,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,5,0,6,0,7,0,0,0,0,0,4,0,3,0,48,0,58,0,0,0,0,0,0,0,8,0,24,0,39,0,0,3,0,0,3,0,17,0,201,0,226,0,12,0,0,0,8,0,21,4,108,4,158,3,5,0,4,0,26,0,22,9,100,3,174,7,16,0,21,0,30,4,30,0,80,0,193,7,10,0,21,3,28,3,3,0,26,0,102,26,11,0,19,0,29,0,8,0,24,0,120,111,18,0,81,17,42,3,14,6,23,0,316,110,8,0,56,12,9,3,8,5,6,0,215,82,5,5,44,4,10,5,0,0,5,0,161,62,0,0,17,0,0,3,0,0,0,0,97,90,0,3,26,3,14,0,4
UCL212002,0,4,0,0,0,0,0,0,0,29,0,35,0,0,0,0,0,0,0,3,0,15,0,20,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,3,0,5,0,10,0,0,0,0,0,0,0,7,0,48,0,54,0,0,0,0,0,5,0,0,0,19,0,28,3,3,0,3,0,7,0,13,6,195,3,239,0,3,0,5,0,10,0,19,4,94,0,147,5,17,0,3,0,18,6,17,0,78,0,149,4,22,3,32,4,18,0,18,3,75,0,173,20,9,0,29,6,10,5,3,3,18,0,103,18,8,0,31,4,10,4,8,4,17,0,108,72,18,7,60,10,16,3,10,4,5,0,195,54,3,0,33,3,4,0,3,0,14,0,120,29,0,0,19,4,4,0,0,0,11,0,77,23,0,0,7,0,9,0,0,0,0,0,35,40,7,0,8,4,9,0,4
UCL212003,0,0,0,0,0,0,0,0,0,72,6,77,0,0,0,0,0,0,0,0,0,24,0,31,0,0,0,0,0,0,0,3,0,11,0,21,0,0,0,0,0,0,0,4,0,6,0,12,0,3,0,0,0,0,0,12,0,84,0,101,0,8,0,0,0,3,0,18,3,35,0,67,8,0,0,7,0,13,0,28,5,458,13,535,0,15,0,7,0,25,0,43,14,215,4,313,10,22,0,21,0,41,7,43,4,181,5,338,25,40,3,56,4,60,0,28,5,147,5,378,34,10,0,52,7,35,0,9,0,36,0,192,77,20,3,58,5,30,0,9,0,40,0,235,198,28,5,112,12,57,6,19,4,41,5,492,160,5,6,67,7,23,3,12,0,26,0,300,101,3,0,35,11,11,0,4,4,12,0,181,48,4,0,20,0,0,0,0,0,6,0,77,80,4,6,32,4,17,0,8
UCL212004,0,0,0,0,0,0,0,0,3,42,0,47,0,0,0,0,0,0,0,0,6,21,3,25,0,0,0,0,0,0,0,3,0,7,0,13,0,0,0,0,0,0,0,5,0,8,0,12,0,0,0,0,0,4,0,9,0,66,0,81,0,4,0,0,0,0,0,11,0,30,0,46,0,6,0,6,0,3,0,15,4,210,4,246,0,5,0,3,0,4,0,15,0,146,0,176,0,14,0,5,0,18,5,30,8,191,0,277,3,26,0,22,3,10,0,36,9,175,4,292,0,7,0,13,3,13,0,27,0,44,0,121,9,7,0,20,5,15,0,17,4,50,0,125,50,25,5,63,11,26,3,24,7,68,0,275,57,21,5,75,8,11,7,16,5,35,0,239,45,4,4,40,8,22,3,4,0,21,0,153,39,8,0,24,11,12,0,5,0,7,0,102,127,25,3,60,13,34,3,13
