UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL213001,3168,3570,6744,909,1007,1923,113,119,226,1070,1239,2309,54,78,131,17,17,31,36,30,67,17,9,27,12,7,25,8,5,14,0,0,0,1313,1505,2826,126,143,271,51,36,88,2408,2691,5100,512,596,1107,6090,6862,12950
UCL213002,2421,2781,5201,540,574,1116,66,57,120,901,1065,1965,20,36,60,10,20,34,28,24,46,6,9,10,9,17,28,4,5,10,0,0,0,1051,1225,2273,57,99,156,26,21,41,1675,1911,3587,882,464,1346,4973,5164,10134
UCL213003,3276,3480,6756,963,990,1949,20,44,68,717,799,1513,36,34,68,17,15,36,12,10,22,11,4,18,16,15,25,0,0,0,0,0,0,823,920,1744,220,195,421,38,28,70,2044,2137,4180,380,363,742,5700,5985,11679
UCL213004,2989,3265,6254,754,847,1600,31,45,72,2197,2431,4627,37,54,95,7,5,18,17,9,31,6,9,16,7,4,15,0,3,3,0,0,0,2313,2563,4875,65,81,148,61,53,119,3191,3544,6741,353,379,731,6536,7184,13721
UCL213005,3659,3868,7531,829,926,1760,81,79,158,2213,2455,4671,62,72,137,19,27,47,23,18,37,22,18,40,10,11,19,8,14,22,0,0,0,2440,2683,5125,107,129,236,46,46,91,3422,3789,7207,275,310,589,7355,7968,15322
UCL213006,2995,3087,6080,491,542,1036,39,42,77,1142,1196,2339,16,27,49,8,9,17,11,17,34,6,4,12,9,9,13,0,4,5,0,0,0,1230,1309,2542,73,94,167,36,23,62,1830,1973,3804,157,203,360,4983,5259,10241
UCL213007,4167,4400,8570,1438,1555,3001,58,54,114,926,1034,1964,48,55,103,68,84,147,17,19,35,11,4,16,17,12,30,0,0,6,0,0,0,1144,1267,2410,117,147,267,50,47,97,2750,3019,5772,465,497,962,7386,7911,15301
UCL213008,3977,4044,8020,931,1038,1970,35,49,89,1669,1785,3454,33,42,84,8,10,20,14,13,28,4,7,10,8,11,24,10,13,24,0,0,0,1790,1934,3725,153,203,356,44,43,93,2920,3220,6141,245,257,501,7139,7521,14658
UCL213009,3382,3633,7017,497,517,1019,30,37,66,1204,1305,2511,32,44,70,10,11,23,13,13,33,13,9,23,4,8,12,13,12,17,0,0,0,1317,1434,2749,68,87,155,35,29,71,1927,2066,3993,237,295,531,5540,6001,11542
UCL213010,4190,4337,8527,949,1156,2110,42,39,81,1096,1234,2335,50,52,99,14,10,23,10,7,24,10,10,16,6,5,18,0,5,4,0,0,0,1227,1368,2595,81,65,149,82,98,182,2347,2682,5034,703,703,1409,7242,7719,14960
