UCL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL201001,10279,15725,19858,17131,63435,86925,29034,72265,2415,317061,23438,57048,57640,51778,140971,174365,41910,78609,4607,630357,11462,23518,25266,17011,64219,77652,17886,27067,4346,268429,23595,60770,45474,26198,36522,25474,6132,9796,3597,237562,10915,37817,39977,25279,84659,62763,12378,16989,2465,293250,14264,62535,30366,12604,29343,23135,5639,9112,2218,189209,4785,13432,14862,9003,32462,29163,8514,14067,2599,128895,9692,45897,29404,13521,33925,24922,6051,9531,3181,176135,2278,4364,3617,2234,8512,7759,1465,3464,11538,45239,110713,321094,266467,174756,494055,512156,129008,240901,36970,2286127
UCL203001,193,322,342,310,1035,1295,499,1292,30,5324,561,1076,1264,1194,2420,2538,761,1288,64,11172,225,479,512,376,1606,2043,492,821,80,6636,622,1595,1301,931,1094,748,165,304,92,6847,281,833,932,631,1745,1017,258,255,40,5986,327,1659,780,355,710,495,147,174,54,4706,117,254,211,141,490,567,225,472,26,2511,336,1399,736,360,805,649,224,250,79,4841,68,70,49,38,118,114,23,68,184,731,2736,7690,6117,4341,10024,9475,2798,4928,650,48758
UCL203002,167,252,302,258,1028,1164,468,1106,30,4788,573,951,1166,1294,2419,2120,676,1116,40,10358,250,446,462,369,1492,1920,444,799,63,6249,559,1464,1230,859,1076,708,170,310,81,6450,223,769,848,590,1655,923,188,265,31,5493,300,1539,703,316,677,411,103,175,52,4276,133,249,191,140,555,548,223,645,42,2746,297,1499,745,461,1085,827,216,316,81,5531,53,66,49,34,132,115,21,77,187,729,2558,7239,5691,4320,10125,8744,2506,4812,617,46618
UCL203003,326,542,644,519,1923,2485,917,2237,60,9659,997,2062,2336,2131,4568,4686,1322,2297,116,20523,479,1073,960,662,2816,3721,954,1433,133,12234,1136,3106,2377,1443,1696,1410,355,524,158,12210,461,1373,1416,965,2776,1834,379,502,71,9768,602,2955,1289,546,1099,830,189,328,76,7918,224,587,536,340,1154,1331,421,787,90,5468,488,2685,1314,662,1347,1359,294,509,158,8820,91,149,92,71,283,255,43,124,387,1500,4804,14535,10967,7348,17660,17921,4883,8734,1257,88098
UCL211001,62,65,79,98,342,501,202,445,14,1808,141,233,333,363,771,635,236,305,28,3043,99,129,147,131,689,1002,254,351,28,2833,168,480,429,356,503,380,88,124,44,2575,88,263,305,224,609,380,93,98,18,2068,109,576,282,153,264,164,43,69,24,1687,70,95,93,96,285,350,122,287,38,1426,94,536,256,163,420,366,90,126,32,2084,14,27,17,17,50,54,21,28,88,316,853,2396,1942,1598,3926,3825,1139,1839,311,17840
UCL211002,90,140,151,125,627,674,191,436,29,2458,186,307,338,371,1121,1049,226,347,38,3993,164,293,321,230,1248,1417,302,463,101,4543,355,762,762,586,954,555,100,233,91,4398,186,359,477,277,1447,910,171,278,57,4173,232,924,466,205,481,272,73,101,40,2796,154,317,394,307,1088,1088,355,726,123,4551,213,785,474,305,787,606,153,226,96,3638,41,63,37,37,153,127,25,55,217,751,1625,3952,3423,2448,7912,6708,1598,2858,785,31303
UCL212001,39,39,58,45,226,296,101,273,11,1094,91,177,175,177,393,433,123,247,18,1827,82,102,122,86,390,572,171,278,34,1829,111,253,193,184,237,203,51,80,22,1329,58,173,205,145,414,347,59,95,20,1523,73,331,138,51,139,87,12,35,7,871,48,60,82,59,160,241,89,193,19,950,56,260,98,48,153,171,44,96,23,944,11,16,9,10,22,33,13,24,59,186,556,1407,1080,802,2142,2388,655,1312,218,10556
UCL212002,40,37,62,50,121,172,69,186,8,741,44,89,125,107,229,257,71,111,4,1039,47,57,65,60,253,270,55,140,18,964,99,212,174,119,142,97,32,35,13,922,21,85,95,67,183,99,20,28,13,609,43,203,114,49,119,59,11,23,11,645,21,27,37,19,75,90,30,81,8,379,52,191,118,68,142,107,44,56,18,798,12,10,6,4,13,12,0,8,32,92,390,908,787,544,1284,1167,329,665,116,6191
UCL212003,50,120,100,93,401,424,155,417,24,1790,122,195,251,276,751,681,182,323,20,2802,73,129,132,105,545,566,140,237,35,1958,169,341,350,259,453,246,64,102,40,2032,47,173,230,153,547,312,56,87,12,1614,86,489,263,122,298,151,41,57,26,1539,42,60,63,60,198,228,83,220,25,976,113,515,312,206,446,345,108,135,84,2265,19,39,23,22,54,38,13,24,122,362,718,2053,1727,1301,3700,2993,836,1601,393,15321
UCL212004,71,100,133,98,253,408,143,368,26,1599,200,388,458,341,485,599,168,354,37,3025,68,131,118,106,277,463,99,183,25,1461,166,341,246,124,139,152,41,62,17,1271,54,235,238,148,219,183,41,57,14,1196,76,311,121,50,102,102,28,38,9,837,12,31,34,17,47,58,23,45,0,268,51,238,84,45,60,80,16,37,12,630,18,18,8,6,21,27,8,12,29,149,707,1802,1436,947,1601,2065,566,1140,171,10444
