UCL_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,422,3333,3677,16566,2298,1038,578,139,27,28076,4,47,113,507,689,346,131,22,9,1879,252,2541,5544,24761,9619,7318,4367,1103,279,55788,8,64,134,2562,1516,2329,3359,1508,1126,12616,21,351,763,1936,1407,1223,530,143,27,6409,23,312,654,3415,2515,3626,3658,2746,1085,18030,199,1833,2525,5933,2484,1829,1382,419,112,16709,140,1263,2382,8656,5569,3634,2620,1285,394,25945,214,2386,5764,27457,10096,8329,6095,2741,964,64043,78,319,582,5766,1023,680,666,106,21,9241,156,1279,2450,9228,2147,906,388,109,21,16690,50,341,490,4530,4264,4111,2175,1227,261,17446,613,2335,2453,7369,2647,1962,1376,513,102,19367,270,2096,6606,28864,19595,17871,10127,2974,1266,89668,3,73,138,847,594,628,525,362,153,3325,17,127,585,2275,912,502,228,74,10,4725,1161,8539,14111,65766,28156,24673,20815,13677,6023,182916,9769,20856,22515,65352,22754,18789,16003,12483,7474,195998,268436,554271,564204,1435905,585234,489125,372835,220034,95489,4585537
UCL203001,0,17,16,120,13,4,0,0,0,180,0,0,4,11,21,6,0,0,0,43,4,50,69,308,84,55,40,10,0,622,0,0,0,17,7,13,7,5,4,55,0,0,0,4,0,5,0,4,0,18,0,8,10,42,34,59,94,86,19,350,0,10,12,20,20,6,5,0,0,72,5,18,22,83,40,41,24,7,0,255,0,11,19,149,30,12,8,0,3,236,0,4,3,35,11,3,0,0,0,54,0,13,23,63,37,13,3,0,0,151,0,0,0,4,4,0,3,0,0,24,0,35,32,91,45,43,36,16,0,291,0,5,26,85,24,14,11,4,0,158,0,4,0,11,9,13,16,12,4,68,0,4,5,33,16,3,3,6,0,73,13,63,103,372,151,144,144,99,44,1137,254,589,667,1340,598,574,570,476,270,5338,6125,13376,13189,27873,12584,12102,10924,6377,2790,105348
UCL203002,0,9,12,82,15,0,0,0,0,116,0,0,3,12,26,8,0,0,0,54,3,39,69,319,101,62,34,10,0,634,0,0,0,8,4,3,8,4,0,30,0,0,0,8,0,0,0,0,0,5,0,0,5,25,22,55,69,55,19,249,0,3,5,18,8,7,10,0,0,47,5,16,33,79,54,28,16,14,4,246,3,21,29,115,36,25,14,8,3,258,0,3,3,47,3,0,0,0,0,62,9,186,306,206,15,16,0,0,0,742,0,0,0,6,6,4,3,0,0,14,5,16,19,47,30,22,22,7,0,167,0,8,8,72,20,16,4,0,0,131,0,0,0,9,9,13,11,5,3,47,0,3,5,31,13,5,4,0,0,62,17,58,68,229,96,89,90,67,17,726,258,572,543,1344,584,607,516,431,244,5092,6050,12855,12190,26096,11773,11857,10787,6256,2780,100649
UCL203003,16,90,144,420,39,9,9,3,0,737,0,5,4,17,37,15,0,0,0,76,13,66,144,700,240,157,108,24,4,1455,0,0,0,48,34,47,90,39,47,313,0,0,0,16,3,4,0,0,0,18,0,20,19,129,104,187,216,173,53,900,0,21,32,69,32,32,39,3,4,231,5,40,74,207,109,85,67,24,9,628,7,32,122,441,61,35,51,14,5,759,0,5,4,63,0,3,0,0,0,79,5,150,215,217,64,30,7,0,0,683,0,5,3,29,35,24,16,21,0,135,9,40,57,217,81,61,50,21,0,538,3,15,74,228,84,62,28,12,7,506,0,0,10,27,32,38,39,28,7,182,0,0,29,79,30,18,13,5,0,170,27,227,318,1086,443,571,586,550,246,4044,362,909,1150,2490,1033,887,854,656,290,8627,10749,20967,23401,51923,21426,19990,17033,10156,4583,180239
UCL211001,0,0,0,14,0,0,0,0,0,21,0,0,0,6,9,0,0,0,0,22,3,33,30,122,42,24,21,4,0,274,0,0,0,0,5,4,6,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,30,31,32,5,121,0,0,0,3,9,0,0,0,0,18,0,3,22,23,14,16,7,4,0,82,0,3,3,33,20,0,4,3,0,57,0,4,0,16,0,0,0,0,0,16,0,6,4,10,12,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,5,4,8,23,9,11,10,0,0,71,5,41,23,102,10,5,3,0,0,187,0,0,0,3,6,7,5,5,0,29,0,6,12,14,10,0,0,0,0,40,11,102,132,197,117,84,102,94,39,881,93,272,218,515,223,210,207,146,59,1937,2363,5147,4657,9940,4553,4453,3985,2082,671,37839
UCL211002,16,109,58,462,55,28,17,0,0,742,0,0,0,4,9,5,0,4,0,16,7,138,288,862,365,196,93,17,6,1982,0,0,0,28,13,25,37,6,7,113,4,75,98,217,141,80,44,11,0,671,0,6,6,34,17,83,78,48,15,286,0,16,16,30,23,12,5,0,0,99,0,7,22,62,19,19,5,8,6,146,6,31,39,264,90,35,32,5,5,513,3,4,0,16,10,3,4,0,0,37,4,35,64,106,35,3,0,0,0,245,0,0,7,34,32,20,9,12,0,118,9,23,19,48,24,5,14,4,0,136,0,19,17,324,102,66,25,4,6,568,0,0,8,8,6,14,3,3,0,46,0,6,13,52,18,9,3,0,0,105,32,284,600,1634,615,424,313,158,44,4107,383,927,629,1647,553,412,277,174,51,5054,7001,12387,9096,25167,8198,6435,5308,2153,591,76346
UCL212001,0,6,0,24,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,0,7,4,46,27,18,4,4,0,105,0,0,3,6,10,3,7,3,0,29,0,4,0,5,0,8,0,0,0,21,0,0,3,17,14,29,38,26,7,148,0,10,0,4,10,0,0,4,0,26,0,0,7,27,15,7,13,0,3,72,0,5,4,32,9,4,7,0,0,60,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,5,0,6,8,22,6,10,8,3,0,65,0,0,0,23,4,9,10,0,0,44,0,0,0,9,4,3,8,8,4,29,0,0,7,23,3,10,0,0,0,36,6,8,11,93,68,60,62,43,13,360,51,110,78,225,101,96,107,77,28,864,1506,3024,2383,6261,2657,2301,2073,1080,404,21692
UCL212002,0,4,0,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,14,18,54,24,10,5,0,0,128,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,11,13,0,44,0,0,0,0,0,0,0,0,0,3,0,3,0,13,3,3,0,0,0,26,4,3,0,46,0,3,0,0,0,66,0,0,0,3,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,0,0,0,15,0,0,0,15,3,6,0,0,0,25,0,0,0,3,0,0,0,0,0,10,0,0,0,0,5,3,0,0,0,10,0,4,0,25,9,9,10,13,6,81,37,83,65,188,115,111,119,110,71,898,703,1586,1508,2993,1686,1863,1762,1150,512,13764
UCL212003,0,16,15,23,0,4,0,0,0,48,0,0,0,0,5,0,0,0,0,7,7,19,28,159,40,24,17,4,0,301,0,0,0,0,0,5,0,0,3,11,0,0,0,11,10,9,5,0,0,33,0,0,3,7,12,17,14,20,5,80,0,0,5,8,0,0,0,0,0,13,0,10,19,31,20,10,3,0,0,88,4,6,0,36,14,8,4,3,0,68,5,0,6,88,3,0,0,0,0,105,0,12,13,73,20,10,3,0,0,129,0,4,4,40,56,59,38,27,5,229,0,3,0,14,8,4,3,4,0,39,0,19,26,124,46,71,31,7,0,319,0,0,0,3,0,0,4,4,0,16,0,3,0,15,5,0,0,0,0,25,8,46,51,232,92,79,73,41,25,644,126,327,306,714,305,308,282,201,115,2699,2118,4358,4171,9509,4211,4210,3740,2323,1016,35652
UCL212004,0,0,0,0,0,0,0,0,0,6,0,0,0,3,10,3,4,0,0,25,0,3,0,9,5,7,3,0,0,24,0,0,0,5,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,10,0,13,18,26,25,25,7,110,3,4,0,3,3,0,0,0,0,15,0,5,0,28,16,12,4,5,0,71,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,7,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,8,8,30,13,18,14,0,0,89,0,0,0,3,3,5,0,0,0,14,0,8,0,4,11,9,8,0,0,41,0,0,0,3,5,0,0,0,0,10,0,7,10,57,34,32,30,18,10,201,23,117,88,205,153,174,195,113,44,1114,1163,3258,2021,4762,2950,2930,3066,1374,519,22035
