UCL_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
UCL201001,3429,917,1164,71,928,428,800,3603,170,11526,825,1202,523,14,340,28,649,132,70,3774,29766,20132,30948,1879,15406,8185,21150,27076,2013,156556,4741,6538,2422,47,4297,1084,2814,1230,506,23666,28265,12716,98189,397,18898,2800,10111,28208,3000,202578,17263,12129,4294,249,11965,9378,9576,3397,786,69030,36697,17274,10550,1771,14120,106338,11106,15579,1618,215049,23167,2208,21932,39501,4040,18831,2254,27722,975,140638,11995,9138,3923,2319,21764,4168,49131,4672,1715,108830,7916,19173,5021,282,5205,2961,478,511,541,42097,18622,46261,1169,715,38435,3277,175,211,1995,110864,5952,5334,1090,385,6314,15149,846,956,645,36675,33892,138026,15941,739,30082,3240,758,1405,2193,226276,9355,11600,6617,4656,9469,1414,3083,27553,917,74683,18331,33850,5679,28137,28709,499,905,5109,2290,123509,17177,122337,4713,35498,17238,465,314,1846,1237,200824,18264,135293,10181,91683,41321,1748,1926,8814,2149,311384,7807,10676,3034,11443,3855,1650,278,1854,731,41323,8449,8940,29469,13491,8173,1534,1033,5362,767,77220,15151,16605,11562,4278,12687,6042,11495,10891,20909,109617
UCL203001,207,49,75,9,47,23,44,156,10,608,49,76,77,8,15,4,110,20,5,358,554,288,865,59,266,210,431,811,36,3516,83,76,117,0,92,4,74,36,6,494,507,126,2411,3,369,60,343,608,49,4477,157,74,85,6,116,247,124,76,7,886,755,204,291,50,277,2767,171,467,21,5006,574,32,443,929,85,599,81,888,8,3634,126,61,74,19,351,124,786,71,14,1627,83,212,89,9,205,56,11,18,10,689,134,288,6,9,347,45,0,0,12,847,68,56,25,11,119,276,8,18,11,591,264,1438,326,12,512,31,11,14,22,2623,101,140,169,136,179,20,27,586,4,1363,400,629,144,810,947,14,56,116,48,3155,382,3139,135,1046,463,12,12,113,27,5327,446,3830,283,3111,1238,46,58,348,59,9422,145,156,101,212,77,49,5,127,17,903,139,132,691,317,134,43,37,155,6,1656,151,154,230,98,149,86,128,204,367,1571
UCL203002,226,38,84,5,37,17,68,242,6,725,63,129,187,12,31,3,345,70,9,851,504,244,845,56,259,219,431,1287,48,3891,90,89,124,0,150,4,79,38,10,581,502,88,2214,15,385,70,289,620,50,4231,125,72,55,0,116,189,153,65,3,779,665,189,283,57,212,2585,178,477,17,4661,446,16,383,832,89,531,119,939,18,3364,129,44,56,15,307,87,732,65,18,1449,69,144,78,3,72,61,0,5,8,456,231,602,28,7,706,29,0,7,25,1633,56,40,23,6,77,234,8,17,9,467,189,978,287,12,443,19,10,24,24,1977,75,140,130,121,129,11,14,708,13,1339,321,659,119,864,652,11,92,154,45,2911,233,2496,84,916,323,4,5,48,21,4127,427,4000,258,2967,1109,60,61,327,56,9261,131,103,60,224,54,26,3,51,4,661,146,172,770,243,174,29,18,146,9,1704,153,114,191,94,153,90,137,249,352,1546
UCL203003,206,47,79,6,40,18,53,257,17,724,29,32,29,0,13,0,67,10,4,191,823,537,1317,127,374,288,794,1152,69,5490,142,205,183,12,240,43,172,79,20,1098,979,355,5042,15,684,134,650,1366,123,9343,374,271,281,3,243,324,437,200,15,2149,1431,579,512,97,501,4953,665,864,55,9657,878,42,872,1800,146,888,119,1522,36,6306,312,191,158,62,544,135,1714,188,34,3350,149,317,127,8,99,105,14,8,3,822,427,915,38,25,1025,72,12,14,46,2568,136,124,40,15,185,444,25,38,17,1020,637,2800,582,26,997,68,23,45,46,5221,201,276,272,166,240,40,92,1203,23,2507,618,1263,217,1790,1143,17,50,223,83,5410,642,5361,236,1588,754,14,37,141,47,8813,823,6335,478,5391,1892,64,85,732,126,15929,263,271,112,395,112,61,10,101,34,1360,238,244,1278,510,240,59,46,258,22,2891,351,368,374,180,299,187,396,401,685,3239
UCL211001,49,13,17,0,18,8,21,38,7,177,4,4,9,0,0,0,12,0,0,25,274,119,399,25,111,52,250,524,29,1793,16,13,31,0,15,4,31,3,0,119,154,36,904,0,159,40,144,251,20,1716,64,32,50,3,55,71,68,34,3,375,254,41,117,16,115,1062,192,195,12,2003,148,7,127,258,23,207,46,284,4,1101,79,28,40,14,138,27,488,15,5,840,17,34,19,0,10,21,0,0,0,111,24,74,3,0,151,14,0,0,0,273,6,9,6,0,41,78,6,6,5,155,47,273,103,6,144,15,4,7,10,603,30,61,42,47,50,5,15,297,9,549,262,300,343,408,407,11,55,70,36,1892,110,836,46,371,137,0,5,19,7,1532,165,1046,104,1226,352,10,11,157,18,3091,25,22,18,35,17,18,0,13,4,149,30,39,355,102,66,10,17,65,4,686,42,56,98,55,57,30,68,90,156,651
UCL211002,30,8,24,0,20,9,29,53,3,178,9,8,10,0,9,0,45,6,0,90,229,123,539,20,229,81,463,497,49,2225,29,34,51,5,76,15,110,62,9,408,219,89,1706,7,297,40,410,752,52,3574,101,73,113,8,176,134,252,65,10,932,407,79,198,28,213,1672,379,326,27,3333,267,17,219,305,27,395,61,453,12,1758,234,87,135,45,755,82,2144,152,51,3679,46,106,60,3,53,25,0,9,7,307,66,262,13,14,474,37,3,3,23,891,54,14,32,7,72,140,58,38,8,418,115,564,186,4,271,15,10,21,22,1208,74,116,95,105,150,16,126,487,15,1190,131,240,74,741,381,10,24,122,32,1755,100,959,71,768,201,0,4,47,21,2178,153,1002,147,1952,440,19,35,132,27,3909,40,45,42,132,43,13,5,59,9,383,61,68,608,164,99,21,21,114,7,1168,98,100,224,94,169,72,350,237,368,1717
UCL212001,35,12,15,0,15,4,12,30,0,126,7,7,14,0,3,0,36,4,0,66,110,42,177,4,68,47,77,66,5,599,23,14,25,0,28,5,31,20,3,151,125,33,791,5,140,9,163,263,23,1547,57,21,28,0,40,49,44,19,0,257,137,29,60,7,63,482,69,81,5,927,51,4,71,121,18,129,17,125,3,540,89,38,58,15,183,25,373,36,4,827,11,48,23,0,16,7,4,0,0,114,40,67,3,3,133,10,0,0,6,257,14,6,17,0,33,54,6,0,0,143,62,264,85,0,117,10,4,9,6,548,18,28,25,17,33,9,17,115,4,271,95,138,45,333,181,0,9,29,3,837,58,603,34,246,113,0,3,21,6,1082,65,391,41,435,228,4,9,34,8,1217,27,24,18,51,17,5,0,19,0,156,26,29,235,76,35,4,10,21,0,440,42,47,65,14,51,16,65,48,94,450
UCL212002,65,4,17,0,10,11,18,40,5,169,0,0,5,0,0,0,5,0,0,16,88,41,157,11,42,46,65,138,4,599,4,4,13,0,9,0,11,13,0,56,95,21,304,0,68,12,66,102,8,674,21,17,17,0,12,28,21,14,0,128,88,25,47,4,32,401,29,74,0,708,112,4,111,133,31,61,13,150,4,617,23,6,6,3,24,10,99,14,0,184,8,10,0,0,3,4,0,0,0,22,9,36,0,3,40,3,0,0,0,87,18,3,0,0,11,32,0,8,0,72,15,111,25,0,53,4,0,0,4,221,10,22,16,16,14,0,3,85,0,167,41,61,18,73,49,5,6,16,3,268,24,282,5,116,19,0,0,10,0,470,64,372,35,466,116,8,0,64,10,1129,18,11,23,41,10,0,0,21,4,130,27,13,120,43,24,8,6,30,0,276,18,6,32,9,24,18,28,20,53,208
UCL212003,323,48,71,0,51,16,89,593,25,1228,6,8,36,0,7,0,60,12,0,133,135,69,206,10,71,39,94,196,16,839,32,26,50,0,33,0,28,18,5,198,130,19,606,0,98,10,85,146,13,1102,70,36,42,5,79,68,71,50,4,416,255,48,99,13,60,1012,47,199,6,1739,199,4,178,246,47,153,35,296,9,1167,40,20,22,25,112,33,318,27,7,609,14,31,24,0,9,16,7,9,0,105,35,57,4,0,107,5,0,3,6,222,15,11,12,3,37,81,0,15,0,173,60,292,71,0,142,16,6,17,3,604,35,68,55,43,67,7,26,331,9,642,80,197,55,271,170,5,30,46,7,859,97,783,15,297,88,0,7,22,9,1326,153,978,79,939,318,9,13,88,16,2599,21,29,17,36,7,17,0,12,0,137,36,26,235,108,45,17,3,50,6,521,57,48,82,30,49,35,61,138,196,706
UCL212004,32,10,19,0,9,0,3,10,0,88,3,3,11,0,3,0,3,6,0,23,106,66,107,17,34,63,23,45,3,456,23,16,18,0,19,0,3,6,0,89,204,42,701,0,114,16,43,123,16,1262,71,32,19,0,25,38,22,9,4,223,153,62,55,14,34,461,39,69,0,877,133,7,82,225,23,83,9,153,3,716,55,32,16,19,44,19,74,16,0,280,28,44,15,0,8,10,0,0,3,102,77,150,4,0,108,12,0,0,8,353,29,19,3,3,31,69,4,3,0,167,134,467,70,0,161,14,0,5,14,858,31,49,47,23,30,3,8,89,3,279,128,174,35,230,152,0,0,21,14,756,135,820,18,197,88,3,0,9,3,1281,119,916,42,413,226,11,11,21,13,1761,42,55,27,37,22,8,0,11,0,208,43,28,123,72,25,3,0,12,3,313,60,49,37,22,35,22,22,29,61,329
