UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL201001,57030,40617,54467,45951,39935,31762,22863,15296,9177,317085,822705,564204,745220,690688,585234,489125,372835,220034,95489,4585537
UCL203001,1694,1156,1128,909,1017,837,708,474,283,8219,19502,13189,14830,13043,12584,12102,10924,6377,2790,105348
UCL203002,1700,1031,1090,933,921,913,687,519,387,8184,18905,12190,13806,12295,11773,11857,10787,6256,2780,100649
UCL203003,2496,1995,1997,1646,1586,1375,1113,680,363,13239,31722,23401,28627,23294,21426,19990,17033,10156,4583,180239
UCL211001,689,418,393,366,340,319,253,143,64,2985,7509,4657,5187,4754,4553,4453,3985,2082,671,37839
UCL211002,2075,945,1182,1101,789,541,376,173,53,7227,19391,9096,13038,12129,8198,6435,5308,2153,591,76346
UCL212001,370,177,216,198,188,155,130,68,21,1529,4527,2383,3250,3016,2657,2301,2073,1080,404,21692
UCL212002,217,134,147,117,163,152,155,112,106,1302,2293,1508,1603,1393,1686,1863,1762,1150,512,13764
UCL212003,773,462,512,454,428,380,324,214,159,3704,6475,4171,5296,4211,4211,4210,3740,2323,1016,35652
UCL212004,268,141,109,187,161,198,226,129,56,1473,4417,2021,1822,2938,2950,2930,3066,1374,519,22035
UCL212005,1083,673,689,628,536,513,374,295,141,4928,9956,5941,6919,6112,5847,5642,4933,3148,1352,49862
UCL212006,548,335,377,336,350,288,151,102,53,2531,7247,4601,5422,5140,5187,4733,3411,1625,644,38010
UCL212007,338,189,154,237,256,172,192,94,80,1710,5085,2247,2322,3697,3264,2501,2385,1085,414,22998
UCL212008,480,288,301,285,270,297,228,216,172,2549,5102,3114,3855,3448,3183,3437,2998,1775,725,27628
UCL212009,579,369,312,394,352,296,245,205,128,2877,5656,3661,4254,3901,4076,4252,3790,2258,1045,32894
UCL213001,251,138,146,107,145,151,156,132,124,1352,2328,1444,1623,1361,1499,1704,1869,1367,543,13734
UCL213002,119,113,261,226,199,135,125,122,120,1418,1493,797,992,1284,1421,1475,1630,1005,465,10577
UCL213003,185,118,125,100,125,114,123,83,36,1017,2092,1343,1621,1364,1425,1499,1488,1033,492,12348
UCL213004,292,129,145,140,127,126,110,73,23,1174,3007,1528,2055,1665,1613,1723,1738,1060,372,14764
UCL213005,218,125,98,124,89,101,126,101,44,1026,2842,1580,1723,1898,1866,2185,2383,1296,424,16199
UCL213006,145,91,48,113,91,63,49,32,6,645,2610,1252,923,1694,1607,1212,900,578,223,10999
UCL213007,266,197,189,144,115,133,115,91,56,1302,3011,1859,2194,1835,1780,2018,1797,1213,576,16289
UCL213008,219,113,122,110,123,86,101,34,27,940,3283,1791,2373,2242,2085,1576,1464,701,262,15772
UCL213009,169,74,100,73,99,78,70,55,16,739,2286,1381,1554,1552,1567,1495,1316,864,301,12319
UCL213010,353,189,196,178,206,206,173,98,49,1648,2507,1657,2005,1614,1838,2170,2157,1258,554,15758
UCL213011,428,230,256,244,242,197,155,111,115,1982,2446,1587,1741,1476,1728,1898,1691,1021,467,14068
UCL213012,191,105,98,133,116,116,119,65,23,964,1653,1093,1015,1119,1345,1608,1497,779,334,10450
UCL213013,203,162,157,150,169,118,124,70,67,1227,2545,1525,1783,1639,1701,1721,1678,1047,460,14100
UCL213014,261,121,152,113,87,118,95,60,39,1048,2072,1214,1619,1297,1092,1270,1086,803,417,10869
UCL213015,338,156,185,183,121,97,61,33,5,1188,3639,1752,2501,2278,1780,1486,902,343,75,14741
UCL213016,324,178,188,164,186,189,167,133,87,1620,3405,2144,2268,2206,2357,2454,2383,1698,793,19712
UCL213017,291,153,212,161,167,132,131,101,51,1406,3523,2097,2630,2241,2247,2245,2183,1403,563,19134
UCL213018,108,67,70,81,65,82,120,107,46,738,1339,728,752,779,919,1141,1520,1003,390,8580
UCL214001,103,68,81,56,64,72,70,42,23,572,1104,782,928,687,783,943,929,579,282,7015
UCL214002,129,43,55,77,61,28,26,17,8,444,1567,671,787,949,810,513,505,264,114,6178
UCL214003,204,109,113,103,121,126,106,112,66,1060,1357,937,1031,900,1054,1417,1491,1045,505,9742
UCL214004,107,61,64,62,47,49,76,44,28,522,870,521,622,588,599,648,763,548,237,5389
UCL214005,21,5,9,10,15,5,7,5,3,81,158,89,87,105,146,141,170,80,27,1004
UCL214006,80,22,37,58,77,95,117,73,46,597,942,427,531,635,758,1086,1377,751,297,6797
UCL214007,69,31,82,48,34,34,14,7,0,327,1088,463,1266,852,496,467,274,94,16,5011
UCL214008,144,89,84,83,67,80,83,86,51,780,1587,1063,1093,957,1052,1257,1273,876,417,9577
UCL214009,104,84,87,76,73,126,71,48,16,687,1440,853,958,998,1105,1278,1069,700,291,8698
UCL214010,71,34,19,35,44,49,63,54,31,398,934,432,419,611,611,898,1203,690,235,6046
UCL214011,147,91,75,87,91,82,59,46,27,710,1702,1057,1095,1033,1134,977,924,627,239,8786
UCL214012,99,45,49,53,51,54,62,47,27,474,1004,627,625,593,675,775,797,598,312,6010
UCL214013,64,31,36,39,44,47,34,35,21,356,844,456,505,637,737,614,632,468,268,5151
