UCL_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
UCL201001,126,990,3617,17649,11148,9088,5447,1600,767,50431,4,35,64,376,257,300,256,186,86,1568,9,68,313,1248,432,231,119,39,3,2466,588,4176,7229,34847,14557,12666,10939,7269,3601,95861,4786,10115,10631,31502,10847,9079,8366,6795,4601,96724,130496,269664,275116,724258,300286,252467,198500,120121,58840,2329751,125,1670,3874,11991,3253,1612,650,189,47,23407,249073,456048,390627,702743,329025,257877,175606,94687,40930,2696611,42,574,808,5592,1183,557,319,46,6,9125,6,35,142,2777,1373,1964,1142,624,162,8227,33,201,345,3752,579,262,116,41,6,5342,57,393,1532,5744,3172,2624,1789,655,193,16159,122,529,546,3683,1512,932,503,204,47,8074,21,124,168,2245,1558,1350,1265,724,118,7569,584,7234,20361,73538,22107,21086,13244,4705,2294,165138,8,25,60,1397,1244,2678,3010,2915,959,12297,55,650,1033,2951,1201,2000,2590,1810,694,12976,574,5086,7298,26887,19570,22679,19355,14748,5791,121993,19,185,589,4105,2281,2002,1110,447,118,10847,45,282,444,3376,988,692,579,282,160,6863
UCL203001,0,0,17,60,7,4,3,4,0,105,0,0,0,4,3,10,8,8,0,33,0,0,3,22,8,0,3,3,0,41,5,35,50,203,82,69,77,48,28,605,133,247,336,688,292,280,287,275,168,2710,3054,6469,6612,14382,6641,6448,5957,3538,1807,54908,0,0,4,13,4,3,0,0,0,18,5801,12171,11438,22141,10479,10140,8647,4816,2108,87755,0,8,12,57,15,0,3,0,0,93,0,0,0,3,0,3,0,0,0,15,0,3,0,26,5,0,0,0,0,42,0,5,3,7,0,0,0,0,0,16,0,7,3,48,20,26,19,4,0,130,0,3,0,5,3,10,0,6,0,27,0,39,63,349,83,68,56,11,0,672,0,0,0,4,12,17,32,36,14,115,0,0,11,10,8,3,5,7,0,47,11,116,88,330,277,396,545,369,140,2268,0,5,6,19,13,13,6,3,0,67,0,4,10,21,4,8,11,3,0,60
UCL203002,0,4,8,51,15,8,0,0,0,87,0,0,0,3,4,4,5,3,0,21,0,3,5,18,3,0,0,0,0,32,6,32,34,130,57,38,46,35,8,391,141,255,278,677,289,303,266,241,144,2599,3013,6187,6167,13626,6195,6383,5740,3398,1714,52426,0,8,17,48,9,7,0,0,0,86,5707,11624,10588,21000,9880,10059,9124,5080,2300,85353,0,7,7,39,6,9,0,0,0,64,0,0,0,0,0,3,0,0,0,3,0,5,0,28,3,0,0,0,0,37,0,3,3,9,4,0,0,0,0,18,4,9,7,36,16,7,4,7,0,96,0,0,0,5,0,0,0,0,0,6,0,10,31,180,49,38,22,6,0,341,0,0,0,4,0,10,9,15,3,41,3,7,9,35,4,11,8,3,0,80,0,44,56,176,227,345,364,274,102,1585,0,0,9,16,7,6,0,0,0,47,0,0,5,20,7,4,14,3,0,46
UCL203003,3,6,36,137,43,32,12,5,3,277,0,0,5,10,12,24,22,13,6,92,0,0,7,32,14,12,3,0,0,74,11,106,164,585,253,318,299,294,146,2178,179,442,542,1216,512,417,459,375,172,4300,5213,10240,11585,26396,11140,10613,9185,5689,2885,92940,0,49,123,277,88,28,9,3,0,580,10184,18368,18988,37110,16535,14940,11654,6236,2810,136818,0,9,15,105,20,8,0,0,0,154,0,0,4,116,59,120,66,55,10,434,0,5,9,69,7,5,3,0,0,101,0,0,4,21,7,13,7,3,0,57,9,20,27,129,48,30,17,4,4,291,0,0,0,23,16,5,8,3,0,51,8,101,176,688,179,150,110,52,12,1467,0,8,6,96,99,221,273,303,127,1133,8,29,17,60,6,18,15,8,0,163,20,178,271,786,651,1003,947,710,310,4869,0,4,8,62,20,13,12,0,0,125,3,6,8,60,19,22,11,3,8,148
UCL211001,6,19,7,55,5,0,3,0,0,92,0,0,0,0,3,4,0,0,0,14,0,0,9,12,6,0,0,0,0,17,5,53,58,111,61,40,53,51,23,444,42,135,99,250,114,91,98,76,39,954,1211,2539,2144,5122,2361,2355,2096,1150,407,19388,0,0,0,3,0,0,0,0,0,6,2240,4530,4061,8096,3739,3709,3097,1466,458,31399,0,0,0,15,3,0,0,0,0,23,0,0,0,0,0,0,4,8,0,19,0,0,0,6,0,0,0,0,0,9,0,4,0,11,0,0,0,0,0,19,0,0,0,11,8,3,6,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,3,38,13,17,9,0,0,77,0,0,0,0,3,23,17,36,17,106,0,4,0,9,0,0,4,0,0,18,3,27,23,96,96,141,155,114,25,681,0,0,0,6,13,4,0,3,0,27,0,0,3,4,0,6,3,0,0,20
UCL211002,0,9,10,214,62,28,16,0,6,346,0,0,0,3,4,3,4,4,0,23,0,0,9,28,8,6,0,0,0,48,17,125,299,874,321,221,147,87,30,2122,173,467,311,851,272,198,146,91,30,2539,3440,6175,4483,12937,4120,3365,2807,1097,371,38794,0,10,13,52,9,3,0,0,0,86,6419,9663,5975,12137,4652,3562,2839,962,290,46509,0,55,27,305,52,12,0,0,0,462,0,0,6,76,39,45,17,7,0,190,0,0,0,16,5,3,0,0,0,26,0,0,0,22,9,3,0,0,0,35,0,4,0,22,10,10,0,0,0,49,0,0,7,37,30,20,33,18,0,152,0,6,18,111,53,42,28,3,4,257,0,0,3,23,25,50,45,28,4,183,0,16,45,41,17,17,38,13,3,190,4,11,32,144,171,364,349,225,75,1374,6,13,26,162,63,42,4,0,0,317,0,0,0,15,3,13,10,0,0,37
UCL212001,0,0,0,13,4,3,7,0,0,28,0,0,0,3,0,3,3,5,0,12,0,0,3,12,0,6,0,0,0,24,0,4,4,38,37,34,37,21,7,184,26,54,42,109,41,54,54,47,17,447,729,1435,1194,3206,1373,1237,1097,616,277,11169,0,0,0,3,0,0,0,0,0,0,1431,2774,2118,4836,2097,1710,1438,692,259,17365,0,0,0,15,0,0,0,0,0,25,0,0,0,4,0,5,0,0,0,9,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,10,0,0,0,22,0,0,4,7,10,4,0,0,0,25,0,0,5,16,5,12,3,4,0,42,0,0,0,7,7,9,6,10,0,29,0,0,0,0,0,0,0,0,3,5,0,18,24,83,101,167,143,114,48,684,0,0,0,13,6,0,0,0,0,24,0,0,0,0,0,4,0,0,0,5
UCL212002,0,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,14,0,3,9,5,0,42,17,37,31,90,52,59,55,65,52,458,351,773,753,1567,884,1000,943,612,322,7203,0,0,0,0,0,0,0,0,0,0,656,1424,1390,2378,1455,1598,1459,899,398,11665,0,0,0,3,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,5,0,0,25,0,0,0,3,0,0,0,0,0,6,0,3,0,9,0,0,0,0,0,12,0,3,4,20,19,43,70,70,23,247,0,0,0,4,0,0,0,0,0,5,0,0,0,9,6,0,0,3,0,14
UCL212003,0,11,12,67,23,33,14,3,0,171,0,0,0,4,0,0,4,6,0,12,0,0,0,5,0,0,0,0,0,12,0,28,21,102,52,39,35,20,18,311,62,154,141,369,144,145,147,99,70,1328,1050,2148,2029,4934,2235,2206,2000,1273,645,18526,0,19,61,96,30,36,10,3,0,260,1950,3708,3363,6279,3138,3229,2885,1679,708,26940,0,0,5,17,3,0,0,0,0,26,0,0,0,5,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,3,3,16,5,9,6,0,0,42,0,0,0,11,8,6,4,0,0,27,0,0,0,6,0,0,0,0,0,9,0,3,22,113,31,20,13,0,0,203,0,0,0,0,0,4,15,20,18,55,0,0,0,10,3,0,0,5,0,23,0,11,8,69,60,100,101,81,23,460,0,4,3,32,15,4,8,0,0,60,0,0,0,4,0,3,3,4,0,16
UCL212004,0,0,0,3,3,3,0,0,0,10,0,6,0,0,3,5,3,0,0,18,0,0,0,4,0,0,0,0,0,6,0,5,4,24,25,21,17,14,10,104,12,58,44,105,80,93,100,50,28,578,581,1600,990,2527,1593,1619,1613,727,315,11553,0,0,0,0,0,0,0,0,0,0,1124,3021,1851,4043,2401,2359,2377,980,352,18505,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,19,11,5,0,0,0,42,0,0,0,6,4,0,0,0,0,10,0,0,10,11,6,0,0,0,0,32,0,0,0,0,5,3,9,0,0,16,0,0,0,0,0,4,3,4,3,9,3,48,30,127,127,189,203,142,54,928,0,0,0,5,0,0,0,0,0,9,0,0,0,9,8,0,0,0,0,24
