UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL221065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,16,0,8,32,33,61,95,99,64,41,431
UCL221066,0,0,0,3,0,7,3,8,0,16,0,0,0,0,3,0,0,0,0,6,9,6,7,0,11,7,7,3,0,53,23,49,86,94,90,90,82,30,0,546
UCL221067,0,0,3,0,5,8,11,11,6,33,0,0,0,0,0,0,0,0,0,0,4,0,3,5,5,0,6,0,0,31,13,34,73,70,70,73,68,12,5,426
UCL221068,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,4,0,0,0,26,10,23,67,86,60,73,58,15,4,391
UCL221069,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,6,9,3,15,8,12,10,6,0,74,16,42,100,119,139,187,108,47,6,763
UCL221070,0,0,0,0,0,6,18,14,22,61,0,0,0,0,0,0,0,0,3,5,0,0,7,3,3,6,9,12,22,72,19,44,105,97,108,144,143,96,79,828
UCL221071,0,0,4,0,0,0,6,22,7,40,0,0,0,0,0,0,0,0,0,0,0,6,4,12,6,7,9,7,13,65,21,39,71,75,97,124,108,91,41,662
UCL221072,0,0,0,0,0,0,3,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,6,10,0,0,34,10,28,83,63,38,87,73,15,0,391
UCL221073,0,0,0,0,0,6,6,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,9,16,32,45,62,79,73,51,11,0,367
UCL221074,0,0,0,3,0,0,10,8,9,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,12,17,23,76,13,17,49,67,98,164,166,100,38,707
