UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL222073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,0,0,21,0,16,34,34,25,37,26,7,6,184
UCL222074,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,3,5,0,5,3,5,0,0,4,24,6,14,17,18,42,28,23,14,4,168
UCL222075,0,0,0,0,6,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,9,0,4,6,8,0,8,4,0,36,19,18,50,50,81,65,50,26,7,366
UCL222076,5,0,0,5,5,11,7,4,5,30,0,0,0,0,0,0,0,0,0,0,4,0,3,12,5,11,13,4,4,53,10,19,40,60,65,72,63,34,21,374
UCL222077,0,0,0,0,0,5,10,10,10,37,0,6,0,0,0,0,0,0,0,0,3,0,10,4,0,5,8,9,18,50,10,12,43,53,40,78,98,49,36,409
UCL222078,0,0,0,0,3,3,0,9,7,19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,12,10,17,32,20,42,41,38,26,7,225
UCL222079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,6,0,0,11,9,17,27,53,73,82,60,29,7,360
UCL222080,0,0,0,0,0,7,3,3,6,19,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,10,8,5,4,35,6,12,33,28,35,68,63,40,17,304
UCL222081,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,4,0,21,8,8,18,19,33,53,57,27,6,222
UCL222082,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,3,7,0,0,29,10,9,12,41,48,34,25,10,0,192
UCL222083,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,11,25,44,16,34,23,9,6,171
UCL222084,0,0,0,4,0,4,3,15,11,38,0,0,0,0,0,0,0,0,0,3,5,3,0,9,9,11,8,3,4,51,3,16,26,56,62,94,64,42,26,389
UCL222085,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,8,31,34,37,79,45,23,7,262
UCL222086,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,7,4,0,3,5,0,3,0,0,26,13,28,31,46,51,56,63,16,3,303
UCL222087,0,0,7,0,4,9,5,12,4,39,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,3,16,4,0,36,9,18,53,51,54,76,68,46,17,391
UCL222088,0,0,0,0,0,4,6,7,5,26,0,0,0,0,0,0,0,0,0,5,3,0,0,3,6,8,5,9,0,25,4,11,8,18,34,67,66,21,13,248
UCL222089,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,7,8,18,13,36,44,26,9,9,167
UCL222090,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,5,7,8,5,5,0,33,3,6,20,34,30,48,27,8,4,186
UCL222091,0,0,0,0,0,0,6,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,3,3,0,18,10,20,40,46,48,63,41,21,4,298
UCL222092,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17,11,11,30,61,53,42,34,5,0,253
UCL222093,0,0,0,0,0,4,14,9,3,27,0,0,0,0,0,0,0,0,0,0,0,5,3,14,3,5,5,6,4,44,6,25,26,39,40,77,80,48,9,359
UCL222094,0,0,4,0,0,4,5,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,9,0,40,9,12,33,28,40,66,62,25,5,283
UCL222095,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,8,27,17,19,28,32,10,0,151
UCL222096,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,21,9,16,42,61,69,51,54,10,3,314
UCL222097,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,5,3,3,0,5,4,3,0,0,25,13,22,44,34,45,52,16,13,7,254
UCL222098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,4,0,13,5,5,26,53,55,61,38,21,8,267
UCL222099,0,0,0,0,0,3,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,15,3,12,39,24,21,40,17,12,0,169
UCL222100,0,0,4,6,6,0,3,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,5,4,23,0,12,9,10,44,53,43,40,5,219
UCL222101,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,0,18,11,15,30,38,31,38,34,19,3,202
UCL222102,0,0,0,0,0,4,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,3,10,0,33,9,23,45,49,54,85,47,25,0,334
UCL222103,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,0,14,6,23,40,28,20,23,0,161
UCL222104,0,0,0,0,0,4,0,7,4,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,5,0,29,7,16,34,34,24,47,47,18,11,237
UCL222105,0,0,0,0,0,0,5,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,6,20,4,14,27,26,26,38,33,15,5,188
UCL231001,200,123,465,586,944,1903,3782,4059,1574,13630,28,43,116,109,146,164,193,253,133,1195,1880,1475,3262,3983,5033,5838,5296,3051,957,30768,10671,19178,37641,46829,62742,72463,59683,25282,5959,340447
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
UCL299994,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
