UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL201001,510,107,1280,721,1261,152,4030,460,73,860,243,660,66,2366,8011,1396,20656,11240,28073,1863,71233,2251,382,4436,1571,3309,243,12177,5318,1029,19505,14263,77930,2800,120835,3997,777,10398,4618,8358,777,28920,7436,1214,20155,9943,14490,1662,54910,3215,439,10936,9465,9737,1247,35046,7029,1162,15626,11398,15298,2068,52577,4142,871,9895,3080,2753,461,21200,11013,2895,26461,6553,3499,980,51396,1962,467,5494,2409,3899,488,14720,29177,5201,61605,10962,6779,1879,115607,3261,669,8595,4684,7276,792,25266,8974,3238,18030,9689,10171,1041,51150,19084,5200,19349,4137,3860,663,52298,16122,3817,27101,7918,8371,1468,64803,1662,556,6213,2489,3165,325,14403,2583,579,5503,4524,16266,734,30191,5703,788,12548,5904,12359,5136,42441,141899,30864,304639,125814,237522,24839,865580,317,78,908,542,575,113,2538,169,36,368,72,74,17,740,4164,1008,12344,5743,6212,988,30460,1281,356,2636,847,846,147,6109,2434,701,7303,4525,4992,639,20594,2501,638,7589,3379,3091,476,17670,5887,1785,25045,13594,14213,2137,62660,3030,617,11800,7893
UCL203001,11,6,70,51,151,9,299,15,0,59,18,113,3,225,91,23,266,224,1020,39,1659,35,11,50,34,150,0,287,36,18,191,224,2233,42,2737,11,7,54,65,212,4,359,67,22,217,145,526,32,1007,51,13,150,138,352,24,720,63,4,125,113,339,26,667,15,17,93,47,109,4,288,49,23,137,96,44,5,358,6,5,65,50,106,5,226,185,72,667,176,153,17,1277,24,11,80,53,187,12,367,123,80,334,315,418,25,1296,343,185,630,101,138,11,1406,355,173,650,232,368,36,1817,16,3,102,43,94,4,262,36,9,77,58,413,11,609,26,9,100,70,299,70,569,1549,690,4128,2249,7431,390,16441,3,0,23,25,30,3,85,12,3,5,4,6,0,33,40,18,134,86,177,15,465,6,6,30,25,25,0,92,10,11,70,78,152,6,324,0,0,27,26,57,5,124,40,31,310,230,586,55,1238,46,12,152,145
UCL203002,8,4,60,40,157,15,286,21,3,94,32,364,8,526,57,23,232,197,1127,32,1665,18,4,70,54,155,6,316,13,5,119,164,2196,42,2549,8,3,38,47,184,9,298,23,24,175,138,496,29,884,20,8,106,105,299,25,561,19,8,76,98,342,25,563,8,5,57,29,77,13,186,33,39,271,131,91,12,581,6,3,38,37,90,7,176,88,54,441,142,138,11,882,14,0,47,41,183,0,293,87,77,277,291,417,29,1179,184,146,505,88,135,13,1065,339,130,630,272,364,36,1773,11,8,44,38,70,4,178,34,16,66,71,504,8,703,25,6,65,48,321,64,537,1031,572,3425,2069,7718,388,15197,3,0,24,15,39,8,97,7,3,25,9,22,4,70,30,9,157,93,241,37,566,6,8,32,20,31,0,104,10,10,60,71,166,13,330,0,0,26,29,44,6,107,34,26,253,211,543,48,1120,29,8,121,154
UCL203003,21,9,84,48,110,7,279,12,5,25,14,54,9,115,262,37,564,344,1360,63,2634,44,5,150,84,277,11,576,144,31,620,517,4393,129,5830,57,16,240,164,466,18,959,240,43,633,350,829,59,2152,157,15,378,335,493,43,1419,211,34,353,312,690,57,1656,53,16,147,79,87,4,380,127,53,459,192,130,17,972,23,9,138,65,140,6,374,420,124,1297,366,307,33,2552,81,18,179,129,310,25,746,207,126,672,486,652,59,2193,724,255,996,250,251,30,2503,546,212,1203,383,597,58,3000,43,16,155,88,132,15,444,64,24,152,135,663,28,1067,112,13,239,142,530,148,1180,3559,1053,8683,4459,12464,822,31040,6,8,27,26,42,8,113,4,3,0,0,3,0,10,77,13,215,159,271,27,766,31,9,81,49,64,11,243,52,25,195,146,271,20,711,22,12,119,82,130,13,382,138,55,761,611,964,86,2624,100,23,371,286
UCL211001,7,0,8,13,36,4,70,0,0,0,0,20,0,24,21,9,121,101,595,22,873,0,0,5,15,47,0,65,8,3,29,73,865,22,1007,0,3,24,21,116,0,169,13,4,48,71,248,3,381,7,0,29,27,127,6,194,0,3,25,56,235,17,346,0,0,9,14,23,0,42,5,0,21,30,23,0,80,0,0,0,6,27,0,38,19,16,103,56,58,3,257,6,7,23,20,74,4,125,44,27,138,184,352,18,767,52,49,110,52,75,0,339,65,29,147,90,136,12,475,0,0,7,0,29,0,34,4,0,18,27,205,7,255,8,7,21,23,147,21,220,266,168,877,872,3425,154,5757,0,0,0,10,6,3,27,0,0,0,0,0,0,3,15,8,48,45,89,8,218,0,0,0,0,12,0,16,4,0,20,39,76,11,157,3,0,7,12,48,3,69,9,9,50,105,261,16,446,0,0,28,37
UCL211002,0,0,19,15,27,0,62,0,0,7,9,23,0,44,47,3,145,155,550,34,937,23,0,30,25,103,8,188,32,3,131,178,1521,62,1925,20,9,69,68,192,11,366,64,9,170,138,370,27,772,32,3,68,101,127,8,345,92,21,286,473,666,66,1610,30,0,80,22,31,6,167,62,5,134,64,43,5,308,10,0,21,29,61,6,132,137,12,248,86,77,11,566,25,3,50,55,176,13,326,86,17,186,153,265,19,722,93,41,153,53,71,5,425,82,18,209,127,154,21,605,10,0,33,25,47,3,116,23,0,46,58,390,13,532,41,4,88,88,287,91,595,897,159,2164,1905,5192,426,10757,9,4,0,10,14,0,34,0,0,0,0,0,0,4,31,4,84,71,116,23,328,13,0,12,12,21,0,60,21,0,53,71,109,4,264,15,0,38,31,58,10,147,51,27,183,193,355,34,839,29,4,73,83
UCL212001,0,0,7,7,27,0,42,0,0,0,10,20,0,30,7,6,43,58,186,3,300,3,0,7,14,51,0,83,10,0,44,66,750,15,888,9,0,21,15,63,3,110,12,5,35,29,107,9,187,3,0,16,24,32,3,68,21,0,39,64,211,13,348,3,3,20,10,16,5,60,11,4,37,17,15,6,84,0,0,3,9,27,0,43,34,11,109,39,33,3,229,0,0,9,6,51,0,71,21,9,57,79,134,9,309,40,21,77,26,22,0,187,25,0,45,20,29,5,121,5,0,15,11,19,3,53,7,5,21,21,132,4,183,4,0,19,20,100,23,168,211,65,622,534,2040,94,3567,0,0,7,10,11,0,28,0,0,0,0,3,0,4,0,0,16,22,35,0,79,0,0,4,0,9,0,25,5,0,20,36,61,6,129,0,0,3,20,14,4,40,16,3,41,59,94,7,214,8,0,20,25
UCL212002,4,0,14,10,48,0,79,0,0,3,0,7,0,10,7,3,35,22,188,4,258,0,0,4,6,24,0,37,9,0,28,24,332,7,398,0,0,0,5,40,3,51,0,0,19,20,90,0,138,0,0,21,19,87,5,141,0,0,0,13,55,3,71,0,0,0,0,0,0,7,4,5,13,12,3,0,30,0,0,0,3,12,0,16,5,8,33,16,15,3,81,0,0,5,0,38,0,39,11,5,25,31,42,3,106,12,12,64,10,21,0,110,21,8,46,13,49,9,148,0,0,4,6,14,0,29,5,0,7,3,75,3,92,0,0,7,0,49,10,75,72,41,343,218,1192,59,1929,0,0,7,5,6,4,24,0,0,0,0,0,0,0,6,0,20,16,36,5,89,0,0,5,0,0,0,8,0,0,7,10,17,0,39,0,0,0,7,4,0,12,0,0,29,30,83,7,150,7,3,26,29
UCL212003,22,3,76,67,154,25,344,3,3,12,9,43,4,68,15,7,56,31,229,15,350,6,9,12,20,67,3,116,5,5,14,26,551,18,608,3,0,20,20,102,3,145,7,0,48,43,210,19,333,0,8,36,56,139,8,246,3,4,15,38,137,10,211,0,0,4,0,32,0,43,0,4,20,13,18,3,68,0,0,8,8,39,0,58,25,11,115,41,59,3,245,3,3,27,22,78,7,138,27,20,74,103,126,7,357,43,39,124,34,63,3,301,77,26,164,80,111,7,472,0,0,11,9,20,0,44,4,0,14,18,153,8,197,3,6,24,24,114,46,209,260,129,865,664,2447,201,4563,5,5,55,45,47,21,167,0,0,3,0,7,0,8,3,3,28,32,51,10,130,6,0,11,3,20,0,35,3,0,12,29,37,4,80,3,0,19,15,31,7,71,3,9,64,61,207,13,355,0,0,41,53
UCL212004,5,0,5,10,15,0,38,3,0,5,3,7,0,18,9,5,61,30,113,6,213,4,3,24,10,17,4,58,9,4,49,101,679,20,867,5,0,31,14,37,4,88,3,3,46,29,89,7,178,6,6,29,32,56,11,125,12,4,27,27,62,3,136,4,0,20,4,11,0,39,21,9,78,24,17,3,154,5,0,31,12,29,4,74,66,18,233,60,38,7,426,3,0,22,20,47,0,92,28,16,93,87,83,11,313,81,53,166,42,30,7,378,62,33,156,50,49,10,360,6,0,31,10,21,5,76,4,3,26,11,54,0,97,14,0,31,13,51,15,134,346,166,1167,592,1489,100,3865,0,7,4,8,4,0,20,0,0,3,0,0,0,4,6,4,32,21,28,6,94,3,0,4,9,0,0,14,7,0,34,35,30,4,106,0,0,16,10,9,3,42,4,10,74,77,77,9,250,5,5,33,43
