UCL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL201001,12580,3298,5178,620,21676,3725,782,1403,204,6112,2650,1372,2844,256,7121,2042,1247,4056,200,7544,10046,2961,6721,535,20262,7050,4380,10158,562,22146,37085,8813,12515,1114,59522,25083,13218,16851,1932,57085,28186,21876,18640,2057,70755,33285,30423,17479,2521,83704,20457,29632,13539,1675,65312,23526,31838,11528,1635,68523,52954,76488,19902,3039,152383,41166,65634,9165,1894,117860,31695,59894,6326,1146,99054,21455,41589,2712,617,66374,54142,146656,7689,1099,209595,13630,33514,11755,678,59573,6196,4676,2648,363,13888,426935,578308,181096,22149,1208493
UCL203001,149,16,67,3,234,63,8,25,3,93,37,9,56,3,108,35,8,109,0,160,226,32,253,7,519,204,43,499,13,764,1289,135,568,31,2023,876,220,720,43,1860,961,419,708,61,2148,1166,690,584,67,2507,660,691,398,37,1788,742,760,290,26,1821,1434,1600,418,57,3515,896,1418,170,34,2512,618,1236,95,10,1964,342,754,41,3,1145,667,1732,81,7,2480,365,729,341,9,1442,169,70,94,11,346,10909,10574,5512,432,27429
UCL203002,121,28,44,11,196,73,13,16,3,108,45,12,47,5,108,32,14,121,0,166,244,25,251,17,533,187,53,418,18,681,1259,135,503,30,1925,890,244,669,53,1859,979,397,661,54,2085,1069,673,560,59,2361,605,619,415,40,1687,666,758,298,22,1741,1390,1770,480,49,3688,902,1469,163,31,2554,629,1210,111,12,1960,312,738,41,4,1098,542,1448,60,9,2050,409,693,284,22,1411,184,72,76,12,346,10528,10344,5221,453,26544
UCL203003,265,61,105,13,440,125,19,53,4,195,93,33,94,8,230,73,26,153,13,261,417,61,365,16,858,315,105,660,22,1095,1930,218,727,52,2927,1340,370,967,96,2768,1472,684,972,90,3219,1694,1068,894,95,3752,983,1054,605,61,2706,1098,1133,478,49,2760,2344,2955,778,123,6199,1753,2505,332,59,4650,1229,2356,203,27,3815,729,1512,74,9,2327,1397,3896,195,24,5517,578,1206,563,38,2382,288,135,124,22,569,18111,19402,8333,823,46664
UCL211001,48,6,22,0,78,17,3,5,0,32,15,6,18,0,43,14,4,61,0,75,78,9,110,6,202,71,11,175,7,265,442,28,210,11,693,324,62,269,27,686,337,134,273,10,758,398,265,228,18,913,243,248,136,6,645,283,297,120,12,708,620,776,174,22,1592,358,619,61,9,1049,217,394,37,7,656,105,289,7,0,406,161,464,30,4,656,150,262,119,6,540,60,21,37,6,126,3947,3910,2097,154,10114
UCL211002,187,70,97,6,357,42,9,27,3,79,39,34,65,0,138,36,20,109,0,161,125,57,233,13,421,93,110,404,10,615,663,240,440,23,1361,383,408,513,24,1335,413,613,494,29,1553,499,902,422,35,1863,339,823,267,21,1448,354,865,213,24,1457,840,1703,333,44,2922,551,1170,144,31,1891,277,734,80,10,1111,129,416,31,7,590,207,747,44,9,1003,203,580,204,7,995,111,95,83,7,292,5496,9595,4201,316,19605
UCL212001,45,7,19,0,74,14,6,6,0,17,7,4,20,0,27,7,9,19,0,32,58,6,48,0,111,39,3,74,0,120,226,19,97,6,344,158,40,120,7,328,174,83,122,6,390,193,143,90,12,441,102,163,85,15,361,120,157,78,6,361,316,449,98,5,871,215,380,48,5,649,161,329,32,0,523,97,233,17,6,347,154,461,25,5,647,70,167,55,0,292,44,29,12,4,93,2205,2684,1055,77,6025
UCL212002,35,0,12,0,48,20,4,4,0,25,11,0,10,0,20,10,3,26,0,34,54,0,30,0,97,28,3,71,0,109,239,5,81,3,331,147,15,80,8,251,149,47,70,9,276,173,96,67,10,347,103,74,46,8,226,108,94,35,3,247,195,215,52,3,469,120,169,19,4,313,77,129,14,0,221,35,83,5,0,121,79,163,12,0,252,69,112,43,6,235,38,12,12,5,68,1689,1230,699,49,3672
UCL212003,77,16,23,3,117,31,4,5,0,38,21,7,34,0,61,12,8,56,3,82,101,17,95,0,217,67,30,169,4,276,535,62,197,14,815,313,80,207,23,630,338,184,276,19,815,378,239,202,16,847,192,238,152,5,590,235,249,99,13,596,492,546,154,28,1218,300,413,53,11,780,181,304,30,0,513,77,186,4,0,268,169,348,26,3,550,153,285,123,8,569,101,32,56,7,194,3776,3255,1970,173,9163
UCL212004,47,3,6,0,57,25,0,4,0,27,13,0,6,0,27,12,4,8,0,19,81,3,17,0,104,46,5,47,0,96,246,10,48,0,302,176,14,76,0,272,277,32,78,9,392,292,81,73,0,454,121,110,49,0,280,125,106,32,3,267,275,363,93,9,734,239,389,26,0,653,153,392,21,3,572,102,246,11,0,361,332,690,28,0,1050,105,180,88,0,377,40,18,12,3,69,2691,2653,732,41,6115
