UCL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL213018,0,0,8,3,8,5,0,0,0,34,96,116,294,321,381,331,89,5,0,1636,0,7,14,20,20,21,20,10,0,125,0,0,0,0,4,0,0,0,0,9,13,19,51,73,106,79,15,0,0,361,0,0,4,4,6,5,0,0,0,20,38,59,104,87,85,56,13,0,0,437,0,0,4,6,17,16,5,0,0,52,69,23,36,76,72,60,30,0,0,363,74,50,73,73,69,78,22,0,0,431,0,0,15,11,33,40,12,4,0,112,0,0,5,0,3,8,0,0,0,16,0,4,8,10,23,8,0,0,0,60,0,3,0,0,13,4,3,3,0,32,5,3,19,21,21,23,13,6,0,112,3,0,16,18,26,31,5,0,0,98,0,3,30,20,30,32,10,0,0,129,7,18,55,59,70,57,16,0,0,280,3,24,101,94,99,118,29,0,0,470,3,4,3,7,11,4,0,0,0,35
UCL214001,0,7,9,3,12,8,3,0,0,44,96,147,328,254,315,278,83,7,0,1518,7,14,29,17,29,20,17,7,0,143,3,5,12,9,7,5,0,0,0,41,19,55,154,75,75,57,20,0,0,464,0,0,6,0,4,4,0,0,0,20,13,29,45,18,22,29,11,0,0,166,4,10,14,20,18,12,3,0,0,93,47,31,39,33,38,40,14,4,0,238,56,31,34,38,18,29,3,0,0,212,0,5,11,13,15,16,4,0,0,67,0,0,7,0,0,5,0,0,0,19,0,0,7,4,6,8,0,0,0,28,4,4,3,10,6,6,0,0,0,37,0,0,8,13,8,18,11,0,0,59,0,3,19,13,10,20,7,0,0,72,3,17,81,63,111,81,15,0,0,375,3,18,43,46,32,39,14,0,0,194,11,55,127,83,130,128,32,0,0,573,0,0,5,11,3,6,3,0,0,31
UCL214002,0,0,11,9,10,3,0,0,0,42,101,92,343,432,343,150,33,0,0,1494,5,9,8,15,16,0,0,0,0,50,0,0,6,0,0,4,0,0,0,14,16,15,43,66,66,36,3,0,0,238,0,0,15,14,12,6,0,0,0,49,19,45,134,126,87,31,6,0,0,441,3,3,17,26,21,6,4,0,0,87,43,33,57,67,62,25,13,0,0,296,80,30,27,11,14,5,0,0,0,166,0,5,41,32,52,22,8,0,0,159,0,0,6,7,11,3,0,4,0,23,0,0,20,30,24,3,3,0,0,78,0,6,9,7,14,3,0,0,0,35,0,9,21,44,22,8,6,0,0,114,0,11,9,20,21,13,3,0,0,83,0,4,55,67,67,28,8,0,0,228,5,13,65,106,62,43,8,0,0,289,6,26,113,108,113,62,12,0,0,448,6,5,8,5,4,3,0,0,0,33
UCL214003,4,5,13,10,17,11,3,4,0,59,113,161,359,330,406,431,123,14,0,1933,5,8,18,21,17,18,22,3,0,106,0,0,9,0,5,3,0,0,0,23,21,36,58,65,63,76,25,4,0,344,0,0,11,9,6,15,4,0,0,47,19,65,161,95,87,93,29,0,0,554,3,10,12,18,17,20,0,0,0,86,68,40,64,51,60,60,20,0,0,363,71,29,42,31,37,36,15,0,0,253,0,0,12,13,35,38,16,0,0,118,0,0,5,3,0,4,0,0,0,20,0,5,6,10,9,7,0,0,0,40,0,0,7,11,3,11,3,0,0,39,4,13,28,19,21,22,8,3,0,112,0,13,24,23,39,30,3,0,0,132,4,20,46,42,59,79,26,3,0,276,3,13,58,66,77,79,27,0,0,332,6,42,128,128,141,177,44,0,0,668,12,0,9,12,6,11,9,0,0,59
UCL214004,6,0,10,9,7,6,0,0,0,37,66,88,206,203,217,177,53,4,0,1014,7,13,72,56,43,34,21,10,0,250,0,0,0,0,3,0,0,0,0,8,16,19,69,67,77,58,11,0,0,317,0,3,4,4,8,8,0,0,0,25,17,18,51,47,24,30,10,0,0,199,4,0,9,8,11,11,9,0,0,41,42,33,31,44,34,39,10,0,0,232,26,23,31,21,27,18,3,0,0,145,3,4,8,10,20,30,7,0,0,86,0,0,3,0,0,0,0,0,0,8,0,0,9,4,4,3,0,0,0,19,0,0,4,0,5,4,0,0,0,20,0,9,20,19,7,10,4,0,0,69,0,5,30,17,10,11,9,0,0,80,0,0,12,18,21,6,4,0,0,67,3,12,32,35,30,21,14,0,0,142,4,16,46,40,57,60,19,0,0,245,3,4,0,0,3,0,0,0,0,15
UCL214005,0,0,0,0,0,0,0,0,0,4,20,13,34,44,55,44,8,0,0,215,0,0,3,0,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,3,17,21,21,28,0,0,0,95,0,0,0,0,0,3,0,0,0,3,3,4,13,5,6,4,0,0,0,27,0,0,0,0,0,3,0,0,0,3,4,4,8,10,8,6,0,0,0,50,14,3,3,0,7,4,3,0,0,40,0,0,3,3,8,9,3,0,0,29,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,13,0,0,3,5,4,4,0,0,0,15,3,0,3,10,7,0,0,0,0,19,0,0,5,9,6,3,0,0,0,23,0,3,4,10,14,19,9,0,0,62,0,0,0,0,0,0,0,0,0,4
UCL214006,9,3,8,6,10,8,5,0,0,41,57,70,208,245,275,300,87,14,0,1257,3,5,10,8,8,6,3,0,0,35,0,0,0,0,6,0,0,0,0,13,6,5,20,21,18,26,3,0,0,97,0,0,0,9,16,8,0,0,0,39,10,21,58,51,56,53,9,0,0,263,0,0,6,7,10,16,0,0,0,48,27,11,54,46,48,67,19,3,0,278,32,36,70,54,61,43,22,0,0,316,0,3,4,11,16,28,10,0,0,73,4,0,0,3,7,10,3,0,0,31,0,0,4,11,12,18,5,0,0,47,0,7,3,4,16,10,4,6,0,62,0,5,19,19,33,34,18,3,0,132,3,3,10,27,14,24,7,5,0,89,0,4,11,27,23,23,3,0,0,99,0,7,27,49,43,22,14,6,0,160,0,20,62,54,77,88,31,0,0,333,11,5,26,21,34,37,14,5,0,138
UCL214007,3,9,15,3,5,8,0,0,0,51,41,99,543,301,202,140,24,5,0,1349,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,8,50,57,35,27,3,0,0,188,0,0,9,11,4,5,0,0,0,32,4,32,140,65,33,26,5,0,0,305,0,4,24,26,9,5,0,0,0,72,20,31,62,52,39,37,4,0,0,245,27,21,40,24,10,8,0,0,0,116,6,15,97,71,48,45,17,0,0,292,0,0,15,12,0,5,0,0,0,32,0,10,45,40,10,4,0,0,0,109,0,9,20,8,9,9,0,0,0,41,0,6,79,43,21,7,0,0,0,164,0,7,28,20,10,16,5,0,0,87,0,11,105,54,38,19,9,0,0,222,3,9,122,52,23,22,4,0,0,238,3,28,142,80,52,42,3,0,0,346,0,3,17,14,4,0,0,0,0,44
UCL214008,4,4,5,10,3,15,3,3,0,58,144,185,391,389,421,430,119,13,0,2095,13,27,76,49,35,36,42,21,0,306,0,0,8,6,3,3,0,0,0,26,9,26,33,31,39,32,12,0,0,181,0,0,8,4,6,7,0,0,0,28,27,54,97,74,63,91,22,0,0,415,5,8,25,19,38,19,9,0,0,113,67,63,84,78,75,80,30,3,0,466,77,57,60,34,20,36,5,0,0,292,0,6,14,30,22,41,18,3,0,135,0,7,11,8,0,16,4,0,0,50,0,4,12,14,12,14,0,0,0,59,0,3,9,3,8,7,0,0,0,34,4,10,29,38,36,35,8,5,0,159,0,6,14,22,30,24,6,3,0,112,10,18,38,66,73,60,20,0,0,292,3,19,69,60,118,72,20,0,0,361,19,50,192,164,172,205,49,0,0,851,7,6,7,0,5,6,0,0,0,32
UCL214009,6,11,13,15,10,11,8,0,0,62,118,149,372,406,427,411,89,6,0,1985,9,9,19,18,19,26,3,0,0,89,0,0,0,5,0,4,0,0,0,8,33,21,70,76,106,73,19,5,0,403,0,0,20,11,13,14,0,3,0,71,44,39,163,120,91,89,13,0,0,568,7,7,10,10,28,19,8,0,0,88,28,38,57,40,59,75,14,4,0,317,82,48,60,50,62,40,14,0,0,361,0,9,9,19,31,57,10,0,0,136,0,0,7,7,6,8,0,0,0,31,0,0,9,13,18,14,4,0,0,56,0,6,3,13,11,14,0,0,0,43,0,10,31,44,44,41,21,0,0,195,0,11,20,24,33,22,9,0,0,131,0,9,18,54,39,38,9,0,0,181,4,12,68,96,78,63,20,3,0,334,10,26,106,81,101,146,30,9,0,502,5,3,14,27,21,16,8,0,0,101
